username,date,time,tweet,likes,replies,retweets,retweet,hashtags
konradjk,2018-07-09,03:55:35,"Bohemian rhapsody is the only logical response to @genetisaur’s multi-ancestry meta-analysis (MAMA) tool, I maintain #SMBE2018",10,1,1,True,#SMBE2018
konradjk,2018-07-09,03:49:28,".@genetisaur on the need for more diversity in GWAS - PRS do not transfer well across populations, which will only serve to increase health disparities #SMBE2018",2,0,0,True,#SMBE2018
konradjk,2018-07-08,23:50:00,"@jnovembre Also, that the EEMS maps reflect physical geography (e.g. migration barriers at the Ural mountains) is amazing",0,0,0,True,
konradjk,2018-07-08,23:48:25,Great talk by @jnovembre on inferring migration rates using spatial genomics - EEMS reflects patterns of classical methods like PCA but also finds additional information on migration #SMBE2018,3,1,1,True,#SMBE2018
genetisaur,2018-07-08,23:40:21,".@jnovembre giving a lovely overview of geogenetic methods expanding on EEMS, HT to stepping stone model from Japanese gardens. #smbe2018",3,0,3,True,#smbe2018
konradjk,2018-07-08,04:14:45,Starting off #SMBE2018 with a Japanese arcade! pic.twitter.com/ZgN5qqm7Fw,3,0,0,True,#SMBE2018
nickywhiffin,2018-06-25,09:21:12,"@konradjk has taken #WorldCup sweepstakes to the next level - script to decide player packs was distributed for 'code review', a @SlackHQ bot gives live updates for every game, goal and card, tagging interested parties, and a daily summary updates on the leaders for each contest! pic.twitter.com/b688F9QNvh",4,1,1,True,#WorldCup
b_gelaye,2018-06-04,03:37:45,Excited to kick off the 1st GINGER official onsite training in Kampala in partnership with Makerere University. @HSPH_GINGER #GINGERMakerere pic.twitter.com/2DgnowyP8N,8,0,6,True,#GINGERMakerere
drjamesware,2018-05-21,06:44:44,"@wolfgangkhuber @splon @ewanbirney 1/3 We have been using empirical data to calibrate probabilities of pathogenicity.We’ve not quite reached “full Bayesian"" for various pragmatic reasons:(i) not all evidence is independent, and can’t empirically calibrate different terms",2,0,2,True,
EricTopol,2018-05-17,11:14:25,The remarkable untapped potential of inferring disease heritability from contact info of electronic medical records  https://www.cell.com/cell/pdf/S0092-8674(18)30525-7.pdf … @CellPressNews @CellCellPress #OA @ColumbiaMed @WeillCornell @MountSinaiNYC @jdudley pic.twitter.com/H6AKNSGsmf,173,7,85,True,#OA
nicktatonetti,2018-05-17,10:04:05,Our work using emergency contact data to define the largest EHR connected pedigrees by @FPolubriaginof et al. is online at Cell today.  https://www.cell.com/cell/fulltext/S0092-8674(18)30525-7 … pic.twitter.com/D5vbSJV4Ih,42,3,27,True,
ewanbirney,2018-05-16,12:12:41,@thatdnaguy Blockchain + xxxx is the new nails on the blackboard for me (up there with ‘cross sectional epigenome wide association from case /controls’),10,3,3,True,
eric_lander,2018-05-14,10:59:07,"Last week I agreed to toast James Watson for the Human Genome Project on his 90th birthday. My brief comment about his being “flawed” did not go nearly far enough. His views are abhorrent: racist, sexist, anti-semitic. I was wrong to toast. I apologize.",1534,216,527,True,
lpachter,2018-05-12,11:24:19,We can’t pretend to support greater representation of women on the one hand (e.g. conversations like  https://twitter.com/averydavisbell/status/994013286671769601 … have become standard at the opening of Biology of Genomes meetings) … /8,144,1,32,True,
JavierHerrero7,2018-05-11,10:56:43,"Maša Roller: switches from promoter to enhancer or vice-versa can happen, but how often? These are extremely rare (2%) #BoG18",0,0,1,True,#BoG18
konradjk,2018-05-11,10:52:31,"MR: Majority of promoters are shared across tissues (within and across species), but enhancers tend to be tissue-specific #BoG18",2,1,3,True,#BoG18
konradjk,2018-05-11,10:47:13,Maša Roller from @PaulFlicek group on tissue-specific enhancer and promoter evolution in mammals: previous work showed that promoters are far more stable across lineages #BoG18,2,0,1,True,#BoG18
konradjk,2018-05-11,10:39:37,".@erikgarrison vg removes reference bias, especially important for low-coverage data #BoG18",5,0,2,True,#BoG18
konradjk,2018-05-11,10:35:26,".@erikgarrison overall, pangenome does not appear to improve performance over bwa - but this is largely because reads matching the reference swamp the signal (reads containing a variant outperform) #BoG18",1,0,0,True,#BoG18
konradjk,2018-05-11,10:32:23,.@erikgarrison VG is publicly available:  https://github.com/vgteam/vg  #BoG18,9,1,2,True,#BoG18
