username,date,time,tweet,likes,replies,retweets,retweet,hashtags
BensonHenry,2018-07-17,09:01:52,"""These boys demonstrated that even in the most difficult circumstances, meditation can harness fundamental changes in our physiology to encourage survival,"" said  BHI's Dr. Darshan Mehta. ""It is an amazing story."" http://ow.ly/z7aU30kZtYj ",5,1,2,True,
BensonHenry,2018-07-17,08:34:45,Send your child to #college with #stressmanagement + #resiliency skills.  It will help them manage academic & social pressures and flourish in their new environment.  August 11th at MGH.  10 AM -1 PM.  Register here:  http://ow.ly/5bUr30kZspU  pic.twitter.com/pSW8EnF4eW,3,0,0,True,"#college,#stressmanagement,#resiliency"
BuddhaDoodles,2018-07-17,05:27:24, pic.twitter.com/6g15jLPuG5,135,3,51,True,
BensonHenry,2018-07-16,09:23:26,Science suggests that our well-being also is influenced by the company we keep.@taraparkerpope @nytimes https://www.nytimes.com/2018/07/10/well/the-power-of-positive-people.html …,2,0,2,True,
bamarquis,2018-07-10,09:33:45,".@NPR's @HiddenBrain explores power of connecting across diversity. ""In @silkroadproject you have to keep going in meeting new strangers and new communities...Silk Road is the wish I have for the 21st Century society."" - @CristinaPato https://www.npr.org/2018/07/02/625426015/the-edge-effect …",15,2,5,True,
BensonHenry,2018-07-10,08:24:36,"As we celebrate the boys safe return, let's be grateful that kids are resilient, that there are heroes among us, and remember that when we all work together, miracles can happen.  #ThaiCaveRescue https://www.npr.org/2018/07/10/627555371/divers-hope-to-rescue-remaining-boys-trapped-in-thai-cave …",7,0,2,True,#ThaiCaveRescue
IRPatNIH,2018-07-09,11:50:04,"""It is widely known that our minds can affect our bodies. That has been shown in the areas of #learning and #emotion, so we wanted to test that same idea in the context of #pain.” - #NIH @NIH_NCCIH's Dr. Lauren Atlas on the motive for her new study. https://irp.nih.gov/blog/post/2018/07/perceived-pain-drives-body-s-automatic-nervous-system-response …",1,0,4,True,"#learning,#emotion,#pain,#NIH"
BensonHenry,2018-06-24,09:20:07,"Learn to use mind body medicine to enhance treatment outcomes, prevention, quality of life and your own self-care at our CME at Harvard Medical School.  October 25-27.  Register today! https://mindbody.hmscme.com/ ",3,0,1,True,
BensonHenry,2018-07-04,12:30:37,Research showing how meditation affects health - a novel way of studying its effects. http://ow.ly/xvZQ30kJlfI ,1,0,2,True,
HMSOsherCenter,2018-07-02,08:05:21,"TOMORROW, IM GRAND ROUNDS: ""Invisible Light! Can the Treatment of Depression Be Beyond What is Seen?"" Dr. Paolo Cassano presents the use of transcranial photobiomodulation for the treatment of major depressive disorder with the patient present. Learn More: http://ow.ly/X0vZ30kBrFq ",3,0,1,True,
MGHClayCenter,2018-07-02,07:55:07,"RT @MindfulOnline: As many #teens struggle with #anxiety and perfectionism, your urge may be to jump in and fix their problems. A better approach is to cheer them on as they develop their mental habits and strengths.  https://buff.ly/2x3H7WU   pic.twitter.com/y3MmAb0s5x #parenting",1,0,2,True,"#teens,#anxiety,#parenting"
BensonHenry,2018-06-29,14:26:25,Drs. Fricchione and Dossetts presenting mind body approaches to pain at the Evaluating & Treating Pain course today in Boston pic.twitter.com/mM8rwwQbS0,2,0,1,True,
MGHClayCenter,2018-06-29,13:50:06,"Is #creativity important for #MentalWellness? We don't just think so, we know it! Listen to our #podcast for a great weekend start with the #kids in your life. #HealthyMinds @GeneBeresinMD @zombieautopsies http://bit.ly/CreativityMentalHealth … pic.twitter.com/MVV0QheL1x",4,0,2,True,"#creativity,#MentalWellness,#podcast,#kids,#HealthyMinds"
MassGeneralNews,2018-06-28,10:20:00,Patients are finding a new way to manage pain through mind-body skills which have proven to be a strong alternative to opioids. https://mgh.to/2M7Wr7w ,13,0,8,True,
BensonHenry,2018-06-27,10:43:10,"Relax, rejuvenate, be kind to yourself this summer with gentle yoga at MGH.  Monday & Wednesday sessions w/ Laura Malloy.  Register now! https://www.bensonhenryinstitute.org/services-yoga-classes/ …",1,0,0,True,
HarvardChanSPH,2018-06-25,14:35:05,.@davidludwigmd explains why fermented foods may offer health benefits and offers a recipe you can try at home  http://harvardhealth.me/ferme14ada  via @HarvardHealth pic.twitter.com/LkJ7LaueDs,39,1,17,True,
BensonHenry,2018-06-25,10:36:28,The deadline for the Watts Scholarship is Friday! Apply today! You'll get trained & certified to deliver BHI's #StressManagement & #Resiliency Training (SMART). #selfcare #Wellbeing #mindfulness https://www.bensonhenryinstitute.org/2018/05/14/now-accepting-watts-scholarship-applications/ …,4,0,2,True,"#StressManagement,#Resiliency,#selfcare,#Wellbeing,#mindfulness"
actionhappiness,2018-06-25,07:56:48,Good things happen every day. What 3 things are you grateful for? http://www.actionforhappiness.org/50-ways  #50waystofeelhappy pic.twitter.com/YoCmNyPf85,110,2,54,True,#50waystofeelhappy
Harvard,2018-06-24,22:40:00,Study shows the different effects mindfulness meditation and relaxation response have in the brain https://hrvd.me/mindf1c2a9 ,418,5,218,True,
shawnachor,2018-06-25,07:28:02,Which of these habits do you regularly practice to bring more kindness into your life? Great ideas to bring light 10 Simple Ways to Practice Kindness Every Day  https://buff.ly/2LmVnMu  pic.twitter.com/8HX5kakKLF,39,0,22,True,
BensonHenry,2018-06-24,09:20:07,"Learn to use mind body medicine to enhance treatment outcomes, prevention, quality of life and your own self-care at our CME at Harvard Medical School.  October 25-27.  Register today! https://mindbody.hmscme.com/ ",3,0,1,True,
BensonHenry,2018-06-23,09:15:13,Some great advice on how to manage pain using mind body techniques from BHI's Dr. Ellen Slawsby http://ow.ly/aQx530kCMcA ,1,0,0,True,
BensonHenry,2018-06-22,14:21:26,BHI docs sharing best in #MindBodyMedicine research & practice - Dr. Fricchione & Dr. Benson @ILMLifestyleMed in Boston & Dr. Denninger @ PsychoOncology conference @Swedish pic.twitter.com/AZ6eQAi2Io,2,0,2,True,#MindBodyMedicine
mbhasin_,2018-06-22,09:07:17,Listening talk on affordable cancer innovation of Dr Vikas Sukhatme  in Yoga and Ayurveda conference in Boston pic.twitter.com/6fecpV0pCk,8,1,2,True,
heart911team,2018-06-22,07:06:00,HEART 9/11 with the #BensonHenryInstitute at #MGH is offering a 6 wk training course on Stress Management & Resilience for police officers. The course is designed to help officers reduce and manage their stress more effectively using various scientifically proven techniques. pic.twitter.com/gQ5kmTRKSL,7,0,2,True,"#BensonHenryInstitute,#MGH"
BensonHenry,2018-06-21,10:10:35,"Now enrolling for summer #Yoga classes at MGH! Monday + Wednesday after work, Wednesday at lunch.  Enroll today! https://www.bensonhenryinstitute.org/services-yoga-classes/ … pic.twitter.com/PKi39tQd9i",2,0,1,True,#Yoga
BensonHenry,2018-06-21,09:11:40,Our friend & colleague (+ #CME speaker) @robertwaldinger on his #happiness research.  Today at 12:30 PM. Tune in to @HalcyonInspires #ByThePeople https://twitter.com/robertwaldinger/status/1009767327691431936 …,1,0,1,True,"#CME,#happiness,#ByThePeople"
