username,date,time,tweet,likes,replies,retweets,retweet,hashtags
GlobalHealthMGH,2018-05-10,08:32:44,Happy #NursesDay from our colleagues at @MbararaUST pic.twitter.com/hGcouIX5QC,0,0,2,True,#NursesDay
IssyMarks,2018-04-11,17:13:36,Our paper looking at how to accurately estimate #POMR for low resource settings #globalsurgery @worldjsurg @GlobalHealthMGH  https://link.springer.com/article/10.1007%2Fs00268-018-4529-6 … pic.twitter.com/cQ3WZpf6s0,9,0,5,True,"#POMR,#globalsurgery"
CAMTechMGH,2018-04-10,11:20:14,"Convening 150+ experts in public health, clinical medicine, engineering, design, business, government + community organizing. Joining #GunViolenceHack April 13 - 15? Find directions to @EMKInstitute + Simches Research Center, agenda, list of speakers here:  http://bit.ly/GunViolenceHack  pic.twitter.com/x4foy7EEyj",3,0,3,True,#GunViolenceHack
GlobalHealthMGH,2018-04-10,09:29:31,[READ] Gun Violence and Safety: the @MassGeneralNews Role https://giving.massgeneral.org/gun-violence/#.WszJ2bA7T3Q.twitter …,9,0,8,True,
MartinMukama,2018-04-09,02:40:20,@CamtechUganda in partnership with Dr.Crystal North (U-SOAP project ) have established an AIR quality monitoring station in Mbarara. Excited to see the data we generate from this station. @MbararaUST @OlsonKristian1 @CAMTechMGH @tmtwongyirwe pic.twitter.com/uckGFrVbU9,9,1,3,True,
CAMTechMGH,2018-04-09,13:52:49,"Sandra Butler, Senior Manager for Global Business Strategy, invited to speak on Saturday at “Women in Business: Instilling Confidence and Achieving Results” by @BU_Tweets Women’s MBA Association. Questions about #Hack4Her initiative? Email Sandra at sjbutler@mgh.harvard.edu pic.twitter.com/9oSnVbched",3,0,2,True,#Hack4Her
MassGeneralMDs,2018-04-03,09:55:53,".@drdrtsai proposes the syndemics model for how epidemics interact, ex: how perfect storm epidemics become intertwined like HIV, HCB, and opioid overdose #syndemic #syndemics @GlobalHealthMGH @MGHGlobalPsych @MGHPsychiatry  http://ow.ly/t7c730ji7zK ",0,0,1,True,"#syndemic,#syndemics"
GlobalHealthMGH,2018-04-02,11:17:58,Celebrate #WomensHistoryMonth and visit @MassGeneralNews to learn more about our exceptional faculty and staff:  http://www.massgeneral.org/about/womens-history-month.aspx …,3,0,4,True,#WomensHistoryMonth
GlobalHealthMGH,2018-04-02,10:26:58,TODAY in @innovatorsmag: @CAMTechMGH challenges all of us to curb gun violence  https://www.innovatorsmag.com/challenge-on-to-curb-gun-violence/ … @MassGeneralNews,7,0,7,True,
MGHGlobalPsych,2018-04-02,09:14:40,@MGHGlobalPsych faculty @drdrtsai theory on epidemics of epidemics #syndemics https://www.sciencedirect.com/science/article/pii/S0277953618301588 …,5,0,2,True,#syndemics
Seed_Global,2018-04-02,07:10:12,"Gun violence is a leading cause of premature death in the U.S.The Gun Violence Prevention Challenge Summit & Hack-a-thon, hosted by our friends at @CAMTechMGH , kicks off on April 13 to incentivize new ideas to end this epidemic. Learn more and sign up: https://goo.gl/AVZsWM ",3,0,2,True,
harvardmed,2018-03-29,16:15:09,.@CAMTechMGH is applying a public health approach to gun violence prevention http://hvrd.me/xCN330j58Bj ,29,1,12,True,
CAMTechMGH,2018-03-29,11:40:14,"Awarding cash prizes + $10,000 Post-Hack Award! CAMTech convenes 150+ experts in public health, clinical medicine, business, government + engineering to generate solutions that improve gun violence prevention. Apply to attend #GunViolenceHack by April 6! http://bit.ly/CAMTechApp ",2,0,1,True,#GunViolenceHack
GlobalHealthMGH,2018-03-29,10:29:01,Join us on April 3rd -- RSVP TODAY:  https://www.facebook.com/events/198825334043518/ … @drlouiseivers @MassGeneralNews @MGHGDR @MGHDisasterMed https://twitter.com/ijdh/status/979006515418976257 …,0,0,7,True,
MGHLGBT,2018-03-26,09:34:46,The MGH is proud to celebrate National LGBT Health Awareness Week with different events this week - including lunch w/ our very own Chief Nurse @Debbie_BurkeRN! #MGHProud #OUTvisible #OUTclusive #LGBTHAW18 @MassGeneralNews @MassGeneralMDs pic.twitter.com/fxW5LDQpn0,43,0,24,True,"#MGHProud,#OUTvisible,#OUTclusive,#LGBTHAW18"
harvardmed,2018-03-26,13:55:07,@MassGeneralNews An upcoming #GunViolenceHack at @massgeneralnews aims to crowdsource innovative solutions to gun violence prevention http://hvrd.me/SYwF30j580h ,14,1,11,True,#GunViolenceHack
MassGeneralNews,2018-03-26,14:14:33,Great photo from this past weekend's #MarchForOurLives featuring #MGH @BrighamWomens @BostonChildrens @The_BMC and others. pic.twitter.com/CFJCI6qkEO,52,0,19,True,"#MarchForOurLives,#MGH"
CAMTechMGH,2018-03-26,12:20:11,".@MassGeneralNews talks #GunViolenceHack + using #innovation to address gun violence with @OlsonKristian1: ""The idea is for experts in the field and people who have been affected by gun violence to highlight their pain points and areas for innovation.""  http://ow.ly/Ui8o30ja5NC ",2,0,3,True,"#GunViolenceHack,#innovation"
MGH_RI,2018-03-26,07:04:12,"#MGH researchers: We hope you'll join us in celebrating the accomplishments of our research community at the 70th Scientific Advisory Committee (SAC) meeting this Wednesday and Thursday, March 28 & 29!  https://ecor.mgh.harvard.edu/MeetingsEvents/SAC/2018 … pic.twitter.com/WuxdEGmC60",6,0,4,True,#MGH
