username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MGHCancerCenter,2018-07-18,17:50:00,Trudi Fondren worked at #MGH for almost 40 years. She worked as a lab and research technologist and was part of the Friends of the #MGH Cancer Center. She was also diagnosed with a type of bone and thyroid cancer. Her inspiring story:  http://bit.ly/2Jy0gkD  pic.twitter.com/LxOCRdrLIf,0,0,0,True,"#MGH,#MGH"
MGHCancerCenter,2018-07-18,15:59:08,"This Friday in Boston, the @MDSFoundation is hosting its first-ever #MDSAwareness Walk to raise awareness of myelodysplastic syndromes (#MDS), an often unrecognized and under-diagnosed, rare group of bone marrow failure disorders. Learn More:  http://bit.ly/2LkkGCI  pic.twitter.com/QjdoVIHVoL",0,0,0,True,"#MDSAwareness,#MDS"
EndtheInequity,2018-07-18,11:24:35,"We are excited to officially launch the Cancer and Mental Health Collaborative! @EndtheInequity Please see the phenomenal article by our collaborator, Executive Director of @NAMIMass Cheri Andes -  https://tinyurl.com/y6wcntve @MGHCancerCenter @KellyIrwin_MD",0,0,1,True,
MGHCancerCenter,2018-07-18,09:48:23,"What is your #EverydayAmazing? What makes everyday, small moments special to you? Listen to hear what is #EverydayAmazing to Dr. Michael Lanuti, who is a thoracic surgeon here at the #MGH Cancer Center:  http://bit.ly/2ysowE6  pic.twitter.com/3vkDc1uS80",3,0,2,True,"#EverydayAmazing,#EverydayAmazing,#MGH"
JournalCancer,2018-07-17,11:15:21,High‐dose glucocorticoids for the treatment of ipilimumab‐induced hypophysitis is associated with reduced survival in patients with #Melanoma  https://onlinelibrary.wiley.com/doi/full/10.1002/cncr.31629 … recent study from @MGHCancerCenter investigators pic.twitter.com/oL7BN9phKm,1,0,4,True,#Melanoma
MGHCancerCenter,2018-07-17,11:12:00,Here’s how you can cut your chances of developing #skincancer by 40-50 percent if you take precautions:  http://bit.ly/2JvZvbK  via @BostonMagazine pic.twitter.com/OMhJHBoARt,4,1,1,True,#skincancer
sitcancer,2018-07-16,08:30:26,"Register now and join leading experts for a FREE webinar on the recently updated SITC Cancer Immunotherapy Guidelines - Cutaneous #Melanoma at 6 p.m. EDT on Monday, July 30.  http://ow.ly/MawJ30kHY7E  pic.twitter.com/wWsmn1sCuf",1,0,1,True,#Melanoma
MGHCancerCenter,2018-07-16,12:15:25,"Congrats to #MGH's @BryanDChoi, who was awarded the 2018 @sitcancer-@AstraZeneca Postdoctoral Cancer #Immunotherapy in Combination Therapies Clinical Fellowship Award!  http://bit.ly/2mjjO34  pic.twitter.com/NYV6meEf5O",18,0,4,True,"#MGH,#Immunotherapy"
sitcancer,2018-07-12,15:02:35,"@MassGeneralNews 2018 SITC-AstraZeneca Postdoctoral Cancer Immunotherapy in Combination Therapies Clinical Fellowship Award recipient: Bryan D. Choi, MD, PhD, Massachusetts General Hospital and Harvard Medical School @BryanDChoi @massgeneralnews @harvardmed @AstraZeneca  http://www.sitcancer.org/aboutsitc/press-releases/2018/fellowship-award-recipients … pic.twitter.com/0XXhDNQMwr",8,1,3,True,
MGHCancerCenter,2018-07-16,09:47:34,"Did you know that many of the #radiationtherapies offered at #MGH are not offered at other hospitals? In the highly specialized Tucker Gosnell Ctr for #GastrointestinalCancers, doctors work side-by-side with a patients’ entire treatment team:  http://bit.ly/2LapACd ",2,0,1,True,"#radiationtherapies,#MGH,#GastrointestinalCancers"
MGHCancerCenter,2018-07-15,08:45:00,The #MGH Cancer Center offers #acupuncture to all patients. Learn more about acupuncture and how it can help combat the side effects of cancer:  http://bit.ly/1TKatK5  via @BostonMagazine,2,0,0,True,"#MGH,#acupuncture"
MGHCancerCenter,2018-07-13,11:15:00,"Congrats to Dr. Daniel Cahill, a dedicated tumor neurosurgeon at #MGH, who is the #EverydayAmazing healthcare pro of this weekend's @RedSox games! Listen to Dr. Cahill's @WEEI radio spot:  http://bit.ly/2KUkQkz  #GoSox pic.twitter.com/OcyBjlpfmi",8,0,1,True,"#MGH,#EverydayAmazing,#GoSox"
VOHorg,2018-07-12,17:02:04,Members of @VOHorg were so very honored to meet with the amazing staff of the Termeer Center at @MGHCancerCenter. They are indeed heroes and we are so proud to help in our own way achieve the levels of success they have thus far. #findthecure pic.twitter.com/5y8d7lkz2E,8,0,2,True,#findthecure
MGHCancerCenter,2018-07-12,12:30:07,"Illuminations artist Lynn Ray's lush use of color creates a sumptuous still life display.  Illuminations is a rotating art exhibit designed to enhance our environment of care and reflect the diversity of our communities. For more information, visit:  http://bit.ly/2zpVwgw  pic.twitter.com/jSYSVXq9Ef",2,0,1,True,
MGHCancerCenter,2018-07-12,10:08:50,The focus of the Demehri lab at #MGH's Center for #CancerResearch is to determine the role of the immune system in regulating the early stages of cancer development in order to harness its anti-tumor potential for cancer therapy. More:  http://bit.ly/2zHwbzB  #immunotherapy pic.twitter.com/VraHIUfweU,0,0,0,True,"#MGH,#CancerResearch,#immunotherapy"
