username,date,time,tweet,likes,replies,retweets,retweet,hashtags
kelly_carlin,2018-07-18,13:51:09,Just uploaded it! The link for this week's podcast is here:  https://soundcloud.com/wakingfromtheamericandream/wfad-episode-134-kelly-unlearns-helplessness … And it'll land in your podcast app later today. https://twitter.com/MGHClayCenter/status/1019634419311751169 …,4,1,2,True,
MGHClayCenter,2018-07-18,12:26:04,Tomorrow is TODAY! So honored for our co-director @ellenbraaten to join @kelly_carlin on her #podcast 'Waking from the American Dream' to discuss how we can unlearn helplessness in our stressful world. #HealthyMindsListen TODAY:  https://www.patreon.com/kellycarlin/posts … https://twitter.com/kelly_carlin/status/1019320273831514112 …,2,0,1,True,"#podcast,#HealthyMindsListen"
MGHClayCenter,2018-07-18,11:45:12,"How can parents support their college-age children with #dyslexia? We have answers from Hillary Bush, PhD and @AmandaKWardPhD of @mghfc and @UMassBoston’s Ross Center for disability services. #HealthyMindsLearn more:  http://bit.ly/DyslexiaCollege  pic.twitter.com/YdtM1mTCFK",0,0,0,True,"#dyslexia,#HealthyMindsLearn"
MGHClayCenter,2018-07-18,11:05:19,.@CDCgov's #YRBSS survey of high schoolers show that sexual minority students have greater prevalence of health-risk behaviors. What's the impact of #bullying on #LGBT kids as they transition to adults? #MinorityMentalHealth #HealthyMindsRead more:  http://bit.ly/2J979bJ  pic.twitter.com/qS4HM0nqnm,0,0,0,True,"#YRBSS,#bullying,#LGBT,#MinorityMentalHealth,#HealthyMindsRead"
MGHClayCenter,2018-07-18,10:40:08,Does a doctor teaching cardiology have to convince skeptics?  Does anyone refuse to believe in nephrology? Burdens placed on #psychiatric patients stem largely from skepticism of the medical community itself. #endthestigma #healthcare #HealthyMindsRead: http://bit.ly/DocStigma ,2,0,0,True,"#psychiatric,#endthestigma,#healthcare,#HealthyMindsRead"
MGHClayCenter,2018-07-18,09:30:43,"@kimberlypsychNP RT @kimberlypsychnp: The research is great, but how do you get kids to bed earlier when they consistently jump out of bed every 5 minutes? @Kidlutions @DianeAuten @mommingventures @BetaMomma  http://slate.com/articles/doubl …",1,0,0,True,
MGHClayCenter,2018-07-18,09:30:24,DYK? Reading-related anxiety can affect how kids feel about learning in general. Here's what #parents need to know about #dyslexia & #anxiety via @UnderstoodOrg @pegrosen Read more: https://u.org/2de7Q5F ,0,0,1,True,"#parents,#dyslexia,#anxiety"
MGHClayCenter,2018-07-18,08:18:59,Outdoor time with kids! #BestSummerIn4Words #HealthyMinds https://gfycat.com/FearfulFailingGermanshorthairedpointer … pic.twitter.com/Hy5XLYeZsL,1,0,0,True,"#BestSummerIn4Words,#HealthyMinds"
NordoffRobbins1,2018-07-17,14:51:26,What happens when you put this many music therapists in a room together? pic.twitter.com/8i5Q0VoMkV,31,1,8,True,
MGHClayCenter,2018-07-17,14:31:46,"Tip No. 3 - Create a mad list. ""How to Teach Frustration Tolerance to Kids"" #socialemotional #mentalhealth Read more from @pbsparents:  https://to.pbs.org/2Nk81wI  pic.twitter.com/JfzwHpmD49",1,0,0,True,"#socialemotional,#mentalhealth"
MGHClayCenter,2018-07-17,13:25:04,"""In the space of about 2 generations, #tattoos have gone from mourned acts of drunken & subsequently hidden impulsivity, to something approaching the norm."" - Advice for #Parents on Talking About Tattoos #HealthyMinds #NationalTattooDayRead more:  http://bit.ly/TattooClayCtr  pic.twitter.com/SqIO9PmLDv",0,0,0,True,"#tattoos,#Parents,#HealthyMinds,#NationalTattooDayRead"
MGHClayCenter,2018-07-17,12:45:08,The average person spends 4+ hours on their phone every day! Here are some technology guidelines for every age...  http://ow.ly/WbnK30kYzcH @ksprnews @AmerAcadPeds,0,0,0,True,
MGHClayCenter,2018-07-17,11:50:08,"""In my work as a child psychiatrist, I’m hearing from #Muslim #parents across the country that their children are coming home to them with difficult questions and intense emotional reactions."" #MinorityMentalHealth #HealthyMindsRead more:  http://bit.ly/2L02Vs3  pic.twitter.com/es2oLKdeXb",0,0,0,True,"#Muslim,#parents,#MinorityMentalHealth,#HealthyMindsRead"
MGHClayCenter,2018-07-17,11:15:09,"DYK 50% of #mentalhealth disorders begin by age 14? Last year @GillianA opened up to the @guardian @DeccaJourno about struggles with mental health & her road to #recovery, including being in therapy since age 14. #prevention #mentalwellness #celebrity http://bit.ly/2LecmnS ",0,0,0,True,"#mentalhealth,#recovery,#prevention,#mentalwellness,#celebrity"
MGHClayCenter,2018-07-17,10:40:07,"Separation #anxiety, according to the @APA, is one of the most common mental health issues for children. Learn more from @OdessaAmerican:  http://ow.ly/b5ig30kYwgc  & on our #podcast: http://bit.ly/2KXv5Vi ",1,0,0,True,"#anxiety,#podcast"
MGHClayCenter,2018-07-17,09:25:05,We can't help but join in on this one -- In honor of #WorldEmojiDay: #Parenting in the emoji-era. @Home4DinnerBook @TristanG_MD #HealthyMindsLearn more:  http://bit.ly/EmojiClayCtr  pic.twitter.com/JKirlo3SZs,0,0,2,True,"#WorldEmojiDay,#Parenting,#HealthyMindsLearn"
MGHClayCenter,2018-07-17,09:10:07,Why are stories so important for child healthy development? #HealthyMinds #healthykids #WednesdayWisdom @zombieautopsies Watch for more: http://bit.ly/2zJyYIq ,0,0,0,True,"#HealthyMinds,#healthykids,#WednesdayWisdom"
TinaDaheley,2018-07-17,02:10:34,I didn’t see myself in children’s stories growing up. Stunned that in 2018 there’s still a whole generation of children that don’t see their lives reflected in books. EVERYONE benefits from proper representation. pic.twitter.com/iNd65AhLSO,735,69,281,True,
MGHClayCenter,2018-07-16,16:07:16,Congrats to @MGHInstitute for being the only school in #Boston named a “Great #College to Work For” by @chronicle! This is the 9th consecutive year the health sciences grad school has been recognized. #WellDone #MondayMotivation https://www.mghihp.edu/ninth-consecutive-year-ihp-named-great-college-work …,2,1,0,True,"#Boston,#College,#WellDone,#MondayMotivation"
MGHClayCenter,2018-07-16,14:26:16,Lowered #stress. Increased self-esteem. Reduced #depression...If you don't already have 100 reasons to celebrate #HugYourKidsDay - know that #hugs are good for #mentalwellness & #mentalhealth. Read more:  https://www.rd.com/health/conditions/benefits-of-hugging/ … pic.twitter.com/CT3YEYsggm,0,0,0,True,"#stress,#depression,#HugYourKidsDay,#hugs,#mentalwellness,#mentalhealth"
MGHClayCenter,2018-07-16,13:30:28,Breaking up is hard to do. Even (especially??) when it's with your #therapist. Here are some ways to say “our time is up” politely and professionally. #mentalhealth@ElanaLyn @iamwellandgood @zombieautopsies Read more:  https://bit.ly/2MKZUZT  pic.twitter.com/x5eN00z0O7,1,0,1,True,"#therapist,#mentalhealth"
MGHClayCenter,2018-07-16,12:15:07,"#Parents who faced severe stress and #trauma early in their lives may be more likely to have #children with behavioral health problems, according to new research from @UCLA @AmerAcadPeds http://ow.ly/9J8a30kYylY  pic.twitter.com/cb7ntn8Hdp",0,0,0,True,"#Parents,#trauma,#children"
MGHClayCenter,2018-07-16,11:05:08,The common thread btwn different groups of parents & children is called a #family. Our short #film shares what family means to some - what does it mean to you? #adoption #HealthyMinds #MondayMotivationWATCH:  http://bit.ly/AdoptFilm  pic.twitter.com/ee1GJVa3Sb,1,0,0,True,"#family,#film,#adoption,#HealthyMinds,#MondayMotivationWATCH"
MGHClayCenter,2018-07-16,10:33:54,'10 Staggering Stats Show How #MentalHealth Care Fails People Of Color' - we must do better for ourselves & our children. #MinorityMentalHealth https://twitter.com/StampStigma/status/1018878675461332992 …,0,0,0,True,"#MentalHealth,#MinorityMentalHealth"
