username,date,time,tweet,likes,replies,retweets,retweet,hashtags
PIH,2018-07-13,13:29:02,"How well do you know the places we go? Test your knowledge on the countries where we work, and you'll send money to provide health care around the globe.  http://bit.ly/2NLpdwe  pic.twitter.com/W00oq6sasB",7,0,6,True,
drlouiseivers,2018-07-10,08:58:22,"This sums up what's happening in Haiti. Very few people have any concept of what it is like to live on the catastrophic margin of destitute poverty. For most of my patients in central Haiti, that's their reality https://twitter.com/HaitiInfoProj/status/1015953526587965441 …",40,1,31,True,
UN_News_Centre,2018-07-10,20:19:29,"When a woman can plan her family, she can plan her life. #WPD2018 emphasizes that family planning is a human right. #WorldPopulationDay https://news.un.org/en/story/2018/07/1014371 …",901,25,625,True,"#WPD2018,#WorldPopulationDay"
MGHGlobalPsych,2018-06-22,08:36:14,New @TheLancet study by @drdrtsai: police killings of unarmed black Americans is damaging to population mental health among black Americans: http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(18)31130-9/fulltext …,4,0,3,True,
MGHGlobalPsych,2018-06-19,07:40:36, http://www.wbur.org/hereandnow/2018/06/18/climate-change-disasters-mental-health …,4,0,0,True,
MGHGlobalPsych,2018-06-15,07:39:18,Suicide is a global epidemic https://www.forbes.com/sites/nicolefisher/2018/06/15/suicide-isnt-a-u-s-problem-its-a-global-health-epidemic/#37e328172f7b …,3,0,5,True,#37e328172f7b
BensonHenry,2018-06-13,10:49:33,"Join us for the #InternationalDayofYoga Thursday, June 21st @ 1 PM in the @MassGeneralNews #EtherDome! Great talk by expert Dr. Jeff Dusek! #yoga @KripaluCenter pic.twitter.com/pWwWFuGGiG",4,0,3,True,"#InternationalDayofYoga,#EtherDome,#yoga"
PIH,2018-06-12,17:22:00,"PIH works with more than 13,000 community health workers around the world. How CHWs can help us advance health equity and improve clinical outcomes: http://bit.ly/2HKmgYv ",13,1,10,True,
MassGeneralNews,2018-06-13,09:01:23,"Launching today, #MGH's Charged: a new podcast highlighting the passion and talent of health care’s leading women. Listen wherever you get your podcasts:  http://bit.ly/2y4PQZq  pic.twitter.com/ZjS8GYM6sk",31,1,22,True,#MGH
MassGeneralNews,2018-06-08,08:30:45,"Check out Charged! This great new podcast puts a much-needed spotlight on the passion and talent of health care’s leading women. Subscribe today! Search for Mass General Charged for free on @iTunes, @Google or wherever you get your podcasts.  https://www.massgeneral.org/charged/ . pic.twitter.com/uuBZo1oIT9",24,0,15,True,
MGHGlobalPsych,2018-06-07,09:14:57,Bravo! https://hms.harvard.edu/news/making-mental-health-care-priority …,0,0,1,True,
PIH,2018-06-05,08:10:01,Congratulations to the 2018 graduating class of the University of Global Health Equity in Rwanda! We can't wait to see all that you accomplish. Join us in sending best wishes to the new graduates by signing the card here:  http://bit.ly/2soGn9J  pic.twitter.com/GIr0wT98K0,54,2,11,True,
WHO,2018-06-03,11:46:37,You can #BeatNCDs by promoting cleaner cities. http://bit.ly/2wGUfMz  pic.twitter.com/mNbU6ICDSG,93,3,42,True,#BeatNCDs
MGHPsychAcademy,2018-05-17,21:40:06,This research looks a specific hormone and its role in the #health effects of traumatic #stress --  http://ow.ly/CnZS30jvRkp  -- #PTSD #trauma #mentalhealth #wellness #healthcare #disasters #publichealth #psychiatry,2,0,4,True,"#health,#stress,#PTSD,#trauma,#mentalhealth,#wellness,#healthcare,#disasters,#publichealth,#psychiatry"
MGHGlobalPsych,2018-05-17,14:29:19,"Members of our amazing staff at the MGH Global Health Expo this afternoon. From left: Christine Cooper-Vince, PhD (T32 fellow), Bizu Gelaye, PhD, MPH (center) and Courtney Colgan, M.A., Clinical Research Coordinator (right). pic.twitter.com/OoVI7uT7J6",5,0,1,True,
MGHGlobalPsych,2018-05-15,07:43:02,#Depression is a global issue - what better place to end #Stigma than on college campuses? @MIT @pbsnewshour @JeffreyBrown #anxiety http://ow.ly/7u5s30k0oNI ,5,1,1,True,"#Depression,#Stigma,#anxiety"
actionhappiness,2018-05-14,14:11:35,"You can do anything, but not everything#MentalHealthAwarenessWeek pic.twitter.com/UicnxGXmwu",855,9,485,True,#MentalHealthAwarenessWeek
actionhappiness,2018-05-14,02:42:34,Today is the start of Mental Health Awareness Week. Let's do all we can to look after our mental health and help others do the same#MentalHealthAwarenessWeek pic.twitter.com/XOAY67VrZI,1272,18,1098,True,#MentalHealthAwarenessWeek
MGHGlobalPsych,2018-05-14,08:45:56,"Hugo Kamya, PhD, M.Div., MSW will present ""Addressing cross-cultural issues among the Somali population in Boston"" on Monday, May 21. All weclcome at Global Dinner Series @BUMedicine RSVP to globallocalcenter@bmc.org pic.twitter.com/bxGRi5D4Mz",1,0,0,True,
MGHGlobalPsych,2018-05-08,12:32:02,"Treating #refugees body, mind and soul.  #CompassionInAction #Inspirational @HumanityCrew http://ow.ly/qtBC30jTCyR ",4,0,3,True,"#refugees,#CompassionInAction,#Inspirational"
MGHGlobalPsych,2018-05-04,12:58:52, https://news.un.org/en/story/2018/05/1008822 …,1,0,3,True,
MGHGlobalPsych,2018-05-02,08:30:07,"""..for low-income countries allocating less than 5 percent of GDP to health, progress on #NCDs will be impossible without catalytic funding from donors.""  @katiedain @ncdalliance @devex http://ow.ly/aEnY30jNcNq ",3,0,1,True,#NCDs
NIHDirector,2018-05-01,09:15:39,"Thrilled to announce the national launch of #NIH’s @AllofUsResearch Program, an initiative to usher in the next era of precision medicine. Enrollment opens 5/6 & will be marked by events across the country. See how you can be 1 of the million! #JoinAllofUS https://bit.ly/2FwmpOj ",366,2,296,True,"#NIH,#JoinAllofUS"
MGHGlobalPsych,2018-04-27,09:02:53, https://www.economist.com/news/special-report/21740875-mental-illness-ignored-policymakers-and-aid-donors-nobody-spends-enough-mental …,6,0,7,True,
MGHGlobalPsych,2018-04-23,08:32:53,"Jennifer Beard, PhD, MPH, MA will present @ next Global Dinner @The_BMC tomorrow 4/24.  Topic: The Role of Journalism and the Media in Global Mental Health. 6 PM.  Email globallocalcenter@bmc.org to register. pic.twitter.com/VQIe4buaYg",3,1,0,True,
Sheila_DavisDNP,2018-04-15,06:49:59,Africa's unsung scientists finally get their own journal to spread research https://www.theguardian.com/global-development/2018/apr/10/africas-unsung-scientists-finally-get-their-own-journal-to-spread-research?CMP=share_btn_tw …,6,0,4,True,
PIH,2018-04-13,13:15:11,Tweet at or email your representatives in Congress to say you support the Global Fund and the fight against tuberculosis:  http://bit.ly/2HCXCed  pic.twitter.com/QKLe2cepAc,7,0,4,True,
BensonHenry,2018-04-13,07:54:39,"Research leads to discovery and positive change.  Without it, we cannot get better. https://news.aamc.org/research/article/nih-funding-vital-to-nations-health/ …",3,0,2,True,
cobth,2018-04-12,08:26:03,Thank you @RepMikeCapuano for your support of #nih funding #researchmeanshope pic.twitter.com/FAaYVaTdXs,6,0,3,True,"#nih,#researchmeanshope"
MGHGlobalPsych,2018-04-12,07:59:21, https://medicalxpress.com/news/2018-04-mental-disorders-illness-children-worldwide.html …,0,0,0,True,
MGHGlobalPsych,2018-04-11,11:32:59,"While #NCDs affect both rich and poor countries, their burden is rising disproportionately among lower-income countries, with an immense impact on economic growth. http://ow.ly/6aZI30jritb ",0,0,1,True,#NCDs
MGHGlobalPsych,2018-02-22,13:58:22,Inaugural #GlobalMentalHealth Day @Harvard April 5-7. Our own Dr. Greg Fricchione will speak on #trauma + #structuralviolence. Free but must sign up.  Check it out! @MassGeneralNews https://globalhealth.harvard.edu/openday ,9,0,5,True,"#GlobalMentalHealth,#trauma,#structuralviolence"
drlouiseivers,2018-04-05,11:19:59,@ACPinternists A major oversight dampens enthusiasm for guidelines on short-term medical volunteerism. @acpinternists seemingly forgot to include the communities they are talking about in generating the position paper.  http://annals.org/aim/fullarticle/2676739/ethical-obligations-regarding-short-term-global-health-clinical-experiences-american … https://twitter.com/nprgoatsandsoda/status/981887324492623873 …,13,0,8,True,
MGHGlobalPsych,2018-04-02,09:14:40,@MGHGlobalPsych faculty @drdrtsai theory on epidemics of epidemics #syndemics https://www.sciencedirect.com/science/article/pii/S0277953618301588 …,5,0,2,True,#syndemics
BensonHenry,2018-03-29,08:54:45,"Great strategies from experts in the field - including BHI Director Greg Fricchione, MD - on how to be happy. #happiness http://ow.ly/BpFc30jdFgF ",6,0,5,True,#happiness
PIH,2018-03-28,14:38:40,@realDonaldTrump President @realdonaldtrump’s announcement yesterday evening that he will remove thousands of Liberians who have lived legally in the U.S. is shortsighted and cruel.,98,7,56,True,
MGHGlobalPsych,2018-03-20,13:20:32,"The Banyan Team of Chennai, India will present @ next Global Dinner @The_BMC Thu 3/29. Topic: Homelessness Among People with Severe Mental Illness in India. 6 PM. Email globallocalcenter@bmc.org to register. pic.twitter.com/PgX2azmGFf",0,0,0,True,
MassGeneralNews,2018-03-20,11:10:42,#MGH's @skathire discusses benefits of a US biobank for research w/ @nytimes http://nyti.ms/2ICxWyk ,9,0,5,True,#MGH
BensonHenry,2018-03-20,07:47:05,Enjoy your #InternationalDayOfHappiness #happy #happiness #joy pic.twitter.com/tHzCFyEe59,4,0,3,True,"#InternationalDayOfHappiness,#happy,#happiness,#joy"
MGHGlobalPsych,2018-03-14,10:10:03,"A decade of civil conflict and the outbreak of #Ebola have created a mental health crisis in #Liberia that has been intensified by misconceptions, s#tigma, and the resulting discrimination surrounding #mentalillness. @CarterCenter https://reliefweb.int/report/liberia/carter-center-map-international-and-liberia-ministry-health-team-combat-mental- …",3,0,1,True,"#Ebola,#Liberia,#tigma,#mentalillness"
TEDTalks,2018-03-09,09:53:00,Why climate change is a human rights issue:  http://t.ted.com/aWBV2VI  pic.twitter.com/08J8igWJcG,283,10,155,True,
MGHGlobalPsych,2018-03-01,13:11:00,"Applications now open for @@GlobalHealthMGH Service Award! These honor innovation dedication & commitment in #globalhealth. 3 awards (teaching/mentoring, research & humanitarian)- apps due 3/31. For more info:  http://www.globalhealthmgh.org ",1,0,0,True,#globalhealth
PIH,2018-03-01,09:00:32,"In the leadup to #IWD2018, join us in celebrating the extraordinary women around the world who lift up and empower others, in your own community and around the world. Share your #ThanksToHer story:  http://bit.ly/2CQQ5Ec  pic.twitter.com/SxEqrj42Og",14,0,14,True,"#IWD2018,#ThanksToHer"
MGHGlobalPsych,2018-02-22,13:58:22,Inaugural #GlobalMentalHealth Day @Harvard April 5-7. Our own Dr. Greg Fricchione will speak on #trauma + #structuralviolence. Free but must sign up.  Check it out! @MassGeneralNews https://globalhealth.harvard.edu/openday ,9,0,5,True,"#GlobalMentalHealth,#trauma,#structuralviolence"
MGHGlobalPsych,2018-02-16,08:45:28,"Lisa Fortuna, MD, MPH will present @ next Global Dinner @The_BMC Thu 2/22. Topic: Behavioral Health, Resilience + Recovery in Puerto Rico after Hurricane Maria.  6 PM.  Email globallocalcenter@bmc.org to register.  Info  http://ow.ly/TKQX30irFla  pic.twitter.com/toqrCqa53e",5,0,1,True,
PIH,2018-02-16,08:30:27,U.S. funding has been critical in reducing the spread of HIV/AIDS around the world. President Donald Trump's proposed budget would reverse decades of that progress. Speak out against these dangerous cuts:  http://bit.ly/2ssAlHC ,6,0,11,True,
MGHGlobalPsych,2018-02-07,08:30:09,"There are only 350 MDs in Liberia @WHO - we've been working to train psychiatrists, psychologist & social workers but the need is great.  We look forward to supporting Dr. Francis Kateh & Vaifee Tulay in their mission. http://ow.ly/VFpb30ifZiO ",3,0,1,True,
AminaJMohammed,2018-02-05,22:37:48,"Together we can shine the Spotlight & #EndFGM so that all girls are protected & empowered. #SDG5. Watch how a midwife, a community organizer, an imam, & a judge are playing their part in West #Africa:  https://youtu.be/wVe_ulE9l3Y  pic.twitter.com/mmbFPQcrmg",397,8,265,True,"#EndFGM,#SDG5,#Africa"
NIH,2018-02-06,10:09:03,Research Matters: High-salt diet affects the brains of mice  http://dlvr.it/QFGN8p  #NIH #ResearchMatters,21,0,10,True,"#NIH,#ResearchMatters"
unfoundation,2018-02-05,23:03:00,Access to electricity is a powerful solution that can improve the quality of health care services for mothers and their families.  Learn how off-grid solar power systems are making a difference in #Uganda and #Ghana:  http://bit.ly/2BcfFGL  pic.twitter.com/Z40Ws5VWKb,26,0,19,True,"#Uganda,#Ghana"
actionhappiness,2018-02-01,06:54:26,"In terms of what contributes to a happy, fulfilling and successful life, children's emotional health matters far more than their academic attainment https://twitter.com/BBCBreakfast/status/958954813273894912 …",250,7,156,True,
bijayacharya,2018-01-31,09:57:00,"@anmf_US will provide $30,000 to establish a #Psychiatric Care & #Rehabilitation Centre in #Nepal by @HFNepal that will provide services for patients with severe mental illness. #globalmentalhealth #MentalHealthMatters @MGHGlobalPsych @NIMHgov @mentalhealth @HeartMindInt",2,0,2,True,"#Psychiatric,#Rehabilitation,#Nepal,#globalmentalhealth,#MentalHealthMatters"
MGHGlobalPsych,2018-01-26,09:12:07, http://ow.ly/G5xP30i11pP ,3,0,1,True,
