username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MGHHeartHealth,2018-07-18,09:00:45,Marking a milestone: #MGH physicians are first in New England to perform minimally-invasive transcatheter mitral valve replacement. Read more:  https://www.massgeneral.org/about/newsarticle.aspx?id=6837 … pic.twitter.com/O20B8gVGVZ,74,3,21,True,#MGH
MGHHeartHealth,2018-07-17,10:20:51,"Anxiety, depression tied to adverse outcomes in patients with heart failure  http://bit.ly/2utsMit ",6,0,1,True,
MGHHeartHealth,2018-07-16,13:05:42,FDA announces voluntary recall of several medicines containing valsartan following detection of an impurity:  https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm613532.htm …,1,0,1,True,
mdmajmudar,2018-07-16,07:00:22,So proud of our inaugural Healthcare Innovation Fellows: a user centered design thinking approach to training #clinician-innovators  https://www.nature.com/articles/s41746-018-0034-4.epdf … @mgh_htl @HeartBobH @EricTopol @MGHMedicine @NancyatHeart @DrJRums @landmaad @SteveSteinhubl @leftbundle @sacjai @mithackmed pic.twitter.com/ZijXc4HIfJ,30,3,7,True,#clinician
MGHHeartHealth,2018-07-13,10:01:18,#MGH's @JagSinghMD giving the keynote address and the Hideo Ueda Memorial lecture on ‘Managing Malignant Arrhythmias: insights from Clinical Science’ at the Japanese Heart Rhythm society yesterday. pic.twitter.com/fGB4apQCT7,24,0,7,True,#MGH
MGHHeartHealth,2018-07-11,13:50:31,"Another one from the archives: Cardiometabolic risk in young patients. We continue our look back at the '17-'18 #MGH Cardiology Grand Rounds season this week with this one from Ravi Shah, MD:  https://bit.ly/2mbzx4g . Plus, a bonus interview with @aklfahed: https://bit.ly/2udqxjn . pic.twitter.com/puZyUcFTJD",5,0,1,True,#MGH
DAICeditor,2018-07-10,09:20:47,"VIDEO: Should Student Athletes be Screened for Sudden Cardiac Arrest? https://www.dicardiology.com/videos/video-should-student-athletes-be-screened-sudden-cardiac-arrest …@drmalissawood M.D., co-director of the Corrigan Women’s Heart Health Program, Mass General, explains who should be screened for #SCA. #Cardiology @youcansavealife #cardiacArrest pic.twitter.com/Q8bNZAq0f1",15,0,11,True,"#SCA,#Cardiology,#cardiacArrest"
MassGeneralNews,2018-07-10,10:26:00,Great #medicine is based on great #science but there is still a gap between research + better patient care. How can you help? https://mgh.to/2MHDMk6 ,13,1,4,True,"#medicine,#science"
MGHHeartHealth,2018-07-10,10:15:57,"Exciting work, indeed! https://twitter.com/FredWuMD/status/1016701999742582785 …",1,0,0,True,
MGHHeartHealth,2018-07-09,11:03:26,"A is for #Afib. B is for the burden it poses to patients. C is for the Cardiac Arrhythmia Service at #MGH, with its advances in identifying and treating #Afib - before it leads to clots, stroke, or other complications. Learn more from our @steven_lubitz: https://youtu.be/keUBo9Jt26I ",13,0,7,True,"#Afib,#MGH,#Afib"
pnatarajanmd,2018-07-04,05:21:26,"Delighted to share our paper analyzing deep-coverage whole genome sequences with lipoprotein(a), a highly heritable causal CVD biomarker, from @nih_nhlbi TOPMed  http://em.rdcu.be/wf/click?upn=lMZy1lernSJ7apc5DgYM8SszcZ6hy84xFteEUmPUBYo-3D_7PGu-2BrXbsqw-2BR73AhRPvMGMok5pkxMLojpXHypHXJ8DWwK9QgBHSBGrfxe8L4ZSzqY7MSD0j3UjpcKGquaclH-2BYFK2-2F8G9y2JDwNpY71PZUQtAofi-2B0jmCKBr2QfOGgwTTOm6Ltef4kOOK62KsRaV1kEc4oknyroJAc17S6XMH8TFQwTVn-2F7MSZ-2Bzet8lY-2B-2FwCn8dxLZ8Y-2FjjV9Pt-2FHb-2BaXoV4v-2FGFBWUbrdWeuhPSgQO3piCsL2nHrjzFRNPOwpCmCrmKp35U9l2k0y7fykkA-3D-3D … (free) @NatureComms (1/n) pic.twitter.com/gtDNQeegm0",88,5,44,True,
