username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MGHImaging,2018-07-17,08:29:27,Comparative Analysis of Utilization of Epidural Procedures in Managing Chronic Pain in the Medicare Population: Pre and Post Affordable Care Act @SpineWebJournal @JoshuaAHirsch  http://ow.ly/cXAD30kZrTQ ,7,0,5,True,
JimBrinkMD,2018-07-16,09:59:21,"Congratulations to Dr. Udo Hoffmann, recipient of the #SCCT2018 gold medal award. Very well deserved! @Heart_SCCT  http://ow.ly/B2r130kYoso ",22,0,4,True,#SCCT2018
MGHImaging,2018-07-13,12:55:16,Thrombolysis in patients with WAKE-UP or unknown time of stroke onset: ready for prime time? @JoshuaAHirsch @JNIS_BMJ http://ow.ly/mGAC30kUj7s ,3,0,1,True,
MGHImaging,2018-07-12,09:25:13,Register now for 2nd Annual #Abdominal Imaging Course on 9/15-9/16/2018 in Boston!  http://ow.ly/Sdw330kS688  pic.twitter.com/aQlLOW9QJP,1,0,1,True,#Abdominal
MGHImaging,2018-07-11,12:41:21,MRI texture analysis as a predictor of tumor recurrence or progression in patients with clinically non-functioning pituitary adenomas  http://ow.ly/eY8G30kUiSY ,3,0,3,True,
MGHImaging,2018-07-09,22:25:06,Sex differences in body composition and association with cardiometabolic risk #MGH @BiologySexDiff http://ow.ly/Ey7t30kP0zL ,4,0,4,True,#MGH
MGHImaging,2018-07-06,20:20:06,CT texture analysis of histologically proven benign and malignant lung lesion #MGH @MedicineLWW  http://ow.ly/A7AN30kP0qK ,4,0,2,True,#MGH
alvarezcarmen4,2018-07-05,08:07:13,@JimBrinkMD Chief of @MGHImaging welcomes our new class of trainees. Welcome all! @mghradchiefs pic.twitter.com/7w9KnuWS6n,9,1,1,True,
MGHImaging,2018-07-05,06:57:52,"@nibib Improving the Quality of Medical Imaging with #AI: New system provides faster, clearer scans @NIBIB gov @MGHMartinos  http://ow.ly/YTEt30kOmZ6 ",9,0,2,True,#AI
MGHImaging,2018-07-03,09:20:25,"In the July issue of Radiology Rounds, we look at the state of the art in treating lung metastases with image-guided ablation.  http://bit.ly/2tRpzch  #MGH pic.twitter.com/qDWTt6HDvh",11,0,3,True,#MGH
MGHImaging,2018-06-29,09:57:51,8 key clinical applications of machine learning in radiology @GarryChoy http://ow.ly/llTh30kJ8iG ,6,0,3,True,
MGHImaging,2018-06-25,11:00:12,Aortic Arch Width and Cardiovascular Disease in Men and Women in the Community http://ow.ly/lNWq30kECnH ,1,0,0,True,
MGHImaging,2018-06-19,08:21:32,"Let’s –ectomize thrombectomy, shall we? @JoshuaAHirsch http://ow.ly/SppO30kz374 ",6,0,2,True,
EJFloresMD,2018-06-12,19:10:10,"Thanks to @RadiologyACR & @MGHImaging for highlighting rads #teamwork to provide medical supplies to many #boricuas affected by #HurricaneMaria. Credit goes to many docs @medupr @CentroMdicoPR @zequej, Dr. E Gonzalez @MassGeneralMDs who made this possible. #PuertoRicoselevanta https://twitter.com/mghimaging/status/1006589585730822144 …",22,0,6,True,"#teamwork,#boricuas,#HurricaneMaria,#PuertoRicoselevanta"
MGHImaging,2018-06-12,12:30:33,Radiologists to the Rescue: ACR members join forces to lead relief efforts for post-hurricane Puerto Rico @EJFloresMD  http://ow.ly/k2Wh30krJLd ,10,0,5,True,
MGHImaging,2018-06-11,10:50:45,"Utilizing a Sedation Decision Aid in Ambulatory Venous Access Device Placement: Effects on Patient Choice, Workup, and Recovery Time @robsheridanavir  http://ow.ly/LKpC30krCDs ",4,0,2,True,
MGHImaging,2018-06-05,21:40:04,AHA/ASA 2018 AIS guidelines: impact and opportunity for endovascular stroke care @JNIS_BMJ @JoshuaAHirsch http://ow.ly/LCYR30kkPKi ,2,0,0,True,
