username,date,time,tweet,likes,replies,retweets,retweet,hashtags
rbwestrick,2018-07-18,17:47:23,This amazing group of @MGHInstitute @IHPDPT students just finished their final session of their last full course at the #MGHInstitute . . . it was an honor to be a small part of their #DPT journey! pic.twitter.com/61qZwDgZgg,5,2,3,True,"#MGHInstitute,#DPT"
mghfc,2018-07-18,08:37:12,"@mghfc Patrick Downes, Jessica Kensky and @rescueboston made a special visit to @MGHfC patients yesterday. The couple shared their experience as amputees with one little girl who recently lost her leg to cancer -  https://bit.ly/2Jx7iGp  via @NBC10Boston's @SusanNBCBoston pic.twitter.com/vciGtTvCkm",11,1,4,True,
Const_Wharf,2018-07-18,14:46:39,Bring your mat to #FREE Old Ironsides #yoga with @yogaaroundtown! Tomorrow's class is at 7pm so register here:  https://www.eventbrite.com/e/old-ironsides-yoga-registration-47199261261 … 🧘‍♀️🧘‍♂️#fitness #wellness @bostonNHP @BostonHarborNow pic.twitter.com/wQR44s33GQ,3,0,1,True,"#FREE,#yoga,#fitness,#wellness"
rbwestrick,2018-07-18,05:28:16,"Take a listen to the most recent @PTPintcast episode, recorded live for my @MGHInstitute @IHPDPT Health Policy & Practice Management class . . . a themed episode about interprofessional collaboration! #MGHInstitute #DPTstudent @OTemily3 @RebeccaInzana http://www.ptpintcast.com/2018/07/17/316-mgh-institute-health-professions-part-1/ …",9,0,2,True,"#MGHInstitute,#DPTstudent"
MGHInstitute,2018-07-16,11:33:49,"The survey results are in and the IHP makes the grade again, by being named for the ninth consecutive year as a “Great College to Work For” by The Chronicle of Higher Education.  http://bit.ly/2NWiKP5 ",8,0,2,True,
Janebptncs,2018-07-14,08:08:46,"The room is packed waiting for ""Beyond opioids: How PT can transform pain management to improve health.""  #chhosePT @Aptaofma @MGHInstitute So excited to learn this important information that affects so many of our patients and clients.",8,0,3,True,#chhosePT
IHPCPD,2018-07-12,08:19:18,Join us on August 16-17 to apply the science of language development to enhance YOUR literacy teaching. Workshop led by @MGHInstitute's @Joanna22c and @tiffanyphogan Learn more and register:  http://info.mghihp.edu/closetheliteracygap … pic.twitter.com/FPcHn4BtTl,15,1,8,True,
MGHInstitute,2018-07-12,14:45:28,"Founded by Donna C. Maheady, ARNP, EDD, @ExceptNurse is an organization that is a resource network for nurses and nursing students with disabilities. #NursesWithDisabilities #DocsWithDisabilities @umfamilymed @uticacollege pic.twitter.com/VgcDy8mnNG",5,0,2,True,"#NursesWithDisabilities,#DocsWithDisabilities"
rbwestrick,2018-07-10,12:29:25,Grateful to have APTA CEO @policy4pt in #Boston to visit with my @MGHInstitute @IHPDPT course today!  @Aptaofma @APTAtweets pic.twitter.com/hEdh6GeV0d,11,0,4,True,#Boston
IHPCPD,2018-07-10,16:12:46,"Shannon Scott-Vernaglia of @MassGeneralNews & Susan Farrell of @MGHInstitute leads an interprofessional group of PTs, PAs, SLPs, MDs, Nurses, & more through a discussion about the challenges of assessing learner competency to determine supervision & autonomy balance. #IHPCPD pic.twitter.com/AWu12Kn3yy – at Massachusetts General Hospital",10,0,6,True,#IHPCPD
BostonWellness_,2018-07-08,10:19:00,"Spend your summer doing yoga on Old Ironsides, and other free fitness events along the harbor  http://bit.ly/2KNgEPx  pic.twitter.com/JjEsY5vtFs",6,0,2,True,
MGHInstitute,2018-07-07,15:00:00,"The Nursing Center for Clinical Education & Wellness, is a nurse-led screening, referral, education & support resource for #Charlestown & Greater #Boston residents. Free support services are provided by students under the supervision of licensed faculty.  http://bit.ly/2HyiumN ",5,0,3,True,"#Charlestown,#Boston"
lmsbaron,2018-07-06,16:29:08,Proud to share my very 1st pub! Findings show children with #dyslexia benefit from the presence of written words during spoken word learning despite having difficulties with decoding. http://JSLHR.pubs.asha.org/article.aspx?doi=10.1044/2018_JSLHR-L-17-0336 …,69,6,21,True,#dyslexia
kaitlynburnett_,2018-07-05,16:47:03,Thank you for the opportunity to share my perspective! Looking forward to future service collaborations with my PT family. https://twitter.com/aptasa/status/1014917320639221760 …,17,0,5,True,
OTemily3,2018-07-05,16:24:15,@MGHInstitute @IHP_SOTA @LisaTConnor https://twitter.com/AOTAInc/status/1014983016551239680 …,5,0,2,True,
Janebptncs,2018-07-05,12:18:04,Spreading the word about alternatives to opioid use. #choosePT @repdonato @SenPatJehlen @MGHInstitute https://twitter.com/aptaofma/status/1014501628035125249 …,3,0,1,True,#choosePT
MGHInstitute,2018-07-04,09:00:20,Happy 4th of July from the IHP! pic.twitter.com/shE3XkP52S,9,0,2,True,
rbwestrick,2018-07-03,17:38:30,Thanks @DrBenFung @updocmedia for taking time to chat with our @IHPDPT @MGHInstitute students today!  I liked the @jasonsilvernail quote! pic.twitter.com/JuRMVO8TWV,6,1,4,True,
