username,date,time,tweet,likes,replies,retweets,retweet,hashtags
AJKDonline,2018-06-08,11:05:06,"Eugene P. Rhee provides an overview of omics technologies: genomics (DNA), transcriptomics (RNA), proteomics (proteins), and metabolomics (metabolites) @MGHKidneys  https://buff.ly/2Jj18hy  pic.twitter.com/EJfdRil4MF",7,0,4,True,
KSusztak,2018-06-08,08:29:39,@PennKidney research day2 another @Pennalumni @MGHKidneys Eugene Rhee presenting cool metabolomics Caution kidney function has a major effect on blood metabolite levels pic.twitter.com/5lXmK93VrD,5,0,2,True,
AmakaEMD,2018-05-14,17:24:49,.Quoted here along with Dr. Joe Bonventre from @BWHKidney re: thoughts about The First Lady and her embolization procedure. @MGHKidneys @MassGeneralNews https://twitter.com/BostonGlobe/status/996151413645430785 …,7,0,2,True,
sagarnigs,2018-05-14,20:18:07,Spring lab celebration and Xavier farewell Thank you @xaviervel for all your contributions to lab@MGHKidneys pic.twitter.com/6NRg1btfOr,12,1,2,True,
sagarnigs,2018-05-02,17:26:48,"Honored and humbled to lead this article in NEJM. We remain far from cures/preventions for calciphylaxis but progress can be accelerated by an effective partnership among academia, patients, clinicians, and industry.  https://www.nejm.org/doi/full/10.1056/NEJMra1505292 … @MGHKidneys @MGHMedicine @MGH_RI",98,11,28,True,
sagarnigs,2018-05-01,14:07:52,"Looking forward to Apex-MGH 2018 this week in Mumbai, India... https://apexkidneyfoundation.org/apexmgh/brochure/apex2018.pdf …@MGHKidneys @MGHMedicine https://twitter.com/rajkbasudeo/status/991283681556881409 …",5,0,3,True,
KSusztak,2018-04-30,20:52:15,"Congrats to @ASNKidney 2018 awardees!  @meg21212 for the ASN YIA , @NancyDayAdams Narins awardee,  Amin Anaout of @MGHKidneys for the Homer Smith. Well deserved !!! pic.twitter.com/MpOQdgAPTR",24,2,11,True,
MGHKidneys,2018-04-30,18:20:59,Dr. Babitt is a inspiration to many of us in the Nephrology Division and beyond. We are #extra proud!  @MGHMedicine @MassGeneralNews https://twitter.com/MassGeneralMDs/status/990984327398862852 …,9,0,3,True,#extra
MGHKidneys,2018-04-11,20:15:34,Congrats Yaa!! We are so proud of you! https://twitter.com/NKFCLINICALS/status/984236563931566080 …,11,0,4,True,
MGHKidneys,2018-04-03,09:03:57,Congratulations to Dr. Ebony Boulware for receiving our 3rd Annual Diversity in Nephrology Award! @Duke_GIM @dukemedicine pic.twitter.com/dyBEjCQOKI,55,1,13,True,
NEJMCPC,2018-03-31,06:17:39,"Case 32-2017:  64M new asthma, headaches, sinusitis, myalgia, #eosinophilia. @PalamaraMcgrath @MGH_MSUS Dr. Cortazar @MGHKidneys identify & treat #EGPATeaching points:  40% #EGPA pts #ANCA (+); those pts more likely #glomerulonephritis, pulm hemorrhage http://www.nejm.org/doi/full/10.1056/NEJMcpc1703513 …",4,0,4,True,"#eosinophilia,#EGPATeaching,#EGPA,#ANCA,#glomerulonephritis"
MGHKidneys,2018-03-27,17:13:20,Kudos to @eheher for speerheading and editing this guide.,4,0,0,True,
MGHKidneys,2018-03-27,17:10:55,Super Excited to announce the release of the MGH Nephrology Guide @unboundmedicine available on Apple and Android! Check it Out!  https://www.unboundmedicine.com/products/nephrology_guide_MGH … pic.twitter.com/SXleQLX60f,16,1,9,True,
AmakaEMD,2018-03-27,09:07:16,#NationalKidneyMonth #Knowledgeispower #Loveyourkidneys @MGHKidneys @MGHMedicine https://twitter.com/MassGeneralNews/status/978633044109266944 …,10,0,2,True,"#NationalKidneyMonth,#Knowledgeispower,#Loveyourkidneys"
AmakaEMD,2018-03-24,21:18:05,"At the @nkf Honors ceremony with friend, colleague and fellow board member @kassem_safa! #Nephfriends @MGHKidneys pic.twitter.com/wWCnswswTo – at Downtown Harvard Club of Boston",22,1,5,True,#Nephfriends
kassem_safa,2018-03-24,21:08:16,Amazing story from a #LivingDonor at the @nkf gala. Inspiring. Congrats to the awardees including our own Dr Julie Infelfinger and Linda Walsh #DonateLife #RecycleLife @MGHKidneys @mghfc,5,0,2,True,"#LivingDonor,#DonateLife,#RecycleLife"
MGHKidneys,2018-03-20,07:46:52,Check out senior fellow @jessicatangren study on #metabolic and #hypertensive complications of #pregnancy among women with #nephrolithisis @CJASN @KidneyFund  http://bit.ly/2pq3TBS ,4,0,0,True,"#metabolic,#hypertensive,#pregnancy,#nephrolithisis"
AmakaEMD,2018-03-08,08:59:43,Excellent #WorldKidneyDay Medical Grand Rounds by @Neil_R_Powe from @UCSFHospitals on #immigrant health in #nephrology! #Stayingwokeinnephrology pic.twitter.com/jEOcwOyQ8c,18,0,5,True,"#WorldKidneyDay,#immigrant,#nephrology,#Stayingwokeinnephrology"
