username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MGHHeartHealth,2018-07-18,09:00:45,Marking a milestone: #MGH physicians are first in New England to perform minimally-invasive transcatheter mitral valve replacement. Read more:  https://www.massgeneral.org/about/newsarticle.aspx?id=6837 … pic.twitter.com/O20B8gVGVZ,74,3,21,True,#MGH
MGHMedicine,2018-07-16,10:04:42,Check out this amazing story by #MGH internist @AObandoMD for @WBUR on the important care @BHCHP provides. https://wbur.fm/2uxAGYv ,18,0,7,True,#MGH
NinoNJ,2018-07-15,09:08:02,11 rows behind the #cro bench. We’re stoked for Croatia. Grateful to ⁦@DrDanRestrepo⁩ and all the ⁦@MGHMedicine⁩ Chief Residents for getting me here. #vatreni #cro #WorldCupFinal pic.twitter.com/QXpd8agY3A,62,4,2,True,"#cro,#vatreni,#cro,#WorldCupFinal"
MGHMedicine,2018-07-13,13:56:30,"With summer upon us, stay cool and hydrated with fruit-infused water recipes provide by @MGHCancerCenter nutrition services team! #MGH #fluids #summerishere #staycool  http://bit.ly/2yRrAKw ",1,1,0,True,"#MGH,#fluids,#summerishere,#staycool"
MGHMedicine,2018-07-11,12:24:23,".@PartnersNews CEO David Torchiana will present at @MGHMedicine grand rounds on Thursday, 7/12, and give an update on the work going at at Partners. #MGH O'Keeffe Auditorium, Blake 1 from 8-9 am #grandrounds #MedEd #healthcare",6,0,4,True,"#MGH,#grandrounds,#MedEd,#healthcare"
MGHMedicine,2018-07-11,08:00:27,Calling all artists in @MGHMedicine! The newly launched Center for Physician Well-being is holding a graphics contest to help drive the center's mission. Open to #MGH Dept. of Med employees only.  https://bit.ly/2NID6vh  @PalamaraMcgrath #physician #Wellbeing,3,0,2,True,"#MGH,#physician,#Wellbeing"
MGHMedicine,2018-07-10,09:04:25,"6 million Americans suffer from congestive #heartfailure. Patrick Ellinor, head of the #MGH cardiac arrhythmia service, is leading the fight as scientific director of a new laboratory run by @Bayer and @broadinstitute. Learn more in the @BostonGlobe. https://bit.ly/2KKtLoK ",5,0,6,True,"#heartfailure,#MGH"
MGHMedicine,2018-07-09,07:55:43,ICYMI: A unique @harvardmed elective has students working with a patient population they don't usually interact with. @nytimes #MedEd #medicalschool #vetrinary #animalcare https://nyti.ms/2z61gfO ,1,0,0,True,"#MedEd,#medicalschool,#vetrinary,#animalcare"
MGHMedicine,2018-07-03,13:37:30,"We are thrilled to announce that Stephen Bartels will join the #MGH and @MGHMedicine community as director of the Mongan Institute. Welcome, Steve! #MonganInstitute #reasearch #healthpolicy @DartmouthHitch @DartmouthInst  https://bit.ly/2u67Tcu ",1,0,1,True,"#MGH,#MonganInstitute,#reasearch,#healthpolicy"
MGHMedicine,2018-07-03,11:02:21,.#MGH Department of Medicine interns tried their hands at placing an arterial line and other simulated procedures during a training session at orientation. #residency #MedEd pic.twitter.com/Rle171wDmb,12,0,3,True,"#MGH,#residency,#MedEd"
