username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MGHSurgery,2018-06-25,09:57:32,Congrats to our Junior Faculty Mentoring Program on winning the Program Award for Culture of Excellence in Mentoring from HMS! pic.twitter.com/UZjW5z9E9O,31,2,4,True,
MGHSurgery,2018-06-22,11:07:19,"#EtherDome #Challenge #GrandPrize Winner Dr. Genevieve Boland with her submission to improve the readability, understandability, and actionability of perioperative patient education materials on the #MGH website @gmboland",38,3,4,True,"#EtherDome,#Challenge,#GrandPrize,#MGH"
MGHSurgery,2018-06-14,07:52:27,Check out #Charged! Podcasts spotlighting the passion and talent of health care’s leading women. Every episode uncovers stories of their relentless daily pursuit to break boundaries and provide exceptional care! Featuring our own Dr. Denise Gee!  https://bit.ly/2JJjt3z ,5,0,1,True,#Charged
MGHSurgery,2018-06-06,09:40:19,#GrandRounds this week! #Surgery #Residents #Research pic.twitter.com/4Z5qoQtP0a,7,0,1,True,"#GrandRounds,#Surgery,#Residents,#Research"
MGHSurgery,2018-05-30,08:51:14,#GrandRounds this week! #Surgery #Residents #Research pic.twitter.com/scEyCCsqTZ,6,0,0,True,"#GrandRounds,#Surgery,#Residents,#Research"
MGHSurgery,2018-05-22,11:19:46,Thursday #GrandRounds Dr. Elan Witkowski #Hernia #Mesh pic.twitter.com/NdTlNNz3OA,4,0,2,True,"#GrandRounds,#Hernia,#Mesh"
MGHSurgery,2018-05-16,14:27:20,Tomorrow #GrandRounds @gmdoherty @BWHSurgery #Surgery pic.twitter.com/iHQG37YdmF,25,0,6,True,"#GrandRounds,#Surgery"
MGHSurgery,2018-05-02,09:39:01,"Congratulations to Dr. Keith Lillemoe on his selection as 2018 Joseph B. Martin Dean's Leadership Award for the Advancement of Women Faculty.  This award recognizes Harvard faculty & staff members committed to the recruitment, retention, and advancement of women at HMS and HSDM",100,2,23,True,
MGHSurgery,2018-05-02,09:31:24,Congratulations to Dr. Paul Russel on his selection as a 2018 Barbara J. McNeil Faculty Awardee for Exceptional Institutional Service to HMS/HSDM https://mfdp.med.harvard.edu/awards/exceptional_institutional_service_awards …,2,0,0,True,
MGHSurgery,2018-04-24,08:29:36,Did you see #MGH Resident Dan Hashimoto talk at the World Medical Innovation Forum?  https://youtu.be/4-fXVHrgX54  @Laparoscopes,13,1,5,True,#MGH
MGHSurgery,2018-03-16,08:37:57,Registration is open for Advances in #SurgicalOncology2018!  http://bit.ly/2o9pzAJ  @KennethTanabeMD @gmboland @lubitz_carrie @motazqadan @masstransitalex http://cmeregistration.hms.harvard.edu/events/advances-in-surgical-oncology-2018/event-summary-56c6006d2bbd41d889df37ea3b7b3d1c.aspx?fqp=true …,8,0,5,True,#SurgicalOncology2018
MGHSurgery,2018-04-10,07:47:02,"Grand Rounds - Dr Jeff Drebin, Chair Department of #Surgery @sloan_ketteringTranslational #Cancer Research – A Surgeon’s Role",7,0,3,True,"#Surgery,#Cancer"
MGHSurgery,2018-04-09,11:34:38,"Congratulations to Shannon Tessier, PhD, and Arunava Bandyopadhaya, PhD! The recipients of the 2018 HMS Eleanor and Miles Shore Fellowship sponsored by the Department of Surgery",8,0,2,True,
MGHSurgery,2018-04-03,11:17:12,#GrandRounds  Dr. Nipun Merchant - The #Future of #Cancer Care@SylvesterCancer @UMiamiHealth #surgicaloncology,1,0,0,True,"#GrandRounds,#Future,#Cancer,#surgicaloncology"
MGHSurgery,2018-03-29,12:48:52,"We are so proud of our residents, faculty, staff and alums for helping make us the #1 General #Surgery #Residency Program in the country! @doximity #first #MGH",54,2,10,True,"#1,#Surgery,#Residency,#first,#MGH"
MGHSurgery,2018-03-28,09:39:40,Grand Rounds - Dr Arminder Jassar - Advanced Surgical Fellowship: Is there value beyond repetitive pronation and supination? My path to #MGH#CardiacSurgery,7,0,1,True,"#MGH,#CardiacSurgery"
motazqadan,2018-03-22,13:33:35,"@MGHSurgery @KennethTanabeMD #sso2018 award recipient Derek Erstad, MD pic.twitter.com/bHTZXlqu4V",11,0,1,True,#sso2018
MGHSurgery,2018-03-22,14:00:02,"#MGH #Resident @CorneliaLG Long hours, short leaves force moms to reconsider jobs as surgeons  https://bit.ly/2FZpjfl  @BostonGlobe",14,2,6,True,"#MGH,#Resident"
MGHSurgery,2018-03-22,13:56:32,Research by our own @D__Irimia A test for an easily overlooked killer https://www.nature.com/articles/d41586-018-03668-6 …,2,0,1,True,
JAMASurgery,2018-03-21,20:00:06,"#Mountainclimbing, #motherhood, and surgical practice. Read this commentary  http://ja.ma/2GcCZHi  pic.twitter.com/Syai7Cl6Jl",6,0,5,True,"#Mountainclimbing,#motherhood"
MGHSurgery,2018-03-21,09:12:22,This is a MUCH better picture of our 2018-2019 #Interns!  So Happy to have all of you join us! #surgmatch pic.twitter.com/Rr1cSrRvuG,30,2,3,True,"#Interns,#surgmatch"
AcademicSurgery,2018-03-16,21:11:10,Who REALLY has the best holiday party in Boston? @MGHSurgery @BrighamWomens,10,1,5,True,
