username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MGHNeurology,2018-07-18,14:18:59,Congratulations to our own Dr. Chung! https://twitter.com/TAAF/status/1019285383182290944 …,6,0,3,True,
MGH_RI,2018-07-18,12:10:14,New research from #MGH's Joshua Kaplan published in @eLife investigates how organisms detect and avoid harmful #bacteria https://elifesciences.org/articles/36833 ,0,0,0,True,"#MGH,#bacteria"
harvardmed,2018-07-18,10:05:10,New study reveals that amyloid beta protein protects the brain from herpes infection by binding to and entrapping viral particles http://hvrd.me/KnFs30kTmY6 ,43,0,25,True,
MGH_RI,2018-07-18,09:13:20,"We love everything about this tweet! Crossfunctional teams of scientists working together to assess the latest research, plus an opportunity for high school students to gain firsthand experience in a research setting. Thanks @skathire and team! https://twitter.com/skathire/status/1019576086894608384 …",14,0,2,True,
MGHHeartHealth,2018-07-18,09:00:45,Marking a milestone: #MGH physicians are first in New England to perform minimally-invasive transcatheter mitral valve replacement. Read more:  https://www.massgeneral.org/about/newsarticle.aspx?id=6837 … pic.twitter.com/O20B8gVGVZ,74,3,21,True,#MGH
MGH_RI,2018-07-17,10:45:06,The #MGH Claflin Distinguished Scholars Awards provide financial support to female faculty to help them maintain research productivity during child-rearing years. Hear reaction from this year’s recipients:  http://bit.ly/2KZfxAB  #womeninscience pic.twitter.com/VDqsBorwk4,6,0,0,True,"#MGH,#womeninscience"
MostoslavskyLab,2018-07-17,09:51:49,And congratulations on the @broadinstitute ISF award! What a great week :) pic.twitter.com/aK9qvtulna,4,0,1,True,
MostoslavskyLab,2018-07-17,09:52:32,Congratulations Raul on the well deserved @MGH_GSD PI Mentoring award! 🎉 pic.twitter.com/Eky4G38DSS,10,0,2,True,
AllofUsNE,2018-07-17,09:33:33,You can sign up for @AllofUsResearch at #MGH Revere HealthCare Center! Our team is there to answer your questions about how you can help speed up health research breakthroughs -- & stop by the @AllofUsNE table July 20-22 @RevereBeach1896 #JoinAllofUs  http://www.joinallofus.org ,8,0,5,True,"#MGH,#JoinAllofUs"
MGH_RI,2018-07-16,13:52:26,"Edward F. Pace-Schott, an investigator in the Sleep and Anxiety Disorders Laboratory at #MGH, is studying how quality of #sleep impacts our feelings of #anxiety and #fear. pic.twitter.com/TiN5q0Iuum",0,0,0,True,"#MGH,#sleep,#anxiety,#fear"
MGHDownSyndrome,2018-07-16,13:07:36,"Research study on tongue pacemaker system to improve sleep apnea in children with #Downsyndrome, ages 10-21. More details at  http://www.massgeneral.org/downsyndromeresearch …",1,0,1,True,#Downsyndrome
MGHCancerCenter,2018-07-16,12:15:25,"Congrats to #MGH's @BryanDChoi, who was awarded the 2018 @sitcancer-@AstraZeneca Postdoctoral Cancer #Immunotherapy in Combination Therapies Clinical Fellowship Award!  http://bit.ly/2mjjO34  pic.twitter.com/NYV6meEf5O",18,0,4,True,"#MGH,#Immunotherapy"
MassGeneralNews,2018-07-16,11:18:42,"#ALS research and where we are now: ""Despite viral success of Ice Bucket Challenge, much work left to do"" http://www.bostonherald.com/news/local_coverage/2018/07/despite_viral_success_of_ice_bucket_challenge_much_work_left_to_do#.W0zFLQ7MZP8.twitter …",3,0,3,True,#ALS
dgmacarthur,2018-07-16,10:43:01,Our paper just out in Nature Methods describes work led by @lh3lh3 to create a powerful new resource for validating variant-calling methods (thread):  https://www.nature.com/articles/s41592-018-0054-7.epdf?author_access_token=Dx2QKivDEkvswwWUJy5h0dRgN0jAjWel9jnR3ZoTv0Piny0X_8RjtB9zl5gHqNc_0m_Th8-X_roiQOsDJ4nU6Efwua2hRwes-IteFGhqVMhIXU1t_C1CZWZG5k8XMH65XRZZOcoziGXFh0QUciDDIg%3D%3D … pic.twitter.com/Ls09DfL95N,301,5,167,True,
MassGeneralMDs,2018-07-16,10:01:13,"For Your Patients-Migraine Genetics: New Data Explain the Genetics of Familial Migraine, study led by MGH/Broad Institute investigator Padhraig Gormley http://ow.ly/aB8N30kSLvU ",1,0,2,True,
JimBrinkMD,2018-07-16,09:59:21,"Congratulations to Dr. Udo Hoffmann, recipient of the #SCCT2018 gold medal award. Very well deserved! @Heart_SCCT  http://ow.ly/B2r130kYoso ",22,0,4,True,#SCCT2018
MGH_RI,2018-07-16,08:16:25,Recent #MGH research published in @MolPsychiatry finds new genetic insights related to macronutrient intake https://www.nature.com/articles/s41380-018-0079-4 …,1,0,1,True,#MGH
