username,date,time,tweet,likes,replies,retweets,retweet,hashtags
EMRES_MGHBWH,2018-03-16,13:47:40,"Welcome to the #HAEMRFamily, class of 2022 - we can't wait to have you join us in Boston! #FacesOfHAEMR #MatchDay2018 @MassGeneralEM @MassGeneralNews @MassGeneralMDs @BrighamWomens @harvardmed pic.twitter.com/tPzvlcq9yS",63,2,13,True,"#HAEMRFamily,#FacesOfHAEMR,#MatchDay2018"
AlisterFMartin,2018-03-07,07:47:33,Teamwork makes the dream work. Proud of the amazing work our team has done in such a short time to give folks struggling with addiction a shot at recovery. Emboldened for the journey ahead!#HAEMR#MGH#SocialEM#getwaivered http://www.wbur.org/commonhealth/2018/03/07/mgh-addiction-medication …,23,0,10,True,"#HAEMR,#MGH,#SocialEM,#getwaivered"
EMRES_MGHBWH,2018-03-07,07:45:48,"To our HAEMR residents, and all EM residents across the country, thank you for all that you do!  Your passion and dedication inspires us everyday.  #EMconf #wellness pic.twitter.com/WzQd2gT1NU",35,0,5,True,"#EMconf,#wellness"
AliRaja_MD,2018-03-07,07:17:08,"#MGH Becomes 1st Mass. ER To Offer Addiction Medication, Maps Seamless Path To Recovery@PharmERToxGuy @MassGeneralEM @DrSarahWakeman @AlisterFMartin @mbebinger @GetWaivered http://ow.ly/DIN430iNXs8 #Buprenorphine #BridgeClinic #OpioidCrisis #Addiction",37,0,16,True,"#MGH,#Buprenorphine,#BridgeClinic,#OpioidCrisis,#Addiction"
AliRaja_MD,2018-02-23,08:47:17,#GetWaivered @AlisterFMartin @MassGeneralEM http://www.massgeneral.org/News/newsarticle.aspx?id=6608#.WpAoiD3U9gE.twitter …#OpioidEpidemic,2,0,5,True,"#GetWaivered,#OpioidEpidemic"
MassGeneralEM,2018-02-23,08:09:33,Thanks for keeping the discussion going @cleebennett #speakoutaboutburnout https://twitter.com/cleebennett/status/966870603130195968 …,5,0,2,True,#speakoutaboutburnout
BrianYun_MD,2018-02-15,12:24:21,Our advice for worried parents with children who may have the flu. @MassGeneralEM @MassGeneralMDs @harvardmed @BostonChildrens @EMRES_MGHBWH via @BostonGlobe https://twitter.com/mlevenson/status/964189357262409728 …,3,0,3,True,
WMaciasK,2018-02-16,19:39:29,#GunViolence is an epidemic not beyond eradication. @MGHSurgery @TraumaMGH @MassGeneralEM @mghfc @MassGeneralNews @CDCInjury https://twitter.com/kbrigham78/status/964500009340362752 …,6,0,5,True,#GunViolence
boston25,2018-02-20,06:15:00,Questions about this year's flu season?@AliRaja_MD from Mass General Hospital joins us LIVE at 8:30 am on @boston25 Morning  News.@MassGeneralEM pic.twitter.com/EM5jpM4SMH,7,0,7,True,
AliRaja_MD,2018-02-20,06:15:02,Questions about this year's #FluEpidemic?I'll be answering your questions - LIVE - 8:30 am on @boston25 Morning News.@MassGeneralEM,1,0,4,True,#FluEpidemic
EMRES_MGHBWH,2018-01-19,13:06:38,Way to go @kimotakayesu!!!!!! https://twitter.com/MinervaMedSim/status/954221847914172416 …,12,0,1,True,
DerekMonetteMD,2018-01-11,15:59:54,"bradyarrhythmias, dig toxicity, & hyperK | rare slow day @MassGeneralEM —> ECG pearls with @davidfmbrown pic.twitter.com/Ll7744ThYP – at Massachusetts General Hospital",27,3,8,True,
AliRaja_MD,2018-01-05,09:32:16,"“I can't even count the number of patients I've seen with snowblower injuries over the past 15 years""Emergency Room Doctors Reveal the Worst Blizzard Injuries They've Ever Treated http://ow.ly/25DP30hBpZ5 @DrRobertGlatter @MassGeneralEM @lennoxhill @menshealth",6,0,3,True,
EMRES_MGHBWH,2017-12-29,07:30:14,#FacesOfHAEMR The most important and very best aspect of the HAEMR program is the people!  http://haemr.org/resident-life/  Happy New Year from all of us at HAEMR! pic.twitter.com/wPekLrsNeZ,27,1,7,True,#FacesOfHAEMR
DerekMonetteMD,2018-01-04,01:03:47,"twitter shout-out to @EClevelandMD for crushing 4 intubations in the same shift, including an awake, a code, & a pedi. i’m 100% convinced that there is nothing you can’t do! is #AirwayGrandSlam a thing? it is now. 🙌🏼",23,1,2,True,#AirwayGrandSlam
AliRaja_MD,2017-12-22,08:16:06,Reversal of Oral #Anticoagulants for Intracerebral #Hemorrhage Patients: Best Strategies.L Fuh et al @PharmERToxGuy @MassGeneralEM @harvardmed #MassGeneralPharmacy http://ow.ly/FrSC30hnFUK #ICH,5,0,2,True,"#Anticoagulants,#Hemorrhage,#MassGeneralPharmacy,#ICH"
AliRaja_MD,2017-12-21,14:52:15,Reversal of Oral #Anticoagulants for Intracerebral #Hemorrhage Patients: Best Strategies.L Fuh et al @MassGeneralEM @harvardmed #MassGeneralPharmacy http://ow.ly/FrSC30hnFUK #ICH,7,0,7,True,"#Anticoagulants,#Hemorrhage,#MassGeneralPharmacy,#ICH"
SlutzmanMD,2017-12-08,14:50:14,I'm proud to be a part of an emergency team @MassGeneralEM trying to make a dent in the opioid epidemic. https://twitter.com/DrSarahWakeman/status/939132139064393728 …,24,5,4,True,
AliRaja_MD,2017-12-13,16:07:53,One of the outstanding @EMRES_MGHBWH Residents leading the way on a big part of our answer to the opioid epidemic. https://twitter.com/massgeneralmds/status/941066344937684992 …,3,0,5,True,
EMRES_MGHBWH,2017-12-13,08:21:31,"#FacesOfHAEMR As a Level 1 Trauma Center, Level 1 Pediatric Trauma Center and Level 1 Burn Center, MGH ED cares for over 100,000 patients every year @MassGeneralNews @MassGeneralEM pic.twitter.com/UogIp4R7Rw",10,0,5,True,#FacesOfHAEMR
EMRES_MGHBWH,2017-11-02,09:46:12,HAEMR Bootcamp Olympics with our intern class was a huge success and great fun this summer!! https://twitter.com/ALiEMteam/status/926071773426221057 …,8,0,3,True,
AliRaja_MD,2017-11-06,02:09:35,"Fantastic article about @MGHWMDivision and its amazing Chief, Dr.Harris! @harvardmed @EMRES_MGHBWH @MassGeneralEM https://harvardmagazine.com/2017/11/wilderness-medicine …",11,0,4,True,
