username,date,time,tweet,likes,replies,retweets,retweet,hashtags
JennFelstedPhD,2018-07-18,09:13:25,"Leveraging #Wearable and #IoT to improve healthcare? Present a poster at the 2018 #ConnectedHealth Conference #CHC18, Oct 17-19, Boston, MA. Presenting author receives free registration. Deadline Aug 2.  https://www.connectedhealthconf.org/boston/2018/2018-poster-sessions … #digitalhealth #eHealth @PartnersCHIC @PartnersNews",3,0,6,True,"#Wearable,#IoT,#ConnectedHealth,#CHC18,#digitalhealth,#eHealth"
WBUR,2018-07-17,16:09:53,@mbebinger STORY: Safe injection site pilot is included in Senate opioid bill: https://wbur.fm/2NYXqbY ,2,0,4,True,
h_a_l_e,2018-07-18,07:29:05,"Using #Wearable #mHealth #IoT for #PersonalizedMedicine? Present a poster at the 2018 #ConnectedHealth Conference #CHC18, Oct 17-19, Boston, MA. Presenting author receives free registration. Deadline Aug 2.  https://www.connectedhealthconf.org/boston/2018/2018-poster-sessions … #BigData #DataScience @PartnersCHIC @PartnersNews",2,0,3,True,"#Wearable,#mHealth,#IoT,#PersonalizedMedicine,#ConnectedHealth,#CHC18,#BigData,#DataScience"
PartnersNews,2018-07-17,14:29:15,"@CPSChelsea Student Health Center, part of @MassGeneralNews Chelsea HealthCare Center, receives 2,000+ student visits annually. Students receive easy access to culturally competent care, regardless of #insurance status or primary care #physician. More:  http://ow.ly/iU6h30kZFGp  pic.twitter.com/ojIhEEWqSL",1,0,1,True,"#insurance,#physician"
MassClimate,2018-07-17,12:16:07,A stronger #RPS for Massachusetts will help drive economic growth & improve public health. @PartnersNews and @MassGeneralNews writes on @masslivenews:  https://bit.ly/2KKtLk3 . #mapoli pic.twitter.com/ILgeVD79yu,2,0,5,True,"#RPS,#mapoli"
jkvedar,2018-07-17,10:45:08,"Well/Connected, my new #podcast, is live thx to the hard work of the @connectedhealth team. It has already been a terrific adventure. Please tune in weekly &tweet your questions using #askjoe  http://bit.ly/WellXtedPodcast  #digitalhealth #connectedhealth #aging #wellness #healthcare pic.twitter.com/l5rDqDQ429",23,3,7,True,"#podcast,#askjoe,#digitalhealth,#connectedhealth,#aging,#wellness,#healthcare"
searchCIO,2018-07-17,08:00:02,The case for cloud storage as a service at Partners Healthcare  http://bit.ly/2KL9M9z  @PartnersNews #cloud #cloudstorage @ClearSkyData @PrattWrites,0,0,1,True,"#cloud,#cloudstorage"
CCA_Mass,2018-07-16,09:43:01,.@PartnersNews and CCA announced expansion of iCMP PLUS program. CCA to continue providing direct care and care coordination to group of Partners’ highest-risk ACO patients with most complex needs. #Medicaid #ACO http://bit.ly/2KYtwXg ,2,0,3,True,"#Medicaid,#ACO"
PartnersNews,2018-07-12,13:10:11, https://twitter.com/TylerEMiller/status/1016793713794830336 …,0,0,0,True,
PartnersNews,2018-07-12,11:05:07,"For the second year in row @SpauldingRehab has been honored as a ""Best Places to Work for #Disability #Inclusion"" @DisabilityIN @AAPD. Congratulations! pic.twitter.com/SqipbTrJFc",16,0,1,True,"#Disability,#Inclusion"
MGHMedicine,2018-07-11,12:24:23,".@PartnersNews CEO David Torchiana will present at @MGHMedicine grand rounds on Thursday, 7/12, and give an update on the work going at at Partners. #MGH O'Keeffe Auditorium, Blake 1 from 8-9 am #grandrounds #MedEd #healthcare",6,0,4,True,"#MGH,#grandrounds,#MedEd,#healthcare"
BehavioralMed,2018-07-10,08:54:11,"@AdrianZai, director of research at @PartnersNews, says healthcare organizations should start by identifying the innovation already taking place and then forge plans to adopt cutting-edge approaches. https://www.mobihealthnews.com/content/if-you-want-competitive-edge-then-innovate-now …",0,0,2,True,
BWHiHub,2018-07-10,07:30:00,"Inviting data and analytics practitioners to the inaugural @PartnersNews Data and Analytics Forum on Tuesday, September 11th, 1 - 7 p.m. at Assembly Row - pre- register today!  https://www.surveymonkey.com/r/Y6GKGLJ ",1,0,2,True,
PHSERIS,2018-07-09,15:49:29,"Register by Friday to win $15,000 in the @PartnersNews Biobank Disease Challenge, an #AI and machine learning #DataChallenge. Open to researchers across the US. Learn more here:  http://www.partners.org/biobankchallenge …",1,0,4,True,"#AI,#DataChallenge"
PartnersNews,2018-07-08,11:05:08, https://twitter.com/MassGeneralNews/status/1014881857526169600 …,3,0,0,True,
PartnersNews,2018-07-06,11:00:58,"What do @MassGeneralNews, @FBI and @mfaboston have in common? Together the neuradiologists, molecular biologists, curators, and investigators solved a 4,000-year-old mummy mystery and correctly identify the mummy’s identity through DNA analysis. More:  http://ow.ly/c5jK30kOQ4b  pic.twitter.com/FRxnIrntzv",11,1,5,True,
MassGeneralNews,2018-07-05,09:30:55,Jails and prisons: the unmanned front in the battle against the opioid epidemic:  http://bit.ly/2u3WZ6U  by #MGH + @BrighamWomens Dr. Brian Barnett,8,0,3,True,#MGH
RMilesMD,2018-07-03,09:54:06,"@connectedhealth @PartnersNews Joe Kvedar, Humanizing Healthcare through Connected Health -- Harlow on Healthcare @jkvedar @Partnersnews @ConnectedHealth https://healthblawg.com/2018/07/kvedar-connected-health.html#.WzuNwx4OoyU.twitter …",3,0,1,True,
PartnersNews,2018-07-02,15:05:08,Parenting during residency & fellowship training is challenging across all medical specialties. We're expanding our efforts to support trainees with children by providing educational resources & materials encouraging a healthy work-life balance. Read more:  http://connectwithpartners.org/2018/06/28/making-medicine-and-motherhood-more-compatible … pic.twitter.com/MklUWinWaz,2,0,1,True,
CRICOtweet,2018-07-02,10:50:11,At Partners HealthCare a system-wide Resident/Fellow Well Being Council was initiated to address & support the important issue of parenting during residency.  http://ow.ly/pEGz30kLh1x  @PartnersNews,2,0,2,True,
kamalj83,2018-06-30,09:56:15,"Taking the patients’ lead in designing #patientcentered solutions. Hard to do, but rewarding at the end! ⁦@PartnersNews⁩ ⁦@PartnersCHIC⁩ https://www.mobihealthnews.com/content/partners-health-ucb-turned-patients-when-designing-digital-epilepsy-support-tool …",9,0,4,True,#patientcentered
SpauldingRehab,2018-06-28,11:43:10,"Thx to the incredible generosity of Mr. Rick Ryan, we are proud to announced our largest ever planned gift, $5 million dollars to support #Stroke care, research & a new Research Fellowship. Rick still plans on giving back twice a week as a peer visitor!  https://bit.ly/2Ks44IJ  pic.twitter.com/YmbN7qWflQ",22,0,2,True,#Stroke
GEHealthcare,2018-06-28,09:31:04,"What does it take for #AI to succeed in healthcare? A 10-year commitment with @PartnersNews to approach AI practically, methodically and holistically  https://invent.ge/2Ms5mBz  pic.twitter.com/hWljkrq4hR",14,0,4,True,#AI
PartnersNews,2018-06-27,11:00:45,Two days left to register for the #AI #MachineLearning #DataChallenge! Leverage the Partners Biobank to develop better phenotypic algorithms for clinical and basic research.  http://ow.ly/Cu6q30kG5Om  @DellEMCbigdata #DataScience pic.twitter.com/zEbDUyOlOf,4,0,0,True,"#AI,#MachineLearning,#DataChallenge,#DataScience"
Maldaz9,2018-06-26,15:28:46,"@PartnersNews Women’s Employee Resource Group is off to a great start. Thanks to our Executive Sponsor, Sue Moss, VP Strategy and CDO Dani Monroe for their support #neverthelessShePersisted pic.twitter.com/QYot8uZdRE",0,0,1,True,#neverthelessShePersisted
BWHiHub,2018-06-25,18:36:30,"Honored for our team to live in the Hale Building for Transformative Medicine - tonight’s comments from @CharlieBakerMA, a grateful patient and Robert Hale resonate: keys to the future of medicine are multidisciplinary teams and remembering the families we serve @BrighamWomens pic.twitter.com/GbvTuFcNt4",17,0,7,True,
Patriots,2018-06-25,19:32:39,A transformative and visionary gift to further Massachusetts’ legacy of world class healthcare and research.Congratulations to our friends Brigham & Women’s Hospital and the Hale family on the dedication of the Hale Building. pic.twitter.com/1Rb2nGVRkr,360,3,38,True,
SpauldingRehab,2018-06-26,13:08:51,"Incredible story of strength at our 15th Tee Off with Tedy event with @TedyBruschiESPN on @NBC10Boston by @EliNBCBoston 1st time on a green for Jen Schultz since a #TBI Way to go Jen!  https://bit.ly/2MrF0yW  150 golfers raised over $400k for Spaulding @TPCBoston, Thx to all. pic.twitter.com/ZrvExfJUIN",27,1,9,True,#TBI
biobrichter,2018-06-26,11:30:48,@PartnersNews and @PHSERIS hosting this unprecedented #DataChallenge for #DataScience to develop #MachineLearning phenotypic algorithms for clinical and basic research to #TransformHIT https://twitter.com/iscb/status/1011617616526565376 …,1,0,2,True,"#DataChallenge,#DataScience,#MachineLearning,#TransformHIT"
RichFletcherTX,2018-06-26,10:45:39,Have you registrered for the @PartnersNews #AI #MachineLearning #DataChallenge? Only a few more days left!  https://dell.to/2IIh2Ob  @DellEMCbigdata #TransformHIT https://twitter.com/DellEMCHealth/status/1011282373118451712 …,1,0,1,True,"#AI,#MachineLearning,#DataChallenge,#TransformHIT"
PartnersNews,2018-06-26,11:00:52,"End-of-life planning & training helps #doctors document their patients' #end-of-life care preferences prior to medical crisis. Now underway at @northshoremed, Partners aims to provide training to all our primary care physicians by 2020. More:  http://ow.ly/nwom30kEYVv  pic.twitter.com/7H9I8k8Ojb",1,0,0,True,"#doctors,#end"
PartnersNews,2018-06-25,12:53:58,"“They changed the course of medicine,” says Dr. Amy Comander, Medical Director at Auerbach Breast Center at @newtonwellesley.More from @BostonMagazine: http://ow.ly/QCAo30kEQX6 ",4,0,0,True,
PartnersCHIC,2018-06-25,06:55:05,@SimoneOrlo of @connectedhealth participates in tomorrow’s panel: “How #Healthcare Organizations Can Navigate (and make the most of) Digital Disruption” at the #internet of #health conference in #Boston#DigitalHealth#innovation#healthtech@PartnersNews@IoB_News@kamalj83,3,0,2,True,"#Healthcare,#internet,#health,#Boston,#DigitalHealth,#innovation,#healthtech"
