username,date,time,tweet,likes,replies,retweets,retweet,hashtags
ThinkKids,2018-07-18,09:43:08,"#CPStipoftheday: When building those lagging skills remember, ""be curious, not furious!"" More helpful tips on how to strengthen language/communication skills and emotion & self-regulation skills: Ways to Teach Kids How to Manage Their Emotions  https://www.goodtherapy.org/blog/12-secrets-to-teaching-your-child-how-to-manage-their-emotions-1107175 … https://twitter.com/ZEROTOTHREE/status/1019311782400315392 …",4,0,2,True,#CPStipoftheday
ThinkKids,2018-07-16,11:21:07,"How do you operationalize Plan B? Learn strategies for implementing the #CPSapproach in the most challenging situations - register today! Think:KidsTier II - August 1-3, 2018  https://conta.cc/2IEYZYr  pic.twitter.com/24FgtQv8ki",2,0,0,True,#CPSapproach
ThinkKids,2018-07-13,14:24:17,"We are stronger together. In the spirit of the ""C"" in the #CPS approach - we are pleased to collaborate w/nonprofit @flawlessgrats for our next Introductory Training.  Register today to learn how to rethink and help ""challenging"" kids:  http://www.thinkkids.org  https://twitter.com/flawlessgrats/status/1017823532703780864 …",2,0,0,True,#CPS
ThinkKids,2018-07-13,09:18:38,"At the core of the #CPSapproach is relationship-building & clarifying the child’s concern is a key part of that.This does not mean agreeing or disagreeing rather, just listening and not assuming you know or already understand what’s happening w/the child. #empathy #PlanB https://twitter.com/flawlessgrats/status/1017764543563489280 …",7,0,4,True,"#CPSapproach,#empathy,#PlanB"
ThinkKids,2018-07-12,09:05:01,"Updated link to this helpful video: Just Breathe"" by Julie Bayer Salzman & Josh Salzman  http://youtu.be/RVA2N6tX2cg  https://twitter.com/thinkkids/status/1017370586551549952 …",4,0,5,True,
ThinkKids,2018-07-12,07:15:53,"Our Think:Kids Certified Trainer, Beth Holliman, expands on the CPS philosophy of kids do well if they can during Tier 1 training w/this compelling video. Just Breathe"" by Julie Bayer Salzman & Josh Salzman  http://youtu.be/RVA2N6tX2cg  pic.twitter.com/yrnfHyyIl5",1,0,0,True,
ThinkKids,2018-07-12,06:30:24,An important reminder from the mouths of children of how it feels to struggle w/lagging skills.  “Just Breathe” – How Can Children Process Difficult Emotions? Watch this powerful video:  http://ow.ly/iBL330kUKBz #KidsDoWellIfThey #BuildSkills #ThinkSkillNotWill #CPSapproach pic.twitter.com/cRGNBbQMyE,7,1,4,True,"#KidsDoWellIfThey,#BuildSkills,#ThinkSkillNotWill,#CPSapproach"
ThinkKids,2018-07-11,14:32:29,"Next time you think that a child is willfully behaving poorly, think of the domains where they may be lagging skills instead. #thinkskillnotwill #mindsetshift https://twitter.com/flawlessgrats/status/1017123784711696384 …",9,1,10,True,"#thinkskillnotwill,#mindsetshift"
flawlessgrats,2018-07-11,10:27:13,3️⃣ Phases of #Collaborativeproblemsolving Approach: 1️⃣ Assessment 2️⃣Planning 3️⃣Intervention #WednesdayWisdom #thinkskillnotwill,5,1,1,True,"#Collaborativeproblemsolving,#WednesdayWisdom,#thinkskillnotwill"
flawlessgrats,2018-07-11,07:58:55,It’s a #fullhouse at the 1st day of @ThinkKids Collaborative Problem Solving Training! We are looking forward to learning skills & tools to help children with behavioral challenges succeed! #KidsDOWellIfTheyCan pic.twitter.com/dmKB9OenU5,9,0,2,True,"#fullhouse,#KidsDOWellIfTheyCan"
ThinkKids,2018-07-05,12:11:03,"We're excited to train school staff, parents, residential staff, clinicians on how to change problem behavior! Registration for Summer Tier 1 training is now full. Summer Tier 2 training w/Think:Kids Founder & Director Dr. Ablon is another chance to learn:  https://summertier2thinkkids.eventbrite.com  https://twitter.com/flawlessgrats/status/1014197617214066688 …",3,0,1,True,
ThinkKids,2018-06-25,16:07:46,CPS #protip: Drill down to identify specific triggers & unmet expectations.... Learn more about changing problem behavior & take the next steps in the #CPSapproach.  Registration is still open! Think:Kids Tier 1 Training - Summer 2018:  https://conta.cc/2MMLzNj  pic.twitter.com/U7egJ82oQO,4,0,3,True,"#protip,#CPSapproach"
ThinkKids,2018-06-20,12:07:06,"""When you give a dog a name..."" The unintended side-effects of external reinforcers like incentives/rewards that we should be concerned about:  #thinkskillnotwill #CPSapproach http://www.thinkkids.org/the-unintended-impact-of-external-motivators/ … pic.twitter.com/6uV6t7qNDa",11,1,6,True,"#thinkskillnotwill,#CPSapproach"
ThinkKids,2018-06-20,10:20:27,"Proud to be w/@trust4kids today an organization on a mission to stop child abuse in MA. Together, via training, we're helping staff/parents build the skills & confidence they need to make sure kids have safe & healthy childhoods!Learn about them at:  http://www.childrenstrustma.org ",0,0,1,True,
