username,date,time,tweet,likes,replies,retweets,retweet,hashtags
WmnMentalHealth,2018-07-16,08:40:53, https://womensmentalhealth.org/posts/cbt-management-perimenopausal-symptoms/ … https://womensmentalhealth.org/posts/cbt-management-perimenopausal-symptoms/ …,0,0,0,True,
WmnMentalHealth,2018-07-10,09:29:46, https://womensmentalhealth.org/posts/fertility-treatment-more-common-in-women-with-bulimia-nervosa/ … https://womensmentalhealth.org/posts/fertility-treatment-more-common-in-women-with-bulimia-nervosa/ …,0,0,0,True,
WmnMentalHealth,2018-07-09,15:16:24, https://womensmentalhealth.org/posts/menopause-lifetime-cognitive-functioning/ … https://womensmentalhealth.org/posts/menopause-lifetime-cognitive-functioning/ …,0,1,0,True,
WmnMentalHealth,2018-07-09,10:41:21, https://womensmentalhealth.org/posts/weekly-roundup-for-july-7-2018-recent-publications-in-womens-mental-health/ … https://womensmentalhealth.org/posts/weekly-roundup-for-july-7-2018-recent-publications-in-womens-mental-health/ …,0,0,1,True,
WmnMentalHealth,2018-07-05,16:24:04, https://womensmentalhealth.org/posts/lithium-international-cohort-study/ … https://womensmentalhealth.org/posts/lithium-international-cohort-study/ …,0,0,2,True,
WmnMentalHealth,2018-07-03,09:56:57, https://womensmentalhealth.org/posts/valproic-acid-highlighting-risk/ … https://womensmentalhealth.org/posts/valproic-acid-highlighting-risk/ …,0,0,0,True,
WmnMentalHealth,2018-06-26,08:34:41, https://womensmentalhealth.org/posts/anxiety_risk_fractures_postmenopause/ … https://womensmentalhealth.org/posts/anxiety_risk_fractures_postmenopause/ …,0,0,0,True,
WmnMentalHealth,2018-06-25,16:19:31, https://womensmentalhealth.org/posts/trauma-in-children-child-mind-institute/ … https://womensmentalhealth.org/posts/trauma-in-children-child-mind-institute/ …,1,0,0,True,
WmnMentalHealth,2018-06-25,14:07:19,An important reminder that mothers struggling with postpartum depression are not alone...  https://www.thetelegram.com/news/local/mount-pearl-woman-gets-overwhelming-response-to-facebook-post-on-postpartum-depression-220943/ … https://www.thetelegram.com/news/local/mount-pearl-woman-gets-overwhelming-response-to-facebook-post-on-postpartum-depression-220943/ …,2,0,0,True,
WmnMentalHealth,2018-06-23,14:05:56,"Why eight hours a night isn’t enough, according to a leading sleep scientist https://qz.com/1301123/why-eight-hours-a-night-isnt-enough-according-to-a-leading-sleep-scientist/ …",1,0,1,True,
WmnMentalHealth,2018-06-19,11:07:10, https://womensmentalhealth.org/posts/cannabis-pregnancy-dispensary/ … https://womensmentalhealth.org/posts/cannabis-pregnancy-dispensary/ …,0,0,0,True,
WmnMentalHealth,2018-06-17,22:55:59,Obesity Tied to Adverse Pregnancy Outcomes in Mentally Ill Women https://www.medscape.com/viewarticle/897783?nlid=123234_2581 …,0,0,0,True,
WmnMentalHealth,2018-06-17,22:54:15,Adequate Vitamin D Levels Prior to Conception Improve Birth Odds https://www.medscape.com/viewarticle/897901?nlid=123234_2581 …,0,0,0,True,
WmnMentalHealth,2018-06-12,08:37:26, https://womensmentalhealth.org/posts/brexanolone_new_drug_postpartum_depression/ … https://womensmentalhealth.org/posts/brexanolone_new_drug_postpartum_depression/ …,3,0,1,True,
WmnMentalHealth,2018-06-11,12:27:29, https://womensmentalhealth.org/posts/predictors_for_-severe_postpartum_psychiatric_disorders/ … https://womensmentalhealth.org/posts/predictors_for_-severe_postpartum_psychiatric_disorders/ …,0,0,1,True,
WmnMentalHealth,2018-06-05,08:27:48, https://womensmentalhealth.org/posts/introducing_new_website_2018/ … https://womensmentalhealth.org/posts/introducing_new_website_2018/ …,1,0,1,True,
WmnMentalHealth,2018-06-01,16:00:09,Serena Williams Got Refreshingly Honest About How She Still Struggles With PPD https://buff.ly/2J3Lo1Z ,2,0,5,True,
WmnMentalHealth,2018-06-01,13:09:02,Thank you to Serena Williams for speaking honestly about her experience with postpartum depression and becoming a advocate for improving maternal and infant mortality rates in the US! https://buff.ly/2J4FP3t ,4,0,1,True,
WmnMentalHealth,2018-05-30,09:43:19,Why Lena Headey Wants to Speak Out About Her Struggle With Depression https://buff.ly/2so1vfO ,0,0,0,True,
WmnMentalHealth,2018-05-29,14:00:34,Women's Health Policy in the United States: An ACP Position Paper | Annals of Internal Medicine | American College of Physicians  https://buff.ly/2kxCqv7 ,0,0,0,True,
WmnMentalHealth,2018-05-25,11:10:27,"Mom-to-Be's Pot Use Tied to Changes in Baby's Size, Behavior  https://consumer.healthday.com/public-health-information-30/marijuana-news-759/mom-to-be-s-pot-use-tied-to-changes-in-baby-s-size-behavior-733993.html …",0,0,0,True,
WmnMentalHealth,2018-05-23,09:12:06,Suicide Is A Leading Cause Of Death For New Moms But Awareness Is Low https://buff.ly/2KwGAzd ,9,0,7,True,
WmnMentalHealth,2018-05-23,08:33:04,"We continue to see more and more women of reproductive age using marijuana in various forms.  According to research published in the Journal of the American Medical Association, there has been a...  https://womensmentalhealth.org/posts/breastfeeding_marijuana_whats_safe/ …",1,0,0,True,
