username,date,time,tweet,likes,replies,retweets,retweet,hashtags
meshincubator,2018-05-30,11:17:48,@JACRJournal study on MESH https://twitter.com/massgeneralmds/status/1001856126391119872 …,0,0,0,,
meshincubator,2018-07-18,20:54:04,"@Medgadget Bioengineered Bone Grafts for Large Bone Defects: Researchers at the New York Stem Cell Foundation have developed a technique to produce bioengineered bone grafts for large bone defects, which are currently difficult to treat using…  http://dlvr.it/Qc1lPy  @medgadget @medtech pic.twitter.com/xtjqlkAXm9",0,0,0,,
meshincubator,2018-07-18,17:57:05,"@Medgadget Microparticles Carrying Bacteria-Killing Viruses Halt Deadly Pneumonia: Antibiotics suffer from eventual resistance by the bacteria and the fact that they can be quite indiscriminate in who they attack, including the gut’s healthy…  http://dlvr.it/Qc1BGf  @medgadget @medtech pic.twitter.com/Gy10TZW7ns",1,0,1,,
meshincubator,2018-07-18,16:01:38,"@Medgadget Syringe Simulator Replicates Feeling of Needle Insertion: Some procedures in which a needle is inserted deep into the body, such as epidurals, require the physician to have a steady hand and to know what to feel for. This is not easy…  http://dlvr.it/Qc0lWQ  @medgadget @medtech pic.twitter.com/KZvEBbJb97",0,0,0,,
meshincubator,2018-07-18,12:12:04,"@Medgadget New Device Captures Circulating Tumor Cells Directly Within Blood Vessels: Circulating tumor cells (CTCs) are present in the blood of people suffering from most cancers, but because of their rarity their presence is very difficult to…  http://dlvr.it/QbzgtM  @medgadget @medtech pic.twitter.com/hrUkUyANOb",1,0,1,,
meshincubator,2018-07-18,10:06:03,"@Medgadget Jabra Elite Active 65t Review: Amazing Sound and Fit, with Minimal Fitness Tracking: The new Jabra Elite Active 65t are probably the best wireless earbuds out there right now. We had a chance to give them a try, and they proved to be…  http://dlvr.it/Qbyz46  @medgadget @medtech pic.twitter.com/K7xwoHLpXi",0,0,0,,
meshincubator,2018-07-17,20:54:03,"@Medgadget DiLumen Stabilizes Scopes Within Large Intestine to Help Avoid Surgeries: Now Approved in Europe: Lumendi, a company based in Buckinghamshire, England, won European regulatory approval for its DiLumen Endolumenal Interventional…  http://dlvr.it/QbvWw8  @medgadget @medtech pic.twitter.com/3VVkUWbuqO",0,0,0,,
meshincubator,2018-07-17,17:57:35,"@Medgadget Method Tracks How Cancer Drugs Spread to Tumor Cells: When it comes to anti-cancer drugs, it’s not only their effectiveness at killing the intended target that we want to know, but also their ability to reach and penetrate the cancer…  http://dlvr.it/Qbv08k  @medgadget @medtech pic.twitter.com/OeoEmv66se",0,0,0,,
meshincubator,2018-07-17,16:01:05,"@Medgadget Glaukos iStent Inject Implant FDA Approved to Treat Primary Open-Angle Glaucoma: Glaukos, based in San Clemente, California, won FDA approval to introduce its iStent inject Trabecular Micro-Bypass System in the United States. The…  http://dlvr.it/QbtXqy  @medgadget @medtech pic.twitter.com/QLKq9s1kBK",0,0,0,,
meshincubator,2018-07-17,11:02:36,"@Medgadget How Cloud Faxing Improves Productivity in Healthcare: The humble fax machine has been a regular fixture within healthcare offices for as long as most of us care to remember. Even in 2018, with so much modern technology at our…  http://dlvr.it/Qbs3P1  @medgadget @medtech pic.twitter.com/L87vZrbPAy",0,0,0,,
