username,date,time,tweet,likes,replies,retweets,retweet,hashtags
LISHarvard,2018-07-12,14:51:23,Internal innovation in healthcare with @mdmajmudar #crowdacademy pic.twitter.com/iTEztTAF5y,9,1,2,True,#crowdacademy
mgh_htl,2018-06-05,19:40:01,Honored to be represented by Dr. Inga Lennes at the @PULSEMC finale tonight. Congrats to the gold award winner Fitly. pic.twitter.com/E02Vy3Azko,9,0,0,,
alexcpelletier,2018-06-05,19:07:44,Go @kamalj83 @adamlandrum and Inga from @mgh_htl #PULSEFinale18 strategic collaboration with @MedumoInc pic.twitter.com/LSAwqfalHe,11,0,5,True,#PULSEFinale18
BWHiHub,2018-06-05,19:06:59,.@landmaad: @PartnersNews @BrighamWomens @MassGeneralNews have worked with 3 startups last year through @PULSEMC and increased to 8 startups this year! #PULSEFinale18,5,0,2,True,#PULSEFinale18
JJ5280,2018-06-05,18:20:17,Pulse@MC Finale - Excited to be involved in the Women in Digital Health initiative. #PULSEFinale18 @mgh_htl @nkandilian @BWHiHub pic.twitter.com/CsSS2Ta9g3,18,0,4,True,#PULSEFinale18
MedumoInc,2018-06-05,18:24:16,WE ARE SO AMPED AND HONORED! Thank you @Sunovion @PULSEMC @connectedhealth @BWHiHub @mgh_htl @Cigna @BostInno - ALL our Boston #DigitalHealth family. We're here and able to get patients the guidance they need THANKS TO ALL OF YOU.#PULSEFinale18 pic.twitter.com/i2OflfUYpD,36,2,8,True,"#DigitalHealth,#PULSEFinale18"
mgh_htl,2018-06-05,18:14:17,So proud of our 2017 @PULSEMC match @MedumoInc for winning this year’s Startup Choice Award. pic.twitter.com/9bXbS2roX7,9,0,0,,
jcrimsor,2018-06-05,17:29:31,"Excited to celebrate @mgh_htl’s work with DynamiCare, @dayzero_DZD, and Astarte Medical Partners over the past 6 months. pic.twitter.com/nJLlkGbfvQ",6,1,3,True,
mgh_htl,2018-05-25,10:33:02,Join the HTL at the PULSE Finale! Register before it sells out. It’s one of the best health events of the year. The startups and attendees are very high quality and MassChallenge awards over $200K in cash to the top companies. RSVP here: http://bit.ly/pulsefinale18 ,2,0,0,,
mgh_htl,2018-05-03,14:08:18,"Excited to celebrate the progress of this year's MGH Pulse matches (@dayzero_DZD, DynamiCare, and Astarte Medical Partners) at this year's #PulseFinale18! https://twitter.com/PULSEMC/status/992106538499235841 …",2,0,0,,#PulseFinale18
mgh_htl,2018-05-03,11:04:40,"Thank you to everyone who attended our Novelline Innovation Speaker Series this Monday.  And many thanks to Dr. Rich Zane, Chief Innovation Officer of @uchealth for sharing his thoughts on how digital health will shape the future. pic.twitter.com/wMp87k75Md",8,0,2,,
