username,date,time,tweet,likes,replies,retweets,retweet,hashtags
mghfc,2018-07-18,08:37:12,"@mghfc Patrick Downes, Jessica Kensky and @rescueboston made a special visit to @MGHfC patients yesterday. The couple shared their experience as amputees with one little girl who recently lost her leg to cancer -  https://bit.ly/2Jx7iGp  via @NBC10Boston's @SusanNBCBoston pic.twitter.com/vciGtTvCkm",11,1,4,,
mghfc,2018-07-17,15:01:36,"@rescueboston @mghfc Guess who was at @MGHfC today? @RescueBoston! He, Jessica and Patrick shared their book, Rescue and Jessica: A Life-Changing Friendship, with pediatric patients today. See more of their visit on tonight’s @NBCBoston. pic.twitter.com/CLdLvS6q5h",11,1,2,,
rescueboston,2018-07-17,14:56:54,What a special day with the children & families @mghfc! Thank you so much for welcoming us & sharing your stories. Sending you all so much love 🐾💙💛 @smagoon @Candlewick https://twitter.com/susantran/status/1019297684262473730 … – at MassGeneral Hospital for Children,18,0,3,True,
susantran,2018-07-17,14:08:00,We’re here with @rescueboston as he visits the children at @mghfc with Jessica and Patrick. #Boston The story coming up on #NBC10Boston. pic.twitter.com/tZjFaqmsdG,13,0,4,True,"#Boston,#NBC10Boston"
MGHClayCenter,2018-07-17,09:25:05,We can't help but join in on this one -- In honor of #WorldEmojiDay: #Parenting in the emoji-era. @Home4DinnerBook @TristanG_MD #HealthyMindsLearn more:  http://bit.ly/EmojiClayCtr  pic.twitter.com/JKirlo3SZs,0,0,2,True,"#WorldEmojiDay,#Parenting,#HealthyMindsLearn"
mghfc,2018-07-16,12:49:33,.@SAAswim make waves in fight against cancer in #Boston Harbor event. Story via @BostonGlobe's @camerokt_:  https://bit.ly/2LjOLyS . Photo by @GlobeDavidLRyan. pic.twitter.com/eIyWdBS5CO,4,1,2,,#Boston
mghaspire,2018-07-16,08:20:07,The Aspire Internship Program is accepting applications for the Fall 2018 semester. Do you know a high school graduate age 18+ who would be interested?  http://ow.ly/Cxwj30kybci  #autism,3,0,5,True,#autism
GlobeDavidLRyan,2018-07-13,16:47:39,"Cancer swim fundraiser in Boston Harbor that started off at Rowes Wharf, Boston. Some 50 swimmers including Olympians kicked off a 22 mile relay swim around Boston Harbor Islands. pic.twitter.com/WzRFhrG4Bz",5,0,2,True,
mghfc,2018-07-13,12:06:09,".@SAAswim's Splashdown in Support: More than 65 swimmers, including US Olympic swimming stars, braved Boston Harbor today to make waves in the fight against pediatric cancer.  The 22-mile relay swim raises money for #MGHfC and @DanaFarber. pic.twitter.com/bBLJcpgVlF",10,0,3,,#MGHfC
NickGNews,2018-07-13,06:32:57,Just some Olympians knocking out some laps in #BostonHarbor... (7 of the 50+ swimmers jumping in for 22nd annual Swim Across America Boston Harbor Swim raising $$ for @DanaFarber/ @mghfc) @wbz pic.twitter.com/CzlkDrp0Ir,19,0,9,True,#BostonHarbor
RickOsterberg,2018-07-13,05:57:36,"Today is the day! Boats and swimmers are departing from #RowesWharf momentarily, and will return around 2:30 - 2:45pm. Come on down and cheer on our swimmers! @BostonSAA @SAAswim @mghfc @DanaFarber #beatcancer https://twitter.com/rickosterberg/status/1016284924364689409 …",9,0,2,True,"#RowesWharf,#beatcancer"
TurnItTeal,2018-07-12,18:34:02,Love that this video shows how to use each of the auto-injectors out there. Thanks @kfatweets and @MichaelPistiner  https://buff.ly/2L5ypdd  #foodallergies #allergies pic.twitter.com/eWHRiXSAM6,21,1,10,True,"#foodallergies,#allergies"
ScottVernaglia,2018-07-12,09:08:37,Pediatric @mghfc residents working through the @acgme milestones as they think about where they are and where they are going. #meded #lifelonglearning #mghfcmeded pic.twitter.com/WKjoukOUwE – at Massachusetts General Hospital,6,1,4,True,"#meded,#lifelonglearning,#mghfcmeded"
mghfc,2018-07-12,08:59:57,"@mghfc The U.S. is facing a national obesity epidemic. And sugary drinks - sodas, sports beverages and even juice - are big contributors to the crisis.@MGHfC's @LaurenFiechtner expands her weekend @nytimes piece with @WBUR's @RadioBoston:  https://wbur.fm/2NJZVhW  pic.twitter.com/uB7aumEJyS",16,2,7,,
davida_schiff,2018-07-11,22:32:21,"Latest work w/ colleagues @MassDPH @The_BMC @mghfc @VCU describing perinatal opioid overdose in MA in @greenjrnl: postpartum period vulnerable for women, particularly 6-12mo post delivery. Longitudinal care & expanded medication treatment urgently needed. https://journals.lww.com/greenjournal/Fulltext/publishahead/Fatal_and_Nonfatal_Overdose_Among_Pregnant_and.98009.aspx …",53,3,27,True,
mghaspire,2018-07-12,08:10:11,We are still accepting applications for the Aspire College Boot Camp. This is a 1 week program designed to be a fun and low stress way to prepare for college. Join us!  http://ow.ly/ERqt30ky61L  #autism,1,0,3,True,#autism
flawlessgrats,2018-07-11,07:58:55,It’s a #fullhouse at the 1st day of @ThinkKids Collaborative Problem Solving Training! We are looking forward to learning skills & tools to help children with behavioral challenges succeed! #KidsDOWellIfTheyCan pic.twitter.com/dmKB9OenU5,9,0,2,True,"#fullhouse,#KidsDOWellIfTheyCan"
Jessica_Stokes,2018-07-11,06:34:19,All: Please consider supporting my wife swim to honor @RickOsterberg and other cancer survivors! I will swim the @SAAswim Boston Harbor Relay on Fri. 7/13.  http://swimacrossamerica.org/goto/jstokes  Proceeds benefit @mghfc and @DanaFarber. @BostonSAA #beatcancer #everydollarhelps pic.twitter.com/tumKakC27i,3,0,2,True,"#beatcancer,#everydollarhelps"
IHPCPD,2018-07-10,16:12:46,"Shannon Scott-Vernaglia of @MassGeneralNews & Susan Farrell of @MGHInstitute leads an interprofessional group of PTs, PAs, SLPs, MDs, Nurses, & more through a discussion about the challenges of assessing learner competency to determine supervision & autonomy balance. #IHPCPD pic.twitter.com/AWu12Kn3yy – at Massachusetts General Hospital",10,0,6,True,#IHPCPD
mghfc,2018-07-09,14:02:30,"@mghfc 'Seriously, juice is NOT healthy' says @MGHfC's @LaurenFiechtner in the @nytimes:   https://nyti.ms/2J2QsPs  pic.twitter.com/O44mjGnobX",3,0,2,,
brianskotko,2018-07-07,16:26:05,"Time to cut out the juice, seriously.  People with #Downsyndrome don’t need these calories. https://nyti.ms/2J2QsPs?smid=nytcore-ios-share …",12,1,2,True,#Downsyndrome
mghfc,2018-07-06,09:21:52,@mghfc .@OldSaybrookPD officers are wearing 'Shorts4Sean' to support 4 year old Sean MacDonnell as the #Connecticut native travels to #Boston and @MGHfC for cancer treatment. -  https://bit.ly/2u0t3cF  via @NBCConnecticut pic.twitter.com/ztGbMQcEBn,18,0,5,,"#Connecticut,#Boston"
MGH_RI,2018-07-05,14:09:45,New #MGH research published in @JAMAPsych finds that prenatal exposure to folic acid may reduce mental illness risk: https://jamanetwork.com/journals/jamapsychiatry/fullarticle/2686139 …,3,0,2,True,#MGH
MassGeneralNews,2018-07-04,10:03:00,Wishing everyone a safe + happy Independence Day! Be sure to leave the fireworks to the pros! #NoTripsToTheED pic.twitter.com/rEpLFSDVG1,28,0,7,True,#NoTripsToTheED
peter_masiakos,2018-07-03,12:34:12,Honored to represent @mghfc as Gov. Baker signed the Extreme Risk Protection Order “red flag” law. Congratulations @MarjorieDecker @deleo @spilka @cindycreem @HaroldNaughton @SenMikeMoore you have made MA safer and my job a little bit easier.  Thanks from the MA trauma surgeons.,38,0,7,True,
mghfc,2018-07-03,08:50:00,"@mghfc Fireworks are not toys! Every year, @MGHfC treats patients who have sustained significant burns and devastating hand injuries due to fireworks that explode in the hands of children. Read these tips to keep kids safe this 4th of July. https://www.massgeneral.org/children/news/newsarticle.aspx …… pic.twitter.com/JPKyVGXRRj",2,0,4,,
