username,date,time,tweet,likes,replies,retweets,retweet,hashtags
mghneurosurg,2018-07-04,01:38:11,Great faculty teaching and mentorship is our aspiration.  Kudos to Dr. Nahed for leading out @mghneurosurg! https://twitter.com/BrianNahed/status/1013983504646975488 …,20,0,1,,
mghneurosurg,2018-07-02,09:20:40,"Great to hear from @AANSNeuro President Shelly Timmons at our Grand Rounds this week.  Trauma specialist, AANS President, academic researcher: a true force for good in our specialty. pic.twitter.com/JWFnqd65S2",25,0,5,,
WTCNeuroscience,2018-06-30,10:13:11,Spine leader John Shin presenting at New England Neurosurgical Society Meeting.    Optimizing spinal surgery in cancer patients with fenestrated pedicle screws and cement augmentation.  Outstanding work! pic.twitter.com/UPuEQnWYkW,15,0,2,True,
JohnHShinMD,2018-03-02,06:36:01,Highlighting our @mghneurosurg adult #spine deformity #scoliosis program and team approach for complex spinal reconstruction @MassGeneralMDs https://twitter.com/spinalsurgnews/status/967022480614334465 …,8,0,4,True,"#spine,#scoliosis"
roelverhaak,2018-06-27,12:26:10,"Another gem from the Bergen meeting, with the honorable Dr's Suva from @MGHPathology and Cahill from @mghneurosurg pic.twitter.com/FC9nghE4lO",9,0,1,True,
mghneurosurg,2018-06-26,22:23:08,"Great to see @BrianHoh1 , an @mghneurosurg alum, take on this new challenge.  @UFHealth is fortunate to have such an outstanding leader at the helm of #Neurosurgery. https://twitter.com/ufhealth/status/1011723110918311938 …",10,0,2,,#Neurosurgery
mghneurosurg,2018-06-24,15:51:40,@mghneurosurg @MGHneurosurg faculty member and @braintumor surgeon @BrianNahed is an innovator in the fight against glioma.   Shown here performing MGH’s first fluorescence guided #glioblastoma resection.  #MGHfightsGBM pic.twitter.com/eOEOe9bdXG,36,1,15,,"#glioblastoma,#MGHfightsGBM"
mghneurosurg,2018-06-21,08:46:27,"Dr Larry Borges of @mghneurosurg , 16th Silber Lecturer, offered his perspective on spinal tumor surgery today in the Ether Dome.  So much progress through #teamwork! pic.twitter.com/Cm137hLfIF",14,0,0,,#teamwork
bobcartermd,2018-06-18,21:55:25,"Congrats  to our Chief Residents Andy Venteicher, Matt Mian, and Chris Stapleton.   Three terrific surgeons who did a great job leading the @mghneurosurg service this year. pic.twitter.com/cqVulBXHGQ",25,0,3,True,
MGHCancerCenter,2018-06-15,10:37:46,"Congrats to Pamela Jones, MD, a neurosurgeon at the #MGH Cancer Center, who is the #EverydayAmazing healthcare pro of this weekend's @RedSox games! Listen to Dr. Jones's @WEEI radio spot:  http://bit.ly/2leCy38  #GoSox pic.twitter.com/ADiL6UAQx0",23,1,6,True,"#MGH,#EverydayAmazing,#GoSox"
mghneurosurg,2018-06-12,09:04:02,"One of our amazing Chiefs this year, Andy Venteicher, shares operative insights with @harvardmed student Alexandra Larsen.  Great #teaching by a great surgeon. pic.twitter.com/jCU3rUPa4Z",33,1,3,,#teaching
mghneurosurg,2018-06-09,19:46:54,Team Harvard at the annual Neurosurgery Softball Tournament. @mghneurosurg @BWHNeurosurgery Great Event! pic.twitter.com/1R5VEpnK8f,25,0,3,,
mghneurosurg,2018-06-08,16:14:20,Please see our June lineup for Neurosurgery Grand Rounds. Which began with a great talk given by Dr. Simonyan from MEEI. #Neuroscience #CME pic.twitter.com/7aV3gJhIsi,9,2,4,,"#Neuroscience,#CME"
BryanDChoi,2018-06-02,09:53:38,CAR T for GBM?  Check out our new review for neurosurgeons @mghneurosurg In @TheJNS:   http://thejns.org/doi/abs/10.3171/2018.2.FOCUS17788 … pic.twitter.com/5w6xj62JtW,30,0,14,True,
umnneurosurgery,2018-06-01,08:42:05,"Dr. Bob S. Carter, professor of Neurosurgery, Harvard Medical School, discussing ""Leadership in Academic Neurosurgery"" with #UMN Neurosurgery Dept members. Later today, he will give the Shelley N. Chou Lecture. pic.twitter.com/9dJlF7w2Ku",14,0,4,True,#UMN
mghneurosurg,2018-05-23,21:26:20,"It is Stroke Awareness Week at Mass General. We are fortunate to have a fantastic neurointerventional team led by Drs Patel, Rabinov, and Leslie-Mazwi. pic.twitter.com/dPtNooLwWE",15,2,2,,
braintumor,2018-05-23,13:04:54,"@braintumor scientists led by Tracy Batchelor and Dan Cahill demonstrate that 2HG imaging can inform the phase I clinical trial on the biological effects of targeted therapies against mutant IDH1 gliomas, and potentially it could be used to guide future trial designs. pic.twitter.com/DuPpEsT1aA",11,0,5,True,
mghneurosurg,2018-05-23,12:52:55,"Congrats to @BryanDChoi , CAR T cell expert and @mghneurosurg resident on his recent @NREFORG awarded grant.  @NREFORG does important work to foster the next generation of neurosurgeon-scientists. https://twitter.com/BryanDChoi/status/999251753949450240 …",7,0,2,,
mghneurosurg,2018-05-22,22:21:31,"Boston has an amazing neuroscience community.  In 2018, make sure to see “The Beautiful Brain: The Drawings of Santiago Ramón y Cajal | MIT Museum”   https://mitmuseum.mit.edu/exhibition/beautiful-brain …",10,1,3,,
mghneurosurg,2018-05-22,16:28:11,Bringing science to the beside is integral to our neurosurgical mission. Unique moment captured at #aans2018 as @mghneurosurg's Fred Barker MD and Bob Carter MD PhD shared the podium following Dr. Carter's report on the @Tocagen sponsored Phase 1 trial of viral immunotherapy. https://twitter.com/Tocagen/status/996522162696536065 …,14,0,4,,#aans2018
mghneurosurg,2018-05-21,14:08:48,"Neurosurgery’s outstanding annual SNS meeting offers outstanding mentorship insights for educational leaders. Drs Barker, Patel, Duhaime, and Carter attending on behalf of @mghneurosurg program. pic.twitter.com/aImziGciYf",5,0,2,,
mghneurosurg,2018-05-21,09:20:45,"Brian Nahed, M.D. and Jorg Dietrich, M.D., Ph.D. recently did a pod cast on low grade gliomas and advances in surgical and medical therapy. @BrianNahed #GBM Please check out the link below: http://brainwaves.me/gliomas/ ",13,0,4,,#GBM
AANSNeurosurg,2018-05-18,11:05:15,"#AANSCautery provides hot tips for neurosurgeons twice a month, including tips from Drs. Bob Carter and Stan Pelofsky. Check out the archive page #neurosurgery @mghneurosurg http://bit.ly/2DEVO0g ",4,0,2,True,"#AANSCautery,#neurosurgery"
mghneurosurg,2018-05-18,10:18:27,"Congratulations to one of our Senior Residents, Marcus Zachariah, M.D., along with Joao Costa, Ph.D. and colleagues on an exciting review on liquid biopsies for brain tumors!Please see links below, for more details:   https://academic.oup.com/neuro-oncology/advance-article/doi/10.1093/neuonc/noy074/4994194?guestAccessKey=7fb610ca-29bc-43d8-bbaa-2c633b43e83e … https://twitter.com/BrianNahed/status/994740247660462080 …",21,0,5,,
JNeurooncol,2018-05-17,18:33:07,"Congratulations to Dr. Bob S. Carter, Chief of @mghneurosurg, for receiving the 2018 Journal of Neuro-Oncology Award! pic.twitter.com/gqEKJfaO2q",33,1,4,True,
mghneurosurg,2018-05-16,12:49:55,Please join us for our annual Neuro-Oncology conference on Hawaii's Big Island this July!  Registration details here!  http://hms-apno.com/  pic.twitter.com/jdKqUcGJNF,2,0,2,,
mghneurosurg,2018-05-16,11:34:00,"Ziv Williams, M.D., is a leading epilepsy and movement disorders neurosurgeon @mghneurosurg who is providing new insights into brain function through his cutting edge research. https://twitter.com/MGH_RI/status/996724103758450688 …",9,0,3,,
mghneurosurg,2018-05-16,11:26:40,"New ways, using cEEG, to predict ischemic risk for aneurysm patients who present with subarachnoid hemorrhage. Great collaborative project between @MGHNeurology , @MGHNeuroICU , @mghneurosurg. pic.twitter.com/6RJnE7dgMz",6,0,4,,
mghneurosurg,2018-05-15,22:34:45,"Great story involving former @mghneurosurg patient and physician to be, John Cassady and his own physician, @mghneurosurg alum and now Chair at @umnneurosurgery , Dr. Clark Chen. https://www.neurosurgery.umn.edu/news/modern-neurosurgery-helps-patient-overcome-daunting-disease-and-pursue-dream-becoming-doctor …",4,1,2,,
EmilyWCVB,2018-05-15,17:41:43,@mghneurosurg ICYMI: Our story with @MGHNeurosurg about a form of dementia that is TREATABLE. Normal pressure hydrocephalus - learn more here:  http://www.wcvb.com/article/boston-hospital-successfully-treats-certain-dementia-patients/20689494 … #wcvb,6,0,6,True,#wcvb
mghneurosurg,2018-05-14,12:05:55,"Join us on June 16th, all star line up at our Cerebrovascular Future of Care symposium!  http://www.mghcvfuturecare.org/  pic.twitter.com/1tXsGpYaRd",1,0,0,,
mghneurosurg,2018-05-11,19:18:11,Dr. Larry Borges of @mghneurosurg has one of the world’s largest series of spinal ependymomas.  See his narrative discussion of the surgical procedures at  https://neuroplex.us/2ICx5k8  pic.twitter.com/B5nBJoNDD5,9,1,4,,
MassGeneralMDs,2018-03-30,11:15:13,"Congrats to Brian Nahed, MD, who received the Young Mentor Award from HMS, which was established to recognize faculty who are in the early stages of their career, but who are still devoting time to mentor others. @BrianNahed @harvardmed",21,2,3,True,
mghneurosurg,2018-05-03,12:02:53,Our exciting May lineup for Grand Rounds. #Neuroscience #CME pic.twitter.com/KSdxRkyNbL,5,0,1,,"#Neuroscience,#CME"
mghneurosurg,2018-05-03,07:33:50,Prof Haggarty of @MGHNeurology presents at Neuroscience Grand Rounds. pic.twitter.com/b47RcLstXO,8,0,2,,
JohnHShinMD,2018-05-02,02:56:46,"Kicking off #GSCSingapore with @AOSpine tumor course. Great case based discussions from fellow faculty Ilya Laufer of @sloan_kettering, Rory Goodwin @Dukeneurosurg, Dan Sciubba @HopkinsMedicine to get things started. pic.twitter.com/ZyszrOklif",18,0,3,True,#GSCSingapore
mghneurosurg,2018-04-29,18:41:16,Proud of two inspiring @mghneurosurg alums and their leadership of @NSTumorSection https://twitter.com/stevekalkanismd/status/990690150819737600 …,11,0,2,,
mghneurosurg,2018-04-24,11:57:56,Spring seems to have finally arrived in Boston!  MGHers relaxing on the Bullfinch Lawn. pic.twitter.com/6fZRELsvwW,5,0,0,,
mghneurosurg,2018-04-23,10:50:13,Led by @AmanBPatel and @JohnHShinMD @mghneurosurg  team members had a great time at the @BAFOUND arterial challenge. pic.twitter.com/HRDCMsklSN,6,0,1,,
mghneurosurg,2018-04-01,16:08:21,"Neurosurgeon Dan Cahill MD PhD is a world leader in the genetics, pathophysiology and therapy of IDH1 mutant tumors.  Kara Warner, NP JD works closely with our physician team as a nurse practitioner.  #teamwork @mghneurosurg pic.twitter.com/VZop8Wf4U1",22,1,3,,#teamwork
mghneurosurg,2018-03-31,07:45:35,"The inventor of viral oncolytic therapy, Dr. Robert Martuza. Surgeon and scientist.  @mghneurosurg @braintumor innovator. pic.twitter.com/ERLmdiqJW4",19,0,6,,
mghneurosurg,2018-03-21,22:02:49,One of our superstars! Kara Warner JD NP.  http://bit.ly/2ImTaA8  pic.twitter.com/DUWSQdBt6Z,9,0,1,,
mghneurosurg,2018-03-21,13:44:40,Please view our upcoming Grand Rounds Schedule. @mghneurosurg #Neurosurgery pic.twitter.com/AX3x2Xvcyx,6,0,0,,#Neurosurgery
mghneurosurg,2018-03-20,22:15:21,Is there a better way to quantitate mass effect from GBM tumors?  See  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5809591/pdf/41598_2018_Article_21147.pdf … …implications for clinical studies of GBM. pic.twitter.com/cChKezeRDL,10,0,5,,
mghneurosurg,2018-03-20,11:33:40,Welcoming Dr. Petra Klinge   http://www.brownneurosurgery.com/our-doctors/petra-klinge.asp … on the topic of “Translational research in cognition and cognitive function in hydrocephalus” this Thursday in the EtherDome.,9,0,1,,
mghneurosurg,2018-03-18,18:13:37,"Wael Asaad, MD PhD an alum of @mghneurosurg returned to the EtherDome to lecture on how the prefrontal cortex tackles the credit assignment problem.  Fascinating insights into how the PFC helps us learn from our successes by assigning “credit"" to the correct casual influences. pic.twitter.com/CsIbFtpkyI",6,0,1,,
mghneurosurg,2018-03-18,17:59:27,Welcome to the newest resident members of @mghneurosurg. Great to have Pranav Nanda and Gabriel Friedman on board! pic.twitter.com/iuRyo5gp37,36,0,5,,
JohnHShinMD,2018-03-17,07:28:06,@mghneurosurg spine rising star @VijayYanamadala presents our MGH #cervicalspine deformity surgery team approach #SpineSummit pic.twitter.com/tLd1qjNxrF,8,0,2,True,"#cervicalspine,#SpineSummit"
BryanDChoi,2018-03-17,17:47:03,Great to share how genetic data might inform surgical decision-making for patients with metastatic spine disease.  Thanks @JohnHShinMD! https://twitter.com/JohnHShinMD/status/974979509328982017 …,10,0,3,True,
norocardiology,2018-03-13,12:41:33,"TOPICAL REVIEW on Diagnosis, Natural History & Treatment of Cavernous Malformations by Drs Stapleton & Barker @mghneurosurg @braintumor @MGH_RI Annual @BrainBleeds rate of 2.5% @BrianHoh1 @guroledip  http://brainbleed.com  @brianwalcottMD @StrokeAHA_ASA  http://bit.ly/2pbP2Kf  pic.twitter.com/rWNlLPo0Tw",23,0,14,True,
JohnHShinMD,2018-03-15,15:32:54,@ClevelandClinic Superstar @mghneurosurg Ganesh Shankar and @clevelandclinic spine fellow presents Kuntz Award Top Abstract on our renal cell #cancer #spine research @spinesection meeting. Improved survival with targeted therapy. #SpineSection #Spine18 #SpineSummit #mentorship pic.twitter.com/vFfUuKeR6l,14,0,7,True,"#cancer,#spine,#SpineSection,#Spine18,#SpineSummit,#mentorship"
JohnHShinMD,2018-03-16,21:07:56,Great night out with our @mghneurosurg spine team and family! Proud of our residents presenting and sharing our research. pic.twitter.com/ch9WMkWiSz,13,0,3,True,
MyronRolle,2018-03-16,12:54:59,Congrats to Gabe Friedman and Pranav Nanda for matching into @mghneurosurg!! Exciting day! #2%,19,2,2,True,#2
JohnHShinMD,2018-03-16,11:51:16,Robbie Koffie @mghneurosurg #harvard resident presents our spine #metastases research this morning. Factors associated with readmissions.  @spinesection meeting #SpineSection #Spine18 #SpineSummit pic.twitter.com/RLbLsMmadP,9,0,8,True,"#harvard,#metastases,#SpineSection,#Spine18,#SpineSummit"
IsaacYang,2018-02-15,18:23:29,@UCLAHealth @NSTumorSection @mghneurosurg Dr. Fred Barker @nstumorsection #meningioma #nasbs2018 #braintumor #neurosurgery #greattalk #neurosurgeon #makingadifference @loewscoronado @uclahealth @dgsomucla  @uclaneurosurgery @isaacyangmd  http://ift.tt/2Hge7Mu  pic.twitter.com/GIlCFTlhun,5,0,1,True,"#meningioma,#nasbs2018,#braintumor,#neurosurgery,#greattalk,#neurosurgeon,#makingadifference"
BrianNahed,2018-02-16,15:22:54,"Honored to present our work Developing the first Blood Test for Brain Cancer alongside Drs. Stott, Dr. Tannous, and Dr. Lotvall @TriConference .  Our aim - A real-time liquid biopsy for brain tumor patients!  @mghneurosurg, @MGHCancerCenter, #Glioblastoma, @FightBrainTumor @VABC pic.twitter.com/7Qzhr85NY2",18,0,4,True,#Glioblastoma
WTCNeuroscience,2018-02-14,17:13:09,Great meeting: AACR Special Conference on Immunobiology of CNS Cancer.  Presented our work on combination immunotherapy for glioma - lots of interest! pic.twitter.com/opusP6Spb4,15,0,6,True,
mghneurosurg,2018-02-14,20:46:32,Noted: New blood test for concussion is approved by FDA. https://www.nytimes.com/2018/02/14/health/concussion-fda-bloodtest.html …,12,0,8,,
mghneurosurg,2018-02-07,21:08:02,Highlighting the great work of @AmanBPatel and team in aneurysm care and support. http://www.wcvb.com/article/brain-aneurysm-survivors-share-unique-support-after-ruptures/16673209 …,6,0,0,,
MassGeneralNews,2018-02-03,13:41:33,#MGH @Patriots medical team ready to go for #SuperBowlLII pic.twitter.com/AvaLCNG3A6,63,1,18,True,"#MGH,#SuperBowlLII"
mghneurosurg,2018-01-27,13:26:54,@OSUWexMed We enjoyed having Professor Prevedello update us on his work in skull-base surgery.  #outstandingeducator pic.twitter.com/vvsmQ1udDM,1,0,1,,#outstandingeducator
JoshuaAHirsch,2018-01-24,16:46:49,So proud of my #MGH colleague Dr. “Bay” Leslie-Mazwi presenting the new @StrokeAHA_ASA @AHAScience for stroke at #ISC18. Dramatic changes presented by a #Phenomenal #physician & #friend #MGH @MassGeneralMDs @MassGeneralNews @mghneurosurg @MGHNeurology @MGHImaging pic.twitter.com/CZubOy6zPr,35,1,15,True,"#MGH,#ISC18,#Phenomenal,#physician,#friend,#MGH"
mghneurosurg,2018-01-24,15:58:36,Great support for endovascular neurointervention for stroke! https://twitter.com/JoshuaAHirsch/status/956247879450054657 …,12,0,3,,
mghneurosurg,2018-01-13,19:27:30,@mghneurosurg faculty @BrianNahed and @JohnHShinMD serving as UNC's at tonight's playoff game. #GoPats #staywarm pic.twitter.com/Z8EWchXIKU,3,0,0,,"#GoPats,#staywarm"
mghneurosurg,2018-01-13,07:10:11,"#FunctionalNeurosurgery is one of the most exciting Divisions of @mghneurosurg. Collaborations with @MGHNeurology , @MGHPsychiatry, @MIT, @Harvard abound. We are seeking a new Director of Functional and Restorative Neurosurgery @MassGeneralNews, @harvardmed to lead our program. pic.twitter.com/42Yq9hYT7l",3,0,1,,#FunctionalNeurosurgery
mghneurosurg,2018-01-13,06:54:05,We are seeking a new Director of Functional and Restorative #neurosurgery at MGH and Harvard Medical School.  An outstanding #neurosurgeon leadership opportunity.  More details at:   https://fa.hms.harvard.edu/files/hmsofa/files/195sr_mgh_professor.assoc_.neurosurgery.director.functional_12-7-17.pdf …,3,0,0,,"#neurosurgery,#neurosurgeon"
mghneurosurg,2018-01-12,21:55:33," https://neuroplex.us/waveletwilliambutler …  A creative tour de force from pediatric neurosurgeon, Dr. William Butler at MGH.  Exploring the ‘why’ of cerebrospinal fluid and the ventricles in the human brain.",7,0,1,,
mghneurosurg,2018-01-12,11:19:23,Grand Rounds in January and February. pic.twitter.com/aVao0WbqnO,5,1,1,,
mghneurosurg,2018-01-05,05:36:00,Early morning #teamwork at the Bulfinch building @MassGeneralNews pic.twitter.com/FEMRwnnIpr,40,0,10,,#teamwork
mghneurosurg,2018-01-03,16:53:48,"@AmanBPatel, Vice-Chair for Clinical Affairs @mghneurosurg, leads our Neurovascular Unit and thrombectomy team that includes Dr. Jim Rabinov and Dr. Thabele Leslie-Mazwi, MD.  Studies like these show the value of neuro-intervention. https://twitter.com/NEJM/status/948676635468926977 …",4,0,3,,
mghneurosurg,2018-01-01,22:24:06,Always wonderful to see this outcome for CSF diversion for NPH. https://twitter.com/jvcoumans/status/948022895070064640 …,3,0,4,,
mghneurosurg,2017-12-24,10:12:07,@mghneurosurg seconds that!  Great working @nsanar and all our friends from @MGHNeurology this year! https://twitter.com/nsanar/status/944776619113304064 …,4,0,0,,
mghneurosurg,2017-12-21,23:09:06,Dr. Pamela Jones has joined the faculty of @mghneurosurg.   Dr. Jones trained at the MGH and was on faculty @UCSDNeuroSurg prior to returning to MGH where she specializes in neurosurgical oncology with emphasis on pituitary tumors.  Learn more at  https://neuroplex.us/drpamelajones  pic.twitter.com/csgZh9P0XU,17,0,2,,
mghneurosurg,2017-12-20,22:21:20,"Years ago, @harvardmed Dean @G_Q_Daley was premedical advisor to @HarvardUniv undergraduate William Curry.  Last week, Dean Daley welcomed Dr. Curry to the rank of full Professor of Neurosurgery at HMS.  An example of great #mentorship, an aspiration of all of our faculty. pic.twitter.com/WckP764lxD",55,1,6,,#mentorship
mghneurosurg,2017-12-19,01:00:03,Found on the hall in the main corridor of the White Building at MGH. Number one characteristic we seek in our residents! pic.twitter.com/CKtL64yDuM,19,0,4,,
BrianNahed,2017-12-14,15:55:29,"Congratulations to Professors Barker, Carter and Curry!  @mghneurosurg pic.twitter.com/uES987whZC",19,0,1,True,
mghneurosurg,2017-12-07,15:15:23,"Terrific visit for @mghneurosurg's Dr. Carter to @MountSinaiNeuro, especially to witness the impact of @JoshBedersonMD and faculty of @MountSinaiNYC who are leading a great group of #nextgenerationneurosurgeons to new heights in the field of #neurosurgery. https://twitter.com/MountSinaiNeuro/status/938455673624518658 …",8,1,1,,"#nextgenerationneurosurgeons,#neurosurgery"
mghneurosurg,2017-12-07,07:30:43,Grand Rounds December.  Happy Holidays! pic.twitter.com/Ibi9dOePjH,2,0,1,,
JohnHShinMD,2017-11-08,19:39:16,Great visit to #massgeneral partner #Shanghai Jiahui Hospital. New cancer programs on the horizon. pic.twitter.com/1NWtEtWTGT,6,0,2,True,"#massgeneral,#Shanghai"
mghneurosurg,2017-12-01,20:29:04,"Harvard-Yale exchange of ideas as Dr Carter offers Gregory M Kiez memorial lecture on #exosomes.  Outstanding @YNeurosurgery group led by Drs Gunel, Abbed and Chief Resident Eyiyemisi Damisah.  Visit the @YaleMed Cushing Center if you can. Fascinating historical display. pic.twitter.com/68SenZ7Aum",15,0,6,,#exosomes
mghneurosurg,2017-11-29,06:05:10,"Faculty member, rock climber, and expert in spine surgery @jvcoumans of @mghneurosurg shares tips on preparation for tough climbs; sounds a lot like getting ready for a challenging surgery. https://twitter.com/jvcoumans/status/935683798485880832 …",3,0,1,,
MountSinaiNeuro,2017-11-17,13:27:08,"The Department of #Neurosurgery is very excited for the #Hollin2017 lecture on 12/6. This year's honored speaker is @mghneurosurg's Bob S. Carter, MD, PhD.  https://events.mountsinaihealth.org/event/Hollin2017 … pic.twitter.com/yDYcLWBMlD",11,0,7,True,"#Neurosurgery,#Hollin2017"
mghneurosurg,2017-11-15,23:44:10,Dr. Eskandar Rounds. pic.twitter.com/hqsgI8RLRa,10,0,3,,
braintumor,2017-11-13,06:55:55,"Dr Carter of @mghneurosurg visited West China Hospital and Zigong Provence Hospital with Drs Xu, You, and Cheng and @umnneurosurgery Chair Clark Chen. Great opportunity to share updates on @braintumor research. pic.twitter.com/hCX9a5KudH",8,0,3,True,
mghneurosurg,2017-11-11,14:42:56,DAWN trial results.  Impressive! https://twitter.com/nejm/status/929341761041858563 …,6,0,1,,
graffeo,2017-11-11,12:26:10,"Fantastic @MayoClinicNeuro 2017 Research Symposium keynote talk from Dr Barker of @mghneurosurg, ""Why do our trials fail?"" pic.twitter.com/rbpu5v094Q",6,0,3,True,
VijayYanamadala,2017-11-04,20:41:36,Proud to be with Deeptee Jain and Ahilan Sivaganesan at NASS. @mghneurosurg @AhilanSiva @deepteejain pic.twitter.com/HbRg0t44WP,9,2,2,True,
JohnHShinMD,2017-11-04,04:11:37,Honored to present @mghneurosurg #cervicalspine deformity work and research in Beijing. With @MassGeneralMDs spine team Tom Cha & Joe Schwab pic.twitter.com/CqCUlOWu05,10,0,3,True,#cervicalspine
JoshuaAHirsch,2017-10-30,19:43:33,#awesome #wow Dr. Bay #hero to the #stroke community #WorldStrokeDay @MGHImaging @mghneurosurg @MGHNeurology @MassGeneralMDs @SNISinfo 👍👍👍👍 https://twitter.com/survivestroke/status/925010026535714816 …,10,0,4,True,"#awesome,#wow,#hero,#stroke,#WorldStrokeDay"
