username,date,time,tweet,likes,replies,retweets,retweet,hashtags
DrSteinbaum,2018-07-18,17:26:33,~1/2 American adults have hi BP- let's do better! That’s why I focus on prevention & why @American_Heart updated its BP guidelines. I talked w/EVP @HeatherKinder1 re: real-life ways the new guidelines are helping to advance wellbeing. #livefromtheheart http://youtu.be/I-UiW1nR4h8 ,2,0,0,True,#livefromtheheart
DrSteinbaum,2018-07-16,12:55:26,"There's a lot of confusion- what diet plans & #prevention strategies are right for us? Is it one-size-fits-all, or do you need special tests to determine what will work best for your body? I clear things up in my new blog - check it out!#livefromtheheart https://bottomlineinc.com/blogs/at-the-heart-of-it-all/personalize-heart-disease-prevention …",3,0,0,True,"#prevention,#livefromtheheart"
DrSteinbaum,2018-07-15,13:47:28,"W/Dr Vivian Pinn, 1st Dir, @NIH_ORWH. To hear her speak is a gift. She IS the history of women’s health. Know this- she has fought hard for us. Carolee, founder of @AccessCircles, eloquently began the forum, “Stretch Your Mind. Stir Your Spirit. Move Your Soul.” #livefromtheheart pic.twitter.com/EwXjQg3L57",1,0,0,True,#livefromtheheart
DrSteinbaum,2018-07-14,10:32:40,Latest from Dr. Suzanne Steinbaum  http://drsuzannesteinbaum.com/blog/2018/07/14/latest-from-dr-suzanne-steinbaum-123/ … pic.twitter.com/yxvZBdYUVY,1,0,0,True,
DrSteinbaum,2018-07-14,10:06:41,"Honored to be in a room like this....Reminding all of us of the connection between research & patients, data & education, information & empowerment.I am always inspired and invigorated, and always getting back more than I give.Thank you @AccessCircles! #livefromtheheart pic.twitter.com/Ozp9lQKf9e",3,0,0,True,#livefromtheheart
DrSteinbaum,2018-07-12,22:22:38,@American_Heart new BP guidelines: https://bit.ly/2L3QZ8D ,0,0,0,True,
DrSteinbaum,2018-07-12,22:20:57,"How do we protect our brains as we age? It has lots to do w/risk factors of #heartdisease. New @American_Heart blood pressure guidelines show us the importance of getting BP to goal, for heart health & brain health as well.#livefromtheheart http://www.cnn.com/2018/07/11/health/blood-pressure-alzheimers-disease-study/index.html&source=gmail&ust=1531462982819000&usg=AFQjCNHVA38931obdZnVh8EOFBBvm6cOcg …",3,1,1,True,"#heartdisease,#livefromtheheart"
DrSteinbaum,2018-07-11,21:49:48,"And now, switching to work mode....Getting ready to present on the Heart and Mind connection. Don’t underestimate the power of #prevention. #livefromtheheart pic.twitter.com/riK2pLWVEZ",2,0,0,True,"#prevention,#livefromtheheart"
DrSteinbaum,2018-07-11,18:34:54,Life always depends on your #perspective...#livefromtheheart pic.twitter.com/37E8vzRkGa,1,0,0,True,"#perspective,#livefromtheheart"
DrSteinbaum,2018-07-10,14:13:34,"#Findyourbliss, your place where you can reenergize and reboot.Mine is in the mountains...skiing in the winter, hiking in the summer...The mountain air, the sounds of the birds, the smell of the flowers and the peace of nature.#livefromtheheart pic.twitter.com/y1IBjrZuBD",3,0,0,True,"#Findyourbliss,#livefromtheheart"
DrSteinbaum,2018-07-06,22:22:52,"A patient was flipping through @Delta @InsideSKY while waiting for take-off, and spotted... me! Thrilled to be able to #SpreadTheWord of living from the heart from coast to coast, continent to continent, and across the friendly skies!#livefromtheheart pic.twitter.com/nUSpMCbOSt",3,0,0,True,"#SpreadTheWord,#livefromtheheart"
