username,date,time,tweet,likes,replies,retweets,retweet,hashtags
hunter_alexan,2018-07-18,09:57:59,"This CME paper (accompanied by two technique videos) details periorbital surgical anatomy, preoperative planning, and varied blepharoplasty approaches and techniques:  https://academic.oup.com/asj/advance-article/doi/10.1093/asj/sjy034/4883186 … #plasticsurgery #anatomy #CME #oculoplastic #aging #blepharoplasty pic.twitter.com/q3DEjn8asw",18,1,10,True,"#plasticsurgery,#anatomy,#CME,#oculoplastic,#aging,#blepharoplasty"
hunter_alexan,2018-07-10,10:49:07,What's the value of a dedicated multimedia-based aesthetic curriculum during plastic surgery residency?  https://academic.oup.com/asj/advance-article/doi/10.1093/asj/sjy110/4992517 … #plasticsurgery #residency #MedEd pic.twitter.com/Uw8apZyl7E,21,1,13,True,"#plasticsurgery,#residency,#MedEd"
MiingargiolaMD,2018-07-09,20:22:26,Let’s go #Belgium ! #WorldCup2018,0,0,0,True,"#Belgium,#WorldCup2018"
hunter_alexan,2018-07-07,19:24:34,"What are the complication rates between smokers & nonsmokers undergoing common cosmetic procedures, and are there specific procedures where smoking increases the risk of complications?  https://academic.oup.com/asj/advance-article/doi/10.1093/asj/sjy088/4962452 … #plasticsurgery #smoking #patientsafety @DrCKaoutzanis @DrWinocour pic.twitter.com/RxjcIC5gHF",49,1,19,True,"#plasticsurgery,#smoking,#patientsafety"
prsjournal,2018-07-07,16:31:03,Staying Safe during Gluteal Fat Transplantation http://dlvr.it/QZpj66 ,17,0,9,True,
MiingargiolaMD,2018-07-04,14:56:33,"Celebrating/breaking in the new interns and a couple fresh Sub-Is @ Manhattan, New York  https://www.instagram.com/p/Bk0F7HRnxCR/?utm_source=ig_twitter_share&igshid=1i9ifoh6x9e15 …",1,0,0,True,
prsjournal,2018-07-03,16:19:02,Optimal Use of Surgical Drains: Evidence-Based Strategies http://dlvr.it/QZN1jT ,21,0,7,True,
MiingargiolaMD,2018-07-04,10:03:45,July effect in #plasticsurgery has been shown to be untrue @MSHSSurgery . We stick with the new interns the first month and make sure they learn and everything is done safely. Busier for us but safer for the patients !  #plasticsurgery  https://twitter.com/eugenegu/status/1013556846446039040 …,5,0,0,True,"#plasticsurgery,#plasticsurgery"
MiingargiolaMD,2018-07-01,16:49:10,I will let you know tomorrow when the new interns roll in ... #Julyeffect #interns https://twitter.com/hunter_alexan/status/1013536440112775173 …,9,0,3,True,"#Julyeffect,#interns"
MiingargiolaMD,2018-07-01,13:29:39,"Just a complete embarrassment, unclear how I got this far. Freshman year and senior year in high school. #teendayschallenge  https://www.instagram.com/p/BkspnlontEV/?utm_source=ig_twitter_share&igshid=13h7hnnti9v3m …",5,2,0,True,#teendayschallenge
