username,date,time,tweet,likes,replies,retweets,retweet,hashtags
alomda_2,2018-06-28,04:52:15,⁦@CardioAlex⁩ pic.twitter.com/fxsLF5O2Qw,2,0,0,,
alomda_2,2018-06-28,00:03:41,Attending @CardioAlex 2018 in my beloved Hometown Alexandria!,3,0,0,,
alomda_2,2018-06-08,07:27:47,"Certainly true, however I would add in the hands of a humbled physician https://twitter.com/sjauhar/status/1004913272741662722 …",1,0,0,,
alomda_2,2018-06-07,09:20:34,Wow! Unreal! https://twitter.com/luis_arboine/status/1004551168675196929 …,2,0,0,,
alomda_2,2018-06-06,15:48:44,First encounter with failed Sorin DF lead implanted in 2015 with the RESPOND-CRT trial. 50 ICD shocks. No #Sorin #LivaNova or #MicroTech support. Had to extract the Son-R tip atrial lead as well and reinplant a new system. No replacement battery in the US!!!!! Is that real? pic.twitter.com/2FkdWOy31E,5,0,3,,"#Sorin,#LivaNova,#MicroTech"
DoctorPhillEP,2018-06-05,20:20:04,"I can't believe I'm writing this: WAY TO GO FIFA! (You're still deeply corrupt, but) I'm proud that there is Sudden Cardiac Arrest awareness in the locker room. https://twitter.com/HRSonline/status/1004096796568801280 …",13,1,2,True,
alomda_2,2018-06-06,10:26:05,Beautiful HIS pacing case! @MDT_Cardiac #dontdisthehis #EPeeps pic.twitter.com/afrAI3Ggs9,5,0,1,,"#dontdisthehis,#EPeeps"
AllisonRBond,2018-05-31,18:23:14,"Telling clinicians to avoid burnout via so-called 'resilience' in our dysfunctional, draining medical system is kinda like when your older brother used to slap you with your own hand. ""Why are you hitting yourself? Why are you hitting yourself? Stop hitting yourself!""",2003,58,612,True,
cardiojaydoc02,2018-06-02,16:08:33,@jedicath @kwoolfmd Here you go...you can save it. Thx for the inspiration. 👍🏾 pic.twitter.com/Yr0TIZiVDm,15,2,7,True,
alomda_2,2018-06-01,06:38:43,"Extremely satisfying TWO VT's sharing Outer Loop in a patient with incessant VT and ICD firings, non-inducible afterward! #Stereotaxis + @puneetmapshear1 #CARTO + #RIPPLE = Best results, @DrRoderickTung @Peteweissmd @True_EP @aalahmadmd @narrowQRS @andreanatalemd pic.twitter.com/WlHrW1pVxo",6,0,2,,"#Stereotaxis,#CARTO,#RIPPLE"
