username,date,time,tweet,likes,replies,retweets,retweet,hashtags
andrewdunn111,2018-04-10,07:30:06,SHH! @mshshospitalist Michael Herscher presenting his Sleep Hygiene in the Hospital study at @SHMLive #HospMed18 pic.twitter.com/9Bzf06blb1,6,0,2,True,#HospMed18
gracefarris,2018-01-02,09:22:34,"New year, new comic! Back to Work | Ann Intern Med | ACP |  http://bit.ly/2CE94n4  #PMG pic.twitter.com/SeNsz7ZWxt",16,0,4,True,#PMG
andrewdunn111,2017-12-28,07:01:03,"Impressive group leading this high value alliance, including @mshshospitalist @HyungChoMD https://twitter.com/hvpaa/status/945789742225985536 …",3,1,1,True,
andrewdunn111,2017-12-05,13:01:05,Great fun as a @mshshospitalist pitch day judge for the Sinai student HVC projects. Hard to choose a winner. All terrific! pic.twitter.com/oqXrLE6ZKw,8,0,4,True,
richpizzi,2017-11-21,14:15:06,Reducing harm: #ChoosingWisely shifts focus to implementation  http://www.the-hospitalist.org/hospitalist/article/152629/reducing-harm-when-doing-less-enough … @SHMLive #hospitalists,8,0,3,True,"#ChoosingWisely,#hospitalists"
SHMLive,2017-11-19,10:25:06,#Antibiotics after #incision and drainage for simple #abscesses improves outcomes: http://ow.ly/p3Jf30gEekZ ,4,0,1,True,"#Antibiotics,#incision,#abscesses"
SHMLive,2017-11-06,11:50:14,#Mortality risks associated with emergency admission during weekends and public holidays: http://ow.ly/1AIA30go5TA ,3,0,1,True,#Mortality
SHMLive,2017-11-11,09:50:12,#Antiplatelet therapy can be continued through #surgery without increased risk of reintervention for #bleeding: http://ow.ly/JDIX30gv8ZZ ,3,0,4,True,"#Antiplatelet,#surgery,#bleeding"
SHMLive,2017-11-16,12:00:27,Elderly #patients’ view and the discussion of discontinuing #cancer screening: http://ow.ly/37sz30gCRtG ,4,0,1,True,"#patients,#cancer"
gracefarris,2017-11-16,13:49:23,@MountSinai @andrewdunn111 @mountsinai @MSWSL_Library grand rounds on Direct Oral Anticoagulants #graphicmedicine pic.twitter.com/8b7eYVS5Jk,3,0,2,True,#graphicmedicine
andrewdunn111,2017-11-15,14:53:28,@mshshospitalist Sinai hospitalist mentors from across the system together last night for dinner and to share mentorship tips and experiences. pic.twitter.com/UCeDzNSick,5,0,2,True,
