username,date,time,tweet,likes,replies,retweets,retweet,hashtags
LeeLindquistMD,2018-07-24,15:21:23,Thank you for AWESOME experience today in Boston! Amazing people! @MGHPallCare @NorthwesternMed #Geriatrics pic.twitter.com/mx11kOmZiZ,2,0,1,True,#Geriatrics
NorthwesternMed,2018-07-24,13:34:04,Thank you @_workingmother_! We're honored to receive this recognition #DBPInclusionIndex https://twitter.com/_workingmother_/status/1021784571380039680 …,8,1,1,True,#DBPInclusionIndex
DrStreicher,2018-07-24,10:45:01,@NorthwesternMed Bayer Announced It Will Stop Selling  #Essure. Should women who currently have an ESSURE  have it removed? Tune in tomorrow  @WGNMorningNews  9:15  https://www.self.com/story/bayer-stop-selling-essure-in-the-us … via @SELFmagazine @northwesternmed,4,0,3,True,#Essure
NorthwesternMed,2018-07-24,11:00:30,"Hey, parents! Beat the #stress of #summervacation with these #selfcare tips from a Northwestern Medicine psychologist. http://bit.ly/2NJ5XOX ",0,0,0,True,"#stress,#summervacation,#selfcare"
babaksjahromi,2018-07-23,13:38:06,Drs. Ansari and Darwish representing @NorthwesternMed at @SNISinfo #SNIS2018 meeting! pic.twitter.com/mYTUzP0fOZ – at Hilton San Francisco Union Square,18,0,6,True,#SNIS2018
NorthwesternMed,2018-07-21,11:00:12,#TAVR procedures are providing patients with a minimally invasive alternative to open heart surgery. #Cardiology http://bit.ly/2mz4xeF ,1,0,1,True,"#TAVR,#Cardiology"
NorthwesternMed,2018-07-20,11:00:18,Combat #Alzheimers and #Parkinsons with some #summerfun and #aerobics. http://bit.ly/2NyIX59 ,4,1,3,True,"#Alzheimers,#Parkinsons,#summerfun,#aerobics"
NorthwesternMed,2018-07-19,14:35:48,Who says cake can't be #brainfood? 🧠🎂😋 #NMNeurology #NMBetter pic.twitter.com/fSEbIgrKu4,11,0,1,True,"#brainfood,#NMNeurology,#NMBetter"
NorthwesternMed,2018-07-19,14:19:36,"Alcohol-related liver deaths have skyrocketed among millennials, according to a new study. Haripriya Maddur, MD, transplant hematologist at Northwestern Memorial Hospital, weighs in. https://www.nbcnews.com/health/health-news/deaths-liver-disease-are-surging-drinking-blame-n892521?sf90615189=1 …",8,1,5,True,
DrStreicher,2018-07-19,13:35:00,Does #chocolate cause #migraines? #Coffee prolong life? #Fertility treatments promote #ovarian cancer?  http://bit.ly/2L6BCgI … for this mornings segment on @WGNMorningNews @NorthwesternMed pic.twitter.com/jP4DvsQQNx,3,0,2,True,"#chocolate,#migraines,#Coffee,#Fertility,#ovarian"
NUFeinbergMed,2018-07-19,11:18:57,"Scientists @NorthwesternMed have discovered a protective cellular mechanism that kicks in during iron deficiency, keeping cells running even in the face of continued iron deprivation, according to a study published in @PNASNews:  http://bit.ly/2mt6MzW  pic.twitter.com/F5A5YwuLoQ",4,0,2,True,
dianebwayne,2018-07-18,22:18:46,A beautiful night and a great event with amazing colleagues!!  #purplepride #summerinchicago #WomenofNorthwestern https://twitter.com/NU_WFO/status/1019740789604257794 …,12,0,3,True,"#purplepride,#summerinchicago,#WomenofNorthwestern"
NorthwesternMed,2018-07-19,11:00:19,Northwestern Medicine is taking the lead in finding new ways treat the number one cause of death in the world. http://bit.ly/2msxc4X ,6,0,3,True,
NorthwesternMed,2018-07-18,15:14:17,Could a #ChicagoHotDog ever be considered healthy? We dare you to try. Check out our step-by-step recipe! #NationalHotDogDay  http://bit.ly/2Ns6ODO  pic.twitter.com/6cI9ogqO4H,7,0,3,True,"#ChicagoHotDog,#NationalHotDogDay"
magdymiladmd,2018-07-18,14:08:39,It was an honor to care for you and help with your #fibroids ⁦@NorthwesternMed⁩. https://wgntv.com/2017/10/23/fibroids-and-fertility/ …,11,0,2,True,#fibroids
NorthwesternMed,2018-07-18,11:00:16,New research from Northwestern Medicine shows potential for reducing the severity of #allergicreactions. http://bit.ly/2NsSACn ,2,0,0,True,#allergicreactions
NorthwesternMed,2018-07-18,11:00:13,"Healthcare providers are invited to attend the 2018 Northwestern Medicine Comprehensive Stroke and Cerebrovascular Conference on Saturday, October 13 at the Hyatt Centric Chicago Magnificent Mile. Book your seat now! http://bit.ly/2NmRYyj ",7,0,2,True,
NMCardiology,2018-07-18,10:40:11,@NorthwesternMed @CountryPumpDoc speaks to @Suntimes and @chicagotribune about the rare heart condition that tragically took the life of a @ChicagoFireDep rescue diver: https://chicago.suntimes.com/news/juan-bucio-cfd-diver-autopsy/ …,1,0,2,True,
NorthwesternMed,2018-07-18,10:26:03,"Due to increased patient volumes, expect extended wait times in the Kishwaukee Hospital Emergency Department. For minor illnesses or injuries, please consider visiting your primary care physician or Northwestern Medicine Convenient Care Sycamore located at 1850 Gateway Drive.",3,1,4,True,
NorthwesternMed,2018-07-18,09:59:54,We'll be LIVE on @facebook today at 1:15pm CST with two of our @NMCardiology physicians! Tune in to learn more about the latest advances in #cardiacsurgery at Northwestern Medicine. #HeartHealth #Cardiology pic.twitter.com/I1rHkTF77c,7,0,5,True,"#cardiacsurgery,#HeartHealth,#Cardiology"
iamkasmer,2018-07-17,18:40:20,"#behindthescenes @NorthwesternMed’s Haripriya Maddur, MD speaks with @DrJohnTorres about the rising number of millennials being diagnosed with #liverdisease ! Tune in to @NBCNightlyNews tomorrow evening! pic.twitter.com/SVcmyGJTFJ",16,0,7,True,"#behindthescenes,#liverdisease"
MegsMcCann,2018-07-17,19:20:45,Always a good day working with @NBCNewsHealth! Looking forward to their upcoming segment on @NorthwesternMed’s efforts to address the opioid epidemic. @JJStulberg pic.twitter.com/JeQk2c8rcV,14,1,5,True,
NUFeinbergMed,2018-07-18,09:40:33,Scientists have identified thousands of molecules unique to human fat cells that may play an important role in fat metabolism.  http://bit.ly/2zZiaNR  #metabolism #genetics @sciencemagazine pic.twitter.com/HQBcZcINDk,2,0,1,True,"#metabolism,#genetics"
NorthwesternMed,2018-07-17,16:52:53,"Martella, a longtime friend and fellow Northwestern Medicine nurse, surprised @BonnieHunt_real on the set of @WindyCityLIVE earlier today. Thank you both for touching the lives of so many patients in and outside these hospital walls! pic.twitter.com/zEAmMS82RR",19,0,5,True,
NorthwesternMed,2018-07-17,14:00:15,"#CardiacSurgery is one of the most rapidly evolving fields of medicine. Join us LIVE on Wednesday, July 18 at 1:15pm CST to learn how Northwestern Medicine is pioneering these incredible advances. pic.twitter.com/KCgek5rsXQ",8,0,2,True,#CardiacSurgery
NorthwesternMed,2018-07-17,11:33:29,"On @QueerEye, the #Fab5 share more than fashion advice, but also how to talk with others who have differing ideologies. Dr. Reinecke, chief psychologist, offers tips to @chicagotribune on how to have productive conversations when discussing tough topics. http://www.chicagotribune.com/lifestyles/sc-fam-queer-eye-political-differences-0724-story.html …",10,0,3,True,#Fab5
NeurosurgeryNM,2018-07-17,09:10:16,Do you #crossfit? @NaderDahdaleh & research team have published 20 papers recently & generating a significant amount of interest for paper on Cross Fit related injuries treated at @NorthwesternMed  as well as papers on #DVT after spinal surgery.  http://ow.ly/Q01i30kYuXS  #spine pic.twitter.com/YLSO9TsAWj,7,0,4,True,"#crossfit,#DVT,#spine"
NUFeinbergMed,2018-07-16,12:22:50,"In the latest episode of our ""Breakthroughs"" #podcast, Robert Kalb, MD, Director of @LesTurnerALS at @NorthwesternMed, explains why he is optimistic that breakthroughs in the basic biology of #ALS are on the way and a cure is possible. https://soundcloud.com/user-549060398/what-causes-als-with-robert-kalb-md …",2,0,2,True,"#podcast,#ALS"
NMSurgery,2018-07-13,08:46:21,Northwestern's own @kbilimoria interviewed by @AmCollSurgeons about incorporating research into their profession https://twitter.com/AmCollSurgeons/status/1017529178818785282 …,8,1,7,True,
CTCorps,2018-07-14,11:03:06,"Happy birthday to CTC therapy dog Winston!  Winston visits with patients at @NorthwesternMed.  Wishing you a great day, Winston!To support Winston's comforting work, please consider donating to CTC today:  https://buff.ly/2qHJuIz  pic.twitter.com/6M0tYR5eqL",5,0,3,True,
NorthwesternMed,2018-07-13,14:02:09,Heading out on a #RoadTrip? Here are some #HeartHealthy foods that will help fuel you for your adventures. #Nutrition http://bit.ly/2mf5ubG ,2,0,3,True,"#RoadTrip,#HeartHealthy,#Nutrition"
NUFeinbergMed,2018-07-13,09:28:01,A new @NorthwesternMed study has identified a trigger of some fibrotic diseases and an experimental compound to treat it:  http://bit.ly/2mfsHdW  pic.twitter.com/EyIv2yY4Go,8,0,3,True,
