username,date,time,tweet,likes,replies,retweets,retweet,hashtags
abrissettemd,2018-07-03,11:35:36,"I've been reading @TheEverygirl_ for years, and had the chance to write for them about screen time and eye health:  http://theeverygirl.com/does-screen-time-actually-hurt-your-eyes/ … pic.twitter.com/AeL7FH9lYm",13,0,2,True,
abrissettemd,2018-07-16,11:23:35,Just a few of the amazing female surgeons in Ophthalmology. #WomenInMedicine #Ophthalmology #ILookLikeASurgeon https://twitter.com/dglaucomflecken/status/1018596919759650818 …,10,0,3,True,"#WomenInMedicine,#Ophthalmology,#ILookLikeASurgeon"
abrissettemd,2018-07-08,08:08:47,I see this in patients all the time- after cataract surgery their world opens up. People that were once quiet at their pre operative appointments are talkative and engaging again after surgery. https://lnkd.in/d5ti_k8 ,15,1,6,True,
abrissettemd,2018-06-18,13:17:18,"It’s the same for make up: even if the eyes are irritated, patients still want to use it. So it’s about finding ways to #screenresponsibly and wear and cosmetics responsibly. https://twitter.com/cjmarkowitz/status/1008681043337990145 …",6,0,2,True,#screenresponsibly
abrissettemd,2018-06-15,21:20:22,And I thought I had seen everything when it came to eyes and makeup... https://twitter.com/dryeyemaster/status/1007623966398152705 …,3,2,1,True,
ASCRStweets,2018-06-08,16:30:19,How reliable is cataract surgery? It's safe enough for the Royal Family.  The Queen of England just finished successful surgery to remove a cataract.  http://ow.ly/weCv30kpFCr  pic.twitter.com/Tjg1DSnYQ6,35,2,22,True,
CNN,2018-06-08,18:26:03,"Tonight in a special tribute, we remember and share the legacy of chef, storyteller and colleague Anthony Bourdain. pic.twitter.com/E65oxBeKtq",7014,219,1639,True,
OftalmoUniv,2018-06-04,15:27:51,"Congratulations to our friends and OU KOLs, Xavier Campos-Möller MD & Ashley Brissette MD MSc @abrissettemd for their active participation at the last Canadian Ophthalmology Society Meeting.**********************************#OUinCOSANNUAL2018#COSANNUAL2018#trueKOLs pic.twitter.com/FQqrkmXdtU",8,0,4,True,"#OUinCOSANNUAL2018,#COSANNUAL2018,#trueKOLs"
abrissettemd,2018-06-01,10:15:10,"Back in my hometown, and speaking @CANeyeMDs on Cataract Surgery. Come learn how to take your skills from competence to elegance with myself and @ikekahmed",22,0,3,True,
abrissettemd,2018-05-29,12:42:33,Bad advice @RachaelRayShow from a dermatologist that said it’s “okay” to sleep in your eye make-up. Even @rachaelray knew better! pic.twitter.com/AM3TN2ZA8g,11,2,1,True,
abrissettemd,2018-05-28,11:26:33,This is why I recommend that patients don’t swim for 1 month after cataract surgery! And never swim with contact lenses or open your eyes under water. https://twitter.com/cbshealth/status/1001128940495429633 …,11,0,4,True,
abrissettemd,2018-05-25,20:03:50,"Trained with the amazing Dr Mark Bona, and he is still doing great work to help people with low vision. https://twitter.com/onteyemds/status/999967928836648961 …",10,0,4,True,
abrissettemd,2018-05-23,12:24:38,This is why is important to remove your makeup every night! Published in Ophthalmology May 2018 https://lnkd.in/ghWugCj ,17,0,10,True,
abrissettemd,2018-05-22,22:54:16,The best meeting run by even better people. @MillennialEYE https://twitter.com/tbogetti/status/999061591256588289 …,16,1,2,True,
abrissettemd,2018-05-20,17:19:47,I’ve literally had patients tell me they would buy this off the street if possible before it was FDA approved... so I’m guessing there’s a big market for it. https://twitter.com/talravivmd/status/998317540928573440 …,4,1,0,True,
abrissettemd,2018-05-14,09:15:20,Watching these episodes makes me so nostalgic for home 🇨🇦❤️ https://twitter.com/bourdain/status/996020122467864576 …,1,1,0,True,
abrissettemd,2018-05-11,13:53:52,"I attended this course as a resident, and now will be teaching at it! A wonderful program and I urge all residents to attend. https://twitter.com/ascrstweets/status/994955676869939202 …",13,0,3,True,
abrissettemd,2018-05-11,12:30:06,Makes the case for occasional facial laser instead of chronic retinoid use https://twitter.com/dryeyediva/status/994492623904702464 …,2,0,0,True,
abrissettemd,2018-05-07,15:29:09,"Did you know the eyelids are a common area to develop skin cancer? Always wear sunglasses outside to protect your eyes. And can use mineral sunscreens that apply easily on the eyelids, try @Supergoop @PeterThomasRoth or @Colorescience https://twitter.com/cbshealth/status/993586539237199872 … – at Weill Cornell Medical College",15,0,7,True,
abrissettemd,2018-05-04,11:45:34,I’ve seen a lot of people with eye infections or irritation from eyelash extensions. I hope this trend dies down soon!,9,4,1,True,
abrissettemd,2018-05-01,20:00:36,#implicitbias This makes me want to do our own evaluation of feedback @WeillCornell https://twitter.com/lillianerdahlmd/status/991369377600720898 …,3,1,3,True,#implicitbias
abrissettemd,2018-04-30,15:36:33,"Nutrition and health are so closely linked. Consider going meatless on most days, not just Mondays (but one day a week is a good place to start)... #nutrition #HealthForAll https://twitter.com/nyphospital/status/991044521352888322 …",7,3,1,True,"#nutrition,#HealthForAll"
jameswattie,2018-04-24,15:33:20,"""Is your day-to-day life going to change after what happened here?""This man's response will stay with me for a while.#TorontoAttack #TorontoStong pic.twitter.com/mIDpbLDnr6",13727,157,6578,True,"#TorontoAttack,#TorontoStong"
nyphospital,2018-04-21,12:00:02,State of the art operating rooms at the new #NYP David H. Koch Center will offer innovative #technology that enables physicians to provide an enhanced surgical experience for our patients. Take a look:   http://bit.ly/2q1NvaW . #DHKatNYP pic.twitter.com/0iB54KUK2e,66,2,14,True,"#NYP,#technology,#DHKatNYP"
abrissettemd,2018-04-14,22:03:17,630am run... good thing it’s for a good cause! https://twitter.com/jnjvision/status/984748139503550464 …,13,0,2,True,
abrissettemd,2018-04-11,11:53:36,Do Blue-Light-Blocking Glasses Actually Do Anything?  http://nymag.com/strategist/article/blue-light-blocking-glasses-work.html?utm_source=tw&utm_medium=s3&utm_campaign=sharebutton-b … via @@strategist,5,0,0,True,
abrissettemd,2018-04-05,18:41:35,Countdown to my favorite eye meeting @ASCRStweets : already RSVPd to Ophthalmology Future Leaders and TrueTear launch on Saturday! Who else will be there? 🎉@JNJNews @Allergan @tbogetti @wtrattler @bfast33,26,2,5,True,
abrissettemd,2018-03-25,18:58:37,It’s import to show pictures of females in STEM professions in textbooks and other media so that kids can picture themselves in those roles in the future! https://twitter.com/sciencenews/status/978057709256929286 …,19,0,5,True,
DryEyeDiva,2018-03-20,08:21:39,"Seasonal #allergies can wreak havoc on your #makeup routine! Burning, itchy, watery #eyes & blurry vision from the springtime #pollen can cramp your #beauty style. Welcome #dryeye season! Some #cosmetics may exacerbate the irritation… #firstdayofspring #health #women #beautytips pic.twitter.com/2BqVMGqh7m",17,1,10,True,"#allergies,#makeup,#eyes,#pollen,#beauty,#dryeye,#cosmetics,#firstdayofspring,#health,#women,#beautytips"
abrissettemd,2018-03-13,07:36:57,"I have a number of patients with dry eye after cosmetic surgery, see below. https://twitter.com/dryeyezone/status/973195893691133952 …",11,0,2,True,
DryEyeDiva,2018-03-10,10:13:28,Ocular surface disease can be exacerbated by chemicals hiding in plain sight in everyday #beauty products. #dryeye #ophthalmology #eyeinfo #optometry #makeup #cosmetics #health #science #research #womenshealth #women #eyemakeup #eye #beautytips pic.twitter.com/OnMcJBocG9,23,1,11,True,"#beauty,#dryeye,#ophthalmology,#eyeinfo,#optometry,#makeup,#cosmetics,#health,#science,#research,#womenshealth,#women,#eyemakeup,#eye,#beautytips"
CanJOphth,2018-03-08,11:30:34,Women and Their Role in Ophthalmology  https://www.wioonline.org/news/women-role-ophthalmology/ … #InternationalWomensDay #WomenInSTEM #WomenInResearch,8,0,3,True,"#InternationalWomensDay,#WomenInSTEM,#WomenInResearch"
abrissettemd,2018-03-06,16:36:23,Some great research looking at rates of opioid prescriptions. https://twitter.com/orthotoday/status/971052643132104704 …,0,1,0,True,
pismoeyedoc,2018-03-03,21:01:37,Effects of #cosmetics on the #eye Read the labels! Good work @Eyeppl #TFOSDEWSII #dryeye #makeup #mascara #aesthetics  https://www.sciencedirect.com/science/article/pii/S0014483517308692 … pic.twitter.com/XkPrZGGqW1,36,4,23,True,"#cosmetics,#eye,#TFOSDEWSII,#dryeye,#makeup,#mascara,#aesthetics"
abrissettemd,2018-03-01,11:21:49,Regulations for cosmetics https://twitter.com/dryeyediva/status/969196335101603845 …,5,0,1,True,
dryeyecoach,2018-02-20,08:29:39,"Botulinum Toxin A for the Treatment of Photophobia and Dry Eye. A recent #study found #symptoms of chronic #migraine, photophobia, and #dryeye were significantly improved in patients treated with botulinum toxin A. #optometry #Ophthalmology pic.twitter.com/zTrQqpXpFL",19,2,9,True,"#study,#symptoms,#migraine,#dryeye,#optometry,#Ophthalmology"
abrissettemd,2018-02-18,08:04:42,@MillennialEYE @CRSToday @CRSTeurope,1,0,0,True,
abrissettemd,2018-02-18,08:01:22,An article about some of the past and current research I do on ergonomics in Ophthalmology: Watch Your Back (and Neck and Wrists) on @MillennialEYE  https://crstoday.com/?p=10443 ,11,2,3,True,
abrissettemd,2018-02-05,17:23:17,"The Queen of dry Eye 🙌 3 Convenient Tips For Dealing With Chronic Dry Eye, Courtesy of Jennifer Aniston  https://www.popsugar.com/fitness/What-Chronic-Dry-Eye-44550271?utm_campaign=mobile_share&utm_medium=twitter&utm_source=popsugar … via @POPSUGARFitness",9,0,2,True,
abrissettemd,2018-02-05,14:58:20,"It’s important to be cognizant of the language we use in describing applicants, and to learn to do better. https://twitter.com/faaboulos/status/959652206885646336 …",11,1,5,True,
abrissettemd,2018-02-03,16:17:24,"Cataract, refractive error remain leading causes of global blindness  https://goo.gl/PPfcqF ",4,0,3,True,
abrissettemd,2018-01-03,06:36:33,New Years resolutions all makeup addicts need to make! https://twitter.com/dryeyediva/status/948194848548491264 …,4,1,1,True,
PearlJam,2017-12-23,09:42:00,Wishing a Happy 53rd Birthday to Eddie Vedder. pic.twitter.com/QiVj9J9ILn,21414,666,6604,True,
abrissettemd,2017-12-04,12:38:19,Cataract Surgery May Prolong Your Life https://www.nytimes.com/2017/12/04/well/live/cataract-surgery-may-prolong-your-life.html …,21,1,15,True,
abrissettemd,2017-12-03,17:16:12,I get asked this question daily! Read below for my advice @Allure_magazine https://www.allure.com/gallery/best-eye-makeup-removers-ophthalmologist-recommendations …,10,3,4,True,
NicoleMurrayMD,2017-11-26,19:31:50,"My kids have played with this figure for years and she is a surgeon.  Never any assumption of less powerful role. I too am a better mother and wife because I am a surgeon; vice versa. Great news, my children see a different world than I did. #ILookLikeASurgeon #sheleads2017 pic.twitter.com/0ItFuSwx2l",92,0,22,True,"#ILookLikeASurgeon,#sheleads2017"
TalRavivMD,2017-11-24,10:07:10,#DryEye can adversely affect cataract surgery outcomes if not addressed. https://twitter.com/eyecenterofny/status/934090560301871105 …,5,0,3,True,#DryEye
abrissettemd,2017-11-21,22:47:58,Thank you @OftalmoUniv and @MillennialEYE https://twitter.com/oftalmouniv/status/933192323906772993 …,16,2,1,True,
abrissettemd,2017-11-21,12:03:41,"I always have music playing in the OR, and starting December 1st it’s Christmas music non-stop! https://twitter.com/megan_ogilvie/status/932712139445489666 …",6,0,0,True,
eyeeco,2017-11-16,18:32:04,Vision problems — dry eye among them — affect more women than men http://fb.me/9kYtBNYvH ,2,0,3,True,
DryEyeDiva,2017-11-14,07:18:07,New trend for #eyelashes? Another chic #eye photo @ the #ChristianDior exhibit @ the Musée #Art Décoratifs in #Paris… #travel #culture #womenonthemove #vision #dryeyediva #beauty #makeup pic.twitter.com/EiQQH8qs7Y,7,1,3,True,"#eyelashes,#eye,#ChristianDior,#Art,#Paris,#travel,#culture,#womenonthemove,#vision,#dryeyediva,#beauty,#makeup"
Eyeppl,2017-11-02,13:17:03,Thanks @aao_ophth for the great article on #TFOSDEWSII! TFOS Dry Eye Workshop II: Key Updates… https://www.aao.org/eyenet/article/the-tfos-dry-eye-workshop-ii?november-2017 … #dryeye #eyeinfo pic.twitter.com/GgZ3R8nGlP,8,0,4,True,"#TFOSDEWSII,#dryeye,#eyeinfo"
jpwinebrake,2017-11-01,08:18:06,Thanks to @OwenJDrinkwater & Drs. Brissette & Starr for efforts on our #TFOSDEWSII writeup in #eyenet. Check it out!  https://www.aao.org/eyenet?november-2017 …,8,1,2,True,"#TFOSDEWSII,#eyenet"
abrissettemd,2017-10-19,19:05:40,A great example of why nutrition is so important. https://twitter.com/aao_ophth/status/921088964362166276 …,3,0,0,True,
abrissettemd,2017-10-19,11:00:04,Click the link below for some insights into ergonomics for eye care professionals @CANeyeMDs  http://cos-sco.ca/montreal2017/en/program-at-a-glance/ergonomics/ergonomics-session-videos-and-resources/ …,2,0,1,True,
NYMag,2017-10-18,19:29:14,"The Tragically Hip’s Gord Downie was the pride of Canada and a genius lyricist, writes @sternbergh http://nym.ag/2ywmkbz ",91,3,28,True,
abrissettemd,2017-10-16,11:37:04,"Omega-3s! Salmon, tuna, flax, or supplements @80twentyrule #Ophthalmology #dryeye https://twitter.com/dryeyeandmgd/status/919956145803952128 …",6,0,1,True,"#Ophthalmology,#dryeye"
abrissettemd,2017-10-09,21:14:03,Thanks to @abtti for the feature. One of the best parts of #Ophthalmology is getting to work with people from across the world https://twitter.com/abtti/status/917563059874406401 …,9,3,5,True,#Ophthalmology
