username,date,time,tweet,likes,replies,retweets,retweet,hashtags
jimhumd,2018-07-07,10:54:43,nytimes today pic.twitter.com/uqzVQDa4l4,0,0,0,True,
kzwarick,2018-07-01,16:54:31,Top in demand specialties through 2026 include @AmerGeriatrics & @AmerUrological. https://twitter.com/jasonjamesonmd/status/1013496150815469568 …,40,0,23,True,
jimhumd,2018-06-29,09:58:21,"Humbling to be back at the Brig..lots of conx with @UCLAHealth Richie,Zinner,@Arie_Belldegrun,Litwin,Walsh + @WeillCornell BNabel,SAshley,@AugustineMKChoi, @LGlimcherMD https://twitter.com/daviddan_nguyen/status/1012657372320423936 …",13,0,3,True,
DrChoueiri,2018-06-29,06:11:45,@jimhumd Return of the prodigal son @Jimhumd at ⁦@BrighamWomens⁩ — from Kidneys in LA to controversies in NYC ⁦@qdtrinh⁩ ⁦@DrPaulNguyen⁩ ⁦@BWHUrology⁩ pic.twitter.com/ydKRQ9DhEq – at Brigham and Womens Shapiro Cardiovascular Center,31,1,4,True,
WeillCornell,2018-06-23,15:57:02,"This year, 165,000 men will be diagnosed with #ProstateCancer. Do you know the facts surrounding this disease? Learn more from @jimhumd: #MensHealthMonth  http://bit.ly/2I1MUMM  pic.twitter.com/axZkMUvNx0",9,0,5,True,"#ProstateCancer,#MensHealthMonth"
JUrology,2018-06-18,14:00:14,"Compared to men who remained in the state funded #prostatecancer treatment program for poor, uninsured men, newly insured men reported worse physical health after transitioning to ACA coverage@jnabhani #healthpolicy #pcsm http://ow.ly/7NnY30kyk5z ",8,0,6,True,"#prostatecancer,#healthpolicy,#pcsm"
PastMedHistory,2018-06-18,00:30:34,"Edward Jenner performing his first vaccination on James Phipps (aged 8) on May 14th, 1796. By Ernest Board #histmed pic.twitter.com/4OYLdDt8fW",120,0,73,True,#histmed
MichelleObama,2018-06-18,12:47:52,Sometimes truth transcends party. https://twitter.com/laurawbush/status/1008526531734458375 …,472903,13302,129537,True,
SportsCenter,2018-06-17,08:56:01,"On This Date: In 1994, one day contained enough sports news for a whole year. pic.twitter.com/zkmcMWQdgN",9954,45,2263,True,
jimhumd,2018-06-16,22:42:18,"Patients ""wanted information [from cancer screening] even if it did not save lives.""  https://munews.missouri.edu/news-releases/2018/0613-patients-prefer-to-have-cancer-screenings-despite-risks-and-warnings-mu-researchers-find/ …",0,0,0,True,
DocDellaire,2018-06-14,11:04:20,Newly identified CDK12 subtype of prostate cancer that responds to immune checkpoint therapy! @AminaZoubeidi https://twitter.com/erictopol/status/1007288500767453184 …,11,0,3,True,
itswarenbuffett,2018-06-08,16:32:46,Surround yourself with people that push you to do better. No drama or negativity. Just higher goals and higher motivation. Good times and positive energy. No jealousy or hate. Simply bringing out the absolute best in each other.,22364,99,16364,True,
jimhumd,2018-06-15,20:56:21,Manhattanhinge near union square pic.twitter.com/xq6dNGm5uT,1,0,0,True,
jimhumd,2018-06-15,15:56:47,"how many do you need to do to get good and how frequently? important issues as ""metoo"" catch up race for targeted biopsy happens https://twitter.com/LoebStacy/status/1007718820969177088 …",0,1,0,True,
jimhumd,2018-06-15,15:54:56,"Diversity training needed in Ivy League? Harvard Rated Asian-American Applicants Lower on Personality Traits, Lawsuit Says https://nyti.ms/2HRc6FJ ",0,0,0,True,
uroegg,2018-06-15,05:12:45,"Quite a shocker, eh? Look the patient in the eye, talk, listen, engage, and be human https://jamanetwork.com/journals/jamaoncology/fullarticle/2678462 …",43,9,9,True,
jimhumd,2018-06-11,09:51:56,Disruptive innovator and force of nature @lee_c_zhao giving grand rounds @WCMUrology covering a wide spectrum of urology. pic.twitter.com/ZZBEwsUMzP,8,0,2,True,
OpenResLeeds,2018-06-11,02:43:45,@jimhumd @declangmurphy @lawrentschuk @EUplatinum @WallisCJD @zklaassen_md Manuscript released from #wrro  http://eprints.whiterose.ac.uk/118323/  #openaccess,1,0,1,True,"#wrro,#openaccess"
jimhumd,2018-06-10,15:37:16,Chief Wellness Officer: To ease doctors’ burnout https://www.wsj.com/articles/hospitals-address-widespread-doctor-burnout-1528542121 …,0,0,0,True,
jimhumd,2018-06-08,16:37:21,"Anthony Bourdain, Renegade Chef Who Reported From the World’s Tables, Is Dead at 61 https://nyti.ms/2MatpVy ",0,0,0,True,
tharakbathala,2018-06-07,19:24:06,MD Anderson Cancer Center is ranked among world’s top 10 academic medical centers in the Nature Index for publishing medical discoveries! Great team! @MDAndersonNews @ppisters @VivekSubbiah @ChapinMD @jdkubanMD @Etravistravis @karenluMD @ShannonWestin @AmirJazaeri @pedroramirezMD pic.twitter.com/QCBj2dIdZz,30,0,7,True,
chimoose,2018-06-07,07:30:12,That’s a great professional “family tree.” https://twitter.com/jimhumd/status/1004396368016879623 …,3,0,1,True,
AmerUrological,2018-06-06,17:35:05,From @renalandurology Robotics Involved in Most Urologic Cancer Surgeries http://bit.ly/2HmNd4s ,12,1,4,True,
jimhumd,2018-06-06,11:15:29,grateful to reconnect & learn from friends in the conf rm named after the guy that 1st hired me. Thanks @qdtrinh @BWHUrology @DrChoueiri @DanaFarber for hosting. pic.twitter.com/CNJEvLi1ux,14,0,5,True,
JUrology,2018-06-06,11:01:03,Registry data for prostate ablation—will it lead to consistent evidence?  Currently AUA guidelines  http://ow.ly/falQ30klZcB  http://ow.ly/U7CB30klZbb ite a lack of comparative data. #pcsm  http://ow.ly/wnAh30klZlK  @jimhumd,4,1,1,True,#pcsm
FoxChaseCancer,2018-06-03,18:41:52,At #ASCO18 @dytcmd discusses the presentation of the CARMENA trial with a panel of experts. Read the NEJM article here:  https://www.nejm.org/doi/full/10.1056/NEJMoa1803675?query=featured_home … pic.twitter.com/qAuFHQ8Zjw,8,0,3,True,#ASCO18
jimhumd,2018-06-06,06:39:15,The cost of a top athletics program? https://twitter.com/WSJ/status/1004324539935977472 …,0,0,0,True,
jimhumd,2018-06-06,06:38:09,Shameless plug of meta-analyses: Robotics Involved in Most Urologic Cancer Surgeries  https://www.renalandurologynews.com/most-urologic-cancer-surgeries-involve-robotic-assistance/article/771056/ … via @renalandurology,0,0,0,True,
KevinBozic,2018-06-04,20:32:19,Discouraging how little progress we have made in increasing transparency of costs and outcomes for patients to use in value-based decision making #VBHCChanges in Ability of Hospitals to Provide Pricing for Total Hip Arthroplasty From 2012 to 2016  https://ja.ma/2LZzP9L ,18,0,11,True,#VBHCChanges
michael_gorin,2018-06-03,18:13:29,Mine and PCW's view on the PRECISION trial https://www.europeanurology.com/article/S0302-2838(18)30367-1/fulltext …I'm told a response from UCL group is coming. Eager to read.,19,0,8,True,
jimhumd,2018-06-03,12:58:24,Summer job application pic.twitter.com/DWWukWVOyw,0,0,0,True,
cornellGUcancer,2018-06-02,11:40:04,".@FaltasLab, @PanosV_pjv9003 & @DrDavidNanus w/ #ASCO18 poster detailing findings related to biology of upper tract #urothelialcarcinoma (#UTUC) pic.twitter.com/B0GMCaa47Y",15,0,8,True,"#ASCO18,#urothelialcarcinoma,#UTUC"
sloaneguy,2018-06-01,11:13:29,Hopefully they will develop a single port system for robotic cardiac surgery soon! @IntuitiveSurg @VerbSurgical https://twitter.com/intuitivesurg/status/1002319990660321280 …,9,0,2,True,
chimoose,2018-06-01,09:15:37,What do 17 of the top 25 cancer hospitals have in common? More than 20% of their oncology specialists use twitter. Details in the 2018 Social Oncology Report!  http://bit.ly/18socialonc  #ASCO18 pic.twitter.com/39701vZUIA,264,8,158,True,#ASCO18
rkonijeti,2018-05-31,12:33:31,May is Bladder Cancer Awareness month. Thanks to @KUSINews and @LaurenKUSI for the chance to chat about it to our San Diego community.  @ScrippsHealth @B_C_A_N  http://www.kusi.com/potential-signs-of-bladder-cancer-with-urologist-ramdev-konijeti/ … pic.twitter.com/Pr2p3YWm8v,18,2,3,True,
VincGroot,2018-05-31,07:56:51,"Hopkins making progress:For Some Hard-To-Find Tumors, Doctors See Promise In Artificial Intelligence https://n.pr/2LDY65j ",9,0,7,True,
jimhumd,2018-05-31,06:20:33,40% of executives fail in their first 18 months in a new role: What to do when that shiny new job isn’t the right fit  https://www.wsj.com/articles/what-to-do-when-that-shiny-new-job-isnt-the-right-fit-1527707998 … via @WSJ,1,0,0,True,
jimhumd,2018-05-31,05:34:22,"Most popular Jersey this year among MDs: Chiefs Lineman Gets His Medical Degree, Then Heads Back to Football Practice https://nyti.ms/2LLL3P5 ",3,0,1,True,
OncLive,2018-05-30,15:35:06,Nanus Discusses Importance of Neoadjuvant and Adjuvant Care in RCC @nyphospital #kcsm https://www.onclive.com/web-exclusives/nanus-discusses-importance-of-neoadjuvant-and-adjuvant-care-in-rcc …,6,0,2,True,#kcsm
jimhumd,2018-05-30,15:50:25,Wow- will this happen?Single-Payer Health Care in California: Here’s What It Would Take https://nyti.ms/2xbFxSF ,1,0,0,True,
Adam_Weiner535,2018-05-29,17:03:25,Decision aids for #prostatecancer screening from major clinical societies decrease screening preferences #USPSTF #ASCO #ACS @JUrology @NM_Urology @KunduShilajit @EdwardSchaeffer  https://tinyurl.com/yclvw8ut  pic.twitter.com/bbTiRjlL3i,6,0,4,True,"#prostatecancer,#USPSTF,#ASCO,#ACS"
jimhumd,2018-05-30,09:04:13,Nice spot on our new ORs @nyphospital https://www.wsj.com/articles/the-operating-room-of-the-future-1527559862 …,3,0,2,True,
jimhumd,2018-05-29,20:48:48,I continue to take people with the worse insurances in https://twitter.com/declangmurphy/status/1001076822119886848 …,3,0,0,True,
JUrology,2018-05-29,14:00:29,↑ incidence of pelvic lymph node metastases coincides with ↓ in the detection of localized disease  http://ow.ly/VqgE30keqLP#ProstateCancer … #pcsm @jimhumd @uroegg @DrPaulNguyen,9,0,7,True,"#ProstateCancer,#pcsm"
jimhumd,2018-05-29,20:43:50,continued increase in 2015 and projected number of prostate cancer deaths increase in 2018 vs. 2017. Lets see if @USPSTF grade C reverses the trend.  https://jamanetwork.com/journals/jama/fullarticle/2680553 … https://twitter.com/JUrology/status/1001538789339254787 …,3,0,0,True,
jimhumd,2018-05-29,20:38:33,"big randomized clinical trial is an “endangered species”  # NIH-funded trials declined 41% to 930 in 2015 from 1,580 in 2005.  https://www.wsj.com/articles/are-big-clinical-trials-relevant-researchers-disagree-1527599699 … via @WSJ",2,0,1,True,
urotoday,2018-05-29,08:01:19,#ClinicalConversation w/ @SWilliams_MD & @UroDocAsh: Helping Patients Cope after Major Interventions for #BladderCancer Therapy http://bit.ly/2IUurCY  pic.twitter.com/g6cTemPuUO,5,0,3,True,"#ClinicalConversation,#BladderCancer"
chrisfilson,2018-05-23,06:44:56,Ronald Chen from @UNC_Lineberger giving @WinshipAtEmory Grand Rounds on figuring out best way to monitor prostate cancer patients after treatment #pcsm pic.twitter.com/P8d7oOClK6,11,1,6,True,#pcsm
SWilliams_MD,2018-05-23,05:15:11,Excellent opportunity to join a growing academic urology division @utmbhealth. Looking for specialists in 1) reconstructive surgery 2) female urology and 3) regional care general urology. Also seeking 4) urologic oncologist! Urology by the ocean. Island time! pic.twitter.com/LaeVNYK1DU,5,1,4,True,
urojdr,2018-05-20,01:57:52,Best evening of AUA is always catching up with former co-residents @DanBarocas @SBoorjian. pic.twitter.com/vr9bx56K5g,32,2,2,True,
liaojoe1,2018-05-19,23:08:31,Congrats to @gautiermarcq and Tim Chang for outstanding presentations on #endomicroscopy for bladder ca at #AUA2018. #StanfordUrology pic.twitter.com/DkGyYHcV2z,14,0,6,True,"#endomicroscopy,#AUA2018,#StanfordUrology"
liaojoe1,2018-05-21,01:12:46,Outstanding session on TURBT techniques at #AUA2018. Honored to share stage with @Scarps_kristen @JamesJmm23 and Bernie Bochner. #endomicroscopy pic.twitter.com/2jEcmEu3lz,15,1,2,True,"#AUA2018,#endomicroscopy"
UMichUrology,2018-05-19,19:59:18,.@dcmiller1972 speaking now at the @MUSICUrology reception. pic.twitter.com/m17puE7azk,10,0,3,True,
liaojoe1,2018-05-19,18:51:06,Happening now! #AUA2018 @StanfordUrology @MantuGuptaMD @StanfordUrology @OTRAXER pic.twitter.com/78wtnDsRVB,9,0,2,True,#AUA2018
lee_c_zhao,2018-05-19,20:06:05,Current and future @NYUUrology fellows.  Devang treating his victory in the #aua2018 debate like the Stanley Cup pic.twitter.com/22khLQZCBI,10,2,2,True,#aua2018
jimhumd,2018-05-19,20:30:30,@AuA18 Great to catch up with all time good guy in gu at @aua18 pic.twitter.com/kb32M0LXpn,2,0,0,True,
jimhumd,2018-05-19,18:13:46,great work by Dr Eliza Cricco-Lizza with Dr Eli Lizza in support @WCMUrology @AmerUrological 2018 pic.twitter.com/cSjvjhkosg,3,0,0,True,
UroCancerMD,2018-05-18,12:56:29,Miss all at #AUA18...but more important duties call. #proudpapa of a college graduate! Loving congrats to my oldest Grace pic.twitter.com/OuOZv8E49W,203,19,4,True,"#AUA18,#proudpapa"
StanfordSPIRE,2018-05-14,19:13:53,Ray Tan--@UMichUrology & @RWJF alum and @SurgOutcomes Zinner fellow—discusses new ways to bridge the judgement-decision making divide during S-SPIRE Work-in-progress session. pic.twitter.com/9mLgaVbavc,12,1,7,True,
