username,date,time,tweet,likes,replies,retweets,retweet,hashtags
leah_minnie,2017-10-30,09:48:56,Have you checked out The MedNet on FB? Mednet is a community of oncologists endeavoring to improve quality of care.  https://www.facebook.com/themednet ,2,0,1,True,
nyphospital,2017-10-02,10:06:01,"#NYP's thoughts are with the #LasVegas victims, their loved ones & all individuals who are working tirelessly to help save lives. pic.twitter.com/7YuSdcP6d6",81,1,29,True,"#NYP,#LasVegas"
DrSidMukherjee,2017-09-06,10:19:04,"And we physicians have been drawn to the toggle-switch model of disease Ecologists, meanwhile, talk about webs... https://www.newyorker.com/magazine/2017/09/11/cancers-invasion-equation …",112,13,74,True,
DrewMoghanaki,2017-10-01,10:15:58,"At the #ASTRO17 presidential address, @BK_radiation helped thousands know what they be missing if they don't know @nadinehousri. #radonc pic.twitter.com/2xoIWxAf8d",14,1,6,True,"#ASTRO17,#radonc"
nyphospital,2017-10-01,09:00:06,Join #NYP Westchester for an important talk on 'The Power of Sharing: Learning About Recovery from Mental Illness'  http://bit.ly/2y9m6JY  pic.twitter.com/fUOomlhap1,7,0,3,True,#NYP
ranjitbindra,2017-09-30,17:02:00,"Our special issue in JNO on #GBM is finally out!Thx to all the authors 4 their hard work: ""We've not yet begun to fight!"" @YaleCancer #btsm pic.twitter.com/2peH2VW9m9",32,2,16,True,"#GBM,#btsm"
MidHudsonRH,2017-09-25,13:45:42,It's #MarathonMonday. Meet the 12 runners representing #TeamWMCHealth in the @nycmarathon on November 5.  http://wmchealth.org/marathon . pic.twitter.com/c6kfotLtxZ,0,0,1,True,"#MarathonMonday,#TeamWMCHealth"
nyphospital,2017-09-27,15:00:02,#WellnessWednesday: #NYP employees can take charge of their health with an onsite health screening! Schedule on the Infonet #NYPBeHealthy pic.twitter.com/00AS0W270B,14,0,2,True,"#WellnessWednesday,#NYP,#NYPBeHealthy"
nyphospital,2017-09-27,18:00:02,#NYP's Dr. Holly Andersen joined @WHA & @MayorMeganBarry in #Nashville to teach women about #heart #health & how to perform #HandsOnlyCPR. pic.twitter.com/zgjvK00F8U,10,0,2,True,"#NYP,#Nashville,#heart,#health,#HandsOnlyCPR"
MKnoll_MD,2017-09-25,16:06:59,"@BK_radiation thanks for the shout out at #ASTRO17 ""42 reasons to be hopeful for the future of #radonc "" pic.twitter.com/RAwSjPsdBz",9,1,3,True,"#ASTRO17,#radonc"
