username,date,time,tweet,likes,replies,retweets,retweet,hashtags
nyphospital,2018-07-24,15:00:02,Are you wasting your time taking Omega-3 supplements? #NYP nutritionist Mary Grace Webb breaks it down with @YahooStyleCA:  https://nyphosp.co/2LdGOze  pic.twitter.com/RijUfqaX3m,3,0,1,,#NYP
nyphospital,2018-07-24,11:00:13,"Beat the heat this #summer with this hydrating & replenishing #kale, #spinach & #pear #smoothie. #NYPNutrition #NYP pic.twitter.com/M7XLHmCcIE",7,0,1,,"#summer,#kale,#spinach,#pear,#smoothie,#NYPNutrition,#NYP"
nyphospital,2018-07-24,08:00:01,"We're happy to share that the Auxiliary of @NYPHVH awarded 5 local high school students with scholarships for their academic achievements, display of character & level of commitment to study in the field of healthcare. Learn more:  https://nyphosp.co/2zULR2g  CC: @PeekskillPatch",6,0,0,,
nyphospital,2018-07-23,18:00:01,"Gabriel Ramires was born with kniest dysplasia, a rare genetic disorder causing skeletal abnormalities & hearing & vision problems. In honor of National Cleft & Craniofacial Awareness & Prevention Month, we celebrate him & patients like him who are affected by these conditions. pic.twitter.com/tZEPDxoQfK",8,0,1,,
nyphospital,2018-07-23,15:00:01,#NYP & @WeillCornell's Jane Jeffrie Seley talks with @GoHealio about the challenges of diabetes management among #NYC's homeless population:  https://nyphosp.co/2uP9DHd  pic.twitter.com/nQCkPtjUOp,3,0,3,,"#NYP,#NYC"
nyphospital,2018-07-23,11:00:02,"#ICYMI: Our amazing #NYP Lower Manhattan Hospital employees were at @TheSeaport in downtown #NYC this past weekend, for #CityOfTheWater Day and waterfront fun! #NYPInYourCommunity pic.twitter.com/muzYpLou4O",18,0,3,,"#ICYMI,#NYP,#NYC,#CityOfTheWater,#NYPInYourCommunity"
OncLive,2018-07-20,19:05:07,Dr. Shah of @nyphospital Highlights Immunotherapy for Esophageal Cancer https://www.onclive.com/onclive-tv/dr-shah-highlights-immunotherapy-for-esophageal-cancer …,11,0,4,True,
nyphospital,2018-07-23,08:00:03,@ColumbiaMed #NYP/@Columbiamed's Dr. Charles Drake talks with @OncLive about the emerging role of immunotherapy in the treatment of #kidneycancer #kcsm:  https://nyphosp.co/2zKSzbg  pic.twitter.com/EV31nQdUMu,11,0,5,,"#NYP,#kidneycancer,#kcsm"
nyphospital,2018-07-22,15:00:01,"Some people are under the impression that eating certain foods before drinking will prevent a hangover, but is it true? #NYP & @WeillCornell's Dr. Alexis Halpern is talking to @Refinery29's @corystieg about facts and myths:  https://r29.co/2Jqo5Li  pic.twitter.com/DeBFbYOxmv",9,0,4,,#NYP
nyphospital,2018-07-22,09:00:01,"Have you signed up yet for #NYP's #HealthMatters newsletter? See how you can get monthly emails with stories about science, care, and wellness delivered straight to your inbox:  http://bit.ly/2IbKuLM  pic.twitter.com/vreOeXrZ98",27,0,13,,"#NYP,#HealthMatters"
