username,date,time,tweet,likes,replies,retweets,retweet,hashtags
CRB_EP,2018-07-17,17:52:10,Great case! The more we look for sarcoidosis the more we seem to find it! https://twitter.com/saurabhkumar_ep/status/1019145607850573826 …,6,0,0,True,
CBM_EP,2018-07-11,18:23:05,"I remember getting to help implant a ppm from the femoral vein with @dredcronin.  Couldn’t pass up the opportunity for some more experience with @CRB_EP.  84 yo F with noise on RA & RV leads, right sided implant, occluded on right, h/o bilateral mastectomies w/LN dissection. pic.twitter.com/eBBLISYGn3",24,3,11,True,
narrowQRS,2018-06-28,21:01:07,"@EPeeps_Bot @CRB_EP What advice do our Twitter EP colleagues have when one witnesses obvious systematic poor quality care +/- fraud ?  I'm not talking about single cases, but a clear pattern of someone practicing who is harming patients with their lack of expertise and/or skill ?",5,4,1,True,
True_EP,2018-05-30,12:40:02,How will the 'Right to Try' Law affect EP. Will we classify VT/VF as a 'terminal illness' and have access to experimental therapies for ablation? https://twitter.com/WhiteHouse/status/1001871706263244805 …,3,0,1,True,
EJSMD,2018-05-26,06:58:31,US MDs--Have you paid for & completed these childish essays to claim #MOC credit? Do you see any value in this activity?Please “like” if you oppose @ABIMcert rent-seeking; RT to spread the word.Let’s get to 100 + RTs & show @ABIMcert we are united.  https://www.gofundme.com/practicing-physicians-of-america … https://twitter.com/EJSMD/status/1000320188888186880 …,144,4,102,True,#MOC
TJaredBunch,2018-05-11,16:30:24,A/V Synchrony possible w Micra up to 80% using accelerometer>at a cost of battery drain & decreased efficacy during exercise #HRS2018 pic.twitter.com/DNORS3kXQD,35,1,9,True,#HRS2018
SilviaMagnani6,2018-05-10,11:01:51,#HRS2018 #livecase #NYULangoneHealth #EP #hisbundlepacing @CRB_EP @CRB_EP pic.twitter.com/ZpVPYZgAr0,11,0,1,True,"#HRS2018,#livecase,#NYULangoneHealth,#EP,#hisbundlepacing"
CRB_EP,2018-05-10,08:38:15,"Live from New York, it’s #dontdisthehis !! #HRS2018 #EPeeps #NYULangoneHealth @azrielleib",8,0,1,True,"#dontdisthehis,#HRS2018,#EPeeps,#NYULangoneHealth"
DrValayParikh,2018-05-06,12:25:06,"This HRS, you got to attend these 2 sessions for the sake of esophagus!! Some exciting discussions!! #Heatingup #HRS2018 @DJ_Lakkireddy @jskoruth @EPDeneke @drrakeshg1 @CRB_EP @andreanatalemd @Dr_Santangeli pic.twitter.com/0ERoPFuwu4",11,0,6,True,"#Heatingup,#HRS2018"
TheeAndyMcGill,2018-05-04,18:11:22,"In 2018, AED's should be as essential as referees and coaches are in youth sports. Someone could probably even make money off of it. @ZOLLaeds @Philips @DefibtechAEDs @Cardiac_Science #EPeeps Boy collapses and dies at soccer practice @CNN https://www.cnn.com/videos/health/2018/05/03/boy-dies-at-soccer-practice-caleb-ray-orig-vstan-bdk.cnn …",2,1,2,True,#EPeeps
CRB_EP,2018-05-04,06:21:47,Great Case!  Have had some success with this approach achieving HBP with CLS. https://twitter.com/jamesknellermd/status/992216411824009216 …,9,1,3,True,
JACCJournals,2018-05-03,08:00:48,Rapid atrial pacing--another method to optimize lesion quality in #AFib ablation:  http://ow.ly/FZeP30jNssl . #JACCCEP @azrielleib @CRB_EP pic.twitter.com/LT719rTEqp,26,0,13,True,"#AFib,#JACCCEP"
CBM_EP,2018-04-18,11:43:19,"It’s never just a “gen change.”  RA lead found to be dislodged into RIJ at time of extraction and lead tip fibrosed into the vein.  Successful extraction today by snaring from the groin, then 14 Fr laser to free up proximal adhesions in the left innominate vein. pic.twitter.com/sWc6fLue3B",17,2,7,True,
scottbrancato,2018-04-10,19:23:24,Great news for our device patients!  https://www.cms.gov/medicare-coverage-database/details/nca-decision-memo.aspx?NCAId=289&TimeFrame=7&DocType=All&bc=AAAAIAAAQAAA& …,7,0,4,True,
CRB_EP,2018-04-07,09:51:58,Congrats to @JHabboushe for important observations cited here! @nyulangone https://twitter.com/davidjuurlink/status/982581707655303168 …,1,0,0,True,
PaulVarosy,2018-03-24,10:47:47,Proud to join a great team of experts envisioning a better future for reducing stroke risk in atrial fibrillation.  #HRS pic.twitter.com/MCxXd74Rqd,27,3,12,True,#HRS
