username,date,time,tweet,likes,replies,retweets,retweet,hashtags
ACinNYC2K17,2018-07-18,07:06:06,Mediterranean diet linked to bone health  https://tinyurl.com/yb3q9bad  #Mediterranean #MediterraneanDiet #diet #health #nutrition #food #BoneHealth #osteoporosis #bones,0,0,0,True,"#Mediterranean,#MediterraneanDiet,#diet,#health,#nutrition,#food,#BoneHealth,#osteoporosis,#bones"
ACinNYC2K17,2018-07-18,06:47:25,Rate of HbA1C rise effects risk of neuropathy  https://tinyurl.com/y7eyyaa8  #diabetes #health,0,0,0,True,"#diabetes,#health"
ACinNYC2K17,2018-07-18,06:46:21,Some thoughts re: the Mediterranean Diet  https://tinyurl.com/ybekt2w7  #diet #Mediterranean #MediterraneanDiet #nutrition #health #weightloss #food,0,0,0,True,"#diet,#Mediterranean,#MediterraneanDiet,#nutrition,#health,#weightloss,#food"
ACinNYC2K17,2018-07-18,06:44:07,Verapamil may help with beta cell function  https://tinyurl.com/y98gsohd  #hypertension #diabetes #medicine #health,1,0,0,True,"#hypertension,#diabetes,#medicine,#health"
ACinNYC2K17,2018-07-17,07:34:17,Leptin to adiponectin ratio may predict metabolic dysfunction in obesity  https://tinyurl.com/ybn8rl3m  #obesity #research #science #health,0,0,0,True,"#obesity,#research,#science,#health"
ACinNYC2K17,2018-07-17,07:33:08,"""14 'diet' foods that seem healthy but actually aren't14 'diet' foods that seem healthy but actually aren't""  https://tinyurl.com/y8dr2wgh  #diet #nutrition #food #health #WeightLoss #Weight",1,0,1,True,"#diet,#nutrition,#food,#health,#WeightLoss,#Weight"
ACinNYC2K17,2018-07-17,07:32:00,New study raises hope regarding possible Type 1 Diabetes vaccine  https://tinyurl.com/ycm2qnp5  #diabetes #vaccine #health,0,0,0,True,"#diabetes,#vaccine,#health"
ACinNYC2K17,2018-07-16,06:55:01,"Experts weigh pros, cons of second-line diabetes therapies  https://tinyurl.com/y8uxtcem  #diabetes #medicine #health #healthcare",0,0,1,True,"#diabetes,#medicine,#health,#healthcare"
ACinNYC2K17,2018-07-16,06:53:57,Next-Gen Sequencing May Advance Tx of Patients With Poorly Differentiated Thyroid Cancer  https://tinyurl.com/yd6sby5j  #thyroid #thyroidcancer #genetics,0,0,0,True,"#thyroid,#thyroidcancer,#genetics"
ACinNYC2K17,2018-07-16,06:52:53,The newest diet trend - intermittent fasting  https://tinyurl.com/y75u83bj  #diet #nutrition #health,0,0,1,True,"#diet,#nutrition,#health"
ACinNYC2K17,2018-07-13,06:45:02,Fasting glucose plus physical performance may predict diabetes risk  https://tinyurl.com/y7tkbnyo  #exercise #diabetes #health,0,0,0,True,"#exercise,#diabetes,#health"
ACinNYC2K17,2018-07-13,06:43:58,Potential effects of the ketogenic diet on digestion  https://tinyurl.com/ycll4czr  #keto #ketodiet #ketogenic #ketogenicdiet #nutrition #digestion #health,1,0,0,True,"#keto,#ketodiet,#ketogenic,#ketogenicdiet,#nutrition,#digestion,#health"
ACinNYC2K17,2018-07-13,06:43:09,Air pollution and diabetes  https://tinyurl.com/y7mgjtg  #AirPollution #pollution #environment #diabetes #health,0,0,0,True,"#AirPollution,#pollution,#environment,#diabetes,#health"
ACinNYC2K17,2018-07-12,09:52:34,Delay in bottle-feeding may reduce early childhood obesity risk https://tinyurl.com/yc5v5dls  #obesity #health #pregnancy,0,0,0,True,"#obesity,#health,#pregnancy"
ACinNYC2K17,2018-07-12,08:52:39,Gene therapy as potential treatment for diabetes  https://tinyurl.com/y9ff9qfq  #diabetes #genetics,0,0,0,True,"#diabetes,#genetics"
ACinNYC2K17,2018-07-12,08:51:26,"""I Have Type 2 Diabetes – and It's a Life Sentence, Not a Death Sentence"" https://tinyurl.com/y8v53xkg  #diabetes #T1D #motivation",1,0,0,True,"#diabetes,#T1D,#motivation"
ACinNYC2K17,2018-07-11,06:48:20,Renal calcifications associated with disease severity in primary hyperparathyroidism  https://tinyurl.com/ycfceyys  #kidney #renal #health #hyperparathyroidism #endocrinology,1,0,0,True,"#kidney,#renal,#health,#hyperparathyroidism,#endocrinology"
ACinNYC2K17,2018-07-11,06:47:17,Ketogenic diet may boost certain cancer treatments  https://tinyurl.com/y85r8ozp  #keto #ketodiet #ketogenic #ketogenicdiet #cancer #diet #nutrition #health,1,0,0,True,"#keto,#ketodiet,#ketogenic,#ketogenicdiet,#cancer,#diet,#nutrition,#health"
ACinNYC2K17,2018-07-11,06:46:14,New technology for early detection of type 1 diabetes  https://tinyurl.com/y7dxbzw2  #diabetes #T1D #health #technology,0,0,0,True,"#diabetes,#T1D,#health,#technology"
ACinNYC2K17,2018-07-10,08:01:26,Women with healthy lifestyle more likely to have offspring without obesity in  adolescence  https://tinyurl.com/ybop3kwx  #WomensHealth #pregnancy #health #obesity,0,0,0,True,"#WomensHealth,#pregnancy,#health,#obesity"
ACinNYC2K17,2018-07-10,07:59:47,Overview of the Autoimmune Protocol (AIP) Diet  https://tinyurl.com/yd66b9pd  #aip #autoimmune #diet #nutrition #health #food,2,0,0,True,"#aip,#autoimmune,#diet,#nutrition,#health,#food"
ACinNYC2K17,2018-07-10,07:58:35,Researchers cure type 2 diabetes and obesity in mice using gene therapy https://tinyurl.com/yahyqmw7  #diabetes #obesity #genetics #health #OfMiceAndMen,0,0,0,True,"#diabetes,#obesity,#genetics,#health,#OfMiceAndMen"
ACinNYC2K17,2018-07-09,06:42:44,Air pollution and risk of diabetes  https://tinyurl.com/y7zyje3l  #airpollution #environment #environmental #health #diabetes #healthcare,0,0,0,True,"#airpollution,#environment,#environmental,#health,#diabetes,#healthcare"
ACinNYC2K17,2018-07-09,06:41:38,Effect of nut consumption on sperm health  https://tinyurl.com/yc88mj86  #health #menshealth #fertility #diet #nutrition #food,0,0,0,True,"#health,#menshealth,#fertility,#diet,#nutrition,#food"
ACinNYC2K17,2018-07-09,06:40:00,New targets found to reduce blood vessel damage in diabetes  https://tinyurl.com/yd7bk3ys  #diabetes #research #medicine #health,0,0,0,True,"#diabetes,#research,#medicine,#health"
ACinNYC2K17,2018-07-06,06:44:48,Statin use may lower fracture risk after stroke  https://tinyurl.com/yapjv3fc  #statin #stroke #health #fracture #boneHealth,0,0,0,True,"#statin,#stroke,#health,#fracture,#boneHealth"
ACinNYC2K17,2018-07-06,06:43:48,Ketogenic diet could give new cancer-fighting drugs a big boost https://tinyurl.com/yd3auesh  #keto #ketodiet #ketogenic #diet #nutrition #cancer #medicine #health #nutrition,0,0,0,True,"#keto,#ketodiet,#ketogenic,#diet,#nutrition,#cancer,#medicine,#health,#nutrition"
ACinNYC2K17,2018-07-06,06:42:21,air pollution and diabetes risk  https://tinyurl.com/y8nclzyw  #diabetes #pollution #AirPollution #environment,1,0,0,True,"#diabetes,#pollution,#AirPollution,#environment"
ACinNYC2K17,2018-07-05,08:20:17,Ban on trans fats likely to benefit public health  https://tinyurl.com/y9ta8vza  #fat #health #publichealth #diet #nutrition #food,0,0,0,True,"#fat,#health,#publichealth,#diet,#nutrition,#food"
ACinNYC2K17,2018-07-05,08:18:41,"high rate of thyroid cancer in Staten Island, in comparison to the rest of the state  https://tinyurl.com/yaaksmpx  #thyroid #cancer #thyroidcancer #health #StatenIsland #NewYork",0,0,0,True,"#thyroid,#cancer,#thyroidcancer,#health,#StatenIsland,#NewYork"
ACinNYC2K17,2018-07-05,08:16:54,Overtime work may overdrive diabetes risk in women  https://tinyurl.com/yb3wxrgq  #WomensHealth #health #diabetes,0,0,0,True,"#WomensHealth,#health,#diabetes"
ACinNYC2K17,2018-07-03,14:43:46,"from @A_Sweet_Life  - ""Can a Rare Gene Recharge the Immune System and Cure Type 1 Diabetes?""  https://tinyurl.com/yaz5aybs  #diabetes #genetics #immunology",0,0,0,True,"#diabetes,#genetics,#immunology"
ACinNYC2K17,2018-07-03,07:40:45,Role for dairy in diabetes risk reduction debated  https://tinyurl.com/y9p367mb  #dairy #diet #nutrition #health #food #diabetes #milk,0,0,0,True,"#dairy,#diet,#nutrition,#health,#food,#diabetes,#milk"
ACinNYC2K17,2018-07-03,07:39:29,"yes, it is correlative and not causal data... but I'll take the good news  https://tinyurl.com/y9v9swas  #coffee #health #diet #nutrition",1,1,0,True,"#coffee,#health,#diet,#nutrition"
ACinNYC2K17,2018-07-03,07:37:19,Summer plant may have antidiabetic properties  https://tinyurl.com/y9epbyz5  #diabetes #plants #health,0,0,0,True,"#diabetes,#plants,#health"
DrNieca,2018-07-02,14:30:00,"The #ketodiet can lower blood pressure but I recommend the #dashdiet, which emphasizes foods from the Mediterranean diet. https://www.popsugar.com/fitness/Keto-Diet-High-Blood-Pressure-44998899 …",4,0,2,True,"#ketodiet,#dashdiet"
