username,date,time,tweet,likes,replies,retweets,retweet,hashtags
DrLaPook,2018-04-19,20:25:33,"For the past 10 years, we have followed the journey of Carol Daly, who has #Alzheimer's disease, & her #caregiver husband, Mike - a former NYC cop. It's an extraordinarily intimate report, providing viewers with valuable insight. Sunday on @60Minutes http://cbsn.ws/2J8tzKB ",258,40,103,True,"#Alzheimer,#caregiver"
DrLaPook,2018-07-18,15:05:06,"Uplifting news today as the rescued Thai soccer team players and coach were allowed to leave the hospital and return home. They are said to be doing well physically, but what psychological problems might arise?    https://www.cbsnews.com/amp/news/what-psychological-issues-might-arise-for-the-rescued-thai-soccer-team/ … @annawerner #ThaiCaveRescue @CBSThisMorning",5,0,2,True,#ThaiCaveRescue
Mosheh,2018-07-18,14:08:24,@realDonaldTrump Ready for the @jeffglor @realdonaldtrump sit down pic.twitter.com/YwIIBWEwsb,33,0,7,True,
CBSEveningNews,2018-07-18,12:09:38,"PART II: @jeffglor prepares for his follow-up interview with President Trump at the White House -- the president's first one-on-one since returning from Helsinki. Watch tonight on the CBS Evening News, 6:30 p.m. ET.  https://cbsn.ws/2Nj2zua  pic.twitter.com/0tuafREKwT",13,3,4,True,
kathrynw5,2018-07-18,11:55:07,"CBS News' @jeffglor is interviewing President Trump at the White House this afternoon, right after Trump said he doesn't believe Russia is still targeting the U.S. So you'll definitely want to tune into that interview tonight on @CBSEveningNews at 6:30 p.m.",17,1,14,True,
CBSEveningNews,2018-07-18,11:10:04,The 12 members of a soccer team and their coach rescued from a flooded cave in Thailand finally regained their full freedom on Wednesday  https://cbsn.ws/2O0JoGr  pic.twitter.com/7ol2G0JIao,20,0,10,True,
LuisaCBS,2018-07-18,11:22:12,Celebrating Adul Sam-on’s return home from the hospital. Adul was the only Thai cave footballer that spoke English and his translations helped with the rescue. Tune in to @CBSNews and thanks @kfc for bringing Abdul and his friends so much joy! #ThaiCaveResue pic.twitter.com/e4fkANoAfs,13,1,4,True,#ThaiCaveResue
mlcalderone,2018-07-17,16:43:41,"CBS anchor @jeffglor will interview Trump tomorrow at the White House. It'll air on Wednesday's ""CBS Evening News""",23,7,23,True,
CBSThisMorning,2018-07-18,08:02:00,"@annawerner During today's news conference for the Thailand cave survivors who are heading home, the boys took time to sign a portrait of the diver who died while assisting with the rescue effort. @AnnaWerner reports from the news conference:  https://cbsn.ws/2LtgflC  pic.twitter.com/6HYqIs73Cz",24,0,9,True,
CBSEveningNews,2018-07-18,08:33:13,"TONIGHT: In his first interview since returning from Helsinki, President Trump sits down one-on-one with @jeffglor at the White House; only on the CBS Evening News at 6:30pm ET. pic.twitter.com/c3HJgh9GUW",26,16,26,True,
Mosheh,2018-07-18,06:18:58,Thai boys speak out for first time https://twitter.com/annawerner/status/1019540220914651136 …,9,0,3,True,
CBSThisMorning,2018-07-18,05:25:57,"THIS MORNING: 🔜@FranTownsend discusses #HelsinkiSummit concerns 🔜@DrLaPook on potential health challenges Thai boys may still face🔜Dr. Holly Andersen pregnancy & the risk of heart attacks🔜@DaveedDiggs on new film ""Blindspotting""📺 7AM ET",12,5,7,True,#HelsinkiSummit
annawerner,2018-07-18,04:18:56,More #ThaiCaveRescue https://twitter.com/annawerner/status/1019511508798267392 …,11,0,3,True,#ThaiCaveRescue
CBSNews,2018-07-17,21:00:26,"Walter Carr's vehicle broke down before his first day at a new job. Instead of giving up, he walked over a dozen miles through the night to get there. The company's CEO heard the story and gave him a very special present as thanks  https://cbsn.ws/2Jwg7Ab  pic.twitter.com/lvBgjn0d8M",2438,69,615,True,
mymomthesurgeon,2018-07-16,08:29:48,"👇. 15 years of experience as an orthopedic surgeon.  after I detail surgery pros, cons, risks, some patients still ask when they will meet the surgeon #ILookLikeASurgeon ⁦@AAOS1⁩ ⁦@WomenSurgeons⁩ ⁦⁦@NEJM⁩ ⁦⁦@PermanenteDocs⁩ https://www.nejm.org/doi/full/10.1056/NEJMp1802228 …",17,1,4,True,#ILookLikeASurgeon
mollykord,2018-07-17,20:24:51,.@jeffglor prepping for his interview with the President on the Acela to D.C.  @CBSEveningNews tomorrow. pic.twitter.com/WOstT0yvfH,134,6,26,True,
adhikab,2018-07-17,08:22:33,.⁦@GayleKing⁩ visits us in the ⁦@CBSEveningNews⁩ part of the dazzling new newsroom — where ⁦@Mosheh⁩ is loving the windows.  Hi to our head writer Jerry Cipriano! ⁦ pic.twitter.com/9hNUAaeXpD – at CBS Evening News,54,1,3,True,
Mosheh,2018-07-16,15:15:00,Even more from the interview tonight @CBSEveningNews https://twitter.com/CBSEveningNews/status/1018941379353903104 …,5,1,4,True,
CBSEveningNews,2018-07-16,17:43:58,"The summit ended with ""President Putin giving President Trump a soccer ball from the World Cup and Mr. Trump handing Putin a gift of absolution,"" @NorahODonnell said in recapping Monday's meeting. pic.twitter.com/TYZKh5lNhM",205,25,106,True,
jeffglor,2018-07-16,19:40:45,Tonight’s extended interview with President Trump. Looking forward to the next one. https://www.cbsnews.com/news/donald-trump-interview-cbs-news-north-korea-the-european-union-and-americas-role-in-the-world/ …,56,28,32,True,
60Minutes,2018-07-15,15:01:50,"Tonight, a 13-year-old musical prodigy whose talent is so immense it seems she was born with it. Scott Pelley reports.  https://cbsn.ws/2L9E3hr  pic.twitter.com/Yoy789oz2N",172,13,55,True,
CBSNewsPress,2018-07-14,15:30:24,NEW: @jeffglor interviewed @POTUS @realDonaldTrump today in Scotland. Watch a preview tomorrow on @FaceTheNation; more Monday on @CBSThisMorning and @CBSEveningNews with @jeffglor. pic.twitter.com/3qaqhWIccA,66,21,43,True,
CBSNewsPress,2018-07-14,08:51:21, https://www.cbsnews.com/video/cbs-this-morning-saturday-welcomes-new-co-hosts-michelle-miller-and-dana-jacobson/ …,52,5,16,True,
AnthonyMasonCBS,2018-07-14,08:15:31,We didn’t have any fun or anything. So happy to be working with the marvelous @CBSMMiller & the delightful @danajacobson on @CBSThisMorning Saturday! First day of a new era! pic.twitter.com/q8dwKnqP7X,349,36,18,True,
DrLaPook,2018-07-14,08:01:00,"At the airport, waiting for a flight, and watching the magical trifecta of @AnthonyMasonCBS @CBSMMiller and @danajacobson on @CBSThisMorning pic.twitter.com/7Tc1Cl3jVQ",21,1,1,True,
danajacobson,2018-07-14,05:40:31,A new chapter begins for @CBSThisMorning Saturday @CBSMMiller @AnthonyMasonCBS & me!!! #Trifecta Join us #DreamJob pic.twitter.com/by0elzigQg,739,71,42,True,"#Trifecta,#DreamJob"
60Minutes,2018-07-13,09:25:37,"Science doesn’t know enough about the brain to make sense of Alma Deutscher, a 13-year-old British composer in the classical style. She is a virtuoso on the piano and violin, and wrote a full opera at the age of 10. Watch, Sunday.  https://cbsn.ws/2Jhl2oB  pic.twitter.com/45DvuDR1EE",316,11,95,True,
AnthonyMasonCBS,2018-07-13,18:02:31,@danajacobson Very excited to welcome my new official co-hosts @CBSMMiller & @DanaJacobson tmrw on @CBSThisMorning Saturday! pic.twitter.com/RjwFqC6slN,230,17,15,True,
vladduthiersCBS,2018-07-13,12:12:23,Huge congratulations to my sis & @CBSNews mentor @CBSMMiller who has looked out for me since day one (literally) & my friend @danajacobson! They are both joining @AnthonyMasonCBS as co-hosts of @CBSThisMorning Saturday. #DreamTeam  https://www.cbspressexpress.com/cbs-news/releases/view?id=50548 … pic.twitter.com/R2VpZiuZ48,199,13,19,True,#DreamTeam
KathySiggins,2018-07-12,20:04:53,This gave me some insight as to what my husband was feeling but couldn't express. We experienced denial & frustration and so much anger as he lost his ability to do things and I couldn't understand why. Thank you @DrLaPook https://twitter.com/DrLaPook/status/987140176911663104 …,6,0,1,True,
