username,date,time,tweet,likes,replies,retweets,retweet,hashtags
maggiemfox,2018-07-18,17:38:33,Are millennials drinking themselves to death? https://www.nbcnews.com/health/health-news/deaths-liver-disease-are-surging-drinking-blame-n892521 …,2,1,2,True,
marydimmock,2018-07-17,19:11:04,Checking our blind spots: current status of research evidence summaries in ME/CFS. Behind a paywall but good start - thanks to @sunsopeningband and @4WorkWell https://bjsm.bmj.com/content/early/2018/07/17/bjsports-2018-099553 …,34,0,10,True,
RafaelRiveraMD,2018-07-18,08:31:10,"A new medical school admissions cycle is upon us, and I'm happy to report that we sent out the first interview invitations of many for this application season. Congrats to all those invited! @nyuschoolofmed #medschool #admissions",18,0,2,True,"#medschool,#admissions"
maggiemfox,2018-07-17,12:53:54,"Does digital tech give teens ADHD? If it does, the effect is modest https://www.nbcnews.com/health/health-news/adhd-may-have-modest-link-teen-tech-use-n892121 …",0,1,2,True,
educationnation,2018-07-17,19:01:41,@DrRobyn @Rebecca_Bauer1 @VaginaPopUp @Mom101 @DrMaryJoPod @JeremyDBond @KristenLilla @LydiaMBowers Thanks for joining tonight’s #ToolkitTalk! @DrNatalieTV @JenniferSMiller @bostonmamas @lydiambowers @kristenlilla @jeremydbond @daacoo @drmaryjopod @cerquiec @sexposparenting @mom101 @vaginapopup @rebecca_bauer1 @PegGraffwallner @drrobyn @juliaammer1 @fatimata_cham1,17,0,3,True,#ToolkitTalk
EstaSays,2018-07-17,18:43:27,"I saw this “genderbread person” at a school once, and thought it was a great way to explain gender, identity, sexuality, and biological sex. #ToolkitTalk pic.twitter.com/mt6mTrbPeL",17,1,6,True,#ToolkitTalk
DrNatalieTV,2018-07-17,18:48:11,"A7 first of all parents, trust your gut-if it’s feeling dangerous, it probably is.  Honestly I don’t think kids r ever too young-starts with “u don’t have to give Mommy a kiss unless u want to” and  it goes from there #toolkittalk https://twitter.com/educationnation/status/1019367414641971200 …",5,0,0,True,#toolkittalk
DrNatalieTV,2018-07-17,18:43:23,A6 but.....undoubtedly pockets in this county where tolerance and education are severely lacking https://twitter.com/educationnation/status/1019365484205170688 …,1,0,0,True,
DrNatalieTV,2018-07-17,18:41:54,"A6 this is what worked in my home, it may not be right for everyone-watching tv together and talking about sexual orientation and gender identity, perfect example, MODERN FAMILY-what a great conversation starter, what a fortunate generation #toolkittalk https://twitter.com/educationnation/status/1019365484205170688 …",4,1,1,True,#toolkittalk
DrNatalieTV,2018-07-17,18:38:04,A6 YES YES YES https://twitter.com/educationnation/status/1019365484205170688 …,1,0,0,True,
educationnation,2018-07-17,18:36:46,"According to @GLSEN, just 5% of LGBTQ students reported having health classes that included positive representations of LGBTQ-related topics. More on this topic coming up next... #ToolkitTalk",6,0,4,True,#ToolkitTalk
DrNatalieTV,2018-07-17,18:36:14,Ha! I was expecting to be asked to step out of our recent 13 year well visit...... https://twitter.com/doctornatasha/status/1019364674628878338 …,1,0,0,True,
DrNatalieTV,2018-07-17,18:32:18,A5 this is where talking to ur kids about what they’re learning in school is so important. Schools can absolutely play a crucial role here-they can often initiate the conversation that we as parents may find challenging or uncomfortable #toolkittalk https://twitter.com/educationnation/status/1019363648362467328 …,3,0,5,True,#toolkittalk
DrNatalieTV,2018-07-17,18:28:13,"A4 some of the most important messaging about sex needs to be about health and not just healthy sexuality. Providing correct info re STIs, screening etc has to be part of that conversation regardless of moral/religious beliefs #toolkittalk https://twitter.com/educationnation/status/1019362234433196032 …",6,0,2,True,#toolkittalk
DrNatalieTV,2018-07-17,18:24:12,"A2 every parent/child relationship is different and no one guidance will work for everyone. In our house, I’m guided by my gut and knowing my kiddos. It’s still not necessarily fun but it is necessary #toolkittalk https://twitter.com/educationnation/status/1019359118459580417 …",1,0,0,True,#toolkittalk
DrNatalieTV,2018-07-17,18:22:31,"A2 I think it depends on a few things and in particular the maturity and readiness of the child. In my own experience, I started when I 1) I felt my son could handle the info and 2) when it was clear he was being exposed to the topic  #ToolkitTalk https://twitter.com/educationnation/status/1019359118459580417 …",1,0,0,True,#ToolkitTalk
DrNatalieTV,2018-07-17,18:10:02,"A1 with such easy access to misinformation on the internet and social media, formal sex education ever more important for this generation’s youth #ToolkitTalk https://twitter.com/educationnation/status/1019357177713225729 …",3,0,2,True,#ToolkitTalk
JAMA_current,2018-07-17,16:00:01,"Two manufacturers have received warnings that their highly concentrated caffeine supplements violate the federal Food, Drug, and Cosmetic Act because consumers could find it difficult to accurately measure a safe amount of either product. Learn more:  https://ja.ma/2L1juVl  pic.twitter.com/8S9wiMFqRy",7,0,5,True,
NBCNews,2018-07-17,15:59:03,"ADHD may have modest link with teen tech use, according to new research. https://nbcnews.to/2zP8zZQ ",39,11,25,True,
CDCgov,2018-07-16,16:39:04,Don't get burned this summer. The sun’s ultraviolet (UV) rays can damage your skin in as little as 15 minutes. Using sun protection can prevent sunburn and help protect you against future skin cancer. Check out tips from @CDC_Cancer.  http://bit.ly/2oEOMX4  #HealthySummer pic.twitter.com/q3PyLyyU1E,66,2,82,True,#HealthySummer
ConsumerReports,2018-07-15,07:30:00,"The rankings are in, here are the best laptops of 2018. https://www.consumerreports.org/laptop-computers/best-laptops-of-the-year/ …",20,2,10,True,
TODAYshow,2018-07-15,07:37:06,An encouraging update from the incredible story of the 12 boys and their soccer coach who were all rescued from a cave in Thailand — new photos show the boys eating together in their hospital room. pic.twitter.com/W6y9C8n3R0,688,8,65,True,
Atul_Gawande,2018-07-15,07:43:18,"This appalling headline reveals just how deeply, morally barren this administration is making our country. https://www.apnews.com/289b015df6e94ac6b2a35c28b11365b5/Detaining-immigrant-kids-is-now-a-billion-dollar-industry …",805,26,444,True,
maggiemfox,2018-07-13,21:54:58,"Dog heart disease linked to food, FDA says https://www.nbcnews.com/health/health-news/dog-heart-disease-linked-food-fda-says-n891011 …",2,2,1,True,
joybauer,2018-07-13,09:22:37,"Tomorrow on @NBCHealthyTV: I'm making these sweet #cinnamon buns (I call them Cinnayums)! Each one is packed w/ deliciousness, plus #protein, potassium, & beta-carotene🙌:  https://bit.ly/2uwFaxB Whose DVR is set!? 📺 Check your local listings here:  https://bit.ly/2Jy7A00 ",13,1,6,True,"#cinnamon,#protein"
maggiemfox,2018-07-13,17:57:19,"FDA approves a drug to treat smallpox, just in case we need it https://www.nbcnews.com/health/health-news/now-there-s-drug-treat-smallpox-just-case-n891331 …",14,0,8,True,
NBCNewsHealth,2018-07-13,04:03:05,Johnson & Johnson told to pay $4.7 billion in latest baby powder case https://nbcnews.to/2NbWYFL ,28,1,24,True,
CDCgov,2018-07-12,15:53:01,"Vibrio bacteria live in oceans and some coastal rivers and can cause serious illness. If you have a cut or wound, stay out of the water or cover it with a bandage.  http://go.usa.gov/xQbn4  pic.twitter.com/hu9j1z2P31",164,7,167,True,
marianaatencio,2018-07-12,15:41:39,"The numbers speak for themselves: Reunification of the +2,000 kids will be logistical nightmare  https://www.msnbc.com/stephanie-ruhle/watch/mariana-atencio-reunification-of-kids-will-be-logistical-nightmare-1275566659674 … Thank you @MSNBC @SRuhle for staying on this story",438,16,323,True,
NYUEmpathy,2018-07-12,13:46:08,6 Warning Signs of Nursing Home Abuse and Neglect  http://www.uprunforlife.com/6-warning-signs-of-nursing-home-abuse-and-neglect/ … Here are a few things to watch for after you find the right nursing home for your loved one #ElderAbuse #ElderCare,1,0,1,True,"#ElderAbuse,#ElderCare"
DrNatalieTV,2018-07-12,06:39:49,This an excellent review- https://twitter.com/consumerreports/status/1017362936677969921 …,1,1,0,True,
