username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MarkPochapin,2018-07-13,21:10:39,Manhattanhenge 2018 pic.twitter.com/Uh1EXgPBNY,44,1,5,True,
MarkPochapin,2018-07-12,14:53:26,Getting ready for 4 pm EST Dr. radio channel 110 @NYUDocs @nyulangone to discuss #nutrition and gut health with #superstar #dietician @AlannaCabrero pic.twitter.com/APXWZrAvVo – at NYU Langone Medical Center,31,1,2,True,"#nutrition,#superstar,#dietician"
AmCollegeGastro,2018-06-05,16:33:12,"The ACG Institute proudly introduces a new Young Physician #Leadership Scholars Program: ""Elevating great doctors into great leaders.""  Co-Directors Dr. David Hass and Dr. Mark Pochapin.  Application deadline = July 13th. Learn more:  https://bit.ly/2JeOccy  #gastroenterology pic.twitter.com/iqumLQ7e0g",17,0,7,True,"#Leadership,#gastroenterology"
MarkPochapin,2018-06-02,20:48:20,@DrJordanAxelrad @DrRitaKnotts Excited to welcome #superstars @drritaknotts and @drjordanaxelrad to @nyulangone GI! #DDW18 pic.twitter.com/UiwJQ0PQL6,18,0,4,True,"#superstars,#DDW18"
MarkPochapin,2018-06-02,17:12:08,Congrats to these terrific future leaders @DDWMeeting #DDW2018 https://twitter.com/petersliang/status/1002990769731440640 …,3,0,0,True,#DDW2018
MarkPochapin,2018-05-30,14:45:11,Tune in to @NBCNews tonight with @rehemaellis to discuss @AmericanCancer #ColorectalCancer screening now starting at age 45 @AmCollegeGastro @DDWMeeting @nyulangone pic.twitter.com/JER8BLCEUE,68,2,29,True,#ColorectalCancer
MarkPochapin,2018-05-19,11:03:56,What is a child’s smile worth?  Ask “Spot” #SpotTheDog outside of the new children’s hospital @nyulangone.  Spot is the worlds largest #TherapyDog and is balancing a real NYC #Taxi pic.twitter.com/LOVFaMbkZy,25,0,7,True,"#SpotTheDog,#TherapyDog,#Taxi"
MarkPochapin,2018-05-07,10:27:52,So true! https://twitter.com/jsekharan/status/992842844988624896 …,3,1,2,True,
MarkPochapin,2018-05-06,10:27:18,"#wendywalk demonstrates that we can overcome any disease with love, commitment and dedication #sarcoma #liposarcoma pic.twitter.com/FXQ2iWKVo6 – at Tavern on the Green",6,0,0,True,"#wendywalk,#sarcoma,#liposarcoma"
MarkPochapin,2018-05-03,10:21:34,One of the most important #leadership messages.#clinicalwellbeing @nyulangone pic.twitter.com/RwrDmUa1ma,56,0,26,True,"#leadership,#clinicalwellbeing"
