username,date,time,tweet,likes,replies,retweets,retweet,hashtags
LoebStacy,2018-07-16,18:08:44,Funny decision tree whether to ask a question at a faculty meeting by @ThePensiveSloth via @CJTsaiMDPhD #hcsm 😂😂 pic.twitter.com/oV22XcLH1u,130,6,42,True,#hcsm
JUrology,2018-07-03,14:30:19,"Hypofractionation of postoperative #radiotherapy for #prostatecancer seems safe and efficacious, but what about recovery from surgery? @tanejauro http://ow.ly/QHi230kIiPz ",3,0,4,True,"#radiotherapy,#prostatecancer"
radiolobt,2018-06-21,21:55:40,“Don’t Let the Perfect Be the Enemy of the Good”: Time to Embrace Magnetic Resonance Imaging Before First Prostate Biopsy https://www.europeanurology.com/article/S0302-2838(18)30437-8/fulltext#.WyxkucZTMmY.twitter …,19,1,16,True,
JUrology,2018-06-21,13:30:08,"If you can’t find it, it's probably not too bad. No cancer on a #prostatecancer surveillance biopsy predicts a low likelihood of future disease risk reclassification.  http://ow.ly/rWdb30kBClL @tanejauro",16,0,8,True,#prostatecancer
JUrology,2018-06-19,11:30:21,"SPARTAN-like effects of apalutamide - delay in metastasis, symptoms in men with non-metastatic castration-resistant #prostate cancer.  Effects on survival less clear.  http://ow.ly/n8xF30kyj0R @tanejauro",3,0,3,True,#prostate
JUrology,2018-06-14,11:30:27,"Hypofractionation of postoperative #radiotherapy for #prostatecancer seems safe and efficacious, but what about recovery from surgery? @tanejauro http://ow.ly/4VwS30krFKi ",2,0,2,True,"#radiotherapy,#prostatecancer"
NYUUrology,2018-05-31,22:26:48,Desmopressin Nasal Spray Improves Nocturia in the Elderly in @renalandurology with @PelvicMedicine https://www.renalandurologynews.com/in-depth-focus-from-aua-overactive-bladder/desmopressin-nasal-spray-eases-nocturia-in-elderly-patients/article/767235/ …,3,0,2,True,
radiolobt,2018-05-31,21:47:03,Predicting Benign Prostate Pathology on MRI/Ultrasound Fusion Biopsy in Men with a Prior Negative 12-core Systematic Bx: External Validation of a Prognostic Nomogram  https://www.eu-focus.europeanurology.com/article/S2405-4569(18)30122-6/fulltext …Congrats @MABjurlin @tanejauro @arosenkrantzmd @RaisBahrami @MTruongUrology,16,0,7,True,
MABjurlin,2018-05-30,15:34:28,@EurUrolFocus Great collaborative effort!UAB+RUMC+NYU @RaisBahrami @MTruongUrology @arosenkrantzmd @tanejauro @NYUUrology,6,0,4,True,
urotoday,2018-05-22,08:30:55,#AUA18 (.@AmerUrological)  @tanejauro  presented: Three Articles Last Year that Changed or Influenced My Practice coverage by: .@WallisCJD http://bit.ly/2Izu8RY  pic.twitter.com/vxp1ZFd9JQ,4,0,2,True,#AUA18
tanejauro,2018-05-21,12:29:24,Another best poster for @NYUUrology resident @xiaosongmeng !!! at #AUA18 - it never ends with this kid.  #PROUD pic.twitter.com/37kewyV9w9,29,1,3,,"#AUA18,#PROUD"
tanejauro,2018-05-21,00:48:30,Congrats 2 @NYUUrology resident Xiaosong Meng on winning 2018 Coffey-Krane Award for best article @BJUIjournal #AUA2018 @BAUSurology #PROUD pic.twitter.com/0irRNtTu8Z,19,0,2,,"#AUA2018,#PROUD"
UroCancerMD,2018-05-18,12:56:29,Miss all at #AUA18...but more important duties call. #proudpapa of a college graduate! Loving congrats to my oldest Grace pic.twitter.com/OuOZv8E49W,203,19,4,True,"#AUA18,#proudpapa"
DrRastinehad,2018-05-19,12:46:18,Great fusion course.   Thank you to all the great faculty. @AshTewariMD @tanejauro @arvinkgeorge @radiolobt @PeterPintoMD @AmerUrological pic.twitter.com/d8DjKh8Oac – at Moscone West,30,0,9,True,
RaisBahrami,2018-05-19,16:12:11,Another great MR/US fusion bx course led by @PeterPintoMD and @DrRastinehad at #AUA18 by @AmerUrological. Thanks for the opportunity to join again! pic.twitter.com/TCvDGhLgXo,28,0,9,True,#AUA18
