username,date,time,tweet,likes,replies,retweets,retweet,hashtags
NYUCVDPrevent,2018-07-17,13:12:09,"Our basic science research is housed in the Science Building, laying the groundwork for our continued efforts in advancing knowledge of the mechanisms involved in the development & progression of cardiovascular disease.   http://bit.ly/2LeGTyB  https://twitter.com/nyulangone/status/1018910636951011329 …",1,0,0,True,
CardioSmart,2018-07-16,09:56:13,Did you know that 80% of #heartdisease is preventable? #CardioSmart http://ow.ly/O4Lm30kYoos  pic.twitter.com/lMtxb7xtZK,6,0,5,True,"#heartdisease,#CardioSmart"
NYUCVDPrevent,2018-07-13,10:17:01,Spring CME conference in NYC!  #NYUCVRisk19 will cover the latest scientific & clinical advances in the management of cardiovascular disease & related risk factors  @NewYorkACP @nationallipid @ASPCardio @TheFHFoundation  https://bit.ly/2zHTMAa  pic.twitter.com/qG6xICZV5W,4,0,2,True,#NYUCVRisk19
NYUCVDPrevent,2018-07-10,09:22:02,A sneak peak at the heart health seminars coming this fall. Save the Dates for these free public educational events and stay tuned for more info. @DennisGoodmanMD #HeartHealth #obesity #wellness #diabetes #Cardiology #Health  https://bit.ly/2Em1ZIJ  pic.twitter.com/ukxsAzGWQr,0,0,0,True,"#HeartHealth,#obesity,#wellness,#diabetes,#Cardiology,#Health"
NYUCVDPrevent,2018-07-09,08:30:15,Terrific #KnowFH infographic from @CardioSmart!  Free PDF download  https://bit.ly/2m6jX9W  https://twitter.com/lipiddoc/status/778028230569844737 …,0,0,0,True,#KnowFH
lipiddoc,2018-07-05,14:42:45,#PCSK9 deficiency reduces #insulin secretion & promotes glucose intolerance: role of LDL receptor  @OxfordJournals #EuropeanHeartJournal  https://academic-oup-com.ezproxy.med.nyu.edu/eurheartj/advance-article/doi/10.1093/eurheartj/ehy357/5047864#.Wz5zufhhHvI.twitter … @nationallipid @NYUCVDPrevent @TheFHFoundation @ArsenaultBenoit @lipiddoc @dan_soffer @DaveDixonPharmD @hweintraubMD pic.twitter.com/dPlF0JYW1x,29,0,12,True,"#PCSK9,#insulin,#EuropeanHeartJournal"
ACCmediacenter,2018-07-04,16:55:08,A study from #JACC found that foods high in saturated fat increased inflammation in the body and eventually lead to #heartdisease. @readersdigest  http://ow.ly/Lq5D30kMKCN  pic.twitter.com/Fn8Bcu6gBe,11,0,10,True,"#JACC,#heartdisease"
NYUCVDPrevent,2018-07-04,10:40:24,"Our nutritionist, Lisa Ganguzza, MS, RD, and @nyulangone doctors share their top advice for living well.  #wellness #cleaneating #hydration #exercise  http://bit.ly/2KBNh62  https://twitter.com/nyulangone/status/1014275090626772993 …",0,0,0,True,"#wellness,#cleaneating,#hydration,#exercise"
NYUCVDPrevent,2018-07-04,10:26:20,"Wishing our patients, colleagues, followers and everyone - a Happy July 4th! @lipiddoc @hweintraubMD @ASPCardio @nationallipid @NewYorkACP @TheFHFoundation pic.twitter.com/NUBQ185bO4",7,0,3,True,
ASPCardio,2018-07-03,06:59:16,Health Literacy is Critical to Heart Disease Prevention  https://www.cardiosmart.org/News-and-Events/2018/06/Health-Literacy-is-Critical-to-Heart-Disease-Prevention#.Wztk7oYU7Og.twitter … Via: @CardioSmart #heartdisease #CVD,2,0,2,True,"#heartdisease,#CVD"
NYUCVDPrevent,2018-07-02,15:33:59,Live 14 years longer?  That sounds good to us! A study suggests following these 5 lifestyle habits may increase life expectancy.  #HealthyLiving #QuitSmoking #exercise #heartdisease  https://bit.ly/2Kr6mFe  https://twitter.com/AHANewYorkCity/status/1013757179025940480 …,2,0,0,True,"#HealthyLiving,#QuitSmoking,#exercise,#heartdisease"
NYUCVDPrevent,2018-07-02,14:18:21,"We welcome our new preventive cardiology fellow, Dr. Gaurav Sharma! Dr. Sharma received md from @nyuschoolofmed & recently completed an advanced CV imaging fellowship (Columbia). He is especially interested in the role of #nutrition in #CVD prevention.  https://bit.ly/2IMwTuu  pic.twitter.com/cL8YUxlHqT",2,0,0,True,"#nutrition,#CVD"
NYUCVDPrevent,2018-06-29,18:26:57,"Our Center boasts one of just a handful of clinical cardiovascular disease prevention #Fellowship programs in the nation. We congratulate our 8th graduate, Dr. Anish Vani and look forward to hearing about his future successes!  @av948 @hweintraubMD @lipiddoc @PlateletDoc",2,0,0,True,#Fellowship
NYUCVDPrevent,2018-06-29,15:22:34,Great tips! https://twitter.com/CardioSmart/status/1011995131837403136 …,1,0,0,True,
NYUCVDPrevent,2018-06-21,11:19:19,"Time to get moving!  Need more motivation? New published analysis ""#fitness and #physicalactivity demonstrated inverse associations with incident cardiovascular disease in the general population"". https://twitter.com/lipiddoc/status/1007966740188364800 …",1,0,0,True,"#fitness,#physicalactivity"
NYUCVDPrevent,2018-06-14,12:57:43,"Our expert, Dr. James Underberg, was the invited speaker at today's Grand Rounds at Deborah Heart and Lung Center lecturing on #KnowFH, #lipiids, #Cholesterol and #ASCVD risk assessement. Congrats @lipiddoc!    @TheFHFoundation @lipoproteinaFDN @nationallipid @demanddeborah https://twitter.com/lipiddoc/status/1007317287307825152 …",8,0,1,True,"#KnowFH,#lipiids,#Cholesterol,#ASCVD"
lipiddoc,2018-06-14,09:14:38,Please share this ! @NYUCVDPrevent @nationallipid @ASPCardio @CiccaroneCenter @OHSUCardio @ACCinTouch @CardioSmart @cardio10s @MinnowWalsh @DrMarthaGulati @SethJBaumMD @hweintraubMD @NYSCACC @mssnytweet Pass #Tobacco21: prevent our youth from ever picking up that first cigarette https://twitter.com/AHANewYorkCity/status/1007263561893244931 …,20,4,13,True,#Tobacco21
NYUCVDPrevent,2018-06-12,11:22:34,"Kudos to our prevention fellow, Dr. Anish Vani, and our expert, Dr. James Underberg, on their recent publication 'Lowering LDL-cholesterol and CV benefits: Is there a limit to how low LDL-C needs to be for optimal health benefits?' @lipiddoc @av948  https://bit.ly/2y15yVc  https://twitter.com/lipiddoc/status/1006500715269746688 …",11,0,5,True,
NYUCVDPrevent,2018-06-11,10:38:32,Congrats to Dr. Schwartzbard & @hweintraubMD! Learn more about our 1 year non-accredited preventive #cardiology training program; we begin accepting applications in the fall. Spread the word  https://bit.ly/2lP2anT  @lipiddoc @nationallipid @ASPCardio @TheFHFoundation #fellowship pic.twitter.com/EwieB076ix,13,0,5,True,"#cardiology,#fellowship"
nyulangone,2018-05-30,16:45:02,We're getting closer and closer to the big opening! Have you 'spotted' our latest addition? #SpotTheDog #HassenfeldChildrensHospital http://bit.ly/2JbTC7F ,15,0,4,True,"#SpotTheDog,#HassenfeldChildrensHospital"
NYUCVDPrevent,2018-05-29,15:10:41,Dr. Gianos and Dr. Berger's innovative IMPACT trial assessing strategies for preventive card now in print! https://bit.ly/2LHluPt ,10,0,2,True,
NYUCVDPrevent,2018-05-24,11:39:29,"""What's good for the heart is good for the brain,"" highlighted psychologist Bonnie Marks at our recent heart health lecture. Our thanks to Sunnie Kenowsky, DVM and Bonnie Marks, PsyD for their important lectures on the link between #cardiovascular health and #Alzheimer's Disease. pic.twitter.com/IFDoX8Eru0",9,0,2,True,"#cardiovascular,#Alzheimer"
NYUCVDPrevent,2018-05-22,08:17:45,Tonight!  Join us to learn more about the link between cardiovascular health and #Alzheimersdisease. We hope you can join us for this free public educational event. #dementia #hearthealth  http://bit.ly/2IJXc5z  https://twitter.com/nyulangone/status/998644872650223616 …,2,0,0,True,"#Alzheimersdisease,#dementia,#hearthealth"
lipiddoc,2018-05-21,16:54:23,The art of cardiovascular risk assessment -via @WileyCardiology @ASPCardio  https://onlinelibrary.wiley.com/doi/abs/10.1002/clc.22930?af=R& … @rblument1 @DrNathanWong @NYUCVDPrevent  wonderful read ! pic.twitter.com/7lWcJLKX0q,40,0,23,True,
lipiddoc,2018-05-18,10:59:06,"Very lucky to work with such a collaborative group @NYUCVDPrevent wonderful recent #NYUCVRisk18 Endocrine, Cardiology, RegisteredDietitian, Lipidology @nationallipid @ASPCardio @nyulangone @BHLipidclinic pic.twitter.com/LyEZFv4sNX",16,0,2,True,#NYUCVRisk18
