username,date,time,tweet,likes,replies,retweets,retweet,hashtags
NYUDocs,2018-07-24,06:03:26,"The topic now is ticks with Pulmonology host @fadamsmd and his guest, @DrDanielCameron, Lyme disease expert.",2,0,0,True,
NYUDocs,2018-07-24,05:00:45,"The Pulmonology show, with host @fadamsmd, kicks off with a segment on antibiotics-- when are they helpful, and when are they not?",2,0,0,True,
fadamsmd,2018-07-24,04:51:50,Going on the air at 6AM with replay 4PM on Dr Radio SiriusXM 110 to talk about overuse of antibiotics and the explosion of Lyme Disease 877-698-3627 Join me!,8,0,1,True,
NYUDocs,2018-07-23,07:38:02,Gastro open phones! @doctorira is taking calls on all things gastroenterology and internal medicine! Call us at 877 698 3627,4,0,1,True,
NYUDocs,2018-07-23,07:22:57,The Internal Medicine Show w/@doctorira is LIVE! We're discussing e-cigarettes and vaping in young adults. Call us with questions or concerns you have! 877 698 3627,6,0,1,True,
NYUDocs,2018-07-20,12:09:11,"Dr. Rebecca Stearns from @K_S_Institute joins @SamanthaHeller to talk about #heatstroke, heat related illnesses, hydration, dehydration, fuels and more. Call us with questions at 877-698-3627.",1,0,1,True,#heatstroke
NYUDocs,2018-07-20,11:04:17,. @jlevinsonrd joins @SamanthaHeller’s Nutrition Show today to talk about her 52-Week Meal Planner. Need ideas and help #mealplanning? Call us at 877-698-3627! pic.twitter.com/PjUAeGg09Z,5,0,1,True,#mealplanning
NYUDocs,2018-07-20,08:41:36,Do you need advice on parenting a socially awkward child or teen? Concerned about your child's social skills? Give About Our Kids a call at 877-698-3627.,2,1,1,True,
NYUDocs,2018-07-20,08:17:48,. @tytashiro joins us to talk about his book AWKWARD: The Science of Why We’re Socially Awkward & Why That’s Awesome. To learn more visit: http://tytashiro.com/awkwardaweasome/ …,2,0,0,True,
NYUDocs,2018-07-20,08:11:04,"The About Our Kids Show is joined by @tytashiro to talk about his book AWKWARD: The Science of Why We’re Socially Awkward & Why That’s Awesome. #BehindtheScenes with (L - R) Drs. Yamalis Diaz, Ty Tashiro & Lori Evans. pic.twitter.com/n2Fh6tcOgS",2,0,0,True,#BehindtheScenes
NYUDocs,2018-07-20,07:12:52,"Do you have questions about kid's surgery? Want advice from a top surgeon on how to prep your child and make surgery as easy as possible?  Dr. Lori Evans & Dr. Yamalis Diaz, talk Dr. Kurt Newman @childrenshealth. Questions? 877-698-3627",2,0,0,True,
NYUDocs,2018-07-20,07:07:36,"About Our Kids hosts, Dr. Lori Evans & Dr. Yamalis Diaz, interview Dr. Kurt Newman @childrenshealth about his new book #HealingChildren. Tune in to @SIRIUSXM 110.",2,0,0,True,#HealingChildren
NYUDocs,2018-07-20,05:54:41,"When a child has congenital heart disease, it can affect the entire family. Cardiac surgeon Dr. Greg Ribakove talks w/Dr. Ranjit Aiyagari from @umichmedicine about the value of palliative care for mothers, and maybe other loved ones, when a child has a high-risk heart condition.",8,0,0,True,
NYUDocs,2018-07-19,18:14:43,"The Dermatology Show is LIVE! @DrEvanRieder, Dr. Kristen Miller &  @DrMichelleHenry are taking your questions on #skincancer in #skinofcolor, skin care, SPF, sun safety and more! Questions? 877-698-3627 pic.twitter.com/GJoRLbZiaX",3,0,1,True,"#skincancer,#skinofcolor"
NYUDocs,2018-07-19,17:45:22,Now @DrMichelleHenry joins to talk about #skincancer in #skinofcolor with @DrEvanRieder & Dr. Kristen Miller @nyulangone. Tune in @SIRIUSXM channel 110. Questions? 877-698-3627,2,0,0,True,"#skincancer,#skinofcolor"
NYUDocs,2018-07-19,17:17:26,"The Dermatology Show with @DrEvanRieder is LIVE! @nyulangone's Dr. Kristen Miller joins in studio and we're taking all your questions on #skin, #hair & #nails. Questions? 877-698-3627",1,0,0,True,"#skin,#hair,#nails"
NYUDocs,2018-07-19,10:33:13,We have three simple tips to get you ready to MOVE! @DrNieca talks now with @bodyfixmethod's Bill Boland about some easy ways to get moving--- and stay away from pain!,2,0,0,True,
NYUDocs,2018-07-19,08:32:30,"Ohhhhh what a beautiful morrrrrrrrrrrrrrrrrrrrrrrrrrrrrning.....to host the Emergency Medicine show! @askdrbilly, @heshiegreshie  and their guest @DoctorDarienMD are all on call for YOU-- share your ER stories or medical mysteries! pic.twitter.com/tE8Kpsmbcn",35,2,1,True,
NYUDocs,2018-07-19,07:06:52,"""We are the spackle of the medical world."" ~  @askdrbilly, describing the Emergency Medicine show.",5,0,0,True,
NYUDocs,2018-07-19,06:40:44,We're talking all things TENNIS with the inimitable @BillieJeanKing on our Sports Medicine Show. Tune in to hear this incredible tennis player and person talk about the sport she loves and the new season of @WorldTeamTennis! 877-698-3627,8,0,1,True,
NYUDocs,2018-07-18,18:50:06,Do you have questions about #transgender surgeries? @lee_c_zhao joins the Men's Health Show and is taking questions at 877-698-3627.,1,0,0,True,#transgender
NYUDocs,2018-07-18,18:15:36,Now! @lee_c_zhao joins Dr. Herb Lepor @NYUUrology & @PelvicMedicine to talk about #UrethralStricture and #ReconstructiveUrology. Call in with questions at 877-698-3627.,3,0,1,True,"#UrethralStricture,#ReconstructiveUrology"
NYUDocs,2018-07-18,17:41:01,@drive4men Now @drjaminb joins Dr. Herb Lepor @NYUUrology & @PelvicMedicine to talk about @Drive4Men & #Orchialgia. Call with questions at 877-698-3627 #TesticularPain,3,0,1,True,"#Orchialgia,#TesticularPain"
NYUDocs,2018-07-18,17:09:55,The Men's Health Show with Dr. Herb Lepor @NYUUrology & @PelvicMedicine talk about #overactivebladder & new treatment options with Dr. Scott MacDiarmid! Questions? 877-698-3627,3,0,0,True,#overactivebladder
NYUDocs,2018-07-18,12:50:10,"If you missed the ENT show today, the repeat is Weds at 10p ET! For more on @drlammd, visit his website:  https://www.lamfacialplastics.com/ ",1,0,0,True,
NYUDocs,2018-07-18,11:58:32,Dr. Erich Voigt is talking facial plastic surgery and hair restoration with @drlammd -- listen now on @SIRIUSXM channel 110!,1,0,0,True,
NYUDocs,2018-07-18,11:03:24,"The ENT show is LIVE. Dr. Erich Voigt is hosting today, and starting the show with his guest, thyroid cancer expert Dr. Ashok Shaha, of @sloan_kettering",2,2,0,True,
NYUDocs,2018-07-18,08:48:22,"Should you bathe every day? Maybe not. This morning, @marinakurian  talks with dermatologist & author @DrSkotnicki talk about the skin's microbiome, and the new book ""Beyond Soap""",4,0,1,True,
NYUDocs,2018-07-17,18:12:53,Questions about #cosmetic #PlasticSurgery? We’ve got 4 @nyulangone Docs in studio and we’re taking your questions at 877-698-3627 @DrStaffenberg pic.twitter.com/2Ozjn3ZG2G,9,0,2,True,"#cosmetic,#PlasticSurgery"
NYUDocs,2018-07-17,17:08:38,"We are LIVE! @DrStaffenberg hosts the #PlasticSurgery Show! Neurosurgeon Dr. Howard Riina and #NP Amanda Young joins to talk about #brainsurgery, #skull reconstruction, #stroke recovery and more! Questions? 877-698-3627 pic.twitter.com/3l8BUIubo9",4,0,0,True,"#PlasticSurgery,#NP,#brainsurgery,#skull,#stroke"
NYUDocs,2018-07-17,07:08:08,"Comedian @JimGaffigan was unexpectedly thrust into the role of caregiver when his wife @jeanniegaffigan was diagnosed with a brain tumor last year. He joined @fadamsmd in studio today to talk abt the stress of caring for his wife & 5 small kids, & the #HowWeCare campaign pic.twitter.com/pFZ2fjtVDX",10,2,1,True,#HowWeCare
NYUDocs,2018-07-17,05:34:12,"What can the history of vaccines teach us about the present moment - and the future of the field? @MichaelKinch from @WUSTL joins @fadamsmd to talk about his new book ""Between Hope and Fear: A History of Vaccines and Human Immunity""",3,3,0,True,
NYUDocs,2018-07-16,18:12:36,Now Dr. Dennis Cardone and Dr. Louis Catalano talk to Dr. Judy Baumhauer about toe arthritis and the #CartivaSyntheticCartilage #Implant. Tune in to @SIRIUSXM 110. Questions: 877-698-3627. #halluxrigidus,4,0,1,True,"#CartivaSyntheticCartilage,#Implant,#halluxrigidus"
NYUDocs,2018-07-16,17:13:53,The Orthopedics Show is LIVE! Drs. Dennis Cardone and Louis Catalano discuss #RheumatoidArthritis & #Obesity with Dr. Joshua Baker from @Penn. Questions about RA? 877-698-3627,1,0,1,True,"#RheumatoidArthritis,#Obesity"
NYUDocs,2018-07-16,11:43:15,Do you have questions about the Mona Lisa Touch procedure? Dr. Miriam Greene is talking about that with fellow OB/GYN Dr. Maria Sophocles!,2,0,0,True,
NYUDocs,2018-07-16,07:18:58,"What is a clinical trial, exactly? And should you get involved in one? @doctorira is LIVE and explaining what all the terminology means, the questions you should ask, and why these trials are key to medical advances. Join us! 877-698-3627",2,0,1,True,
NYUDocs,2018-07-16,06:47:52,"How can children with illness and injury - AND their families - cope with the stress of this experience? @drwhiteson talks w/Dr. Anne Kazak, PhD of @Nemours about @CaseForSmiles & their new online platform  http://CopingSpace.org , where people can go for resources.",3,0,0,True,
NYUDocs,2018-07-13,13:42:55,Today @Veg_MD joined @SamanthaHeller’s Nutrition Show to talk about #plantbased diets and disease prevention through food. If you missed the show — stream it on our APP or find it on demand:  http://SiriusXM.com/ondemand  pic.twitter.com/izG8q2Omqc,8,0,4,True,#plantbased
NYUDocs,2018-07-13,12:56:10,Now @SamanthaHeller is joined by @Veg_MD to talk about #plantbaseddiets and using #foodasmedicine. Call in with all your questions 877-698-3627 #plantbased,2,0,0,True,"#plantbaseddiets,#foodasmedicine,#plantbased"
NYUDocs,2018-07-13,11:07:44,"The Nutrition Show with @SamanthaHeller is LIVE. @LaurenPincusRD joins us to clear up the confusion about #fiber! Questions about fiber, #prebiotics or gut health? 877-698-3627",4,0,1,True,"#fiber,#prebiotics"
NYUDocs,2018-07-13,06:41:38,What's dialysis access? @VascularDr Todd Berland talked all things dialysis and some new advances in helping kidney patients get life-saving treatments. Former dialysis patient Richard Knight from @KidneyPatients showed off his fistula and talked abt his work to help others. pic.twitter.com/INxtw1fIZk,6,0,0,True,
NYUDocs,2018-07-12,18:16:03,"What are the newest options for #hairloss? Do you have questions about #medication, #hairtransplants, #PRP or #lasers for #hairloss? @DrDorisDay is joined by @DrAlanBauman! We're taking calls at 877-698-3627.",4,0,2,True,"#hairloss,#medication,#hairtransplants,#PRP,#lasers,#hairloss"
NYUDocs,2018-07-12,17:40:58,"Is nonsurgical the new surgical? What can you accomplish with fillers, laser and more? @DrDorisDay talks with Dr. Vince Bertucci. Call with questions at 877-698-3627.",5,0,2,True,
NYUDocs,2018-07-12,17:11:21,"The Dermatology Show with @DrDorisDay is LIVE. Do you have #skin, #nail or #hair questions? Call us at 877-698-3627.",6,0,2,True,"#skin,#nail,#hair"
MarkPochapin,2018-07-12,14:53:26,Getting ready for 4 pm EST Dr. radio channel 110 @NYUDocs @nyulangone to discuss #nutrition and gut health with #superstar #dietician @AlannaCabrero pic.twitter.com/APXWZrAvVo – at NYU Langone Medical Center,32,1,2,True,"#nutrition,#superstar,#dietician"
NYUDocs,2018-07-12,11:00:02,Healthcare Connect is LIVE! Turn now to @SIRIUSXM channel 110 to ask @RubinHealth your insurance coverage questions!,2,1,0,True,
NYUDocs,2018-07-12,10:54:31,"Dealing with grief and loss in a healthy way-- that's our final topic on today's Beyond the Heart with @DrNieca and her guest, @edynathan1",2,0,0,True,
NYUDocs,2018-07-12,10:09:50,"If you're living with an implantable device (pacemaker, defibrillator), what do you need to know? That's our topic now with @DrNieca and her guest, @rmillsmd !",2,0,1,True,
