username,date,time,tweet,likes,replies,retweets,retweet,hashtags
VaxEthicsPolicy,2018-07-22,13:04:16,Vaccines and Global Health: The Week in Review 21 Jul 2018 [#vaccines #immunization #ethics #equity #access ] https://centerforvaccineethicsandpolicy.net/ ,0,0,0,True,"#vaccines,#immunization,#ethics,#equity,#access"
VaxEthicsPolicy,2018-07-22,13:04:02,The Sentinel –21 Jul 2018   http://ge2p2-center.net  :: Human Rights-Humanitarian Response-Health-Education-Heritage Stewardship-Development,0,0,0,True,
VaxEthicsPolicy,2018-07-15,17:56:02,Vaccines and Global Health: The Week in Review 14 Jul 2018 [#vaccines #immunization #ethics #equity #access ] https://centerforvaccineethicsandpolicy.net/ ,0,0,2,True,"#vaccines,#immunization,#ethics,#equity,#access"
VaxEthicsPolicy,2018-07-15,17:55:51,The Sentinel – 14 Jul 2018   http://ge2p2-center.net  :: Human Rights-Humanitarian Response-Health-Education-Heritage Stewardship-Development,0,0,0,True,
VaxEthicsPolicy,2018-07-01,19:38:30,Vaccines and Global Health: The Week in Review 30 Jun 2018 [#vaccines #immunization #ethics #equity #access ] https://centerforvaccineethicsandpolicy.net/ ,0,0,0,True,"#vaccines,#immunization,#ethics,#equity,#access"
VaxEthicsPolicy,2018-07-01,19:38:20,The Sentinel – 30 Jun 2018  http://ge2p2-center.net  :: Human Rights-Humanitarian Response-Health-Education-Heritage Stewardship-Development,0,0,0,True,
VaxEthicsPolicy,2018-06-24,10:01:35,Vaccines and Global Health: The Week in Review 23 Jun 2018 [#vaccines #immunization #ethics #equity #access ] https://centerforvaccineethicsandpolicy.net/ ,0,0,1,True,"#vaccines,#immunization,#ethics,#equity,#access"
VaxEthicsPolicy,2018-06-24,10:01:24,The Sentinel – 23 Jun 2018  http://ge2p2-center.net  :: Human Rights-Humanitarian Response-Health-Education-Heritage Stewardship-Development,0,0,0,True,
VaxEthicsPolicy,2018-06-18,05:47:37,Vaccines and Global Health: The Week in Review 16 Jun 2018 [#vaccines #immunization #ethics #equity #access ] https://centerforvaccineethicsandpolicy.net/ ,0,0,0,True,"#vaccines,#immunization,#ethics,#equity,#access"
VaxEthicsPolicy,2018-06-18,05:47:26,The Sentinel – 16 Jun 2018  http://ge2p2-center.net  :: Human Rights-Humanitarian Response-Health-Education-Heritage Stewardship-Development,0,0,0,True,
