username,date,time,tweet,likes,replies,retweets,retweet,hashtags
SUBiodesign,2018-07-12,11:36:33,"""We couldn’t stop thinking about the huge population of men living with enlarged prostate who need a better solution."" Learn how #Innovation Fellows @nickd717 and @smehta36 developed a less invasive treatment for #BPH and founded @zenflowinc.  https://stan.md/2NMBvoa  #Menshealth pic.twitter.com/9RIcGv6SCU",20,0,12,True,"#Innovation,#BPH,#Menshealth"
maryhawn,2018-06-19,10:11:17,"Look out world, here they come!  The spectacular 2018 ⁦@StanfordSurgery⁩ ⁦@OpNotes⁩ chief class. pic.twitter.com/zNg5xwSapM",66,2,6,True,
AnitaHagan,2018-06-15,17:25:48,Celebrating some of our Stanford Surgery graduates at the annual women’s luncheon #StrongWomen #DaughterInspiration #SUSurgGrad18 #WomenInMedicine #womeninsurgey #StanfordSurgery pic.twitter.com/Z3y3wWVcnw,39,1,11,True,"#StrongWomen,#DaughterInspiration,#SUSurgGrad18,#WomenInMedicine,#womeninsurgey,#StanfordSurgery"
DrTiffanyChao,2018-06-15,20:45:01,We ate dessert first #SUSurgGrad18 pic.twitter.com/cjAmIKRQHl – at Paul Brest Hall at Munger,3,0,1,True,#SUSurgGrad18
FiedlerAmy,2018-03-21,22:40:17,Thanks to the nor’easter we got a mini @MGHSurgery 2016 reunion!  #SSO2018 #chicago #mghsurgery #chiefclass pic.twitter.com/TGYVlqzzJr,16,1,2,True,"#SSO2018,#chicago,#mghsurgery,#chiefclass"
DrTiffanyChao,2018-03-19,11:40:29,"My brilliant, brave, compassionate bestie explains how her Catholic faith can coexist w/ rights to abortion #ProChoice is being pro-Life https://www.google.com/amp/s/amp.usatoday.com/amp/416614002 …",3,0,1,True,#ProChoice
DrTiffanyChao,2018-03-17,15:26:56,".@Laurie_Garrett great Q re: expanding global gag rule threatening all kinds of global health efforts. thought it ironic that afterward, an older white man insisted on having last word after Pulitzer Prize winning female journalist during a War on Women session. #CUGH2018",5,0,2,True,#CUGH2018
MamtaSwa,2018-03-17,10:20:03,Road traffic accidents. Setting the stage for trauma system @drrayprice @UUtah @FiemuN @ACSTrauma #CUGH2018 #GlobalSurgery #RoadSafety pic.twitter.com/N2vVwS8nQK,9,0,7,True,"#CUGH2018,#GlobalSurgery,#RoadSafety"
DrTiffanyChao,2018-03-17,10:14:01,Injuries cause 5.8 million deaths/yr w/20-50 million non-fatal injuries/yr @drrayprice #CUGH2018 #globalsurgery pic.twitter.com/1gYYgLHeoC – at New York Hilton Midtown,21,0,14,True,"#CUGH2018,#globalsurgery"
zenflowinc,2018-02-06,11:34:48,We're happy to announce the close of our $31 million Series A round! https://www.wsj.com/articles/zenflow-refuels-for-prostate-treatment-device-1517920201 …,23,3,10,True,
