username,date,time,tweet,likes,replies,retweets,retweet,hashtags
KTPARKMD,2018-07-14,15:51:42,Why the reported prevalence here ( https://onlinelibrary.wiley.com/doi/abs/10.1111/apt.14865 …) of anxiety/depression in adol & children w IBD is an *UNDER*-estimate: 1) Screening not part of routine care 2) Lack of age-appropriate instruments 3) Little population-level data 4) Poor data capture in medical records,7,0,3,True,
KTPARKMD,2018-07-14,15:37:25,More reasons to take your vitamin C? Relevant in IBD: Gut-microbially produced ascorbate is found to be a novel inhibitor of activated inflammatory T-cells http://www.nature.com/articles/s41385-018-0022-7 …,10,0,2,True,
HislopMD,2018-07-12,15:16:54,"Antibiotics aren’t ‘strong’ or ‘weak’. They are:- Indicated or not indicated- Broad or narrow spectrum- Dosed correctly or incorrectlyWhat matters is effectiveness, not ‘strength’... https://twitter.com/mantia/status/1013559718759956481 …",3165,33,1358,True,
KTPARKMD,2018-07-10,12:12:59,Thanks @ericbenchimol on a nice editorial  https://academic.oup.com/ibdjournal/advance-article-abstract/doi/10.1093/ibd/izy223/5050494?redirectedFrom=fulltext … of our chronic opioid use in adolescents and young adults w IBD paper https://academic.oup.com/ibdjournal/advance-article-abstract/doi/10.1093/ibd/izy223/5050494?redirectedFrom=fulltext …,5,1,0,True,
KTPARKMD,2018-07-04,11:13:27,"This relevant editorial mentions the need to control costs for biologics at the ""health system""... BUT the burden of executing cost containment (at the root) is at the REGULATORY / GOVERNMENT and industry stakeholders that enable price NON-TRANSPARENCY https://www.nature.com/articles/s41395-018-0175-8 … pic.twitter.com/B6VN9HVaAi",6,1,0,True,
KTPARKMD,2018-06-28,12:37:07,"Lately, reflecting on how to improve teams. (1) Finally read ""5 Dysfunctions of a Team"" (Lencioni). Good synopsis of book here:  https://medium.com/taskworld-blog/lencionis-5-dysfunctions-of-a-team-330d58b2cd81 …... (2) Also important: https://hbr.org/2018/07/do-your-employees-feel-respected …",1,0,0,True,
KTPARKMD,2018-06-23,11:18:56,"infliximab or adalimumab indicated as preferred first-line (vs ustekinumab) in this systematic rv & meta-analysis:  https://onlinelibrary.wiley.com/doi/abs/10.1111/apt.14852 … -- And if we assigned US drug costs, IFX and ADA would likely be supported as the cost-effective first-line (vs newer biologics)",10,0,5,True,
KTPARKMD,2018-06-22,16:28:44,Pediatric Inflammatory Bowel Disease Clinical Innovations Meeting of the Crohn’s & Colitis Foundation: Charting the Future of Pediatric IBD @CrohnsColitisFn https://academic.oup.com/ibdjournal/advance-article-abstract/doi/10.1093/ibd/izy205/5040260?redirectedFrom=fulltext …,8,0,6,True,
SaraElOualiMD,2018-06-20,08:21:35,No significant increase in surgical site infections with periop vedolizumab vs antiTNF #IBD ⁦@KTPARKMD⁩ ⁦@APandT⁩   https://onlinelibrary.wiley.com/doi/abs/10.1111/apt.14842 …,10,2,5,True,#IBD
NPR,2018-06-16,16:30:00,"Pediatricians and immigrant advocates are warning that separating migrant children from their families can cause ""toxic stress"" that disrupts a child's brain development and harms long-term health. https://n.pr/2JQGFNq ",1368,133,979,True,
