username,date,time,tweet,likes,replies,retweets,retweet,hashtags
StanfordMed,2018-06-18,00:33:29,A look back at Stanford Medicine's 110th Commencement:  https://stan.md/2JPSU12  #Stanford18 #ClassOf2018 pic.twitter.com/trztGVKYdL,38,2,4,True,"#Stanford18,#ClassOf2018"
apathipati,2018-06-13,16:50:50,My reflections on med school in @kevinmd. @StanfordMed https://www.kevinmd.com/blog/2018/06/a-graduating-medical-student-reflects-on-the-last-few-years.html …,2,0,0,True,
Stanford,2018-06-07,11:53:00,"""In looking back on my experience, medical knowledge only scratches the surface of what I learned."" A soon-to-be graduate of @StanfordMed reflects on his experience. https://stanford.io/2JjtUyV ",46,3,15,True,
apathipati,2018-06-07,03:50:33,What I learned in medical school @StanfordMed https://scopeblog.stanford.edu/2018/06/06/what-i-learned-in-medical-school/ …,0,0,0,True,
ashishkjha,2018-06-04,15:57:44,"My assumption was that while sickest patients benefit from being at a teaching hospital, less sick ones do just fine elsewhereTurns out to be not the caseFor most things, everyone does better at teaching hospitalsOur paper w @LauraBurke20 @afrakt https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.1250 …",385,16,222,True,
apathipati,2018-05-25,08:51:40,My take on improving career planning in medical school https://scopeblog.stanford.edu/2018/05/23/the-challenges-of-career-planning-in-medical-school/ …,1,0,1,True,
AcadMedJournal,2018-05-13,16:00:19,What can MD programs learn from #MBA programs about mitigating student #burnout?  http://ow.ly/ptvz30jf1ak .#MedStudents#MedEd,25,0,19,True,"#MBA,#burnout,#MedStudents,#MedEd"
OphthTimes,2018-05-11,11:33:13,Google’s AI Eye Doctor Gets Ready to Go to Work in India  https://buff.ly/2FwmOjw  pic.twitter.com/Ejq5OQi6aA,6,0,6,True,
apathipati,2018-05-06,09:42:43,A public health crisis no one talks about https://mobile.nytimes.com/2018/05/05/health/glasses-developing-world-global-health.html?emc=edit_nn_20180506&nl=morning-briefing&nlid=7385913220180506&te=1 …,1,0,0,True,
RobertPearlMD,2018-04-24,08:34:06,The healthcare leaders of tomorrow are motivated and impatient enough to transform American medicine. I look forward to that. My thoughts @Forbes:  https://www.forbes.com/sites/robertpearl/2018/04/24/stranger-things/ … @CMCnews @CGUnews @forbeshealth,17,0,8,True,
audreyshafer,2018-04-23,20:43:25,"‘First, medical schools should offer more opportunities and dedicated time for creative work.’ Sounds like health humanities and the arts to me! #meded https://twitter.com/acadmedjournal/status/988175690074816512 …",15,0,5,True,#meded
