username,date,time,tweet,likes,replies,retweets,retweet,hashtags
CarlosdelRio7,2018-07-16,21:48:00,⁦@TheLancetHIV⁩ publishes today the results of the “opposites attract” study that confirms that treatment is prevention among MSM ⁦@HIVMA⁩ ⁦@Armstrws⁩ ⁦@drmt⁩ https://www.thelancet.com/journals/lanhiv/article/PIIS2352-3018(18)30132-2/fulltext …,13,0,7,True,
StanfordHP,2018-07-11,17:31:00,"This year's Rosenkranz Prize winner, Prasanna Jagannathan, hopes to develop a malaria vaccine targeting pregnant women in Africa. The annual @FSIStanford award goes to a young @Stanford researcher working to improve health in developing world.  https://stanford.io/2N5PHYe  pic.twitter.com/3ViX2ijU37",14,0,7,True,
dkowens,2018-06-27,00:40:22,Great work by our colleagues! https://twitter.com/erictopol/status/1011648158957330433 …,1,0,0,True,
curtlanglotz,2018-06-14,18:34:58,"""More top tier people are recognizing the hubris and have the courage to openly call it.""  #TLDRAI winter is well on its way. https://blog.piekniewski.info/2018/05/28/ai-winter-is-well-on-its-way/ …",36,2,13,True,#TLDRAI
Drpablowise,2018-06-11,08:24:08,"Thoughtful and important response to our report on the health response to civilian casualties in the battle for Mosul, Iraq. Remains controversial but WHO providing leadership. https://twitter.com/petesalama/status/1006121549693415425 …",5,0,4,True,
StanfordDeptMed,2018-06-01,18:01:00,Tina Hernandez-Boussard’s appointment gives her the opportunity to advise the AHRQ on prioritizing research questions to improve healthcare.  https://stanford.io/2LcRj1e ,5,0,3,True,
Stanford,2018-05-29,22:00:00,"Approximately 30,000 cases of cervical cancer could be avoided each year if the vaccine were used to its full effect, according to Lisa Goldthwaite, clinical assistant professor of obstetrics and gynecology at @StanfordMed. https://stanford.io/2si6bod ",87,1,50,True,
jonc101x,2018-05-30,03:31:42,"""Big Data and Predictive Analytics - Recalibrating Expectations""... I see you what you did there https://ja.ma/2xqFToD ",3,1,2,True,
HeartBobH,2018-05-30,09:35:31,It shouldn’t be small vs large trials. It should be the appropriate trial design to answer the biological or clinical question. Need both mechanistic and outcomes #RCTs https://twitter.com/thedawnbell/status/1001763194300456960 …,59,1,19,True,#RCTs
dkowens,2018-05-28,14:52:34,Yes it is complicated. https://twitter.com/hmkyale/status/1001085211118133248 …,7,0,2,True,
FSIStanford,2018-05-26,11:15:03,"The difference between 1.5 °C and 2 °C of #climatechange could cost the world more than $20 trillion, a @StanfordFoodSecurity and @StanfordWoods study finds. https://okt.to/5s9qGx# ",27,1,36,True,#climatechange
KaiserFamFound,2018-05-23,05:15:11,Health care is just one factor in whether people are more likely to die prematurely. Our newly updated brief looks at the broad socioeconomic factors that influence health and the emerging efforts to address them  http://kff.org/disparities-policy/issue-brief/beyond-health-care-the-role-of-social-determinants-in-promoting-health-and-health-equity/ … #disparities,33,1,45,True,#disparities
dkowens,2018-05-22,16:27:28,"What an awesome, awesome, awesome group of student athletes. Congratulations!! https://twitter.com/stanfordwtennis/status/999022171434438657 …",1,0,1,True,
dkowens,2018-05-17,11:31:09,Another remarkable account of medicine today from one of our most acute observers @cuttingforstone https://twitter.com/stanfordhp/status/996828352114651136 …,8,0,3,True,
steveaschmd,2018-05-14,15:50:28,Why are US electronic progress notes 4x longer? Are we US MDs just too loquacious for twitter? More likely the #EMR channels societal incentives for funding and litigation prevention. Great work by @StanfordDeptMed @ldowningmd @calonghurst @DBatesSafety http://annals.org/aim/article-abstract/2680726/physician-burnout-electronic-health-record-era-we-ignoring-real-cause … pic.twitter.com/WjIiZBnBi0,90,5,43,True,#EMR
FSIStanford,2018-05-10,13:06:35,Featuring @StanfordHP director @dkowens. https://twitter.com/StanfordHP/status/994619961791336448 …,0,0,1,True,
