username,date,time,tweet,likes,replies,retweets,retweet,hashtags
CMichaelGibson,2018-07-16,08:33:30,"Doctors are smart — many doctors in coordinated combination, are smarter. Computers are smart. Many collaborating doctors augmented by computers with access to shared memory — are the smartest of all — and getting more so every day. https://medium.com/iryo-network/the-label-doctor-may-or-may-not-remain-in-the-future-f5f2d49c6a99 …",102,13,49,True,
jonc101x,2018-07-16,11:40:32,I did find all 120 shrines and get the green tunic. So that's a real achievement. https://twitter.com/genomicsdoc/status/1018886564296847366 …,6,0,0,True,
jonc101x,2018-07-16,11:33:22,Sensitivity or Specificity? Thoroughness or Decisiveness? Which do you want your doctor to have? http://thehealthcareblog.com/blog/2014/07/16/who-is-the-better-radiologist/ … via @THCBstaff,0,0,0,True,
EricTopol,2018-07-15,13:39:46,"Pattern recognition: we keep diagnosing more and have little to no change for the natural history of the diseaseapplies to screening for thyroid, breast, kidney cancer and colon cancer < age 50 (and others) 1/2 pic.twitter.com/05axHngZq0",221,4,117,True,
samfin55,2018-07-15,11:58:09,"Worth reading through these comments from one of the top dogs in the field — and it’s not just about adversarial examples.Looking forward to reading, hopefully getting a recording of other side, too!Cc @zakkohane @AndrewLBeam https://twitter.com/aleks_madry/status/1018449197266292736 …",1,1,1,True,
pmrondon,2018-07-14,20:20:48,"Formally, a computer science department is the smallest set of researchers such that, for every researcher R, there exists a researcher S who believes R is not doing ""real"" computer science.",3548,39,1044,True,
jessiebryce,2018-07-14,00:32:46,My residency program booked off half a day for us to visit with the various community programs and social services that can be offered to our patients.It was probably the single most useful academic half day I’ve ever attended (and there have been some good ones).,1870,30,301,True,
jonc101x,2018-07-14,21:37:50,"@VinayPrasadMD @RoxanaDaneshjou @adamcifu While I was teaching a noon conference, a medical resident once commented, ""But of course we should do X. It's just *common sense* that it will work."" I tried very hard to control maniacal laughter.",26,1,7,True,
steveaschmd,2018-07-12,10:22:40,"Wondering whether you should apply to ⁦@NIH⁩ , ⁦@vahsrd⁩ or ⁦@AHRQNews⁩ for your idea? Gail Reiber provides rule if thumb funding rates. pic.twitter.com/HimK2pWjEU",9,0,3,True,
jonc101x,2018-07-14,19:20:19,"Maybe this  http://www.httrack.com/ , or wget may be able to do it all: https://swsblog.stanford.edu/blog/creating-static-copy-website …",0,0,1,True,
jonc101x,2018-07-14,19:15:49,"Won't replace the ""service"" the site provides of submitting and reviewing guideline content for formatting etc. A real agency or institution would need to step up for funding, but at least for preserving the static content on the site now, should be relatively doable.",1,0,0,True,
jonc101x,2018-07-14,19:15:48,"As a stop-gap to figure things out while the plug is about to be pulled on this website on Monday, after apparently only being announced Yesterday, quick answer should be a web-crawler / site-cloner.",0,1,0,True,
