username,date,time,tweet,likes,replies,retweets,retweet,hashtags
SHC_Careers,2018-07-23,10:16:20, pic.twitter.com/JOQAC7bACr,3,0,1,True,
SHC_Careers,2018-07-19,10:05:18,"Did you know: @StanfordHealth currently has 613 licensed beds, 49 operating rooms, and nearly 23,000 walk-in visitors annually. Imagine how much will change with next year’s opening of our new #hospital. Learn more about the new facility.  http://www.sumcrenewal.org/ ",3,0,1,True,#hospital
SHC_Careers,2018-07-18,12:21:07,"Did you know: @StanfordHealth currently has 613 licensed beds, 49 operating rooms & nearly 23,000 walk-in visitors annually. Imagine how much will change with next year’s opening of our new Stanford Hospital. Learn more about the new facility.  http://www.sumcrenewal.org/ ",1,0,0,True,
SHC_Careers,2018-07-16,16:07:20,"Congratulations and welcome to the newest Stanford Health Care team members! It was a large group today! The future of medicine is going to happen here, because of people like you. #HealHumanityTogether #healthcare pic.twitter.com/JUarzKkVPA",6,1,1,True,"#HealHumanityTogether,#healthcare"
SHC_Careers,2018-07-16,12:05:20,We're excited to launch a new video series called #ProudToWorkForStanfordHealthCare. Check out our first video in the series featuring Stanford Health Care patient access representative David Byrd.  https://bit.ly/2LamUED ,1,0,1,True,#ProudToWorkForStanfordHealthCare
giveblood,2018-07-13,16:58:56,"Did you know that your blood donation may be used not only to save lives of local patients, but to contribute to research with major global impact? For example, Stanford researchers are using blood cells to study disorders like schizophrenia and autism  http://bit.ly/bloodtoneurons ",1,0,2,True,
SHC_Careers,2018-07-12,16:32:11,The Stanford Health Care HR department took a break and went to the “beach” for a BBQ and some fun in the sun! #WorkLifeBalance pic.twitter.com/JHsAzCDVqh,3,0,1,True,#WorkLifeBalance
StanfordMed,2018-07-09,12:32:02,How this young @StanfordChild patient benefited from the hospital’s bloodless surgery program.  https://stan.md/2MV9GZo  pic.twitter.com/b1GH1KmPBC,19,1,10,True,
SHC_Careers,2018-07-09,12:01:45,#MotivationMonday pic.twitter.com/bafgIEAZqT,0,0,0,True,#MotivationMonday
SHC_Careers,2018-07-05,13:58:43,"Join us on August 19th for the @StanfordMed MyHeart Counts 5K, 10K, & Kids Run–our annual walk/run celebrating life, #hearthealth and wellness. #HealHumanityTogether http://myheartcountsrun.org/ ",0,0,1,True,"#hearthealth,#HealHumanityTogether"
SHC_Careers,2018-06-29,10:57:19,We’re attending #AANP18 (booth #863). Please stop by and say hello! #NPcareers #HealHumanityTogether pic.twitter.com/MTjlXjQW4F,0,0,1,True,"#AANP18,#863,#NPcareers,#HealHumanityTogether"
StanfordMed,2018-06-29,09:46:02,"Single liver donor benefits two patients — one a baby, one a retired physician.  https://stan.md/2IiWj2x  pic.twitter.com/e9JIkmmTNr",24,0,8,True,
SHC_Careers,2018-06-28,10:51:30,"Nurses choose Stanford Health Career for many reasons, like higher patient satisfaction with nurse communication, and higher job satisfaction. We are hiring RN Assistant Patient Care Manager, Onsite Corporate Medical Ctr. ( Req. 45947)  https://bit.ly/2lH15Oq  #nurse #Careers pic.twitter.com/o1l1yBnIl4",1,0,1,True,"#nurse,#Careers"
SHC_Careers,2018-06-27,10:35:09,"Congratulations and welcome to the newest SHC team members! The future of medicine is going to happen here, because of people like you. Can you spot one of our #recruiters doing a #happy #dance ? Look to the left...all the way to the left... #HealHumanityTogether pic.twitter.com/VGk7FQrnvc",1,0,1,True,"#recruiters,#happy,#dance,#HealHumanityTogether"
StanfordMed,2018-06-25,20:23:01,“I never imagined that a local patient advocate twice my age would so powerfully shape my medical education.” A Stanford medical student reflects on all she’s learned from a woman she met through a year-long elective course.  https://stan.md/2KkaWYG  pic.twitter.com/WQazHoU8nC,60,0,27,True,
StanfordHRKev,2018-06-25,17:04:21,"We had a blast at the @StanfordHealth @SHC_Careers @stanfordnursing #RibbonCuttingCeremony for the #RedwoodCity Pavilion D Outpatient Center. The center will open a new 3-story medical building on 7/9, broadening the range of Stanford Medicine expertise available at the location. pic.twitter.com/nL8el8fxOH",7,0,1,True,"#RibbonCuttingCeremony,#RedwoodCity"
StanfordChild,2018-06-20,21:28:50,"The world needs more people like Pat and Claire. As volunteer baby cuddlers at Lucile Packard Children's Hospital Stanford, they are now using Summer Scamper as their family's ""legacy"" to the hospital. Give Pat and Claire some love. Please RT and register:  http://bit.ly/2JOJpyf  pic.twitter.com/02NsHH7NDW",36,0,8,True,
StanfordHRKev,2018-06-18,11:06:34,Congrats to our awesome group of New Grad Nurses @SHC_Careers @stanfordnursing ! #RN #Nursing #NurseLife #GoStanford #HealHumanityTogether https://twitter.com/stanfordnursing/status/1007368153003937792 …,7,1,4,True,"#RN,#Nursing,#NurseLife,#GoStanford,#HealHumanityTogether"
SHC_Careers,2018-06-20,17:19:39,"Take a drone flight above and around the new Stanford Hospital. The new hospital will create a healing environment tailored to each patient’s unique needs. For more information on the project, please visit  http://SUMCRenewal.org  #HealHumanityTogether pic.twitter.com/YIAD9DhnJW",2,0,1,True,#HealHumanityTogether
stanfordnursing,2018-06-14,16:04:18,Message from the CNO – Celebrating Cohort 26 – Nurse Residents  http://stanfordnursing.com/2018/06/14/message-from-the-cno-celebrating-cohort-26-nurse-residents/ … pic.twitter.com/pDzJk60fwP,4,0,1,True,
SHC_Careers,2018-06-14,13:34:30,"Stanford Health Care welcomes leaders from across all our facilities to our annual ""Leadership Summit 2018 - Connectivity."" #LeadershipSummit2018 #Leadership pic.twitter.com/keu3Gj7lkM",2,0,2,True,"#LeadershipSummit2018,#Leadership"
SHC_Careers,2018-06-13,11:14:01,"Exceptional, life-changing work can be its own reward. But at Stanford Health Care, we believe in recognizing our employees with outstanding benefits as well. Learn more about what we offer. #HealHumanityTogether #healthcareer  https://bit.ly/2l7VzEt ",0,0,0,True,"#HealHumanityTogether,#healthcareer"
SHC_Careers,2018-06-12,10:50:40,"Rapid diagnosis and treatment. Enormous impact. Learn how Stanford innovators are developing technology to dramatically extend treatment window for victims of stroke. Breakthrough medicine, and you’re invited to be part of it. https://youtu.be/MjRzlkXsmLU ",0,0,0,True,
SHC_Careers,2018-06-12,10:45:27,Way to go Albert! #donate #BloodDonation https://twitter.com/giveblood/status/1006275718295244800 …,0,0,0,True,"#donate,#BloodDonation"
SHC_Careers,2018-06-11,13:02:22,#MotivationMonday  - Have a great week! pic.twitter.com/FdnG1i3RQI,1,0,0,True,#MotivationMonday
StanfordHealth,2018-06-02,11:00:00,What to do in a large scale emergency: Stanford Medicine leaders train for mass casualty simulation event. https://stan.md/2JbNFYn ,5,0,3,True,
stanfordnursing,2018-06-06,12:00:09,"Cuddles for Caregivers TODAY 6/6/18, 11am-1pm, Nursing Patio, Ground Floor pic.twitter.com/wOlbvlPhMF",5,0,1,True,
SHC_Careers,2018-06-05,12:07:24,"Get to know the highly skilled team of RNs stepping into every situation and taking ownership. And while you’re at it, why not explore our current nursing opportunities?  #HealHumanityTogether https://bit.ly/2szoTHV ",0,0,0,True,#HealHumanityTogether
SHC_Careers,2018-06-04,14:49:53,"#MotivationMonday – Congratulations and welcome to the newest SHC team members! The future of medicine is going to happen here, because of people like you. #HealHumanityTogether pic.twitter.com/ntEK8JNuSe",6,0,2,True,"#MotivationMonday,#HealHumanityTogether"
StanfordHRKev,2018-06-01,01:07:15,Thank you to all of the fantastic clinicians who stopped by our @SHC_Careers / @stanfordnursing booth at #NTI2018 #NTIBoston2018 last week. #RN #Nursing #NurseLife #HR #Recruitment #MyJoining #TalentAcquisition #DreamTeam pic.twitter.com/ApaNxv33MI,2,0,2,True,"#NTI2018,#NTIBoston2018,#RN,#Nursing,#NurseLife,#HR,#Recruitment,#MyJoining,#TalentAcquisition,#DreamTeam"
