username,date,time,tweet,likes,replies,retweets,retweet,hashtags
Stanford,2018-07-24,17:00:01,"@StanfordHumSci “In the stories of Hecuba and Helen, Euripides created strong female protagonists who persist and resist male patriarchy, who seize control of their destinies in startling ways,” says @StanfordHumsci theater and performance studies professor Rush Rehm. https://stanford.io/2JQgFBa ",7,0,2,True,
Stanford,2018-07-24,16:30:00,Stanford researchers found strong evidence that hotter weather increases both suicide rates and the use of depressive language on social media. @StanfordEarth https://stanford.io/2JRd71n ,24,1,12,True,
Stanford,2018-07-24,16:15:00,"“We have to start considering the pathways by which we might inadvertently create the bad form of chromium from the good and end up contaminating our aquifers,” says @StanfordEarth professor Scott Fendorf. https://stanford.io/2LytncE ",9,1,7,True,
Stanford,2018-07-24,15:41:27,"A group led by Stanford materials scientist Alberto Salleo has created a stretchy patch that, when applied directly to the skin, wicks up sweat and assesses how much cortisol a person is producing. https://stanford.io/2JRCq3A ",25,1,7,True,
Stanford,2018-07-24,15:25:37,.@StanfordHumSci biologists Paul Ehrlich and Rodolfo Dirzo warn that some species will face extinction within the U.S. if their movements are cut off by the continuous border wall President Trump has pledged to build. https://stanford.io/2LFl5Q2 ,26,1,11,True,
Stanford,2018-07-24,14:36:47,“These documents are evidence for the conversations occurring among people from different linguistic backgrounds.” says Stanford historian Rowan Dorin. https://stanford.io/2JR0u6s ,30,1,7,True,
Stanford,2018-07-24,01:54:53,"""Better understanding the causes of suicide is a public health priority,"" says @MarshallBBurke. https://stanford.io/2LKkj19 ",65,3,33,True,
Stanford,2018-07-24,01:45:54,"Pairing police with health-care professionals could provide better care and cost savings in the long term, writes @StanfordMed resident Nathaniel Morris. https://stanford.io/2uLglPs ",34,1,12,True,
Stanford,2018-07-24,01:30:01,"Physicians' steps to avoid liability might not improve patient care, says @StanfordLaw's Michelle Mello. https://stanford.io/2LL0wyK ",23,1,5,True,
Stanford,2018-07-23,21:07:57,"After Hecuba/Helen’s Stanford run, Stanford Repertory Theater will remount the production in September in Athens, the city of the story’s origin.  https://stanford.io/2JOt20C  pic.twitter.com/eNMDjWjJXK",30,0,8,True,
Stanford,2018-07-23,17:54:29,Reach beyond your current interests to develop a passion – while acquiring skills that could make you more successful in whatever you do. https://stanford.io/2JPujo2 ,85,3,32,True,
Stanford,2018-07-23,17:32:39,"When groundwater levels fall, changes in underground water pressure can suck arsenic out of clay like a sponge being squeezed, says @StanfordEarth's Scott Fendorf. https://stanford.io/2LKl0aS ",22,1,11,True,
Stanford,2018-07-22,23:42:00,"Inspired by biology, Gail Wight makes art about life. https://stanford.io/2LeJtJd ",36,2,6,True,
Stanford,2018-07-22,23:16:00,".@StanfordEng scientists have advanced a new way to store wind and solar electricity on a large scale, affordably and at room temperature. https://stanford.io/2JKWS5O ",151,2,32,True,
Stanford,2018-07-22,22:45:00,"“I identified as a tomboy growing up, dark skin, black woman with natural hair, I didn’t really fit into the traditional, classically beautiful definition,” says @IssaRae, '07. Now, she's changing that definition.  https://stanford.io/2LjiUSY ",59,0,11,True,
Stanford,2018-07-22,14:30:09,"“I never would have thought that my interest in science would lead to a deeper relationship with my father.” Wendy Mao, associate professor of geological sciences, of photon science and, by courtesy, of geophysics #MeetOurFaculty  https://stanford.io/2KIW5n2  Photo by Holly Hernandez pic.twitter.com/A3pFMXtLrS",54,1,6,True,#MeetOurFaculty
Stanford,2018-07-22,10:30:01,Listen to School's In today at 9 a.m. PT on @SIRIUSXM Insight channel 121 and find past episodes at  https://stanford.io/2LzOoAs  pic.twitter.com/BMnnJeQ8Hz,24,0,2,True,
Stanford,2018-07-22,09:30:01,.@StanfordLaw professors Jeff Fisher and Michelle Wilde Anderson are the guests on this week's episode of Stanford Legal. Listen on SiriusXM channel 121 and find past episodes at  https://stanford.io/2LbD0yC . pic.twitter.com/pOD5RNIwKB,22,0,5,True,
Stanford,2018-07-21,20:15:00,"""We just listened to the data. Science is about data, not dogma."" Stanford researchers have found that a thin membrane, thought to be just a shrink wrap around some bacterial cell walls, has structural properties critical for survival. https://stanford.io/2JLsXdQ ",73,1,29,True,
Stanford,2018-07-21,19:15:00,"Sweat offers lots of information about a person's health, thanks to the key electrolytes, hormones, and more it contains. https://stanford.io/2L8NIpo ",75,0,10,True,
Stanford,2018-07-21,18:15:00,"The three leaves of parchment discussed ancient medical knowledge, and were written in Arabic using Hebrew letters, with Latin and old Spanish notes on the edges. https://stanford.io/2LAhU90 ",73,0,25,True,
Stanford,2018-07-21,16:38:01,"Twenty years ago, a group of behavioral economists ""cooked-up collaborations"" at @CASBSStanford that would go on to have profound impacts in the field:  https://stanford.io/2JFK6FO  pic.twitter.com/lgEBJABzwZ",41,1,27,True,
Stanford,2018-07-21,09:29:06,.@StanfordEd scholars Linda Darling-Hammond and Ari Kelman are the guests on this week's episode of School's In. Listen on SiriusXM Insight channel 121 and find past episodes at  https://stanford.io/2L9EdX3 . pic.twitter.com/XqVsSDsUwl,24,1,6,True,
Stanford,2018-07-21,08:31:01,Listen to Stanford Legal today at 7 a.m. PT on @SIRIUSXM Insight channel 121 and find past episodes at  https://stanford.io/2LewzLa . pic.twitter.com/B2w4tmABfd,25,1,3,True,
Stanford,2018-07-20,22:27:31,"Selected as part of a nationwide filmmaking competition, ""Many Names"" explores identity, relationships and managing small, everyday interactions. https://stanford.io/2LarrHU ",50,0,9,True,
Stanford,2018-07-20,20:54:00,"Sweat offers lots of information about a person's health, thanks to the key electrolytes, hormones, and more it contains. https://stanford.io/2LbLzJv ",91,1,27,True,
Stanford,2018-07-20,15:00:02,"“We’re discovering new geological materials that nature knows exist, but that no person has ever seen.” Wendy Mao, associate professor of geological sciences, of photon science and, by courtesy, of geophysics #MeetOurFaculty  https://stanford.io/2KIW5n2  Photo by Holly Hernandez pic.twitter.com/AHIEbx5yhX",34,0,12,True,#MeetOurFaculty
Stanford,2018-07-20,14:35:00,"The three leaves of parchment discussed ancient medical knowledge, and were written in Arabic using Hebrew letters, with Latin and old Spanish notes on the edges. https://stanford.io/2JFt4aR ",51,0,17,True,
Stanford,2018-07-20,13:35:00,"While working with @StanfordREAP to improve training for community health workers in China, Zecheng Wang, ’21, also learned how to make wheat naan and grind walnuts. https://stanford.io/2Lb6qg1 ",28,0,12,True,
Stanford,2018-07-20,09:15:00,"Burton Richter's Nobel Prize-winning discovery of a new subatomic particle was described at the time as ""the greatest discovery ever in the field of elementary particles."" https://stanford.io/2LbNVID ",72,3,28,True,
Stanford,2018-07-19,23:44:00,"Children with autism have structural and functional abnormalities in the brain circuit that normally makes social interaction feel rewarding, a @StanfordMed study shows:  https://stanford.io/2L9VPC3 ",77,1,19,True,
Stanford,2018-07-19,23:10:28,"Burton Richter's love of science was born during the nightly blackouts of World War II. Meant to foil potential air raids, they revealed an unparalleled view of the sky and the hazy band of stars known as the Milky Way. https://stanford.io/2JAtTlm ",109,3,24,True,
Stanford,2018-07-19,18:56:27,"""We just listened to the data. Science is about data, not dogma."" Stanford researchers have found that a thin membrane, thought to be just a shrink wrap around some bacterial cell walls, has structural properties critical for survival. https://stanford.io/2LbwaJh ",80,5,36,True,
Stanford,2018-07-19,15:31:02,"When black men see black doctors, they're more likely to follow through with preventive care — an important finding given 1) they have the lowest life expectancy of any major group in the U.S., and 2) that disadvantage is due largely to chronic disease.  https://stanford.io/2JDlBco  pic.twitter.com/r4HdJoDSnn",99,6,47,True,
Stanford,2018-07-19,13:14:00,".@StanfordEng scientists have advanced a new way to store wind and solar electricity on a large scale, affordably and at room temperature. https://stanford.io/2L5BU7r ",111,2,48,True,
Stanford,2018-07-19,12:33:37,"65% of you underestimated the number of Americans who believe the Earth is warming — and that tracks with what Jon Krosnick found. ""If people knew how prevalent green views are in the country, they might be more inclined to demand more government action on the issue,"" he says. https://twitter.com/Stanford/status/1019603674442522626 …",50,0,20,True,
Stanford,2018-07-18,23:26:54,"California's highest-quality wine grapes grow best in what's already a ""narrow climate envelope,"" and that envelope could be shrinking under current warming trends, says @StanfordEarth's Noah Diffenbaugh. https://stanford.io/2L3rmFM ",57,0,18,True,
Stanford,2018-07-18,19:04:26,"Nearly 100,000 people are waiting for a kidney transplant in the U.S. But the system that matches them with live donors isn’t operating as efficiently as it could be, a @StanfordEng study shows. https://stanford.io/2LwgDQC ",51,1,21,True,
Stanford,2018-07-18,14:05:00,"After Katie Ledecky, '20, broke the world record in the 800 freestyle, she quickly set a new goal: shaving off another nine seconds. https://stanford.io/2Jy40Tg ",81,3,11,True,
Stanford,2018-07-18,13:10:00,SPARQ toolkits help people from different backgrounds and points of view find ways to reduce prejudice and resolve disagreements. https://stanford.io/2L40XHY ,39,0,11,True,
Stanford,2018-07-18,11:22:00,"Organ transplants save lives, but the immune-suppressing drugs needed to protect a transplant leave the recipient susceptible to potentially deadly infections. https://stanford.io/2JypfnP ",39,0,10,True,
Stanford,2018-07-18,10:23:53,"Before you read the article, take a guess: What percent of Americans believe the world's temperature has been rising?  https://news.stanford.edu/2018/07/16/poll-shows-consensus-climate-policy-remains-strong/ …",37,2,15,True,
Stanford,2018-07-18,09:52:38,Acoustic ejection (seen here at 1/2500 speed) is at the heart of a new bio-printer that could speed diagnosis of bacterial blood infections and reduce the use of ineffective antibiotics.  https://stanford.io/2L2DbMI  pic.twitter.com/hPDnMFmlzU,53,0,11,True,
Stanford,2018-07-18,01:14:00,"In the U.S., career counselors often advise applicants to convey excitement & enthusiasm when they’re applying for jobs. But it’s important to recognize that message is shaped by our culture, and it may not be right for everyone, Lucy Zhang Bencharit says. https://stanford.io/2L2ecJg ",40,0,8,True,
Stanford,2018-07-17,23:16:00,"Today's predictive text had a precursor in the 1950s, when typists using the Double Pigeon began to experiment with new ways of organizing the characters on their tray beds into a ""connected thought"" layout. https://stanford.io/2L0FpMi ",54,1,11,True,
Stanford,2018-07-17,11:47:35,"""When you watch elephants interacting, it's almost like looking in a mirror,"" Caitlin O’Connell-Rodwell says. ""It's just so human.""  https://stanford.io/2KXYUFe  pic.twitter.com/LcboZGCh3T",106,0,27,True,
Stanford,2018-07-17,00:29:00,"Analyzing data from 10,000 school districts, @StanfordEd researchers uncovered a pattern: in affluent, highly-educated and predominantly white districts, boys outperformed girls in math. In poorer, more racially diverse districts, girls had the upper hand. https://stanford.io/2KZbHHz ",99,5,37,True,
Stanford,2018-07-16,23:28:06,"An extremely fast ""electron camera"" at @SLAClab has produced a detailed atomic movie of the decisive point where molecules hit by light decide to stay intact or break apart.  https://stanford.io/2NlcrDG  pic.twitter.com/KTrTwzVL8U",74,4,21,True,
Stanford,2018-07-16,21:57:02,Which would you think is more damaging to human health -- the workplace or secondhand smoke? @JeffreyPfeffer says the literature provides an unequivocal answer.  https://stanford.io/2L1NeS9  pic.twitter.com/Q7o08NkY0w,54,3,13,True,
Stanford,2018-07-16,19:05:30,"In an effort to identify ways to help Syrian refugees, Stanford researcher Laila Soudi will spend the next five weeks visiting the Jordan-Syria and Lebanon-Syria borders.  https://stanford.io/2KZ05Et  pic.twitter.com/gYqw6yFoGb",39,2,11,True,
Stanford,2018-07-16,15:05:38,"""No matter where you come from ... there is some sense of pride that you share this earth with these creatures."" For almost 25 years now, Caitlin O’Connell-Rodwell has been studying the elephants in Namibia’s Etosha National Park:  https://stanford.io/2KXYUFe  pic.twitter.com/aaYghiQdAb",129,0,29,True,
Stanford,2018-07-16,12:01:44,"The American people are vastly underestimating how green the country wants to be, Jon Krosnick says. https://stanford.io/2NkJmZb ",68,1,21,True,
Stanford,2018-07-15,20:38:00,Radioactive mineral samples collected by @StanfordEarth's Rodney Ewing could aid a Department of Homeland Security project aiming to hunt down the source of illegal nuclear material. https://stanford.io/2NfQjKJ ,33,1,9,True,
Stanford,2018-07-15,20:11:35,A bio-printer in development at Stanford could speed diagnosis of bacterial blood infections and reduce the use of ineffective antibiotics.  https://stanford.io/2L2DbMI  pic.twitter.com/ZBZSYYjJeU,99,0,33,True,
Stanford,2018-07-15,19:34:00,"An algorithm developed in the Stanford @ImmigrationLab uses refugees' backgrounds to match them with their ideal cities, improving their chances at employment and integration. https://stanford.io/2KFyHKX ",100,0,37,True,
Stanford,2018-07-15,17:28:00,Professor Chris Chafe composed a piece of music that tracks global average temperature and CO2 levels from A.D. 850 to 2016 using data compiled by his colleagues at @UCBerkeley. https://stanford.io/2NeoZN2 ,51,2,15,True,
Stanford,2018-07-15,13:25:01,"Matthew Wigler, ’19, is taking a road trip this summer to America's swing districts to learn about the voters who reject partisanship in a time of great political polarization.  https://stanford.io/2KXVyCj  pic.twitter.com/dNPP3qzuoX",66,3,14,True,
Stanford,2018-07-15,11:25:48,"During the summer, classrooms, labs and libraries across campus open up and students of all ages, from all over the world, get a chance to learn from Stanford scholars:  https://stanford.io/2NfFBnG  pic.twitter.com/KkZ69IBlbv",103,1,26,True,
Stanford,2018-07-15,10:31:04,Listen to The Future of Everything today at 9 a.m. PT and find past episodes at  https://stanford.io/2KY8J68 . pic.twitter.com/R7Bh0Quofv,27,0,5,True,
Stanford,2018-07-15,09:23:01,"A free course to consider, from @StanfordOnline: Love as a Force for Social Justice. Enroll today and learn on your own schedule.  https://stanford.io/2KUPEBL  pic.twitter.com/6fDp9QiJ6N",32,2,12,True,
Stanford,2018-07-14,22:48:30,Summer reading to shift your perspective:  https://stanford.io/2Ne8tNe  #CardinalBookClub pic.twitter.com/Ou2YRhfEyQ,88,1,23,True,#CardinalBookClub
Stanford,2018-07-14,22:46:00,"Things professor Mark Applebaum has created: 1) an electro-acoustic contraption (""the Mousetrap"") he alone knows how to play; 2) a piece to be performed by three gesturing conductors—without any actual musicians making sound; 3) a concerto for florist. https://stanford.io/2KYNxge ",47,1,7,True,
Stanford,2018-07-14,21:18:00,A @StanfordLaw program sends students to strengthen justice systems in some of the most historically challenging places on Earth. https://stanford.io/2KVVcff ,53,1,7,True,
Stanford,2018-07-14,12:24:57,Dirty air is responsible for one in five infant deaths in sub‑Saharan Africa.  https://stanford.io/2NeZ8Vd  pic.twitter.com/pkvrGlb5U7,42,1,20,True,
