username,date,time,tweet,likes,replies,retweets,retweet,hashtags
StanfordChild,2018-07-20,13:09:45,"Born with two rare congenital #heart conditions, Ishan underwent open-heart surgery when he was less than three weeks old. Throughout his stay at Packard Children's, #chaplains offered comfort and support to his family at every step along the way.  http://bit.ly/2JEGxzQ  pic.twitter.com/2w32tSLV6G",5,0,0,True,"#heart,#chaplains"
StanfordChild,2018-07-19,13:11:31,Concern about the impact of #marijuana use by teens is increasing among physicians. Here's how to talk with your teen about its use:  http://bit.ly/2Lx3u9Z  pic.twitter.com/JwurKPdQQv,4,0,0,True,#marijuana
DennyLundMD,2018-07-17,15:00:19,"As the patient experience continues to evolve, digital transformation in #healthcare plays a key role. @StanfordChild’s Natalie Pageler shared insight on how #technology helps give patients better access to their physician.  https://bit.ly/2L45x8v  @Scott_HighTech @TechTarget",11,0,4,True,"#healthcare,#technology"
StanfordChild,2018-07-18,13:31:57,"Dr. Ekta Vyas discusses how Stanford Children’s Health hired more than 500 employees during the expansion of Packard Children's, while navigating the talent acquisition challenges associated with Silicon Valley's high cost of living and commuting barriers. https://www.peoplescout.com/talking-talent-navigating-the-talent-acquisition-challenges-of-a-major-hospital-expansion/ …",3,0,2,True,
StanfordChild,2018-07-18,12:05:32,"Forbes recently highlighted the strategic vision and leadership of former CEO Christopher Dawes and Susan Packard Orr, whose efforts are most responsible for making Lucile Packard Children's Hospital Stanford what it is today. https://www.forbes.com/sites/meehanjonker/2018/07/10/a-mothers-vision-building-and-scaling-a-premier-childrens-hospital/#1a23126446f7 …",3,0,2,True,#1a23126446f7
StanfordMed,2018-07-17,01:36:02,A study of MRI brain scans reveals that kids with autism have differences in a brain pathway that typically makes social interaction feel rewarding.  https://stan.md/2NjJxns  pic.twitter.com/9FWUSe361G,558,9,365,True,
StanfordChild,2018-07-13,12:02:59,"Pediatric researcher celebrated for her perseverance, accomplishments:  https://stan.md/2zIgNTA  pic.twitter.com/ilk3V9tzFO",8,0,1,True,
DennyLundMD,2018-07-12,15:58:00,".@StanfordChild has had 0 reportable adverse drug events for 11 months, substantially below the collaborative ADE rate. I am proud of the pharmacy services team's work of reducing medication errors, as highlighted by @SiwickiHealthIT of @HealthITNews https://bit.ly/2ztERJw ",32,0,8,True,
StanfordChild,2018-07-12,13:00:17,"From Lucile Packard's dream to our state-of-the-art new hospital and expanding network, @Forbes features Stanford Children's Health and its history of medical innovation for children:  https://bit.ly/2L1CpyF  pic.twitter.com/tVveK7GjHy",14,0,9,True,
StanfordChild,2018-07-12,11:47:53,Should doctors prescribe #medical #marijuana to children or teenagers? Physicians weighed in at the recent Pediatric Grand Rounds Annual Housewide Debate. https://scopeblog.stanford.edu/2018/06/28/teens-shouldnt-use-medical-marijuana-but-the-plants-active-compounds-have-select-uses-debaters-agree/ …,4,1,1,True,"#medical,#marijuana"
StanfordChild,2018-07-11,17:58:44,Young Merced patient hero pays it forward to Lucile Packard Children's Hospital Stanford:  https://bit.ly/2KOy4zq  pic.twitter.com/ZmcgWpQQ0H,6,0,0,True,
