username,date,time,tweet,likes,replies,retweets,retweet,hashtags
StanfordEarth,2018-07-24,15:50:27,Researchers project suicide rates would rise by 1.85 percent across the U.S. and Mexico if climate change continues along its current trajectory. (Economic recession is thought to increase suicide rates by 0.8 percent.) https://stanford.io/2mFg6B1 ,3,0,1,True,
StanfordMed,2018-07-24,14:57:00,"""Some folks who think they’re healthy actually are misregulating glucose — sometimes at the same severity of people with diabetes — and they have no idea,"" says the study's lead author Prof. Michael Snyder. https://stan.md/2mEY2XB ",23,2,10,True,
statnews,2018-07-24,09:00:17,"An outbreak of antibiotic-resistant infections that appeared in Iowa has been traced to medical leeches from France, highlighting how accidental contamination can resurface over 4,000 miles away. https://buff.ly/2ObGQWc ",66,2,67,True,
StanfordHP,2018-07-24,13:09:32,"Adherence to PrEP, the HIV prevention drug, is low. A new study suggests a pill with a tiny sensor...  https://www.statnews.com/2018/07/24/digital-pill-prep-truvada/ … via @statnews",2,0,1,True,
statnews,2018-07-24,13:00:33,"TODAY: Join STAT and @lipiroy for Runnin': A conversation about America's opioid epidemic, 3:30 p.m. ET #statchatRegistration link:  https://buff.ly/2NHDzNc Watch Runnin' here:  https://buff.ly/2NHZ3K6  pic.twitter.com/M9Q0MBNOHE",2,0,3,True,#statchatRegistration
NPRHealth,2018-07-22,16:06:35,How Soon Is Soon Enough To Learn You Have Alzheimer's? https://n.pr/2NxIrof ,58,4,45,True,
StanfordHP,2018-07-24,13:05:19,@KHNews Hospitals Gear Up For New Diagnosis: Human Trafficking  https://khn.org/ODU4MDA1  via @khnews,2,0,0,True,
jrovner,2018-07-24,11:02:58,HIPAA was supposed to protect individuals' medical information. But things have changed a lot since 1996: https://khn.org/news/profiles-for-sale-how-bits-of-captured-data-paint-a-valuable-picture-of-your-health/ …,13,4,26,True,
emilybazar,2018-07-24,11:02:44,"""It felt like what you imagine dying feels like."" Patti Damare got an E. coli infection and #sepsis after her #colonoscopy. Infections after common scope procedures are more common that previously thought, a new study confirms:  https://californiahealthline.org/news/time-for-that-colonoscopy-probe-your-doc-first-on-how-the-scopes-are-cleaned/ … @CalHealthline #AskEmily",12,0,12,True,"#sepsis,#colonoscopy,#AskEmily"
StanfordMed,2018-07-23,15:41:01,.@MonthsToYears author Kimberly Nichols writes about the loss of her father. https://stan.md/2Lg5Dup ,19,0,6,True,
CSISHealth,2018-07-24,12:58:00,"We are joined in our latest episode of #TakeAsDirected by Adm James Winnefeld, who discusses his late son’s struggle with opioids and the national non-profit he launched to combat the epidemic. Listen here: http://bit.ly/2LxZjOl ",1,0,1,True,#TakeAsDirected
FSIStanford,2018-07-24,10:03:05,.@StanfordHP's Joshua Salomon has a better way to measure @UN Sustainable Development Goals.  https://okt.to/V03UXS  pic.twitter.com/WDKysw5wE9,1,0,1,True,
chadterhune,2018-07-23,16:16:50,"@KHNews As #ACA premiums keep climbing, a reminder that the ranks of the uninsured have fallen dramatically. In California, it's down to 6.8% without coverage from 17% in late 2013 @CoveredCA #Medicaid  https://californiahealthline.org/Mjg1MDcw  @CalHealthline @khnews",4,1,10,True,"#ACA,#Medicaid"
