username,date,time,tweet,likes,replies,retweets,retweet,hashtags
StanfordHealth,2018-07-24,09:00:00,How training robotic athletes to walk can help researchers develop better prosthetic limbs. https://stan.md/2uwcwgT ,2,0,0,True,
StanfordHealth,2018-07-23,09:00:01,Stanford scientists invent a magnet that detects and attracts tumor cells. That ability could improve the ability to diagnose #Cancer earlier.  https://stan.md/2O10fsQ ,8,0,6,True,#Cancer
StanfordHealth,2018-07-21,14:48:15,"“I want to treat everybody like I would want my grandparents treated, my parents treated, my child treated. And so that’s how I treat all of my patients.” Learn more about why liver outreach clerical coordinator Monica Thompson is #ProudToWorkForStanfordHealthCare pic.twitter.com/HaG7kIeJOA",9,0,2,True,#ProudToWorkForStanfordHealthCare
StanfordHealth,2018-07-20,09:00:00,#SummerTravel plans? How to sleep wherever and however you go. http://bit.ly/2LbgOAG ,5,1,1,True,#SummerTravel
StanfordHealth,2018-07-19,09:00:00,Food as medicine: Stanford incorporates #NutritionEducation into medical school training. https://wapo.st/2KYGOCr ,9,0,3,True,#NutritionEducation
StanfordHealth,2018-07-18,09:00:00,Shaving cream? Aloe? After-sun lotion? What is the best way to prevent and treat #Sunburn? https://nbcnews.to/2NDyOVX ,2,0,0,True,#Sunburn
StanfordPain,2018-07-17,15:50:00,Hospitals including @StanfordHealth and @CedarsSinai are using virtual reality to help reduce the experience of pain. @WIREDScience http://bit.ly/2z8IbZ7 ,49,4,40,True,
StanfordHealth,2018-07-17,09:00:00,A bedtime story for all—why we don’t get enough #Sleep and what we can do to change our habits. https://nbcnews.to/2uefs1n ,6,0,4,True,#Sleep
StanfordHealth,2018-07-16,09:00:00,Doctors use virtual reality and #Telemedicine to educate physicians and patients abroad. http://bit.ly/2L73YmG ,6,0,4,True,#Telemedicine
StanfordHealth,2018-07-15,11:00:00,"DBT, a type of behavior therapy that teaches skills to manage painful emotions and decrease conflict in relationships, was found to decrease self-harm and suicide attempts in young people, according to Stanford co-authored study. https://stan.md/2u1jqJN ",9,0,3,True,
StanfordHealth,2018-07-14,11:00:10,"We're excited to launch a new video series called #ProudToWorkForStanfordHealthCare. Over the next several weeks, you'll hear from our dedicated employees on why they love to come to work. Check out our first video in the series. pic.twitter.com/M3FUvxp0qn",9,1,4,True,#ProudToWorkForStanfordHealthCare
StanfordHealth,2018-07-13,09:00:00,"Clot busting drug TPA is not without risks, but remains the gold standard in treating a #stroke. http://bit.ly/2KJqq8K ",4,0,3,True,#stroke
StanfordHealth,2018-07-12,09:00:00,"Some #KidneyCancer patients can forgo surgery, and have tumors removed non-invasively by radiofrequency ablation. https://wb.md/2Nqes2m ",2,0,1,True,#KidneyCancer
warriors,2018-07-11,14:39:18,"Who else is looking forward to spending the summer in relaxation mode?  In the final installment of Wellness Wednesdays, the Dubs & @StanfordHealth take a deeper dive into the benefits of a good night’s sleep 😴  https://on.nba.com/2ucnJ5V  pic.twitter.com/wCx6ZH52LK",576,12,72,True,
StanfordHealth,2018-07-11,09:00:00,Should doctors prescribe #MedicalMarijuana to teens? https://stan.md/2lPSngX ,2,0,2,True,#MedicalMarijuana
NBCLeftField,2018-07-10,14:22:44,Do you often wake up feeling tired or like you're not getting enough sleep? We do. So we went to @StanfordHealth's Sleep Medicine Center to find out why:  https://youtu.be/yuH_4a1R4YA  pic.twitter.com/qY8EoL46G4,22,2,10,True,
