username,date,time,tweet,likes,replies,retweets,retweet,hashtags
StanfordMed,2018-07-24,14:57:00,"""Some folks who think they’re healthy actually are misregulating glucose — sometimes at the same severity of people with diabetes — and they have no idea,"" says the study's lead author Prof. Michael Snyder. https://stan.md/2mEY2XB ",23,2,10,True,
StanfordMed,2018-07-24,09:45:00,Videos from #BigDataMed 2018 are now available online.  https://stan.md/2LE6i8B  #BigData,16,1,10,True,"#BigDataMed,#BigData"
StanfordMed,2018-07-24,03:10:58,Cytomegalovirus infections can be deadly for organ transplant patients. A team of Stanford researchers is seeking to determine which patients are most at risk.  https://stan.md/2JR9qbZ  pic.twitter.com/pPYoehSfgU,39,1,17,True,
StanfordMed,2018-07-23,15:41:01,.@MonthsToYears author Kimberly Nichols writes about the loss of her father. https://stan.md/2Lg5Dup ,19,0,6,True,
StanfordMed,2018-07-23,13:53:24,"“When talking about climate change, it’s often easy to think in abstractions. But the thousands of additional suicides that are likely to occur as a result of unmitigated climate change are not just a number,” says @FoodSecurity_SU's @MarshallBBurke. https://stan.md/2JMN0sv ",19,1,9,True,
StanfordMed,2018-07-23,10:16:00,"Black men are more likely to get follow up care and to mention other health concerns after visiting a black doctor, a study finds. https://stan.md/2LevnHM ",81,3,36,True,
StanfordMed,2018-07-22,15:43:01,A study of MRI brain scans reveals that kids with autism have differences in a brain pathway that typically makes social interaction feel rewarding.  https://stan.md/2JGqqlo  pic.twitter.com/NK7XjVvySg,228,1,136,True,
StanfordMed,2018-07-21,13:43:02,Researchers identify protein essential for making stem cells.  https://stan.md/2L9RFdv  pic.twitter.com/4ts7vrcwUF,121,0,75,True,
StanfordMed,2018-07-20,20:42:03,"Medical errors may stem more from physician burnout than unsafe health care settings, study finds.  https://stan.md/2JHPN62  pic.twitter.com/1yCHr6PiZw",99,3,66,True,
StanfordMed,2018-07-20,16:13:00,Researchers have developed a wearable device that measures how much cortisol people produce in their sweat. https://stan.md/2JFm0Lx ,108,1,46,True,
ariannahuff,2018-07-20,13:45:19,Dean of @StanfordMed Lloyd Minor on the problems and the promise of electronic health records. http://ow.ly/Xkoj30l263o ,24,0,18,True,
StanfordMed,2018-07-20,02:03:00,"Laila Soudi, project lead for the Stanford Refugee Research Project, shares the story of a Syrian refugee in Jordan. https://stan.md/2Lxu8zc ",21,0,8,True,
StanfordMed,2018-07-20,01:03:51,Sculptures bring data to life.  https://stan.md/2L6W8xD  pic.twitter.com/MNmNDgyUXc,12,0,6,True,
StanfordMed,2018-07-19,16:13:00,"Millions of people take five or more medications a day, yet little is known about the possible side effects of complex drug combinations. Now, Stanford researchers are using #AI to predict what may happen when multiple drugs combine. https://stan.md/2L8DIwh ",87,1,52,True,#AI
StanfordMed,2018-07-19,15:20:24,Researchers develop a way to genetically code cell-cell adhesion in Escherichia coli. https://stan.md/2LbXiYE ,16,0,8,True,
StanfordMed,2018-07-19,07:22:03,Rare disease inspires team to develop new test for aldehyde levels in blood.  https://stan.md/2L4Bk9S  pic.twitter.com/zpMXHgcdUH,38,0,15,True,
StanfordMed,2018-07-19,01:39:28,Stanford adolescent medicine specialist Seth Ammerman discusses marijuana use in teens. https://stan.md/2LrmztV ,43,1,26,True,
StanfordMed,2018-07-18,17:51:00,"""There, at my dad’s bedside nearly twenty-four hours a day, I saw a narrative I often missed as a physician."" Stanford fellow in hematology and oncology @ilanayurkiewicz writes about the perspective she gained when her father was hospitalized. https://stan.md/2L7uWyL ",48,1,14,True,
StanfordMed,2018-07-18,15:58:34,New research led by bioengineer KC Huang found that a membrane surrounding the cell wall has a more important role in bacterial survival than previously believed. https://stan.md/2L4tiOh ,31,0,9,True,
StanfordMed,2018-07-18,09:52:01,"Key social reward circuit in brain different in kids with autism, according to study of MRI brain scans. https://stan.md/2L2SZPe ",35,1,27,True,
StanfordMed,2018-07-17,19:25:52,New algorithm developed at Stanford automates the most labor-intensive part of genetic diagnosis. https://stan.md/2L2897n ,99,0,63,True,
StanfordMed,2018-07-17,15:55:00,"A magnetic wire used to snag scarce and hard-to-capture tumor cells shows promise as a possible cancer detection technique, according to a study by Stanford researchers. https://stan.md/2JwjuXD ",65,1,42,True,
StanfordMed,2018-07-17,13:48:01,"""Just because you can make something more technologically advanced, doesn’t always mean you should."" Adjunct Professor Uday Kumar discusses what he learned working with patients and as a @SUBiodesign Fellow. https://stan.md/2L5wrO0 ",54,0,38,True,
StanfordMed,2018-07-17,01:36:02,A study of MRI brain scans reveals that kids with autism have differences in a brain pathway that typically makes social interaction feel rewarding.  https://stan.md/2NjJxns  pic.twitter.com/9FWUSe361G,558,9,365,True,
StanfordMed,2018-07-16,17:21:02,Researchers identify protein essential for making stem cells.  https://stan.md/2L24PJx  pic.twitter.com/dSYFkp5OEb,76,1,50,True,
StanfordMed,2018-07-16,16:26:52,Program marks 30 years of bringing medical education to low-income teens. https://stan.md/2JtnNTz ,38,0,17,True,
StanfordMed,2018-07-16,14:41:00,Contradictory findings can be common in nutritional research. Stanford's John Ioannidis weighs in. https://stan.md/2JtZtRF ,27,2,8,True,
StanfordMed,2018-07-14,13:32:02,"700 students, 30 summers, zero tuition. Stanford's free Medical Youth Science Program helps teens begin their journey toward careers in the medical and health sciences.  https://stan.md/2KWvlDY  pic.twitter.com/sgs2gSZldz",138,4,32,True,
