username,date,time,tweet,likes,replies,retweets,retweet,hashtags
SRFtweets,2018-07-17,19:57:25,Congratulations to @StartXMed company @EpiBiome on their acquisition by Locus Biosciences! Stanford-@StartX Fund backed! https://www.genomeweb.com/business-news/locus-biosciences-acquires-epibiome-bacteriophage-discovery-platform?utm_source=addthis_shares#.W06P4zG9Qrw.twitter …,11,0,3,True,
harvardmed,2018-07-10,16:45:04,"HMS geneticist George Church discusses his research, the technological advances in gene therapy that could combat disease and extend life, and what science may hold in store for the future of humankind (via @Medium) https://medium.com/s/futurehuman/reversed-aging-pig-organs-and-the-future-of-humankind-50f1cdb1e014 …",86,2,39,True,
SGottliebFDA,2018-07-10,14:49:21,"My Blog: By expanding use of real world data, #FDA can enhance benefits of traditional clinical trials by eliminating knowledge gaps and providing more information on medical product safety and benefits.  #FDA is uniquely positioned to lead this effort.  https://go.usa.gov/xUZ5C ",95,11,47,True,"#FDA,#FDA"
sacjai,2018-07-10,07:37:08,"The most important management principle for healthcare leaders is to recognize that every decision—no matter how big or small—materially influences the outcomes or experience for patients.  And every decision must be viewed through this simple, but paradoxically rare lens.",84,4,26,True,
BillGates,2018-07-07,09:13:01,"People are living longer, healthier lives than ever before. Here are three more signs the world is getting better:  https://b-gat.es/2tSAUIj  pic.twitter.com/kh3Qm6MWwP",10780,690,2588,True,
StartXMed,2018-06-22,00:02:34,StartXMed neighborhoods today were phenomenal- looking forward to another great cohort of kickass medical entrepreneurs! https://twitter.com/timsweeney83/status/1009466905151791104 …,3,0,0,True,
StartX,2018-06-17,13:40:05,Only 8 days left to apply to the Fall session! Get free feedback from our expert judges. Apply Today:  http://www.startx.com/apply/?eventid=applyf18&v=website1&s=twitter&e= … pic.twitter.com/oCOEOYPJY7,2,0,1,True,
StanfordMed,2018-06-14,11:41:05,Researchers at Stanford have discovered a biomarker that could predict whether someone exposed to the #flu virus is likely to become ill: https://stan.md/2LOUI6F ,28,0,29,True,#flu
StartXMed,2018-06-13,22:37:36,"You go girl! Amazing to see strong, brilliant women shaping the future of healthcare 💪🏽 https://twitter.com/patriceharrismd/status/1006609565788659712 …",0,0,0,True,
StartXMed,2018-06-13,22:35:15,Congrats @freenome! #StartXMed alumni company rocks @WSJ's list of companies to watch #AI #genomics https://twitter.com/wsj/status/1006899055866404864 …,1,0,1,True,"#StartXMed,#AI,#genomics"
