username,date,time,tweet,likes,replies,retweets,retweet,hashtags
willsuh76,2018-07-17,07:10:01,@belcid7 @Steph_Achenbach @ajaykirtane @mmamas1973 @elpikos @Ortega_Paz @jedicath @mirvatalasnag @VijayKunadian @escardio @PCRonline @EuroInterventio @agtruesdell @sbrugaletta .@CardiacConsult crowdsourced this last year in a matter of hours and compiled in @TwitterMoments#RadialFirst #SDD https://twitter.com/i/moments/867392361420255233 …,6,0,5,True,"#RadialFirst,#SDD"
PhysicianOnFIRE,2018-07-14,13:40:06,"TWO free books to one random person who unfollows @WCInvestor (temporarily, of course), and retweets some of my garbage tweets. And I'm off to go play in the lake and accept my status as the #2 physician blogger. 🍻 https://twitter.com/WCInvestor/status/1018183020203814912 …",20,5,7,True,#2
WCInvestor,2018-07-14,12:18:43,"If I beat @PhysicianOnFIRE to 10K followers this weekend, I’ll give away a WCI book randomly to a new follower and to a person who retweeted this.",27,5,73,True,
bnallamo,2018-07-12,07:20:59,"“…I am remain grateful for every day that I am still alive, but greedy because I want more.” - @alguirecRead this. http://circoutcomes.ahajournals.org/content/11/7/e004991 … pic.twitter.com/htGff8BwPN",78,7,38,True,
tony_breu,2018-07-11,17:52:25,"1/""Why do my fingers get all wrinkly when I take a bath?” This was the question my 3-year-old daughter asked me recently after bath time. I thought for a minute, then realized I didn't have a clue. The explanation is so much cooler than I had expected... pic.twitter.com/mFyeKm8Edc",6114,89,3649,True,
BrandonGowton,2018-07-11,08:42:07,The unheralded plays from the Eagles' Super Bowl win (Volume 1) — https://www.bleedinggreennation.com/2018/7/9/17549566/we-all-we-need-volume-1 …,26,2,6,True,
Almanfi_Cardio,2018-07-08,16:58:26,"For #TAVR implanters & structural fellows learning CoreValve Evolut R deployment, deciding what depth you place your valve is very crucial .. This thread will be dedicated to “the best practices” that can help guide you in procedural steps! pic.twitter.com/xJFez1OpYL",90,8,52,True,#TAVR
JosephSecoges,2018-07-07,14:37:00,"What does blood flow really look like in severe mitral stenosis, regurgitation? We now have a another, more detailed look with Blood Speckle Imaging on the GE Vivid E95. The future of imaging technology is now with the cSound on the E95!#VividE95 #ASE360 #EchoFirst @GEHealthcare pic.twitter.com/nmrLVOzgyx",182,3,88,True,"#VividE95,#ASE360,#EchoFirst"
CMichaelGibson,2018-07-04,10:01:32,"On the 4th of July, celebrate freedom of information with a new way to share your interesting cases.In four easy steps, your case is memorialized on tweetbook, shared on #cardiotwitter & you get a link to share in future tweets.Learn more here: https://www.wikidoc.org/index.php/Tweetbook:_Cardiovascular_Interventions …#FOAMed pic.twitter.com/VVt6STuDT7",71,2,41,True,"#cardiotwitter,#FOAMed"
DocSavageTJU,2018-07-04,14:34:01,#Tweetbook : Cardiovascular Interventions➡️a revolutionary concept in medical publishing . It’s no coincidence that it’s launch is on #IndependenceDay to celebrate freedom of information 🇺🇸🎆🎇@fischman_david @AVishnevsky_MD @CardioIAN @AnastasiaSMihai @rahatheart1 #ACCFIT https://twitter.com/cmichaelgibson/status/1014524615811624963 …,38,3,19,True,"#Tweetbook,#IndependenceDay,#ACCFIT"
