username,date,time,tweet,likes,replies,retweets,retweet,hashtags
NobelPrize,2018-07-13,04:50:28,"Marie Curie discovered polonium in an experiment conducted #OnThisDay in 1898.Watch the story behind the discovery of polonium - as well as radium, which was also discovered the same year. pic.twitter.com/Pef1FIauDR",1306,13,693,True,#OnThisDay
TJUHospital,2018-07-13,15:05:04,Join Dr. Kevin Kelly on 7/20 at noon for New Treatments for Advanced #ProstateCancer at @KimmelCancerCtr's Cancer Support & Welcome Center:  http://bit.ly/2NJue8J . pic.twitter.com/GaYRrOn9FP,12,0,2,True,#ProstateCancer
DrDanielMonti,2018-07-13,12:55:52,"New research from @JeffMarcusInst: ""Safety of Vitamin C Infusions for Alleviating Symptoms of Cancer Treatment"" Read about it here:  http://ow.ly/FTt430kWC4r  #JeffResearch @JeffersonUniv @TJUHospital pic.twitter.com/ZoBUtqhQgd",9,0,3,True,#JeffResearch
CancerTodayMag,2018-07-11,14:10:05,"National Academies panel urges researchers to routinely share test results with study participants, via @statnews: http://ctsm.aacr.org/VIZ630kUcd8 ",4,0,5,True,
ACSCANUtah,2018-07-11,14:14:28, https://www.wsj.com/articles/vaping-doesnt-often-help-smokers-quit-new-study-finds-1531159338 …,1,0,4,True,
SKCCDirector,2018-07-11,14:25:14,"Congratulations to SKCC's dynamic new recruit, Dr. Rodriguez-Bravo.  Well deserved! https://twitter.com/KimmelCancerCtr/status/1017096847687634951 …",8,0,1,True,
KimmelCancerCtr,2018-06-22,13:35:32,.@SKCCDirector spoke with @USNewsHealth about screening in men with late-stage #prostatecancer:  http://bit.ly/2Miw8f0  #forefront,4,0,3,True,"#prostatecancer,#forefront"
BurrisSkip,2018-07-08,08:32:50,Wonderful article — worth a read: “don’t avoid thinking by being busy” https://twitter.com/julnilsmith/status/1015581796988276736 …,10,1,2,True,
OncologyTimes,2018-07-09,16:41:19,Watch this video from our Lymphoma & Leukemia Resource Center: Dr. Pierluigi Porcu of Sidney Kimmel Cancer Center describes newly approved drugs to improve patient treatment options.   http://ow.ly/Qlgj30kDc8l  pic.twitter.com/2OhPVh4xeh,12,0,9,True,
LaurenRiley183,2018-07-10,09:04:16,"#Cancer Awareness Night @Phillies is coming up on Tuesday, July 24! Tickets benefit @KimmelCancerCtr and fans will receive a special #Phillies hat 🧢 ⚾️ https://twitter.com/kimmelcancerctr/status/1007665271123927043 …",3,0,3,True,"#Cancer,#Phillies"
KimmelCancerCtr,2018-07-10,08:43:48,"Heather Bell-Temin, RD, CSO, LDN, Oncology Registered Dietitian Nutritionist, recently wrote an article about how to address #anorexia in older adults with cancer:  http://bit.ly/2J9FyHH  #geriatriconcology #nutrition pic.twitter.com/k2Nqm3wdsa",7,0,6,True,"#anorexia,#geriatriconcology,#nutrition"
JeffInnovation,2018-07-09,10:32:29,Happening this Thursday: @NRGonc is hosting a #DigitalHealth and Personal #ConnectedHealth Minisymposium! Chair of radiation oncology at @KimmelCancerCtr @APDicker is co-chairing! Info:  http://bit.ly/2J2gIxn  pic.twitter.com/p6dqNKf47R,14,1,5,True,"#DigitalHealth,#ConnectedHealth"
DrEricGressen,2018-07-10,13:52:32,"Check out Discovery,  the official newsletter @KimmelCancerCtr @JeffersonUniv The latest innovations in cancer coming out of Jefferson https://issuu.com/sidneykimmelcancercenter/docs/discovery-july-2018 …",6,1,1,True,
TJUHospital,2018-07-10,13:00:04,"Join us on Tuesday, October 30th at @SheratonPhilaDT for the 16th Annual Jefferson Gala as we honor renowned @KimmelCancerCtr medical oncologist, researcher, & champion of the underserved, @EdithMitchellMD & @Eagles head coach Doug Pederson:  http://Jefferson.edu/Gala  pic.twitter.com/6bPKJ0yvZH",10,0,5,True,
PCF_Science,2018-07-09,15:40:39,Just published in @JCO_ASCO!  #PCFfunded @SU2C_PCF_WCDT study details  frequency & features of treatment-emergent small-cell neuroendocrine  #ProstateCancer (t-SCNC).  Findings include near-mutual exclusivity  with DNA repair alterations. @PCFnews http://ascopubs.org/doi/abs/10.1200/JCO.2017.77.6880 … pic.twitter.com/X5P4K82e1D,70,0,40,True,"#PCFfunded,#ProstateCancer"
KimmelCancerCtr,2018-06-27,13:01:11,"An exploratory analysis of men with #prostatecancer or at risk for prostate cancer, led by @vedangiri, identified a need to supplement patient genetic education and counseling with the basics of healthy eating:  http://ow.ly/VseD30kzGRF  via @OncologyTimes https://twitter.com/OncologyTimes/status/1011743432094691330 …",6,2,5,True,#prostatecancer
TJUHospital,2018-06-26,12:55:16,"As cancers find ways to bypass a new therapy, researchers discover the tumor also develops an Achilles heel that can be hit with a different cancer therapy:  http://bit.ly/2yQQ2eS . #JeffersonResearch pic.twitter.com/3sZM3BcIiO",11,0,7,True,#JeffersonResearch
KimmelCancerCtr,2018-06-15,11:44:56,Join us for Cancer Awareness Night at the @Phillies on 7/24! Fans that purchase tickets via this Theme Night promotion will receive a special Phillies #CancerAwareness Night hat in a color of their choice. To purchase tickets visit  http://phillies.com/Jefferson . pic.twitter.com/0PAMMfY69L,12,0,8,True,#CancerAwareness
SKCCDirector,2018-06-13,11:33:52,"Such a well deserved honor for our SKCC Program Leader, Dept of Cancer  Bio Vice Chair, and all around exceptional colleague. Congrats Dr Eischen! @KimmelCancerCtr #WomenInScience https://twitter.com/jeffersonuniv/status/1006890239128895488 …",16,0,0,True,#WomenInScience
KimmelCancerCtr,2018-06-12,16:14:42,"Congrats to @ChrisEischenTJU, the new Herbert A. Rosenthal, MD ‘56 Professor of Cancer Research! 👏 #forefront pic.twitter.com/1fOQTEUnQT",8,0,3,True,#forefront
OBRtweets,2018-06-12,11:46:35,"James A. Posey III, MD, comments on the impact of immunotherapy agents in pancreatic cancer @TJUHospital @KimmelCancerCtr #ASCO18  https://goo.gl/9KP3h3 ",3,0,2,True,#ASCO18
AustinChiangMD,2018-06-11,16:00:16,Incredible how social media can save lives... #hcsm Tagging a few friends: @sklasko @MetabolicEndo @JohnBrand1 @SKCCDirector @MarkPochapin @BrennanSpiegel @RichWebsterTJUH @IBDMD @WalterChanMD @SapnaSyngal @DrDeborahFisher @TJUHospital @BonKu @docaggarwal https://twitter.com/theNCI/status/1004751060869804032 …,7,1,3,True,#hcsm
SKCCDirector,2018-06-12,12:55:00,"Thrilled to work with Mike Milken, @soulehoward1, @drjwsimons and @PCF_Science to raise needed support for young cancer researchers in #Philadelphia . Cancer research saves lives! #HomeRunChallenge @KimmelCancerCtr https://twitter.com/soulehoward1/status/1006588586966355970 …",19,0,5,True,"#Philadelphia,#HomeRunChallenge"
KimmelCancerCtr,2018-06-07,10:00:19,#NationalCancerSurvivorsMonth #hope https://twitter.com/TJUHospital/status/1004105178683985920 …,8,0,4,True,"#NationalCancerSurvivorsMonth,#hope"
