username,date,time,tweet,likes,replies,retweets,retweet,hashtags
WBLMD,2018-07-16,13:22:00,Frustrated with opening a difficult #medicinebottle cap? Little known fact: this type of cap was designed for capable use inverted for simple (NOT child proof) open and close. pic.twitter.com/Xapna71ZLE,0,0,0,True,#medicinebottle
WBLMD,2018-07-15,13:22:00,"#ContactDermatitis is fancy speak for a skin reaction to something (perfume, metal, organic material, etc) towards which you have an allergy. It can definitely cause #bullae.One to look out for this summer: #PoisonIvy#batman #rhus pic.twitter.com/Xe82zmKuTr",0,0,0,True,"#ContactDermatitis,#bullae,#PoisonIvy,#batman,#rhus"
WBLMD,2018-07-14,13:22:01,"Medications are a huge reason for #bullae, and among the scariest. A terrible reaction to penicillin and sulfa-based drugs is called #ToxicEpidermalNecrolysis (or #TEN). A true dermatologic #emergency requiring ICU care, entire sheets of skin can slough off the body. pic.twitter.com/QUU9W7Kqbb",1,0,0,True,"#bullae,#ToxicEpidermalNecrolysis,#TEN,#emergency"
WBLMD,2018-07-13,13:22:00,"Extremes of temperature can cause #bullae. #Frostbite and #sunburn both can damage skin cells, resulting in injurious epidermal separation. pic.twitter.com/l8jRP5mlCz",2,0,0,True,"#bullae,#Frostbite,#sunburn"
WBLMD,2018-07-12,13:22:00,"#BullousPemphigoid, a favorite of board examination fare, can cause large blisters. An #autoimmune disease, it causes skin layer separation of the epidermis from the dermis in a hypersensitivity reaction. pic.twitter.com/BaNAHGmhS9",2,0,0,True,"#BullousPemphigoid,#autoimmune"
WBLMD,2018-07-11,13:22:00,"The disastrous infection #smallpox also causes #bullae. A potential #bioterrorist weapon, this disease can be distinguished by the fact all lesions are in the same stage of development. pic.twitter.com/PmMqYmj4ZR",1,0,0,True,"#smallpox,#bullae,#bioterrorist"
WBLMD,2018-07-10,13:22:00,Painful #shingles (caused by #Herpes #zoster) also will cause mini #bullae blisters. Telltale characteristic? They don't cross the midline. pic.twitter.com/ZhxJ9WNOuf,1,0,0,True,"#shingles,#Herpes,#zoster,#bullae"
WBLMD,2018-07-09,13:22:00,"A few days ago, I talked about a case report of #parvovirus causing #bullae. Other infections cause it more commonly. #Chickenpox is nowhere near as common as it used to be due to the success of #immunizations. It commonly caused very itchy rampant bullae.#vaccineswork pic.twitter.com/g0xeQ1FEaw",1,0,0,True,"#parvovirus,#bullae,#Chickenpox,#immunizations,#vaccineswork"
WBLMD,2018-07-08,13:22:00,Many things can cause #bullae. Simple things first: trauma. A painful blister on your heel from shoes that don't fit well is a bulla you likely have known well. pic.twitter.com/71eFoWXEJZ,0,0,0,True,#bullae
WBLMD,2018-07-07,13:22:00,#valsartan (now off patent from @Novartis) recalled in 22 countries due to N-Nitrosodimethylamine (#NDMA) impurities (linked to cancer). https://goo.gl/hePvz9 ,1,0,1,True,"#valsartan,#NDMA"
WBLMD,2018-07-06,13:22:00,"""Slapped cheeks"" is the typical dermatologic presentation associated with #parvovirus, but recent @JPediatr article reports #bullae (fluid filled blisters) associated with B19 infection  https://goo.gl/x1KarG  pic.twitter.com/prlZ3IOfeY",4,0,0,True,"#parvovirus,#bullae"
WBLMD,2018-07-05,13:22:00,"Over 7600 female physicians across all specialties responded to new @Medscape compensation survey report.In 2018, a woman aged <34 years makes a QUARTER LESS her male colleague - and that's the BEST this graph gets.We need to do better.@feminemtweets #EqualityForAll pic.twitter.com/IqSXRdT0dy",11,1,7,True,#EqualityForAll
WBLMD,2018-07-04,13:22:00,It's estimated that 65% of injuries related to fireworks occur in the 30 days immediately flanking July 4th.  https://goo.gl/bAaKsz Be safe and have fun. #HappyIndependenceDay #happyjuly4,1,0,0,True,"#HappyIndependenceDay,#happyjuly4"
WBLMD,2018-07-03,13:22:00,"This summer, use physics to your advantage to cool off. Spray a mist of (even tepid) water on yourself - let evaporative cooling occur by fan (removing surface latent heat). It's a mainstay of #emergencymedicine in heat emergencies (and is on every board test).",2,0,1,True,#emergencymedicine
WBLMD,2018-07-02,13:22:00,"Any body joint can be infected (#septicjoint), resulting in serious complications.But you wouldn't necessarily expect it in the #sternoclavicular joint (closest thing to a human #wishbone). Intravenous drug use is classically associated with it. #IVDA https://goo.gl/nRjLdm  pic.twitter.com/2gUEtWDNIL",0,0,0,True,"#septicjoint,#sternoclavicular,#wishbone,#IVDA"
WBLMD,2018-07-01,13:22:00,The #furcula is the #wishbone in the avian world (and #dinosaurs).It is the fusion of the clavicles. Humans don't have fused clavicles. pic.twitter.com/aUqV34Yg2J,1,0,0,True,"#furcula,#wishbone,#dinosaurs"
WBLMD,2018-06-30,13:22:00,"#Coma is a not a typical symptom of #stroke. The artery of #Percheron, a posterior circulation variant, supplies the bilateral paramedian thalami.A stroke affecting it WILL lead to coma. https://goo.gl/AcJ3jt  @ pic.twitter.com/XZIuDqPveS",0,0,0,True,"#Coma,#stroke,#Percheron"
WBLMD,2018-06-29,13:22:00,#AvascularNecrosis (#AVN aka #osteonecrosis) is the sequelae of morbidity resulting from interrupted blood flow to bone. There are so many eponyms for so many bones.#KIENBOCK:lunate as #PREISER:scaphoid#SATanalogy https://goo.gl/S1ZQ1q ,0,0,0,True,"#AvascularNecrosis,#AVN,#osteonecrosis,#KIENBOCK,#PREISER,#SATanalogy"
WBLMD,2018-06-28,13:22:00,"New @AnnalsofEM study shows the validity & reliability of #vNRS is strong for children, aged 6-17 years, to describe pain. But not so great for 4-5 year olds. https://goo.gl/CjynME ",0,0,0,True,#vNRS
WBLMD,2018-06-27,13:22:00,"It may be no surprise, but we don't have a great way to measure subjective #pain.One of the only validated tools is the Verbal Numerical Rating Scale. #VNRS pic.twitter.com/gXtpuhbpVB",0,0,0,True,"#pain,#VNRS"
WBLMD,2018-06-26,13:22:00,The raw constituent elements (by periodic table) of the human body are estimated to cost approximately $160. https://goo.gl/gGCjge ,0,0,0,True,
WBLMD,2018-06-25,13:22:00,"Today, #EKG interpretation software is much less expensive, widely present, and is quite accurate. However, subtle patterns of injury will still need the eye of an experienced clinician. pic.twitter.com/gEIijRDgUS",1,0,0,True,#EKG
WBLMD,2018-06-24,13:22:00,"In 1975, @HP was among the first companies to develop technology to read and interpret #EKG waveforms. The huge machines cost ~$5,000, and were leasable in monthly payments. (from R. Bukata) pic.twitter.com/XQaw2VDDfQ",1,0,0,True,#EKG
WBLMD,2018-06-23,13:22:00,"The wrist flapping tremor of #asterixis should prompt evaluation of the liver, kidney, and lungs.#hepaticencephalopathy#hypercarbia#azotemia pic.twitter.com/XmMEXXyaA8",0,0,0,True,"#asterixis,#hepaticencephalopathy,#hypercarbia,#azotemia"
WBLMD,2018-06-22,13:22:00,#blockchaintechnology (the basis for #bitcoin) has the potential to securely store your entire medical history  https://goo.gl/PYojKH @Reuters pic.twitter.com/CCvKjYWOIp,0,0,0,True,"#blockchaintechnology,#bitcoin"
WBLMD,2018-06-21,13:22:00,#Preterm labor remains the leading cause of death for children under the age of 5#prematurity @UNICEF https://goo.gl/wLQBXk ,0,0,0,True,"#Preterm,#prematurity"
WBLMD,2018-06-20,13:22:00,"Recent study shows that, if you have suffered a slight traumatic brain injury and are seen in the #emergency dept, more likely than not, you do not receive appropriate education and you do not follow up with appropriate care. #TBI #TRACKTBI https://goo.gl/eQwqzc  pic.twitter.com/3J1B6obLDI",0,0,0,True,"#emergency,#TBI,#TRACKTBI"
WBLMD,2018-06-19,13:22:00,"The @WHO will recognize ""#gaming disorder"" as a mental health condition in the 11th edition of its International Classification of Diseases.At this time, @APAPsychiatric makes no similar move.#addiction#DontHatethePlaya https://goo.gl/dMuwjr  pic.twitter.com/XLiqL4FIyY",0,0,0,True,"#gaming,#addiction,#DontHatethePlaya"
WBLMD,2018-06-18,13:22:00,#Boxers in the past have injected elemental #mercury into their veins - with the belief that they would punch and react faster. #Quicksilver pic.twitter.com/ObGPYH9jEz,1,0,0,True,"#Boxers,#mercury,#Quicksilver"
WBLMD,2018-06-17,13:22:00,"There is no biological function, nor need, for #lead or #arsenic in the human body. Any level is #pathologic.#SometimesBlackandWhite",0,0,0,True,"#lead,#arsenic,#pathologic,#SometimesBlackandWhite"
WBLMD,2018-06-16,13:22:00,"In #sicklecell, #technetium scans have better specificity and utility for identifying #osteomyelitis. Due to their propensity for multiple bone infarcts from sickling, sickle cell patients will often manifest false positives on MRI.",1,0,1,True,"#sicklecell,#technetium,#osteomyelitis"
WBLMD,2018-06-15,13:22:00,"#Schizophrenia and schizotypal personality disorder (#STPD) are not the same thing. Whereas STPD  follows a lifelong course with little change, simple schizophrenia generally deteriorates over time.",1,0,0,True,"#Schizophrenia,#STPD"
WBLMD,2018-06-14,13:22:00,"Wondering whether #rhabdomyolysis is present? Serum CK levels are at least 5X higher than normal, ranging from 1500-100,000 IU/L.",0,0,0,True,#rhabdomyolysis
WBLMD,2018-06-13,13:22:00,"Cecal #volvulus are not all the same.Type I: axial, cecum twists along its long axisType II: loop, cecum goes to ectopic location (usually LUQ)Type III: #bascule, upward folding of the cecum (no twisting)#BoardReview",0,0,0,True,"#volvulus,#bascule,#BoardReview"
WBLMD,2018-06-12,13:22:00,"The #hospital is a scary enough place. Imagine how empowering it might be for a child that needs testing, to wear one of these gowns, donated by @MarvelStudios #FTW@HB0Podcast@RalphGarman@ThatKevinSmith https://goo.gl/wXJThj  pic.twitter.com/5RHsmqGY4e",3,0,1,True,"#hospital,#FTW"
WBLMD,2018-06-11,13:22:00,Don't sleep with your #contactlens in for a prolonged period of time.Or with your #mascara on either. https://goo.gl/DWzoyp @AAOjournal pic.twitter.com/Ni5BVSxs1u,1,0,4,True,"#contactlens,#mascara"
WBLMD,2018-06-10,13:22:00,Non-opioid medication #Lofexidine (used for 25 years in #GreatBritain) gains @US_FDA approval for #opioid withdrawal. #ASCP2018 @ASCPorg,1,0,0,True,"#Lofexidine,#GreatBritain,#opioid,#ASCP2018"
WBLMD,2018-06-09,13:22:00,"A person on an #airplane has a medical problem.A doctor on board recommends landing immediately.This diversion's cost? Anywhere from $10,000-200,000.#IsThereaDoctorAboard https://goo.gl/MrrdJc ",0,0,0,True,"#airplane,#IsThereaDoctorAboard"
WBLMD,2018-06-08,13:22:00,A medical #emergency occurs 1 in 604 airplane flights.7.3% led to diversions. 0.3% of medical emergencies on planes end in fatality. https://goo.gl/ENs9JA @NEJM pic.twitter.com/ehihbHPXeA,0,0,0,True,#emergency
WBLMD,2018-06-07,13:22:00,Steroids (#glucocorticoids) decrease the efficacy of #insulin - increased blood sugar and irregular glycemic regulation can be a side effect of steroid treatments. #MoreYouKnow,0,0,0,True,"#glucocorticoids,#insulin,#MoreYouKnow"
WBLMD,2018-06-06,13:22:00,"In the #Ukraine, @NPR reports babies with the genetic code of 3 people are being created for infertile couples. 4 such babies have already been born.@MorningEdition https://goo.gl/X2tNz6 ",0,0,0,True,#Ukraine
