username,date,time,tweet,likes,replies,retweets,retweet,hashtags
neilgomes,2017-07-18,15:56:04,"Whether a @TJUHospital patient or not, download our myJeffHealth app. Designed & developed with 💙 by my @DICEGRP. https://itunes.apple.com/us/app/myjeffhealth/id1123775365?mt=8 …",8,0,2,True,
rwang0,2018-07-12,22:52:14,MyPOV: catching up with the @JeffInnovation team. Always innovative conversation w @neilgomes a #bt150 alumnus and client. #healthcare #DigitalTransformation @JeffersonUniv pic.twitter.com/5nWiRM8y6H,6,0,3,True,"#bt150,#healthcare,#DigitalTransformation"
DICEGRP,2018-07-11,16:05:10,".@neilgomes and @rneff50  will be representing Jefferson at #HealthIMPACTEast next week in Washington, DC. Learn more:   http://ow.ly/fT5S30kU8Tt  pic.twitter.com/bffL7hSLOw",12,0,5,True,#HealthIMPACTEast
sklasko,2018-07-04,14:19:43,"""Express yourself""! This is our new #CoLabPHL with @theEDpharmacist and @BonKu getting kids in Kensington EXPRESS YOURSELF! How design thinking works. @JeffersonUniv Happy Fourth all! https://twitter.com/BonKu/status/1014192550146658305 …",27,0,5,True,#CoLabPHL
JosephRDelgado,2018-06-25,09:04:00,"If I ever get sick, I’m flying from Minnesota to Jefferson Hospital. Great talk by @neilgomes at @MedForceSummit - Wow. Impressive digital transformation and focus on the patient/physician/human experience. pic.twitter.com/FuK3vA0nK2",3,0,1,True,
DICEGRP,2018-06-21,14:35:49,Thanks to the participants who made the first day of the #DICEGrp Blood Drive a huge success! Schedule an appt with the @TJUHospital Blood Donor Center or walk-in between 7:30am and 3pm: … http://jeffersonblooddonorcenter.calendarspots.com/  pic.twitter.com/vvLYDNQmkl,7,0,2,True,#DICEGrp
vishnu_saxena,2018-06-21,10:51:36,All eyes @Atul_Gawande on his highly anticipated keynote at #AHIPinstitute begins now. #pinksocks #hcldr #humanizehealthcare pic.twitter.com/AgKMfhwmNb – at San Diego Convention Center,15,0,6,True,"#AHIPinstitute,#pinksocks,#hcldr,#humanizehealthcare"
sklasko,2018-06-20,10:39:46,"Brilliant choice! If we want transformation, this is the right pick - @Atul_Gawande for head of the Amazon - Morgan - Hathaway new health entity. He knows the opportunities, not just for cost cutting, but for a system focused on real people: https://www.statnews.com/2018/06/20/surgeon-atul-gawande-selected-ceo-amazon-partners/ …",39,3,14,True,
Viraj_says,2018-06-14,14:12:55,Great audience for our “bring digital to life” presentation at NG healthcare summit. Thoughtful investment in digital strategy and learning from other industries digital adoption can help healthcare immensely. @Healthcare_GDS #nghealthcare @DICEGRP @neilgomes,4,1,2,True,#nghealthcare
Viraj_says,2018-06-13,21:04:23,"Co-presenting with @neilgomes tomorrow at NG Health summit at Houston on how @DICEGRP at Jefferson is enabling patients, students, caregivers, clinicians, faculty and staff “Bring digital to life”. #nghealthcare @Healthcare_GDS",9,0,2,True,#nghealthcare
JeffersonUniv,2018-05-30,16:25:41,Check out the 99 other visionaries who joined Dr. @sklasko in being named to @FastCompany's 100 Most Creative People in Business. 👀 #FCMostCreative https://twitter.com/FastCompany/status/1001784172002856961 …,10,0,3,True,#FCMostCreative
Viraj_says,2018-05-30,16:41:21,“Making large-scale healthcare personal”... @sklasko is making it a reality and is now listed as one of the Most Creative People in Business 2018 by @FastCompany @TJUHospital @JeffersonUniv @DICEGRP https://www.fastcompany.com/most-creative-people/2018 …,4,0,1,True,
jneves25,2018-05-30,13:12:30,Packed house for our Digital Innovation panel hosted by @sravish with @TJUHospital @neilgomes @Propelics and @iTetherLLC #progressNEXT18 @Kinvey @ProgressSW pic.twitter.com/qgushuzMyb,14,0,7,True,#progressNEXT18
JeffersonUniv,2018-05-27,09:01:45,A team of researchers from Sidney Kimmel Medical College at Jefferson has just received a major $3.1 million grant from @NIDDKgov to reduce the need for emergency #diabetes care in older African Americans:  http://bit.ly/2krylJ9 . #JeffersonResearch pic.twitter.com/k0pH3mKfzK,28,1,4,True,"#diabetes,#JeffersonResearch"
JeffersonUniv,2018-05-26,13:25:02,"🔖 Story time! Jefferson CEO, @sklasko explains to @phillymag his new book Bless This Mess & ""why we ought to stop making excuses for the system’s shortcomings."" #BlessThisMess ( http://bit.ly/2sbdSvy )",12,0,3,True,#BlessThisMess
JeffersonUniv,2018-05-24,08:46:08,📺 In the news: @CBSPhilly reports Jefferson researchers are using microbubbles to improve cancer treatments:  https://cbsloc.al/2IGqBBj . #JeffersonResearch,7,0,2,True,#JeffersonResearch
tim_cook,2018-05-06,11:41:12,"20 years ago today, Steve introduced the world to iMac. It set Apple on a new course and forever changed the way people look at computers. pic.twitter.com/GbKno7YBHl",58158,1138,20087,True,
Viraj_says,2018-05-23,21:04:30,Let’s recognize that this is beginning of something very special. Years later when this becomes a norm everyone will look back and thank the efforts of @BonKu and his team for creating a new thinking in medicine. Thank you @sklasko for enabling this. @TJUHospital https://twitter.com/bonku/status/999419678454898688 …,10,0,5,True,
ValaAfshar,2018-05-23,23:06:32,Wireless charging mobile devices is here now pic.twitter.com/SSuSe0S73l,172,9,159,True,
DICEGRP,2018-05-22,16:34:25,"Congrats to our team at the #HSXHackathon for taking home the grand prize! Along with a cash prize, the winning team now has a pilot opportunity with the HSX Market Street enterprise. 🎉 #HITSummit pic.twitter.com/q2xIGlFJSV",14,0,4,True,"#HSXHackathon,#HITSummit"
sklasko,2018-05-23,19:09:39,Here they are! Congratulations all of you - @JeffersonUniv was the first medical college to launch a formal design thinking curriculum from selection through commencement - and the first group has graduated! Love it. @BonKu @AAMCNews @EKSiegel @nejmcatalyst @htaneja https://twitter.com/BonKu/status/999419678454898688 …,63,1,14,True,
neilgomes,2018-05-22,16:23:37,"The @DICEGRP team at @TJUHospital wins 1st place at the HSX Hackathon at the #HITSummit. Congratulations team!!! Proud and beaming 😀. When the @DICEGRP hacks, patients win! pic.twitter.com/2QTkATkoAC",10,0,1,True,#HITSummit
neilgomes,2018-05-22,12:43:25,"Mark Stevens, Managing Partner of @EnableHealthInc moderates Use Cases for Blockchain in Healthcare @ #HITSummit with; John Cappiello, CTO of Health Verity; Sri Bharadwaj, CISO @ UC Irvine Health; & Anthony DiPrinzio, Lead of Consulting & Development, Blockchain @ Berkeley pic.twitter.com/T0Id3lfDF6",7,0,0,True,#HITSummit
neilgomes,2018-05-22,08:06:53,"1st panel of the day at #HITSummit. Fantastic panelists: co-chair Salim Saiyed, System VP & CMIO of UPMC Pinnacle; Robert Murry, CMIO of NextGen; Andy Farella, ACIO of Business Apps at CHOP; Trey Lauderdale, CEO of Voalte, & Emily Mallar, Director of Care Management at Cayuga. pic.twitter.com/I40nsnnlud",2,0,1,True,#HITSummit
neilgomes,2018-05-21,15:12:19,Great questions from the audience at #HITSummit for @rneff50 about our #ProviderDirectory solution. Generating true value from a digital solution. pic.twitter.com/qCPHFzcvpP,4,0,0,True,"#HITSummit,#ProviderDirectory"
neilgomes,2018-05-21,15:09:30,Our @DICEGRP at @TJUHospital team designing and developing a great solution for patients leveraging our data in HSX at the HSX Hackathon at the #HITSummit in Philadelphia. The big reveal happens at 4:30pm today! Rapid #DigitalTransformation in just 48 hours. pic.twitter.com/mn1EDhBWcE,8,0,0,True,"#HITSummit,#DigitalTransformation"
neilgomes,2018-05-21,15:01:33,"Our @DICEGRP Head of Innovative Technology Solutions & Platforms, Rob Neff @rneff50, presents our Provider Directory solution that simplifies physician profile data collection that then drives innovation across our find-a-doc, JeffDocs, myJeffHealth, & other services @ #HITSummit pic.twitter.com/TXlVNE0EKh",8,0,3,True,#HITSummit
neilgomes,2018-05-21,11:00:21,"Insightful panel on Laying the Foundation for Purposeful Innovation at the #HITSummit with panelists Albert Baker of Hackensack Meridian, Katy Mahraj of Penn Medicine, John Donohue of Penn Medicine, and moderator Mark Hagland. “Align innovation with service lines” - Katy Mahraj pic.twitter.com/d34QjvbBal",2,0,1,True,#HITSummit
neilgomes,2018-05-21,10:55:27,"Glenn Mitchell, Chair of Healthcare Informatics at Harrisburg University asks a great question off our esteemed panel on laying the foundation for purposeful innovation at the 2018 #HITSummit. We need to involve more Informatics students in healthcare innovation. pic.twitter.com/wzXVJHdFQj",3,0,1,True,#HITSummit
