username,date,time,tweet,likes,replies,retweets,retweet,hashtags
praveen520,2018-02-15,16:20:03,The @TJUHospital Echo Lab is starting to use handheld #echo technology to diagnose CV disease. What do you use your handheld echo system for? @DavidWienerMD @ecocardio_cl @ASE360 @HeartToProve #EchoFirst pic.twitter.com/yUetrO4ijQ,86,10,33,True,"#echo,#EchoFirst"
DavidWienerMD,2018-07-06,06:44:41,"Welcome to @TJUHospital 2018 first year cardiology fellows, seen here with our program directors. The future of our profession is bright! pic.twitter.com/FvWLvC6c3D",31,2,6,True,
JosephSecoges,2018-06-18,18:27:20,"The View X feature being utilized on the GE Vivid E95 during a MitraClip case at Thomas Jefferson University Hospital. This new feature allows the echo team to see live flouro imaging, assisting with guidance of the procedure. @TJUHospital @praveen520 @DrNickTJU @RoxanneDeStefa1 pic.twitter.com/xrupuPwE1v",7,0,4,True,
DavidWienerMD,2018-06-12,15:10:35,"73 yo 👨 with jaundice and low output. Note this echo finding is not new. What are we seeing, and what is its effect on the MV (CF Doppler next in thread)? #echofirst pic.twitter.com/Ybhyj36RLn",89,13,37,True,#echofirst
TJUHospital,2018-06-10,14:00:10,Our #StructuralHeart Program offers innovative treatments for structural heart conditions. This usually means there is an abnormality in the heart that does not affect the blood vessels. Learn more:  http://bit.ly/2sESM9I . @fischman_david @DocSavageTJU @DrNickTJU pic.twitter.com/s0WfMhdLnT,21,0,5,True,#StructuralHeart
Capitals,2018-06-07,22:06:56,THE WASHINGTON CAPITALS ARE THE 2018 #STANLEYCUP CHAMPIONS! #ALLCAPS pic.twitter.com/QNrMYcleBi,63613,1313,39950,True,"#STANLEYCUP,#ALLCAPS"
praveen520,2018-06-04,13:35:52,Listen to the recent @Heart_BMJ podcast during which I am interviewed by @jhfrudd regarding my recent publication with @JudyHungMD regarding the complex issue of Aortic Stenosis severity. @ASE360 @TJUHospital @DavidWienerMD @BrHeartValveSoc @fischman_david @DocSavageTJU https://twitter.com/heart_bmj/status/1002818198553661441 …,24,2,8,True,
DavidWienerMD,2018-05-31,19:58:17,"Jefferson Heart Institute proudly congratulates another group of exceptional fellows, who move up to be our colleagues at tonight's graduation dinner. @TJUHospital @fischman_david @DocSavageTJU @praveen520 pic.twitter.com/xLVsvlj5xp",45,4,5,True,
fischman_david,2018-05-21,20:07:20,"@Twitter The @ConsultGuys have finally come to @twitter by way of @AnnalsofIM. Throw them your tired, your weary and your toughest questions. @ACPinternists #ConsultGuys https://twitter.com/fischman_david/status/868066397246689280 …",9,0,3,True,#ConsultGuys
praveen520,2018-05-20,09:40:17,Can Lifestyle Changes Remove Plaques in Your Arteries? https://nyti.ms/2GuvYgV ,10,1,3,True,
DavidWienerMD,2018-05-06,07:07:22,Gibbon's legacy continues at @TJUHospital. Proud to be a member of the Jefferson Heart Institute. https://twitter.com/FredWuMD/status/993009857619025920 …,13,0,4,True,
JosephSecoges,2018-04-26,17:22:13,What does LV outflow look like in severe aortic stenosis?  Is it laminar? turbulent? spiraling? Does this mean Doppler is inaccurate? Blood Speckle Imaging on the Vivid E95 let’s us see flow like never before! This is an opportunity for a deeper understanding of hemodynamics! pic.twitter.com/obGN9FzvZ3,203,8,114,True,
RMarcantuonoNP,2018-04-11,13:37:33,Another fun WATCHMAN Wednesday! @fischman_david @TJUHospital @JeffIMchiefs @DrNickTJU @AnnetteNP4Heart @DocSavageTJU @davidoneilmd @DavidWienerMD @praveen520 @DocAWard @rosefitz1971 @PWcathdoc @mdecaro pic.twitter.com/qmyaVDqEjG,10,0,4,True,
JACCJournals,2018-03-14,16:25:05,How much radiation do you get doing TEEs during cath lab structural interventions?  http://ow.ly/e66C30iX0Ad  #JACC pic.twitter.com/cVK9wIRqt5,65,2,55,True,#JACC
DavidWienerMD,2018-03-13,17:53:31,"How does your institution schedule and staff cardioversions?  1. EP handles all cardioversions (echo lab provides TEE if needed)  2. Echo lab handles all cardioversions, no EP  3. EP does regular ones; echo pushes the button for ones with TEE",6,3,7,True,
BartsEcho,2018-03-03,15:16:10,Reversible aortic stenosis!Severe AS. Fused AV cusps. (AVA 0.7cm2 by planimtery).  3 months of prednisolone.  Fusion of cusps resolves & AV Vmax down to 2m/sec.Great case - Löffler endocarditis improving with steroids! https://academic.oup.com/eurheartj/advance-article/doi/10.1093/eurheartj/ehy094/4911114 … pic.twitter.com/CTQpL5IqoQ,180,6,119,True,
DocAWard,2018-03-10,13:28:03,@Acc18 @loheetha representing TJUH Cardiology @ACC18 #ACC18 #WIC #ACCFIT @DocSavageTJU @DavidWienerMD @praveen520 @fischman_david pic.twitter.com/BDJAO44ROv,17,2,2,True,"#ACC18,#WIC,#ACCFIT"
DavidWienerMD,2018-03-08,07:29:03,"@ASE360 Are you a cardiac imager? Follow @ase360, or any of ASE's Twitterati, and join our community sharing knowledge and images. And stay tuned for the next #ASEchoJC! What is Twitter? How Do I Get Started? Why Should I Become a User? http://www.onlinejase.com/article/S0894-7317%2818%2930005-1/fulltext#.WqE530BwHWY.twitter …",36,1,23,True,#ASEchoJC
praveen520,2018-02-23,10:02:48,Tracking blood flow through a large secundum atrial septal defect with Blood Speckle Imaging technology. #Echo @TJUHospital @DocSavageTJU @DavidWienerMD @ASE360 @fischman_david @HeartToProve @JosephSecoges @GEHealthcare pic.twitter.com/RyujpCXnNU,140,8,78,True,#Echo
ClevelandClinic,2018-02-21,20:11:00,Benefits of taking turmeric: http://cle.clinic/2yiC5pA ,430,6,189,True,
theNCI,2018-02-21,07:15:03,"A study in mice raises the possibility that microscopic, oxygen-carrying bubbles may help to improve the treatment of breast cancer:  https://www.cancer.gov/news-events/cancer-currents-blog/2018/microbubbles-radiation-breast-cancer … #NCICancerCurrentsblog pic.twitter.com/g2LsJNxLAj",17,2,30,True,#NCICancerCurrentsblog
ajaykirtane,2018-02-14,05:34:54,"Please retweet this if you have helped a patient with a stent, OR if you or a family member has been helped by a stent. @NYTHealth really needs to know that by over-exaggerating a good message twice now (on overuse) they are doing a disservice to patients https://twitter.com/ajaykirtane/status/963727419319488513 …",128,8,194,True,
praveen520,2018-02-11,10:47:00,@TJUHospital A “Wild” Delivery at the Philadelphia Zoo  http://blogs.jefferson.edu/atjeff/2017/06/22/a-wild-delivery-at-the-philadelphia-zoo/ … via @tjuhospital,4,0,0,True,
