username,date,time,tweet,likes,replies,retweets,retweet,hashtags
slittleson,2018-07-11,17:41:23,Way to go team!! https://twitter.com/ariahealth/status/1017045857311641600 …,24,2,3,True,
AbingtonJeff,2018-06-23,06:45:02,"Today’s the day! Take a tour of our new 86,000-square-foot modern, outpatient cancer center during the Asplundh Cancer Pavilion Open House, TODAY, from 10 a.m. to 2 p.m. See you there!  http://p.ctx.ly/r/7vzo ",4,0,5,True,
sklasko,2018-06-21,11:27:04,"CODE RED - humans first! We're on the front lines for gun violence - we're acting. Today we're hosting doctors, K-12 students, Teva interns, city and state officials @TJUHospital for #CodeRedPHL thanks to Dr. Stanton Miller, Jefferson Center for Injury Research and Prevention. pic.twitter.com/UARfB6MBu6",28,0,4,True,#CodeRedPHL
slittleson,2018-06-17,08:37:22,"Thx to @RepDawkins @MariaQSanchez, Capt Luca & @PPD15Dist, & TWIS officials for great Ride For Peace from @AriaHealth Frankford yesterday! pic.twitter.com/2uVUg7VJoy",12,0,4,True,
Chrisivity,2018-06-07,11:35:51,"When you are in an industry that involves lives, there are always reasons to work together to serve the greater good. Five South Jersey #hospitals will pool info to better keep patients, docs in treatment loop  https://bit.ly/2JnPG0j  @VirtuaHealth @NJHospitals",16,1,7,True,#hospitals
slittleson,2018-06-06,09:43:51,"“We are all different flavors, colors, but we’re all on the same rainbow. We need red just as much as yellow, purple, orange, blue, green, and burgundy. There’s good in everyone. So go and find what’s good in people.” @jimmyfallon speaking to #MSDStrong HS grads in Parkland Fla.",13,0,2,True,#MSDStrong
ZDoggMD,2018-06-04,14:12:36,"Just finished my regular county hospital rounds, and I think I can safely say the social determinants of health are not the most important factor at play. They're the ONLY factor at play.",407,10,114,True,
slittleson,2018-06-01,09:06:34,"Kudos from Jefferson Health - Northeast @AriaHealth to Jeff President & CEO @sklasko for ranking 21st on the @FastCompany Top 100 ""Most Creative People in Business"" list! #innovative #reimagining  https://www.fastcompany.com/person/stephen-klasko … pic.twitter.com/k0TSzjnHGO",12,0,4,True,"#innovative,#reimagining"
slittleson,2018-05-31,18:55:59,"Congrats to them! Young, strong voices aimed at doing good!!! https://twitter.com/stephaniemehta/status/1001770229528256512 …",2,0,0,True,
AriaHealth,2018-05-28,10:00:01,"On behalf of all of our team members, Jefferson Bucks, Frankford, and Torresdale Hospitals wish you and your loved ones a happy and healthy Memorial Day!",3,0,2,True,
slittleson,2018-05-24,19:42:26,“Marcel believes policy can prevent future deaths.” Amen!!! https://twitter.com/nowthisnews/status/999391129819893760 …,1,0,0,True,
JeffSTATCCT,2018-05-23,07:43:41,Kicking off the Jefferson Northeast EMS Symposium with the President of @AriaHealth @slittleson! #StrongerTogether #EMSWeek2018 pic.twitter.com/fc4wwf0FPs,9,0,5,True,"#StrongerTogether,#EMSWeek2018"
slittleson,2018-05-22,19:25:26,Your own car vs your kids’ bus...Why do we even bother to debate the difference?? https://twitter.com/ntsb/status/998977975671455744 …,0,0,0,True,
slittleson,2018-05-22,18:05:28,As a soccer playing kid from Roch. NY—and the father of two daughters—I cannot imagine a stronger msg from a more admirable person. Thank you Abby! https://twitter.com/abbywambach/status/998539194648727552 …,5,0,0,True,
slittleson,2018-05-19,05:37:50,Congrats Rich and team!!! https://twitter.com/richwebstertjuh/status/997270889245954048 …,3,0,0,True,
davidhogg111,2018-05-18,17:04:53,The only way we can do is stand with the victims of the war on our streets and fight to end it. We will win. https://www.washingtonpost.com/news/politics/wp/2018/05/18/2018-has-been-deadlier-for-schoolchildren-than-service-members/ …,3985,317,1352,True,
slittleson,2018-05-19,05:21:27,#numbersdontlie https://twitter.com/marchilberer/status/997531945977475073 …,1,0,0,True,#numbersdontlie
AriaHealth,2018-05-18,11:27:45,"A team from Jefferson’s Bucks, Frankford and Torresdale Hospitals recently received a grant for their project ""Implementation of a Nurse Call System to Improve Outcomes."" The evidence-based practice grant was awarded by the SEPA of the AACN.  Great job to all involved! pic.twitter.com/r99gOsvw8W",16,0,4,True,
slittleson,2018-05-15,11:46:02,"A great time was had by 170 golfers (and the @Phillies Phanatic!) at the 38th Jefferson Health-Northeast @AriaHealth Golf Classic held at #HuntingdonValleyCountryClub. Thanks to our sponsors, including #CompassSignCo, for helping us raise more than $310K for outpatient care! pic.twitter.com/jHL2r9ZMaw",8,0,3,True,"#HuntingdonValleyCountryClub,#CompassSignCo"
slittleson,2018-05-11,16:01:52,"The Jefferson Health - Northeast @AriaHealth team always knocks our socks off! With the distribution of the Jefferson Health @TJUHospital hospital week gift of @BOMBAS socks to our staff of 4,000, we have the opportunity to donate the same amount to local communities in need! pic.twitter.com/c9GV70629a",22,0,5,True,
