username,date,time,tweet,likes,replies,retweets,retweet,hashtags
jeff_sono,2018-07-16,14:49:49,Writing is a habit.  It is formulaic @JuddHollander and @RisingKristin pic.twitter.com/WzJzCxFLb2,5,0,6,True,
zrisler,2018-07-13,13:17:03,So many important points here. As a #POCUS community we need to safely expand our users and work together. https://twitter.com/ultrasoundrel/status/1017833260490076160 …,8,0,3,True,#POCUS
Apirotte,2018-07-13,10:51:10,"Trialing bifurcated O2 trees. Idea is to have HFNC and flush rate NRB on tree left of bed, BVM and vent on tree right of bed. No switching out devices or use of tanks! pic.twitter.com/VpNMhUYNLq",124,11,31,True,
SAlerhand,2018-07-13,10:44:17,Here's the savable picture image (without clips) for those who asked   https://twitter.com/emdocsdotnet/status/1011984227376693249 … pic.twitter.com/T593hE3xuv,34,0,12,True,
jeff_sono,2018-07-10,07:25:59,GUIDELINES. The purpose of this paper was to create a model for System Wide Clinical Ultrasound development and implementation.  https://bit.ly/2m4oE41 #Nice @GritCoachMd @Stronysono @craio7 @RubbleEM @jmatthewfields @megleoc @SmallsSono @j7chico @PennUltrasound et alius pic.twitter.com/G5SwM3Gjne,20,0,18,True,#Nice
zrisler,2018-07-10,08:53:11,"You see a pericardial effusion, next ?, is it tamponade? Check out this graphic to help https://twitter.com/drshahrul80/status/803976505260843008 …",7,0,6,True,
zrisler,2018-07-10,08:27:58,"Why do a focused echo in the emergency department: shock, chest pain, shortness of breath, tachycardia, penetrating trauma, procedural guidance. Others? @HeyDrNik @PratsEM @CreaghB",6,1,2,True,
zrisler,2018-07-10,08:19:31,Having trouble getting views. Take a look at this video https://twitter.com/arntfield/status/982330258820030465 …,3,0,3,True,
zrisler,2018-07-10,08:12:12,"Use the 5 Es for evaluating the heart. Entrance (IVC), Exit (outflow tract), Effusion, Equality, EF  https://www.ncbi.nlm.nih.gov/m/pubmed/25903585/ … @RubbleEM @EUSmkh @EmergNSea",10,0,5,True,
zrisler,2018-07-10,07:59:14,"What are the basic views: subxiphoid, parasternal long, parasternal short and apical 4 chamber. Need a quick tutorial. Check out @5MinSono and @UltrasoundJelly  http://5minsono.com/cardiacfunction5minvid/ … and  http://5minsono.com/heart_views/ ",21,0,19,True,
zrisler,2018-07-10,07:56:04,Going to live tweet some teaching pearls during resident cardiac and lung ultrasound scanning session this morning. Follow along for some #FOAMed @jeff_sono @JeffEMRes,4,0,0,True,#FOAMed
jeff_sono,2018-07-09,14:18:45,J-Club: MetaAnalysis: Any hydronephrosis suggests  >5 mm stone in  renal colic patients #POCUS First  https://bit.ly/2NDx4vD  pic.twitter.com/E6N8Hj67aX,20,0,20,True,#POCUS
jeff_sono,2018-07-09,10:55:10,@Studiokitchen launches  the #POCUS 2018-2019 #EOMseries Monday16July2018 12:00 #JoinUs pic.twitter.com/I8XQcDyDAj,5,0,4,True,"#POCUS,#EOMseries,#JoinUs"
Yale_EUS,2018-07-05,17:45:47,A @yaleem2 intern on one of first ED shifts ever gets to do a popliteal block for a badly fractured ankle. Way to start the year! Full analgesia  achieved in 7 min. (pt consented for vid). Supervised by a great senior & @RubbleEM #nerveblockforthewin #FOAMed #FOAMus #POCUS pic.twitter.com/bYzkGLaQJ0,75,6,38,True,"#nerveblockforthewin,#FOAMed,#FOAMus,#POCUS"
Steph_Achenbach,2018-07-01,09:07:29,AV Block III° in echocardiography#cardiotwitter #echofirst pic.twitter.com/mk9MEGTnKc,717,15,411,True,"#cardiotwitter,#echofirst"
amalmattu,2018-07-02,12:37:50,My first shift with the new interns today @UMEmergencyMed. 10 bits of advice for our newbies #WhiteBoardTeaching #FOAMed pic.twitter.com/mPMxdsDr4y,2368,50,1097,True,"#WhiteBoardTeaching,#FOAMed"
ultrasoundREL,2018-06-27,10:09:00,COMMENT. #POCUS #DFP @ABMSCert public comment until 25June18 #AddYourVoice  https://bit.ly/2KbWx1f PING @SCUFellowships @ACEP_EUS @SAEMAEUS @Yale_EUS @CreaghB @GritCoachMd @SonoStache @UltrasoundMD @ultrasoundpod @UltrasoundJelly @nobleultrasound @bedsidesono @NagdevArun pic.twitter.com/Tm5E3x2v1B,10,0,16,True,"#POCUS,#DFP,#AddYourVoice"
ultrasoundREL,2018-06-24,10:42:14,@jeff_sono J-club: @PratsEM @UltrasoundMD @CreaghB on #POCUS and #RWMA . This is an advanced application #RuleInNotRuleOut  https://www.ultrasoundgel.org  pic.twitter.com/Z1WEVpbIoN,13,0,14,True,"#POCUS,#RWMA,#RuleInNotRuleOut"
amalmattu,2018-06-23,21:34:37,"Saturday night shift is the last #WhiteBoardTeaching of our academic year, top 12 pearls for sick patients. Good luck to the grads, and welcome aboard new interns! @UMEmergencyMed #FOAMed pic.twitter.com/WW2PnTUdvY",642,17,272,True,"#WhiteBoardTeaching,#FOAMed"
RJmdphilly,2018-06-22,06:24:05,"As a Physician, I have a #DutyToReport suspected child abuse or neglect. I’m reporting @SecNielsen, @SecAzar, @CBP, @ICEgov for depraved indifference & the avoidable infliction of severe emotional trauma on ~2,300 infants, toddlers, & children. @SenToomey where is your voice?",3,0,2,True,#DutyToReport
jeff_sono,2018-06-18,21:09:21,@arthurkau @markamagee @k_goodsell @dmat41 @zrisler @Amyjwal @DanMirsch @RishiKalw @geoffhaydenmd @BonKu @dmitripapa @CriticalCareNow @jsrempell @TempleEMUS @PennUltrasound @Wil_MaChan https://twitter.com/gritcoachmd/status/1008889062315393024 …,4,0,3,True,
jeff_sono,2018-06-18,17:00:54,"J-Club: SHoC panel consensus statement for #POCUS in hypotension & cardiac arrest describes stepwise protocols based on gestalt, scanning for ""4 F's"": function, fluid, form, filling.   https://bit.ly/2llddEx  pic.twitter.com/RRJqx5aKFP",28,1,27,True,#POCUS
ultrasoundREL,2018-06-18,12:51:16,@jeff_sono teaching @JeffEMRes  and others #POCUS PIV documentation @ACEP_EUS pic.twitter.com/NjLavOWLD7,4,1,4,True,#POCUS
UTS_Australia,2018-06-16,05:22:36,@UltrasoundJelly @medmanny @SonoInternist @TheScanimal @pdxfutebol @ReneeDversdal @benjikmathews @gyliu8038 @JanelleRBlu @ria_dancel Hot off the back of #TRUST18 - here's @i_c_sound on probe manipulation nomenclature and its impact on #POCUS skills developmentConsistency is key - inspored by @dpbahner and @CreaghB  https://www.ultrasoundtraining.com.au/news/probe-manipulation-the-debate-continues … pic.twitter.com/0clZgKgKRi,33,0,16,True,"#TRUST18,#POCUS"
jeff_sono,2018-06-14,12:38:39,Nice work co organizing @aaeminfo #POCUS president @markamagee https://twitter.com/ultrasoundrel/status/1007059769633501185 …,11,0,6,True,#POCUS
ultrasoundREL,2018-06-13,19:38:54,TODAY. #POCUSGuidedArtLine workshop for NeuroSurgery trainees. @TJUHospital + @jeff_sono = Multi-specialty GME #POCUS pic.twitter.com/HoJTOwe5dE,17,0,5,True,"#POCUSGuidedArtLine,#POCUS"
zrisler,2018-06-11,08:10:35,It’s Christmas in July @jeff_sono pic.twitter.com/FEIcDPEWBi,31,0,6,True,
jeff_sono,2018-06-07,13:28:32,"J-Club: Ultrasound may improve accuracy, reduce complications in stellate ganglion nerve blocks for chronic pain when compared to fluoro/landmarks alone #POCUS #nerveblock  https://bit.ly/2kVxqks  pic.twitter.com/wTNRQzJ2eX",10,1,9,True,"#POCUS,#nerveblock"
jeff_sono,2018-06-06,19:30:39,#FOAMus for trainees?  @zrisler + @dmat41 started a list and @geoffhaydenmd created quizzes  http://emergencyultrasoundteaching.com  pic.twitter.com/U7X9x3aOo7,18,1,11,True,#FOAMus
jeff_sono,2018-06-04,14:11:14,J-Club: In pts w/ recurrent VT adding sympathetic blockade to ACLS algorithm = ⬆ survival.Check out @ultrasoundpod for further discussion of US guided SGNB #POCUS. @bedsidesono @UltrasoundMD @michaelmallin Podcast:  https://bit.ly/2JaiqO6 Article:  https://bit.ly/2LXbr8I  pic.twitter.com/o6CyCanoQq,19,1,15,True,#POCUS
jeff_sono,2018-06-05,14:14:57,Using #POCUS to Break Down Training Silos in the ED: An Interprofessional Procedural Workshop to Improve IV Placement. @markamagee presenting at @JeffersonUniv #JeffFacultyDays pic.twitter.com/5gpGMzZq4j,18,0,11,True,"#POCUS,#JeffFacultyDays"
ultrasoundREL,2018-05-26,09:52:51,"THIS: ""An effective, low cost, open access 3D-printed stethoscope!"" @PURE_Updates @BonKu @SusannahFox @joyclee @nickdawson @edexam @feminemtweets @aalenyo @AfJEM @AfCEM2018 @mgabin5 @AliRaja_MD @choo_ek @DrHilarie https://twitter.com/paimadhu/status/1000361482507505664 …",25,1,11,True,
teenytinycas22,2018-05-23,19:55:45,"@MDaware 13. David Foster Wallace's...when I cut someone off in traffic, I make excuses for myself (I'm late to work, the light is changing etc)but when someone cuts me off, of course I think they're just a jerk.The less I judge patients for being in the ED, the less stress I have",24,2,7,True,
zrisler,2018-05-23,10:08:40,Excited to have some awesome applicants apply to @jeff_sono https://twitter.com/ultrasoundrel/status/999304859882086400 …,2,0,0,True,
jeff_sono,2018-05-22,13:33:44,"J-Club: #POCUS is a simple, rapid, and reliable way to confirm NG tube placement.  http://bit.ly/2GI0Laf  @ultrasoundREL @arthurkau @zrisler @markamagee @k_goodsell @dmat41 pic.twitter.com/K7MshQEF2u",23,1,13,True,#POCUS
jeff_sono,2018-05-21,11:25:30,J-Club: #POCUS = limited role in assessing stomachs of healthy volunteers each ingesting 50 pills  https://bit.ly/2IA0TOX  pic.twitter.com/MVWjJVcfs0,12,0,9,True,#POCUS
zrisler,2018-05-18,21:04:55,So proud of my (@JeffEMRes )team. Benny and the ureteral jets! Thanks  @RubbleEM @CreaghB @aliteplo @ultrasoundREL @doctoRoblivious  for putting together such a great #SonoGames18 pic.twitter.com/MA9PAa0rXs,11,1,2,True,#SonoGames18
SAEMonline,2018-05-18,09:19:51,Packed house at #SonoGames18. Great competition is happening now!! pic.twitter.com/gJyIBkU5sD,22,0,5,True,#SonoGames18
CSHeartResearch,2018-05-17,07:07:55,12yo boy with mild exertional symptoms... #echo #cardiomyopathy #Cardiotwitter pic.twitter.com/gQxORAp5Pd,151,15,90,True,"#echo,#cardiomyopathy,#Cardiotwitter"
zrisler,2018-05-17,14:13:16,New @SCUFellowships board member @markamagee and president elect @ultrasoundREL both from @jeff_sono. Exciting times @TJUHospital @JeffersonUniv @JeffEMRes,10,0,0,True,
jeff_sono,2018-05-16,16:19:42,.@zrisler representing @TJUHospital presenting on inter-rater reliability of B-line counting in ED pateints with CHF #POCUS #SAEM18 pic.twitter.com/AIdPO8ZgIc,29,0,15,True,"#POCUS,#SAEM18"
dAyROCK_22,2018-05-16,16:01:26,"@zrisler Zachary Risler MD, presents on research assessing Inter-Rater Reliability of B-Line Counting in Congestive Heart Failure Using Bedside Ultrasound Between Experts and Novices, at SAEM18 Indianapolis @SAEMonline #SAEM18 pic.twitter.com/RLyBMYInuu",11,0,7,True,#SAEM18
zrisler,2018-05-16,13:21:06,"Donald Yealy, Chair of @upmcem , 1+1= >2, when you collaborate with others, you are much better than your individual parts #SAEM18",2,0,0,True,#SAEM18
zrisler,2018-05-16,13:16:34,"When asked to do a project. Make sure you then use that topic to make a lecture, book chapter, bedside teaching pearls...turn 1 project into 4 #SAEM18 #masterseries @JeffEMRes @tintinalli @CoreySlovis",14,1,4,True,"#SAEM18,#masterseries"
zrisler,2018-05-13,12:42:16,Standing order for narcan. Genius. @PEMammen @JeffEMRes https://twitter.com/secretarylevine/status/995015581555412994 …,3,0,0,True,
nobleultrasound,2018-05-11,13:59:02,Time to rethink the FAST exam?FAST for millenials. @UHCMC_ED @UHSurgery #FOAMus #FOAMed #POCUS https://youtu.be/SdZikUAvNlw ,47,1,26,True,"#FOAMus,#FOAMed,#POCUS"
zrisler,2018-05-10,11:36:19,Why I love working @JeffersonUniv and @TJUHospital great daycare just steps from work. They take such great care of my boys! pic.twitter.com/ZQokuF4n06,17,0,2,True,
mike_natter,2018-05-08,14:44:53, pic.twitter.com/mINhGib3vc,948,15,503,True,
jeff_sono,2018-05-07,14:00:00,"J-Club: New learners should include M-mode when looking for pneumothorax- it increases novice scanner accuracy, sensitivity, specificity. #pocus  https://bit.ly/2HVd1JX  pic.twitter.com/iCiUIoeRQX",59,6,49,True,#pocus
ultrasoundREL,2018-05-02,22:38:07,@JeffsonO JOIN US 21May18 13:00 @jeffsono EduOfTheMonth #LevNazarian @AIUMultrasound Editor @JeffersonUniv @TJUHospital @JeffersonRads Professor and @PhillyUltrafest Educator pic.twitter.com/ct4XqAg1x5,14,0,7,True,#LevNazarian
jeff_sono,2018-05-02,15:40:46,J-Club: #POCUS improves sensitivity and time to source identification in undifferentiated sepsis. https://bit.ly/2rbvtDI  pic.twitter.com/6BF7r37ODx,14,0,8,True,#POCUS
arthurkau,2018-05-01,11:55:59,"Philly, let’s make this happen! #littleadults@jeff_sono @TempleEMUS @PennUltrasound @ultrasoundREL @markamagee @zrisler @HipsterEMUS @TomTempleUS @Novaleda @JeffEMRes https://twitter.com/uhcmc_ed/status/991137886966878209 …",11,1,3,True,#littleadults
jeff_sono,2018-04-30,10:43:51,J-Club: Training of Emergency Nurses in US guided IV placement can be streamlined and decreases total IV attempts. https://bit.ly/2JHGqEa  pic.twitter.com/gT0KpUaN8J,17,0,11,True,
stuart_viner,2018-04-29,06:12:34,Importance of 2 views in Radiology. AP and lateral required before accurate diagnosis can be made. #2views pic.twitter.com/2GenC15JNw,6340,73,2826,True,#2views
alandrummond2,2018-04-28,09:16:13,"Close to twenty years of my life I have been trying to get this one simple message across - a crowded ER results from a crowded hospital, not inappropriate use by low acuity patients.",572,10,236,True,
jeff_sono,2018-04-25,06:30:13,J-Club: There are many challenges to publishing in medical education. @MGottliebMD discusses how to overcome barriers and publish.  https://bit.ly/2vDvQf2 @meganranney @SBentleyEMSim @kagocchi28 @khandelwalOSU pic.twitter.com/TlzKJO9MXU,20,0,9,True,
jeff_sono,2018-04-23,11:54:54,"J-club: How safe is the US guided peripheral IJ? Few complications and fast, according to this review. Hopefully more evidence to follow.  https://bit.ly/2KaZ2x0  @MGottliebMD @fmbrussell pic.twitter.com/vJpAI3akpA",21,1,18,True,
JeffersonUniv,2018-04-17,17:40:32,Five Teams of Medical Students led by Emergency Medicine Fellows have spent the past two semesters designing innovative solutions to real problems encountered in the #ED. Check out their awesome work! 👏👏 #JeffDESIGN #LifeAtJefferson pic.twitter.com/dNAHeKmlFD,23,0,8,True,"#ED,#JeffDESIGN,#LifeAtJefferson"
UltrasoundJelly,2018-04-16,22:17:08,Attention Mac users who installed sonogif: please download the updated version that has extra protections to strip all rogue PHI from the metadata.   https://d25ixnv6uinqzi.cloudfront.net/sonogif/SonoGif.Installer1.5b.dmg …,17,1,17,True,
