username,date,time,tweet,likes,replies,retweets,retweet,hashtags
AbingtonJeff,2018-07-20,06:45:03,"Prenatal Yoga will be offered on Thursday evenings throughout August. This program teaches expectant mothers basic poses and movements to build strength, flexibility, breathing awareness and relaxation. Register online:  http://p.ctx.ly/r/81y1  pic.twitter.com/hE86ZQ70E3",0,0,0,True,
AbingtonJeff,2018-07-19,07:05:02,Have you taken a virtual tour of the Asplundh Cancer Pavilion yet? Tour now:  http://p.ctx.ly/r/81pv ,3,0,3,True,
AbingtonJeff,2018-07-18,07:05:02,"The Cancer Support Community of Greater Philadelphia offers cancer support services including support groups, writing workshops, chair yoga and more on Mondays at the Asplundh Cancer Pavilion. Learn more:  http://p.ctx.ly/r/81fu ",3,0,0,True,
AbingtonJeff,2018-07-17,09:15:02,Is social media taking a toll on your teen's mental health?  http://p.ctx.ly/r/817v  pic.twitter.com/ptL7QfcgnS,0,0,0,True,
AbingtonJeff,2018-07-16,15:15:01,"Our Adult and Child CPR Anytime class is meant to prepare parents and families for emergency situations. The next class session is on Thursday, August 9. Register online.  http://p.ctx.ly/r/8141 ",0,0,0,True,
AbingtonJeff,2018-07-12,15:15:02,The Silent Killer in Stroke:  http://p.ctx.ly/r/808x  pic.twitter.com/wwJZqI0Odo,1,0,1,True,
AbingtonJeff,2018-07-11,08:05:02,"Our Childbirth Preparation class is taught by a registered nurse specially certified in Childbirth Education. This class teaches the signs of labor, the normal progress of labor and birth, techniques for coping with labor pain and more. Register online.  http://p.ctx.ly/r/7zv4  pic.twitter.com/04pMoWhWJV",0,0,0,True,
AbingtonJeff,2018-07-09,15:15:03,"Regular summer activities can lead to accidental burns. Steven Fisher, MD, chair of the Abington – Jefferson Health Department of Emergency Medicine shares a few tips to help you avoid burns this summer.  http://p.ctx.ly/r/7zen  pic.twitter.com/9KDUM1m9GH",1,0,0,True,
AbingtonJeff,2018-07-04,06:15:03,"Happy Fourth of July! Remember, we’re here if you need us. Our Urgent Care Centers in Flourtown and Willow Grove are open until 5 p.m. today.  http://p.ctx.ly/r/7ygi  pic.twitter.com/TWpMTqNuee",2,0,0,True,
AbingtonJeff,2018-07-03,15:15:02,Fireworks-related injuries are common on July 4th. Here are some safety tips from @CDCgov.  http://p.ctx.ly/r/7ya3 ,1,0,0,True,
