username,date,time,tweet,likes,replies,retweets,retweet,hashtags
JCHSRoanokeVA,2018-07-23,12:43:26,Check out our latest Jefferson College Summer Snapshot with Dr. David Haynes and Dr. Nathaniel L. Bishop celebrating Moon Day at Jefferson College! See them now by clicking on the links below!  https://www.jchs.edu/summer-snapshots … pic.twitter.com/muIIL1d5BG,0,0,0,True,
JCHSRoanokeVA,2018-07-20,14:33:21,"On Friday, July 20, 2018, the the 5-5-5 Career Camp—students leaving fifth grade experiencing five careers in five days—visited the Jefferson College of Health Sciences campus at Carilion Roanoke Community Hospital. See a full event gallery:  https://www.jchs.edu/5-5-5-program-visits-jefferson-college … pic.twitter.com/9naZMu4kJu",1,0,1,True,
JCHSRoanokeVA,2018-07-17,13:33:42,"Check out our latest Jefferson College Summer Snapshots! Throughout the  summer, we'll be featuring pictures submitted by faculty and staff  showing what kind of neat things they are doing over the next couple of  months. See them now at  https://www.jchs.edu/summer-snapshots … pic.twitter.com/AFVWZEQPfn",2,0,1,True,
JCHSRoanokeVA,2018-07-17,12:24:50,"Jefferson College President Dr. Nathaniel L. Bishop, Radford University President Dr. Brian O. Hemphill and Carilion Clinic President and CEO Nancy Agee were recognized as ""Political All-Stars"" by The Roanoke Times today! https://www.roanoke.com/opinion/editorials/editorial-our-political-all-stars/article_2b5dd536-fc39-5039-9412-02f28bbb9bae.html?utm_medium=social&utm_source=email&utm_campaign=user-share …",4,0,1,True,
JCHSRoanokeVA,2018-07-11,07:55:28,One of Camp Carilion's stops is at Jefferson College of Health Sciences! https://www.virginiafirst.com/news/local-news/camp-carilion-kicks-off-teaches-students-about-health-care-careers/1294218213 …,5,0,0,True,
JCHSRoanokeVA,2018-07-06,08:13:25,"Have you checked out our latest Jefferson College Summer Snapshots? Throughout the summer, we'll be featuring pictures submitted by faculty and staff showing what kind of neat things they are doing over the next couple months.  https://www.jchs.edu/summer-snapshots … pic.twitter.com/qio0OuxXYr",2,0,0,True,
JCHSRoanokeVA,2018-07-06,07:04:44,"Check out ""Student Perspective: Amanda Hreiz"" on the American @aarc_tweets website, featuring one of Jefferson College's current RT students! Way to go, Amanda! (And yes, those are real lungs in the photo with her!) http://www.aarc.org/nn18-student-perspective-amanda-hreiz/ …",1,0,1,True,
JCHSRoanokeVA,2018-07-02,14:45:33,"Jefferson College President Dr. Nathaniel L. Bishop will be inducted into the Junior Achievement of Southwest Virginia Business Hall of Fame on November 14, 2018. Learn more by clicking on the link below! https://www.roanoke.com/business/junior-achievement-names-to-business-hall-of-fame/article_662bb574-f5d7-57b7-ad3e-a2972fe44aff.html …",4,0,0,True,
JCHSRoanokeVA,2018-06-29,07:36:58,"Check out this amazing shot by Isabel Bodrog, a Jefferson College Accelerated Bachelor of Science in Nursing student, Class who will graduate this fall. It was taken just after a thunderstorm in downtown Roanoke from her dorm room. Thanks for sharing this with us, Isabel! pic.twitter.com/d1nOXGqBgN",9,1,1,True,
JCHSRoanokeVA,2018-06-28,13:07:31,"Ms. Katherin Elam, Executive Director of Junior Achievement, visited the Jefferson College Campus at Carilion Roanoke Community Hospital on Thursday, June 28, 2018. Ms. Elam is pictured here with Jefferson College President Dr. Nathaniel L. Bishop on campus. pic.twitter.com/Y4yuab3g4S",3,0,0,True,
