username,date,time,tweet,likes,replies,retweets,retweet,hashtags
JeffersonAlumni,2018-07-23,12:35:13,On this  #medicalhistorymonday we are honoring our women graduates!Learn the the history of medicine and what it was like as a Jefferson medical student in the 1960s and 1970s by listening to our Jefferson Archive oral histories ->  http://ow.ly/VWrL30l0PoG  pic.twitter.com/I4xW0Twq9J,6,0,1,True,#medicalhistorymonday
JeffersonAlumni,2018-07-20,10:30:55,Looking back on 2001 for #PhilaUFriday and looking forward to a busy campus like this come fall! Do you recognize any of these spots? pic.twitter.com/EfRyEjnBpI,5,0,1,True,#PhilaUFriday
JeffersonAlumni,2018-07-19,10:20:15,"#TBT - Students in line in May 1937 to register for classes at @JeffersonUniv. Evening Bulletin, ""...the business of waiting in line all night to register is an ancient and honorable custom at Jefferson."" The first person in line was Frank Perri, arriving 4pm the day before. pic.twitter.com/rfzbjjNxsu",1,0,1,True,#TBT
JeffersonUniv,2018-07-18,10:11:15,Architecture alumna Kristy Balliet ’99 & her firm BairBalliet have been selected to show their work @MuseumModernArt through Sept. 3rd. Balliet’s proposed Loud Lines installation invites people to inhabit the courtyard “between the lines.”  http://bit.ly/2O1mfUj  pic.twitter.com/AHjnLpzQJl,4,0,1,True,
JeffersonAlumni,2018-07-17,15:01:23,Throwback to 1967 for this week's #TextileTuesday. These fun photographs capture fabric design and textile engineering students. pic.twitter.com/aOquW35O0o,1,0,0,True,#TextileTuesday
JeffersonAlumni,2018-07-16,15:44:21,"Jefferson became the first medical college in the country to open a clinic. Renting the Tivoli Theater on Prune St. (now locust walk) at an annual rate of $550, 6 professors lectured and provided clinical supervision to medical students. Tuition was $78. #medicalhistorymonday pic.twitter.com/0EsyN3bomq",12,0,7,True,#medicalhistorymonday
JeffersonAlumni,2018-07-13,14:56:42,"Congratulations to Mark V. Mishra, @TJUHospital Residency Alum on his new position as Associate Professor of #RadiationOncology at @UMmedschool! #JeffersonAlumni pic.twitter.com/BWM1WpzaeC",7,0,1,True,"#RadiationOncology,#JeffersonAlumni"
JeffersonAlumni,2018-07-13,13:48:00,"There's no better way to celebrate #PhilaUFriday than by reminiscing on the annual fashion show- a day filled with collaboration, precision, and innovation. pic.twitter.com/Je0eshDk88",2,0,0,True,#PhilaUFriday
JeffersonAlumni,2018-07-12,14:07:38,"#TBT to this Diploma Nurses Cape, donated by 1960 #DiplomaNurse alumna, Joan Driscoll Kelly. The general design for the woolen nurses cape in the proud school colors of black and blue was first approved in 1919.#JeffersonAlumni pic.twitter.com/MwBnRyxci5",4,0,0,True,"#TBT,#DiplomaNurse,#JeffersonAlumni"
JeffersonAlumni,2018-07-10,19:02:38,Students in 1963 putting pride and passion into their work. #TextileTuesday pic.twitter.com/LYRBa18btw,1,0,0,True,#TextileTuesday
JeffersonAlumni,2018-07-09,13:20:50,For today’s #medicalhistorymonday we are featuring a surgical amputation set circa the 1850s on display in the brand new Pinizzotto-Ammon Alumni Center. pic.twitter.com/oZ8rlHhHJX,3,0,0,True,#medicalhistorymonday
JeffersonAlumni,2018-07-08,16:03:10,#JeffersonAlumni https://twitter.com/jeffersonuniv/status/1015964983061024768 …,1,0,0,True,#JeffersonAlumni
JeffersonAlumni,2018-07-05,15:05:15,"#TBT to the last clinical lecture in ""The Pit.""Rear view of doctor (unidentified) lecturing beside an x-ray display panel to an audience in the Thompson Annex ""pit.""It was May 27, 1966 when the last clinical lecture was held in this facility before it was demolished. pic.twitter.com/eBB2OKgC4G",1,0,0,True,#TBT
JeffersonAlumni,2018-07-04,12:16:58,Wishing everyone a safe and happy July 4th on this #WaybackWednesday! This is a photo of the College Building entrance in 1966. #IndependanceDay #FourthofJuly #Jefferson pic.twitter.com/GGwgK9C3MB,2,0,1,True,"#WaybackWednesday,#IndependanceDay,#FourthofJuly,#Jefferson"
JeffersonUniv,2018-07-01,09:00:00,👀 Happy one year of the New Jefferson! Make sure to take a look at what we've been up to this past year. It's been a busy one! 🙌  http://bit.ly/2KloJyU  pic.twitter.com/XQOhwFaYzX,12,0,6,True,
JeffersonUniv,2018-06-29,14:09:25,"As Dr. Stephen Spinelli transitions into his new role as Chancellor Emeritus, we would like to thank @SpinelliS for his commitment to ensuring a stronger future for our Jefferson students, faculty, staff & researchers. #RedefiningHumanlyPossible pic.twitter.com/xGBSHvOEMW",26,1,8,True,#RedefiningHumanlyPossible
JeffersonAlumni,2018-06-29,13:30:51,It has been an exciting year! There are many more milestones to come and many more #JeffersonAlumni to welcome! https://twitter.com/sklasko/status/1012752036155265024 …,0,0,0,True,#JeffersonAlumni
JeffersonAlumni,2018-06-28,14:47:06,"In honor of #ThrowBackThursday and this warm weather, we are taking it back to our 2014 Jeff at the Beach event! Join medical college alum on Saturday, Aug 4th in Stone Harbor, NJ for this year's summer celebration. Reserve your spot and register at  https://bit.ly/2KgwMx1  pic.twitter.com/KHIh4xhL4Y",0,0,0,True,#ThrowBackThursday
JeffersonUniv,2018-06-28,09:30:59,"This week, Jefferson recognized the leaders of Sigma Pi Phi for their support of the Jackson Minton Scholarship. In recognition, we're throwing it back to 1904 when Dr. Minton ('06) & Dr. Jackson ('01) co-founded the first African American fraternity #SigmaPiPhi. #TBT pic.twitter.com/dOh4MXN5Rl",15,0,4,True,"#SigmaPiPhi,#TBT"
JeffersonAlumni,2018-06-26,15:02:35,"We are half way through 2018 and our @JeffersonAlumni have been busy!From Alumni Day at the @Phillies to @MammaMiaMusical at the @WalnutStTheatre, there has been no shortage of fun!Take a look at all of our event photo albums here->  https://bit.ly/2KltUxP  pic.twitter.com/lc5jAX9tLs",1,0,0,True,
JeffersonUniv,2018-06-25,08:00:18,"@dr ""There is little doubt that higher education is in a state of disruption,"" — @Dr. @SpinelliS. 1-year following the merger between Philadelphia University & Jefferson, Spinelli shares his thoughts & lessons other universities can take away.  http://bit.ly/2InNXa7  via @chronicle",10,0,3,True,
JeffersonUniv,2018-06-21,14:45:00,💺A design created by M.S. in surface imaging alumna Kaijie Chen ’16 upholstered on @Steelcase’s new Silq chair won a Best of NeoCon Innovation Award at #NeoCon50. Steelcase showcased the chair with Chen’s design on the company’s Instagram page:  http://bit.ly/2yy5PiS . 👏👏 pic.twitter.com/rnrbnXojPx,7,0,1,True,#NeoCon50
JeffersonAlumni,2018-06-20,10:05:13,"DYK: @JeffersonAlumni has its own @YouTube channel! On it you will find all of our online programming, including presentations such as ""The Power of Sleep"" and ""The Opioid Epidemic: Actions by Policymakers and Prescribers"".Check them out today at  https://bit.ly/2JZ8raA .",3,0,0,True,
JeffersonAlumni,2018-06-18,16:08:14,"@TJUHospital Today's #medicalhistorymonday is brought to you by @JeffArchives!    Starting in 1907 @tjuhospital was the first to have an electric ambulance in Philadelphia. The ambulance was battery powered, carried up to 1,000 pounds, and had a top speed of 15 miles an hour. pic.twitter.com/lseGHnB4nY",18,0,7,True,#medicalhistorymonday
JeffersonAlumni,2018-06-14,15:49:25,"#TBT to this weekend when #JeffersonAlumni enjoyed the @Phillies Phun on Saturday! Before heading over to @CitizensBnkPark, attendees gathered for the pre-game reception at @1100Social! Thank you to everyone who came out for the Phun! For more photos >  https://bit.ly/2sXmuHk  pic.twitter.com/z9lsXeB1b3",1,0,0,True,"#TBT,#JeffersonAlumni"
JeffersonAlumni,2018-06-11,13:41:50,"@JeffArchives Here's an antique blood transfusion apparatus for #medicalhistorymonday in the @Jeffarchives! Did you know that back in the 17th century when blood transfusion first began physicians would give patients blood from dogs, calves, and sheep? pic.twitter.com/zHlvOt63CW",3,0,0,True,#medicalhistorymonday
JeffersonAlumni,2018-06-11,11:05:41,Check this out recent #JeffersonAlumni! https://twitter.com/JeffersonUniv/status/1005842107641356290 …,2,0,0,True,#JeffersonAlumni
JeffersonAlumni,2018-06-07,12:29:48,"In honor of today's weather and #ThrowbackThursday, lets take to the shore!These lovely ladies were all in the 1938 class of what was then the @TJUHospital's School of Nursing diploma program. Here the ladies were enjoying the Atlantic City boardwalk!@JeffNurseEd pic.twitter.com/uqGdOBU6Pm",5,0,1,True,#ThrowbackThursday
JeffersonAlumni,2018-06-06,14:05:43,ICYMI: Last Thursday benefactors and #JeffersonAlumni celebrated the ribbon-cutting and dedication of the brand new Pinizzotto-Ammon Alumni Center. Welcome home @JeffersonAlumni! Learn more about the center at  http://Jefferson.edu/AlumniCenterCampaign … pic.twitter.com/ZCCNWGijAY,2,0,0,True,#JeffersonAlumni
JeffersonAlumni,2018-06-05,19:38:16,"This evening #JeffersonAlumni attended “Caregiving Under Fire: Jefferson and the Vietnam War”. In his presentation, Retired Chief Philanthropy Officer, Fritz Ruccius shares stories of alumni experiences during Vietnam adding to Jefferson’s legacy of clinical excellence. pic.twitter.com/6waPFuImq5",3,0,0,True,#JeffersonAlumni
JeffersonAlumni,2018-06-05,14:13:44,"There is still time to register for @Phillies Phun! Join #JeffersonAlumni on 6/9 for a pregame reception at @XfinityLive's newest venue @1100Social, then head across the street to @CitizensBnkPark for the game!Register today at  http://www.cvent.com/d/sgqlts  pic.twitter.com/PqrLOqRjpA",1,0,0,True,#JeffersonAlumni
JeffersonAlumni,2018-06-01,14:12:44,Heading into the weekend like...#EastFallsFriday pic.twitter.com/5xz9qTZhaW,2,0,1,True,#EastFallsFriday
JeffersonUniv,2018-06-01,07:54:13,"Welcome home Jefferson Alumni! The brand new Pinizzotto-Ammon Alumni Center in Jefferson Alumni Hall is officially open! 🎉 Thank you to our benefactors Marie E. Pinizzotto, MD ‘88 MBA and Carol Ammon, BSN ‘17 MBA. #JeffersonAlumni pic.twitter.com/WWU98gZbmI",21,1,2,True,#JeffersonAlumni
JeffersonAlumni,2018-05-31,16:38:58,"Tonight we get to celebrate the ribbon-cutting and dedication of the brand new Pinizzotto-Ammon Alumni Center in @JeffersonUniv Alumni Hall! Thank you to our benefactors Marie E. Pinizzotto, MD ‘88 MBA and Carol Ammon, BSN ‘17 MBA . #JeffersonAlumni pic.twitter.com/c5tXjG2G6k",7,0,1,True,#JeffersonAlumni
JeffersonAlumni,2018-05-31,14:26:46,"#TBT to the incredible @JeffArchives that have a new home in the brand new Pinizzotto-Ammon Alumni Center. From an obstetrical bag to a spectrophometer circa 1890, there is so much history! @JeffersonUniv archivist, Michael Angelo did an incredible job with the emplacement. pic.twitter.com/MXxo4tERxM",5,0,3,True,#TBT
JeffersonAlumni,2018-05-30,09:51:40,"Congratulations are in order for President/CEO of @JeffersonUniv and @TJUHospital, Dr. @sklasko!Way to go! 👏🏻 #FCMostCreative https://twitter.com/jeffersonuniv/status/1001814323893886976 …",2,0,0,True,#FCMostCreative
