username,date,time,tweet,likes,replies,retweets,retweet,hashtags
KHACares,2018-06-25,09:02:41,Kennedy Health Alliance is now Jefferson Health! Please follow @KennedyHealth for future updates. pic.twitter.com/04yBBXwa6f,6,0,1,True,
KennedyHealth,2018-06-25,09:25:41,"The region’s medical landscape is changing for the better, and we want you to be a part of the transition.  @KHACares  is now Jefferson Health! See how we are providing world-class care close to home:  http://www.kennedyisjefferson.org/MyDoc . pic.twitter.com/KzdLLxfhRM",11,0,8,True,
KHACares,2018-06-04,12:42:30,Dr. Robin Wilson-Smith Named Medical Director of Gynecologic Oncology Services at the Sidney Kimmel Cancer Center – Washington Township  https://shar.es/anck4y ,2,0,0,True,
KHACares,2018-05-08,15:08:31,"Happy National Nurses Week! Take some time this week to thank a nurse for their sacrifice, compassion, and hard work. #KHACares #NationalNursesWeek https://twitter.com/KennedyHealth/status/993500753884012544 …",0,0,0,True,"#KHACares,#NationalNursesWeek"
KennedyHealth,2018-04-19,12:05:19,"When you have the best in your own backyard, there’s no need to go across the bridge for cancer treatment. The Radiation Oncology team at @KimmelCancerCtr  in Washington Township offers expertise in radiation therapy close to home.  http://ow.ly/kYc030joQjL  pic.twitter.com/PIByT9btXn",4,0,1,True,
KHACares,2018-04-17,10:41:11,"Our primary care on 1A Regulus Drive in Washington Township will be closing at 1 pm on Friday 4/20. If you have any questions, please feel free to call us at (844) 542-2273.",0,0,0,True,
KHACares,2018-04-17,06:41:21,Jennifer Lucas Joins Kennedy Health Alliance as Senior Director of Finance http://bit.ly/2DOXZP5 ,2,0,0,True,
KHACares,2018-04-04,13:54:34,Be the voice of Kennedy Health Alliance. Please join our Patient and Family Advisory Council for its next meeting. For more information or to reserve your spot send us a message or email us at KHAcares@gmail.com. #KHACares #PatientandFamilyAdvisoryCouncil #PFAC2018 pic.twitter.com/k7uJchvdnH,2,0,0,True,"#KHACares,#PatientandFamilyAdvisoryCouncil,#PFAC2018"
KHACares,2018-04-03,14:11:40,"HealthBuzz: Headaches common, proper treatment rare  https://www.courierpostonline.com/story/life/family/wellness-and-sanity/2018/03/30/doctors-advice-tension-migraine-headaches/473886002/ … via @cpsj",0,0,0,True,
KHACares,2018-03-30,14:21:46,Happy National Doctors’ Day to our dedicated group of physicians at Kennedy Health Alliance! #NationalDoctorsDay2018 #KHACares #Healthcare pic.twitter.com/YN2EIZ0avs,0,0,0,True,"#NationalDoctorsDay2018,#KHACares,#Healthcare"
KHACares,2018-03-27,14:47:33,The Washington Township Primary & Specialty Care office will be closing at 9 p.m. on Saturday 3/31.,0,0,0,True,
KHACares,2018-03-23,12:04:29,"What a week! Regardless of the weather, our Patient Contact Center staff are here to help schedule your appointments. Give us a call at 844-542-2273, 7 days a week, from 7 a.m. to 9 p.m. #khacares #kennedyhealthalliance pic.twitter.com/uvzaj8T5Jd",0,0,0,True,"#khacares,#kennedyhealthalliance"
KHACares,2018-03-22,04:08:31,"All KHA offices will operate at normal business hours Thursday, March 22nd.",0,0,0,True,
KHACares,2018-03-21,09:44:49,"WEATHER UPDATE: Our KHA offices that are currently open in Washington Township, Voorhees, & Glassboro will close at 1:00 p.m. today. Please call us at 844-542-2273 if you have any questions.",0,0,0,True,
KHACares,2018-03-21,07:22:37,"Due to today’s inclement weather, most KHA offices will be closed on Wednesday, March 21st, except:Washington Township(1A Regulus Drive)Glassboro Primary Care(601 N. Main Street)Voorhees Primary Care(333 Laurel Oak Rd)Call us at 844-542-2273 if you have any questions.",0,0,0,True,
KennedyHealth,2018-03-19,11:01:52,"Recently, we asked our associates what women inspire them the most in honor of #WomensHistoryMonth. Amanda Kimmel shared her thoughts: pic.twitter.com/qeVRXbFfFd",9,0,2,True,#WomensHistoryMonth
