username,date,time,tweet,likes,replies,retweets,retweet,hashtags
KennedyHealth,2018-07-24,12:00:40,"It's #SharkWeek! Most are tuning in to learn about these animals of the deep. Even though we can safely view them from the comfort of our living rooms, encountering a shark at the beach is a reality. Follow the link for shark safety tips from @CBSNews:  http://ow.ly/4Nij30l5ORF  pic.twitter.com/ifKWRZEyNI",1,0,0,True,#SharkWeek
MadisonConcrete,2018-07-23,12:30:44,"We’re at @KennedyHealth in Sewell, NJ, doing foundation work for an 8-level enclosed parking facility. The project officially broke ground in May. http://ow.ly/AODR30kQAsM  pic.twitter.com/h3IgSm0Nb1",5,0,2,True,
KennedyHealth,2018-07-23,11:57:53,Which summer fruit is your favorite? 🍑🍓🍉😋,0,0,0,True,
KennedyHealth,2018-07-23,11:30:55,"#DYK that nail technicians use UV lights, like those in tanning beds, to cure gel polish? To prevent the risk of skin cancer, give your nails, and your skin, a break and opt for regular polish or a natural look! pic.twitter.com/kWJE9E3D3r",0,0,0,True,#DYK
NJHospitals,2018-07-22,19:12:23,"It’s the last week of #HealthyEatsNJ, and we’re celebrating with healthy desserts! Share your favorite treats with us! #ToHealth! pic.twitter.com/dHxIkfHC1c",3,0,3,True,"#HealthyEatsNJ,#ToHealth"
TJUHospital,2018-07-20,11:55:06,ICYMI: A recent study examines whether there are changes in symptoms and adverse effects from intravenous #VitaminC infusions in cancer patients receiving or not receiving chemotherapy:  http://bit.ly/2mkiiO4  pic.twitter.com/HUt8zOldeV,6,0,3,True,#VitaminC
KennedyHealth,2018-07-22,09:30:32,"Happy World Parents’ Day to all of the moms and dads out there! If you’re a soon-to-be parent, learn more about our Women’s and Children’s Services and what we can provide expectant parents:  http://ow.ly/DMqU30kMO0x  pic.twitter.com/14PaanKsN3",0,0,0,True,
KennedyHealth,2018-07-21,09:01:33,"There are many heat-related illnesses that can really put a damper on your summer fun. Luckily, they can easily be avoided. If you do experience a heat-related illness, here are some tips to manage the outcome. Learn more:  http://ow.ly/nJyq30kJAei  @CDCgov pic.twitter.com/Aq3gtr0b5Q",1,0,0,True,
KennedyHealth,2018-07-20,11:30:52,"According to the @CDCgov, 7,000 babies may be born with a cleft throughout the United States this year alone. To honor National Cleft & Craniofacial Awareness & Prevention Month, take a moment to learn more:  http://ow.ly/eLUl30kJzCF  pic.twitter.com/XTGcxfW523",0,0,0,True,
KennedyHealth,2018-07-19,14:49:44,The daughters of Eleanor Iovannicci from Jefferson Health Glassboro Primary and Specialty Care watch in wonder as construction continues at our Washington Township Hospital campus! pic.twitter.com/bxbt6DCFq4,5,0,3,True,
SJSInstitute,2018-07-19,07:50:57,"Lucky to kick off day 8 with Joe Devine, NJ President of @KennedyHealth who is speaking to @SJSInstitute about leadership lessons and how educators helped shape his life. pic.twitter.com/Z9Xi0VnP2m",6,0,2,True,
TJUHospital,2018-07-19,12:00:24,How does the heat & humidity affect your heart? @AbingtonJeff shares simple summer heart-smart tips so you can enjoy this season of sun & fun:  http://bit.ly/2tho3Pu . #HeatSafety pic.twitter.com/PuWTB4gCKH,3,0,2,True,#HeatSafety
AbingtonJeff,2018-07-19,07:05:02,Have you taken a virtual tour of the Asplundh Cancer Pavilion yet? Tour now:  http://p.ctx.ly/r/81pv ,3,0,3,True,
AriaHealth,2018-07-19,08:42:42,Thursday Health Hack is here! pic.twitter.com/Hh5r2for8B,3,0,1,True,
KennedyHealth,2018-07-19,11:30:53,"Not only do indoor plants look nice – they provide health benefits, too! See how bringing plants into your home can help improve your overall well-being:  http://ow.ly/VmV230kJyNJ  @NBCNews pic.twitter.com/4XTlDYrPwR",4,0,1,True,
KennedyHealth,2018-07-18,11:30:54,Interested in taking a yoga class but worried about your experience level? Don’t sweat the small stuff. Jefferson Health – New Jersey hosts yoga classes for all experience levels and healthcare needs. View our July classes:  http://ow.ly/ZvGT30kJsE5  pic.twitter.com/yR4rYOHiTQ,1,0,0,True,
GCCCNJ,2018-07-18,09:26:12,"""people want connection. They want to be spoken to."" Joe Devine @KennedyHealth #health #networking #build #business #healthcare #southjersey #nj #healthcaresnj2018",5,0,1,True,"#health,#networking,#build,#business,#healthcare,#southjersey,#nj,#healthcaresnj2018"
KimmelCancerCtr,2018-07-18,08:58:46,"At the 43rd Oncology Nursing Society Congress, Michele Gaguski, MSN, RN, from the Sidney Kimmel Cancer Center - @KennedyHealth, gave her perspectives on a range of ways to improve daily practice in the care of vulnerable #oncology populations:  http://bit.ly/2NXrsfR  #forefront",10,3,8,True,"#oncology,#forefront"
KennedyHealth,2018-07-18,08:57:04,"Navigating Healthcare: South Jersey’s Healthcare Forum is underway at @RowanUniversity! President @JoeDevineNJ noted, “We want to continue to elevate the services for the members of our community.” pic.twitter.com/7vgv3rftqW",3,0,1,True,
TJUHospital,2018-07-18,08:12:17,#FunFact: Jefferson has the most academically productive #neurosurgery residency program in North America! 👏 https://twitter.com/JeffersonUniv/status/1019289236762234880 …,12,1,5,True,"#FunFact,#neurosurgery"
KennedyHealth,2018-07-17,11:30:54,"We all love our smartphones, tablets, and computers, but using them regularly comes with a price. Learn more about digital eye strain:  http://ow.ly/QFSU30kJrTf  pic.twitter.com/VNk8Ebhkqq",2,0,0,True,
