username,date,time,tweet,likes,replies,retweets,retweet,hashtags
KimmelCancerCtr,2018-07-24,10:51:38,Read more about this @JExpMed study from SKCC researcher @smyr24913 and her former colleagues at @CincyChildrens. #acutemyeloidleukemia #forefront https://twitter.com/CincyChildrens/status/1019661980498583552 …,0,0,2,True,"#acutemyeloidleukemia,#forefront"
KimmelCancerCtr,2018-07-24,08:16:48,Final reminder to join us tonight! https://twitter.com/TJUHospital/status/1021446699796049920 …,2,0,2,True,
KimmelCancerCtr,2018-07-23,15:23:29,Ever wonder how else you can follow us besides Twitter? Check out our other social media pages too for the latest news at @KimmelCancerCtr! pic.twitter.com/58FJpip8JA,0,0,2,True,
SKCCDirector,2018-07-23,08:58:46,SKCC was thrilled to participate in this landmark study! @KimmelCancerCtr #forefront @felixfengmd https://twitter.com/researchwyatt/status/1020066238603591680 …,9,0,2,True,#forefront
KimmelCancerCtr,2018-07-23,10:56:08,"This Saturday, 7/28: Experts from our cancer center will provide key updates from the @ASCO Annual Meeting at the Hilton Philadelphia City Avenue:  http://bit.ly/2mttY18  #forefront pic.twitter.com/ggEuuUDKNa",3,0,4,True,#forefront
KimmelCancerCtr,2018-07-23,08:19:28,Join us for some Cuban salsa dancing at our Cancer Support & Welcome Center! https://twitter.com/TJUHospital/status/1020738955434655745 …,5,0,3,True,
KimmelCancerCtr,2018-07-20,14:27:24,"Thanks, @AACI_Cancer, for the shout out on #PennsylvaniaDay! https://twitter.com/AACI_Cancer/status/1020383583280812035 …",1,0,3,True,#PennsylvaniaDay
OncologyTimes,2018-07-20,11:15:06,Genetic Testing for Inherited Prostate Cancer: What Men Need to Know  http://ow.ly/ENxH30l2UKx  via @KimmelCancerCtr @TJUHospital #fridayreads #cancerrisk pic.twitter.com/qaVHLq1zCb,4,0,4,True,"#fridayreads,#cancerrisk"
KimmelCancerCtr,2018-07-20,09:14:48,"On this #FacultyFriday, we are featuring Adam Berger, MD, FACS, Chief of the Section of #SurgicalOncology:  http://bit.ly/2zWwuX9  @JEFFsurgery pic.twitter.com/NPC7ycheWX",8,0,3,True,"#FacultyFriday,#SurgicalOncology"
CANCERADMIN,2018-07-19,13:35:07,Only 2 weeks left and we have limited opportunities still available for the @KimmelCancerCtr  Invitational hosted by @AtlanticCityCC and our evening event @TheOceanAC featuring @Fehertwit .    Contact me if you have interest or questions matthew.huesser@jefferson.edu pic.twitter.com/6M7atzcvIh,2,0,5,True,
KimmelCancerCtr,2018-07-19,10:46:53,"Join us for the Mary Kline Classic’s inaugural Sports and Business Symposium on 8/2! Howie Roseman, EVP of Football Operations for the @Eagles, will deliver the keynote address, and Ian Eagle of @CBSSports will emcee:  http://bit.ly/2LayM5X  pic.twitter.com/CPVaAb7RTT",5,0,5,True,
AbingtonJeff,2018-07-19,07:05:02,Have you taken a virtual tour of the Asplundh Cancer Pavilion yet? Tour now:  http://p.ctx.ly/r/81pv ,3,0,3,True,
KimmelCancerCtr,2018-07-18,14:49:39,"Happening tomorrow, 7/19 from 10-11am: visit our Cancer Support & Welcome Center for a #pettherapy ""happy hour,"" where you can pet some pups like Visa (pictured):  http://bit.ly/2LqnJpD  pic.twitter.com/2NLhbbT7Xx",1,0,2,True,#pettherapy
KimmelCancerCtr,2018-07-18,08:58:46,"At the 43rd Oncology Nursing Society Congress, Michele Gaguski, MSN, RN, from the Sidney Kimmel Cancer Center - @KennedyHealth, gave her perspectives on a range of ways to improve daily practice in the care of vulnerable #oncology populations:  http://bit.ly/2NXrsfR  #forefront",10,3,8,True,"#oncology,#forefront"
KimmelCancerCtr,2018-07-17,12:13:12,A reminder to join us for Cancer Awareness Night at the @Phillies on 7/24! People who purchase tickets via the theme night promotion will receive a special Phillies #CancerAwareness Night hat in a color of their choice:  http://phillies.com/Jefferson  pic.twitter.com/8GWTyvvnsB,4,0,5,True,#CancerAwareness
OncLiveSOSS,2018-07-15,23:00:19,Dr. Gomella on the FDA Approval of Enzalutamide in Nonmetastatic CRPC https://www.onclive.com/onclive-tv/dr-gomella-on-the-fda-approval-of-enzalutamide-in-nonmetastatic-crpc …,1,0,1,True,
KimmelCancerCtr,2018-07-16,11:32:11,New research from @KimmelCancerCtr and @JeffMarcusInst on the safety of #VitaminC infusions during cancer treatment:  http://ow.ly/FTt430kWC4r  #forefront https://twitter.com/DrDanielMonti/status/1017829980422754304 …,3,0,5,True,"#VitaminC,#forefront"
HemOncToday,2018-07-13,08:41:29,.@adamsnookphd from @KimmelCancerCtr discusses how CAR T-cell therapy may be effective for #colorectalcancer:  https://bit.ly/2Lg48bF  pic.twitter.com/pexh1JYQH7,2,0,4,True,#colorectalcancer
KimmelCancerCtr,2018-07-13,08:47:04,"For #FacultyFriday, we are featuring Robert Den, MD, a radiation oncologist who specializes in #genitourinarycancers:  http://bit.ly/2JlzV9k  #forefront pic.twitter.com/lOUBE89RuO",5,0,5,True,"#FacultyFriday,#genitourinarycancers,#forefront"
CancerBTTB,2018-07-12,15:02:05,@EdithMitchellMD #AfricanAmericans have the highest death for most cancers. It's important to know how to treat the catchment areas. #cri2018 #clinicaltrials pic.twitter.com/M1WhS6KDfE,6,0,4,True,"#AfricanAmericans,#cri2018,#clinicaltrials"
KimmelCancerCtr,2018-07-12,12:08:50,"Join Wm. Kevin Kelly, DO, for ""New Treatments for Advanced Prostate Cancer"" on 7/20 at 12pm. Dr. Kelly will discuss the latest treatments & therapies for men with an advanced #prostatecancer diagnosis:  http://bit.ly/2NJAux3  #forefront pic.twitter.com/jjYHYAZC1b",3,0,5,True,"#prostatecancer,#forefront"
APDicker,2018-07-12,05:18:43,Digital Health & Oncology today!!  Phila Marriott Downtown.  http://ow.ly/d7hT30kLvyX    Great speakers- @pkluetz @RMDYHealth @BradHesse @NRGonc @NCICTEP_ClinRes @DanaFarber @MoffittNews @KimmelCancerCtr @mHealthJeff #nrg18 pic.twitter.com/SbW5j1DnbX,6,0,5,True,#nrg18
TJUHospital,2018-07-11,13:52:58,"Whether or not to participate in a #clinicaltrial can be a difficult decision to make, and it shouldn’t be made lightly. Here are some common questions that may help you make an informed decision:  http://bit.ly/2EwzFGQ . pic.twitter.com/CkvcheorKV",5,0,2,True,#clinicaltrial
KimmelCancerCtr,2018-07-11,12:22:39,"Congratulations to Veronica Rodriguez-Bravo, PhD, Assistant Professor of Cancer Biology (center), for receiving the Legacy of Hope Merit Award for her work in cancer research. Find out more about Legacy of Hope:  http://bit.ly/2unBkXl  #forefront pic.twitter.com/gdPeW4YYX5",12,0,8,True,#forefront
LaurenRiley183,2018-07-10,09:04:16,"#Cancer Awareness Night @Phillies is coming up on Tuesday, July 24! Tickets benefit @KimmelCancerCtr and fans will receive a special #Phillies hat 🧢 ⚾️ https://twitter.com/kimmelcancerctr/status/1007665271123927043 …",3,0,3,True,"#Cancer,#Phillies"
TJUHospital,2018-07-10,13:00:04,"Join us on Tuesday, October 30th at @SheratonPhilaDT for the 16th Annual Jefferson Gala as we honor renowned @KimmelCancerCtr medical oncologist, researcher, & champion of the underserved, @EdithMitchellMD & @Eagles head coach Doug Pederson:  http://Jefferson.edu/Gala  pic.twitter.com/6bPKJ0yvZH",10,0,5,True,
KimmelCancerCtr,2018-07-10,12:41:32,"Check out the Summer 2018 issue of our magazine, #Discovery — a quarterly publication highlighting clinical and research advances, as well as other important news from the SKCC: https://issuu.com/sidneykimmelcancercenter/docs/discovery-july-2018 … via @issuu #forefront #untileverycanceriscured",5,0,6,True,"#Discovery,#forefront,#untileverycanceriscured"
KimmelCancerCtr,2018-07-10,08:43:48,"Heather Bell-Temin, RD, CSO, LDN, Oncology Registered Dietitian Nutritionist, recently wrote an article about how to address #anorexia in older adults with cancer:  http://bit.ly/2J9FyHH  #geriatriconcology #nutrition pic.twitter.com/k2Nqm3wdsa",7,0,6,True,"#anorexia,#geriatriconcology,#nutrition"
KimmelCancerCtr,2018-07-09,13:10:20,"Join us for the “Brave New Worlds” Art Reception, curated by @revolvdart, on 7/12 from 5-7:30pm at our Bodine Center! pic.twitter.com/7Wm8luvkrT",4,1,4,True,
JeffInnovation,2018-07-09,10:32:29,Happening this Thursday: @NRGonc is hosting a #DigitalHealth and Personal #ConnectedHealth Minisymposium! Chair of radiation oncology at @KimmelCancerCtr @APDicker is co-chairing! Info:  http://bit.ly/2J2gIxn  pic.twitter.com/p6dqNKf47R,14,1,5,True,"#DigitalHealth,#ConnectedHealth"
TJUHospital,2018-07-09,08:00:05,Join @KimmelCancerCtr's Beach Day Double Feature at the Cancer Support & Welcome Center! 🍿 Escape the heat with popcorn & a family-friendly movie on our big screen:  http://bit.ly/2Hb2TYm . 🐟 #FindingNemo #FindingDory pic.twitter.com/DTaDsjV0v5,6,0,1,True,"#FindingNemo,#FindingDory"
KimmelCancerCtr,2018-07-06,12:31:58,.@APDicker recently co-authored an article on #digitalhealth and #oncology that was published in the @ASCO journal JCO Clinical Cancer Informatics:  http://bit.ly/2u0KXvL  #forefront,2,1,3,True,"#digitalhealth,#oncology,#forefront"
KimmelCancerCtr,2018-07-06,09:32:01,"This #FacultyFriday, we are featuring Takami Sato, MD, PhD, a medical oncologist who specializes in #uvealmelanoma:  http://bit.ly/2zcPFMc  #untileverycanceriscured pic.twitter.com/zmu7rwXNKt",1,0,2,True,"#FacultyFriday,#uvealmelanoma,#untileverycanceriscured"
KimmelCancerCtr,2018-07-05,11:00:26,.@andrewchap361 is a speaker at the upcoming MedCity CONVERGE conference on 7/11. He will discuss how patient networks and new technology can be leveraged to boost #clinicaltrial recruitment & manage trials more efficiently:  http://bit.ly/2lV1NYH  via @medcitynews #MCConverge,1,0,2,True,"#clinicaltrial,#MCConverge"
KimmelCancerCtr,2018-07-03,13:30:00,"Wishing everyone a safe and fun #July4th holiday! If you plan to be outside, make sure to use #sunscreen! #independenceday #uvsafetymonth pic.twitter.com/dPCjwKFjDf",1,0,3,True,"#July4th,#sunscreen,#independenceday,#uvsafetymonth"
KimmelCancerCtr,2018-07-03,09:16:50,DYK that July is #Sarcoma Awareness Month? Sarcomas are a group of cancers that arise in the bones and connective tissue. Find out more about the Jefferson Sarcoma and #BoneTumor Center:  http://bit.ly/2Ni0i2Y  #hope #untileverycanceriscured pic.twitter.com/t0Cr3XwSl0,3,0,6,True,"#Sarcoma,#BoneTumor,#hope,#untileverycanceriscured"
KimmelCancerCtr,2018-07-03,08:13:40,Exciting work from @JonBrodyPhD! #forefront https://twitter.com/adamsnookphd/status/1013851687658934272 …,1,0,2,True,#forefront
KimmelCancerCtr,2018-07-02,12:42:10,.@vedangiri via @OncologyTimes https://twitter.com/OncologyTimes/status/1013832204558970881 …,3,0,3,True,
KimmelCancerCtr,2018-07-02,10:12:35,A new study led by SKCC investigator @JonBrodyPhD has generated promising results regarding a novel treatment for metastatic #colorectalcancer:  http://bit.ly/2lMCAQ3  #forefront pic.twitter.com/VAzPNTeuRO,7,0,5,True,"#colorectalcancer,#forefront"
APDicker,2018-07-02,07:24:34,Great collection of papers-Digital Health and Oncology! http://ascopubs.org/cci/collections/digital-health …@KimmelCancerCtr @JeffersonUniv @NRGonc,14,0,9,True,
OncologyTimes,2018-06-30,14:40:04,Don't miss these podcasts with Dr. Adilia Hormigo of @MountSinaiNYC and Dr. Daniel Silver of @KimmelCancerCtr on advancing cancer research.  http://ow.ly/Te4P30kJFyM  #healthtalk #cancerawareness,2,0,2,True,"#healthtalk,#cancerawareness"
KimmelCancerCtr,2018-06-29,13:40:45,"Congrats to all the Jefferson docs, including SKCC member Dr. Adam Luginbuhl! https://twitter.com/TJUHospital/status/1012078132541775872 …",3,0,5,True,
KimmelCancerCtr,2018-06-29,09:06:57,"This #FacultyFriday, we are highlighting Jennifer Johnson, MD, PhD, a medical oncologist who specializes in #lungcancer and #headandneckcancer:  http://bit.ly/2tMB441  #untileverycanceriscured pic.twitter.com/WOfqdgg6wC",4,0,4,True,"#FacultyFriday,#lungcancer,#headandneckcancer,#untileverycanceriscured"
NCIDirector,2018-06-28,15:30:01,"During #pridemonth, it’s important to highlight the special challenges the LGBT community confronts, which far too often, result in higher cancer incidence and late stage diagnoses. I am proud of the research @theNCI supports to reduce the burden of cancer among LGBT people.",141,2,48,True,#pridemonth
KimmelCancerCtr,2018-06-28,13:13:50,ICYMI! https://twitter.com/JeffersonUniv/status/1011604757755068421 …,0,0,2,True,
TJUHospital,2018-06-28,08:31:38,Pulmonologist @DrGregoryKane provides his perspective on a new #lungcancer screening tool—the HUNT Lung Cancer Risk Model:  http://bit.ly/2N1vzXY   via @GoHealio pic.twitter.com/rgeHZ4W1vB,4,0,3,True,#lungcancer
OncologyTimes,2018-06-27,14:10:05,What needs greater awareness when it comes to #ProstateCancer? Watch Dr. Veda Giri's response in this new video.  http://ow.ly/7Bpd30kHfpi  via @KimmelCancerCtr @TJUHospital #MensHealthMonth #pcsm pic.twitter.com/78m3DQFsQJ,5,0,4,True,"#ProstateCancer,#MensHealthMonth,#pcsm"
KimmelCancerCtr,2018-06-27,13:01:11,"An exploratory analysis of men with #prostatecancer or at risk for prostate cancer, led by @vedangiri, identified a need to supplement patient genetic education and counseling with the basics of healthy eating:  http://ow.ly/VseD30kzGRF  via @OncologyTimes https://twitter.com/OncologyTimes/status/1011743432094691330 …",6,2,5,True,#prostatecancer
KimmelCancerCtr,2018-06-27,10:55:40,FYI: Dr. Prendergast from @LIMR_ is the co-leader of our Cancer Cell Biology & Signaling Program:  http://bit.ly/2IhlmD6  https://twitter.com/mainlinehealth/status/1010992209846513664 …,0,0,2,True,
KimmelCancerCtr,2018-06-27,08:54:41,.@SKCCDirector #forefront https://twitter.com/TJUHospital/status/1011669236652085248 …,2,0,2,True,#forefront
KimmelCancerCtr,2018-06-26,12:25:03,An annual eye exam can help detect #ocularmelanoma earlier on:  http://bit.ly/2lwYrLa  via @Wills_Eye #uvealmelanoma https://twitter.com/Wills_Eye/status/1010951724981506049 …,4,0,3,True,"#ocularmelanoma,#uvealmelanoma"
NRGonc,2018-06-24,14:15:05,"Don't miss the #DigitalHealth and Personal #ConnectedHealth Minisymposium on July 12 at #NRG18! @APDicker, chair of #radonc @KimmelCancerCtr is co-chairing.  http://bit.ly/2J2gIxn ",2,0,1,True,"#DigitalHealth,#ConnectedHealth,#NRG18,#radonc"
KimmelCancerCtr,2018-06-25,13:47:44,FYI! https://twitter.com/TJUHospital/status/1010975869366624257 …,2,0,5,True,
KimmelCancerCtr,2018-06-25,11:45:14,"As an #AirForce & commercial airline pilot, Pete Lonngren’s top priority had always been safety. So in 2007 when he discovered a swollen lymph node in his neck, Pete (center) knew he had to take action for the sake of his health:  http://bit.ly/2MX8tlh  #hope #believe pic.twitter.com/i0VsS1vsgH",7,0,5,True,"#AirForce,#hope,#believe"
KimmelCancerCtr,2018-06-25,08:57:03,ICYMI! https://twitter.com/AbingtonJeff/status/1009904757073481731 …,1,0,2,True,
OncologyTimes,2018-06-23,10:00:13,New video from our Lymphoma & Leukemia Resource Center: Watch Dr. Pierluigi Porcu of @KimmelCancerCtr describe newly approved drugs to improve patient treatment options.  http://ow.ly/Qlgj30kDc8l  #SaturdayMorning #healthtalk pic.twitter.com/595bVRxpRo,7,1,5,True,"#SaturdayMorning,#healthtalk"
AbingtonJeff,2018-06-22,10:40:01,"Join us tomorrow, June 23 for a tour of our new state-of-the-art cancer center, the Asplundh Cancer Pavilion. An Open House will be held from 10 a.m. to 2 p.m.  http://p.ctx.ly/r/7voi ",6,1,4,True,
KimmelCancerCtr,2018-06-22,15:19:40,ICYMI: some shots of the new Asplundh Cancer Pavilion at @AbingtonJeff! 👏 #teamyou pic.twitter.com/gjScUMuK5F,7,1,4,True,#teamyou
KimmelCancerCtr,2018-06-22,13:35:32,.@SKCCDirector spoke with @USNewsHealth about screening in men with late-stage #prostatecancer:  http://bit.ly/2Miw8f0  #forefront,4,0,3,True,"#prostatecancer,#forefront"
OncLiveSOSS,2018-06-22,05:00:29,"Mark J. Mann, MD, of @KimmelCancerCtr, gives his thoughts on immunotherapy trying to make a breakthrough in the landscape #pcsm @TheRealDrMann https://www.onclive.com/web-exclusives/treatment-developments-shaking-up-landscape-for-nonmetastatic-crpc?p=1 …",6,0,3,True,#pcsm
KimmelCancerCtr,2018-06-21,15:44:16,"Thank you, Mr. Asplundh and family! https://twitter.com/abingtonjeff/status/1009898259366768642 …",5,0,3,True,
AbingtonJeff,2018-06-21,15:30:27,"Special gratitude goes to the Asplundh Family. It was the extraordinary generosity of this family that got this project started, & it has brought us to this wonderful conclusion. - Meg McGoldrick on the Asplundh Cancer Pavilion pic.twitter.com/t65tS9rsRQ",5,0,2,True,
AbingtonJeff,2018-06-21,15:21:01,"The new Asplundh Cancer Pavilion will unite with Jefferson to serve as an advanced-care suburban hub of @theNCI -designated @KimmelCancerCtr. -Dr. Steven Cohen, Medical Director, Asplundh Cancer Pavilion pic.twitter.com/rvq6HhgJXO",2,0,2,True,
AbingtonJeff,2018-06-21,15:18:40,"We couldn’t have been more delighted to have Dr. Steven Cohen be the medical director for the Asplundh Cancer Pavilion. - Dr. @SKCCDirector, Director of @KimmelCancerCtr pic.twitter.com/NU5VKCOHhv",3,0,2,True,
AbingtonJeff,2018-06-21,15:14:01,"There’s a lot of places that do a great job of treating the disease, we treat patients. - Dr. @sklasko on Asplundh Cancer Pavilion pic.twitter.com/Xijs9Q1fLs",6,0,2,True,
AbingtonJeff,2018-06-21,15:04:38,"Today we celebrate the opening of a new building, but we are celebrating so much more.  - Meg McGoldrick, President, Abington – Jefferson Health on Asplundh Cancer Pavilion pic.twitter.com/D9gepwfrIL",5,0,5,True,
AbingtonJeff,2018-06-21,15:02:51,We’re getting ready to kick off our Asplundh Cancer Pavilion ribbon cutting! pic.twitter.com/TNcu4haK9Y,3,1,2,True,
KimmelCancerCtr,2018-06-21,11:23:44,ICYMI: Exciting news regarding our collaboration with @SarahCannonDocs! #forefront https://twitter.com/TJUHospital/status/1009811936949751809 …,6,0,5,True,#forefront
AbingtonJeff,2018-06-20,06:45:03,"We know that undergoing cancer treatment is emotionally challenging, so we’ve enhanced treatment rooms at the Asplundh Cancer Pavilion with nature-themed photographic murals to provide peace and solace.#AsplundhCancerPavilionSneakPeek pic.twitter.com/q2iK9fIknK",7,1,2,True,#AsplundhCancerPavilionSneakPeek
KimmelCancerCtr,2018-06-20,14:40:02,"Thank you to our own @KreinMD (center), for being the #GrandRounds speaker this afternoon! Dr. Krein, SKCC Senior Director of Health Policy and Innovation, is pictured with @andrewchap361 and @SKCCDirector. #forefront pic.twitter.com/LO3UErbeTd",7,0,5,True,"#GrandRounds,#forefront"
KimmelCancerCtr,2018-06-20,12:42:42,"Congrats to @DoctorSchoppe, Senior Director of the Jefferson Cancer Research Liaison Office, on your @LLSusa award! #hope #believe https://twitter.com/DoctorSchoppe/status/1008757988696477696 …",2,0,2,True,"#hope,#believe"
KimmelCancerCtr,2018-06-19,16:04:29,ICYMI https://twitter.com/OncLiveSOSS/status/1008801688512286721 …,0,0,2,True,
TJUHospital,2018-06-19,12:00:25,"Cuban Salsa can help those facing cancer to cope with diagnosis, treatment & recovery. Join @KimmelCancerCtr on 8/1 for this 6-week dance workshop that aims to develop participants' bodily awareness & movement intuition:  http://bit.ly/2ynQpNZ . pic.twitter.com/tDXjJirqIm",2,0,1,True,
KimmelCancerCtr,2018-06-19,10:49:41,"Congratulations, @sklasko! https://twitter.com/TJUHospital/status/1007625049463980033 …",7,0,5,True,
KimmelCancerCtr,2018-06-18,14:29:43,"On Wednesday, 6/20: @KreinMD from @TJUHospital, SKCC, and @startuphealth will be our #GrandRounds speaker. His talk is entitled ""10 Health #Moonshots: How a Global Army of Health Transformers is Accomplishing One Impossible Dream."" #forefront pic.twitter.com/mGnHMdETWU",9,0,4,True,"#GrandRounds,#Moonshots,#forefront"
JEFFsurgery,2018-06-18,12:17:17,@JointheFight Thank you @JonBrodyPhD @KimmelCancerCtr for advocating in DC on National #PancreaticCancer Advocacy Day: 3 generations of Brodys are there to #DemandBetter = increased federal $$ for cancer research!@jointhefight @PanCAN @pancanphilly pic.twitter.com/VYt4zg31ZO,16,0,3,True,"#PancreaticCancer,#DemandBetter"
KimmelCancerCtr,2018-06-18,11:02:33,"Great job, Team Jefferson Sidney Kimmel Cancer Center! 👏 https://twitter.com/tjuhospital/status/1008726042440290304 …",5,1,3,True,
